包含以下主要诊断：
A00.000x001 古典生物型霍乱
C26.000 肠道部位的恶性肿瘤
C26.800 消化系统交搭跨越恶性肿瘤的损害
C26.800x001 小肠及结肠恶性肿瘤
C26.800x002 胃体及横结肠恶性肿瘤
C26.800x003 胆管及胆囊恶性肿瘤
C26.900 消化系统部位不明确的恶性肿瘤
C26.901 胃肠道恶性肿瘤
C45.101 肠系膜间皮瘤
C45.102 结肠系膜间皮瘤
C45.700x005 直肠间皮瘤
C45.703 胃间皮瘤
C45.705 结肠间皮瘤
C48.101 肠系膜恶性肿瘤
C48.102 结肠系膜恶性肿瘤
C77.106 食管淋巴结继发恶性肿瘤
C77.200x001 贲门淋巴结继发恶性肿瘤
C77.201 胃淋巴结继发恶性肿瘤
C77.207 肠系膜淋巴结继发恶性肿瘤
C77.208 肠周淋巴结继发恶性肿瘤
C78.400 小肠继发性恶性肿瘤
C78.401 十二指肠继发恶性肿瘤
C78.402 空肠继发恶性肿瘤
C78.403 回肠继发恶性肿瘤
C78.500x004 乙状结肠继发恶性肿瘤
C78.500x006 直肠乙状结肠连接部继发恶性肿瘤
C78.500x008 肛门继发恶性肿瘤
C78.501 直肠继发恶性肿瘤
C78.502 盲肠继发恶性肿瘤
C78.503 阑尾继发恶性肿瘤
C78.504 结肠继发恶性肿瘤
C78.505 肛管继发恶性肿瘤
C78.603 肠系膜继发恶性肿瘤
C78.800x005 胃肠道继发恶性肿瘤
C78.800x010 胃底继发恶性肿瘤
C78.800x013 胃食管连接部继发恶性肿瘤
C78.800x014 贲门食管连接部继发恶性肿瘤
C78.801 食管继发恶性肿瘤
C78.802 胃继发恶性肿瘤
C78.803 贲门继发恶性肿瘤
C78.804 壶腹继发恶性肿瘤
C78.809 消化器官继发性恶性肿瘤
D00.100 食管原位癌
D00.200 胃原位癌
D00.200x002 贲门食管连接部原位癌
D00.200x003 胃角原位癌
D01.000 结肠原位癌
D01.100 直肠乙状结肠连接处原位癌
D01.200 直肠原位癌
D01.300x001 肛门原位癌
D01.301 肛管原位癌
D01.401 肠原位癌
D01.402 小肠原位癌
D01.403 空肠原位癌
D01.404 回肠原位癌
D01.405 十二指肠原位癌
D01.900 消化器官原位癌
D12.000 盲肠良性肿瘤
D12.000x002 回盲瓣良性肿瘤
D12.001 回盲部良性肿瘤
D12.100 阑尾良性肿瘤
D12.200 升结肠良性肿瘤
D12.300 横结肠良性肿瘤
D12.301 结肠肝曲良性肿瘤
D12.302 结肠脾曲良性肿瘤
D12.400 降结肠良性肿瘤
D12.500 乙状结肠良性肿瘤
D12.600 结肠良性肿瘤
D12.601 家族性息肉病
D12.602 结肠腺瘤样息肉病
D12.603 大肠良性肿瘤
D12.700 直肠乙状结肠连接处良性肿瘤
D12.800 直肠良性肿瘤
D12.900x001 肛门良性肿瘤
D12.901 肛管良性肿瘤
D13.000 食管良性肿瘤
D13.100 胃良性肿瘤
D13.101 贲门良性肿瘤
D13.200 十二指肠良性肿瘤
D13.301 小肠良性肿瘤
D13.302 空肠良性肿瘤
D13.303 回肠良性肿瘤
D13.304 麦克尔憩室良性肿瘤
D13.900x003 消化道多发息肉综合征
D13.902 肠良性肿瘤
D17.500x001 肠系膜脂肪瘤
D17.500x003 肠脂肪瘤
D17.500x004 腹腔脂肪瘤
D17.500x005 盆腔脂肪瘤
D17.500x007 回盲部脂肪瘤
D17.500x008 胃脂肪瘤
D17.500x009 十二指肠球部脂肪瘤
D17.700x017 贲门脂肪瘤
D17.700x022 食管脂肪瘤
D17.700x027 肛旁脂肪瘤
D18.000x040 贲门血管瘤
D18.000x041 肠系膜血管瘤
D18.000x042 肠血管瘤
D18.000x043 结肠血管瘤
D18.000x045 食道血管瘤
D18.000x046 小肠血管瘤
D18.000x801 腹膜后血管瘤
D18.000x825 肛门血管瘤
D18.000x838 上消化道血管瘤
D18.000x859 腹股沟血管瘤
D18.100x001 肠系膜淋巴管瘤
D20.102 肠系膜良性肿瘤
D36.901 多发性腺瘤样息肉
D37.100x001 贲门交界性肿瘤
D37.100x002 胃交界性肿瘤
D37.100x003 胃角交界性肿瘤
D37.101 胃肿瘤
D37.102 贲门动态未定肿瘤
D37.103 贲门肿瘤
D37.200x001 十二指肠交界性肿瘤
D37.200x002 小肠交界性肿瘤
D37.200x003 空肠交界性肿瘤
D37.200x004 回肠交界性肿瘤
D37.201 小肠肿瘤
D37.202 十二指肠动态未定肿瘤
D37.203 十二指肠肿瘤
D37.204 空肠动态未定肿瘤
D37.205 空肠肿瘤
D37.206 回肠动态未定肿瘤
D37.207 回肠肿瘤
D37.300x001 阑尾交界性肿瘤
D37.301 阑尾肿瘤
D37.400x001 结肠交界性肿瘤
D37.400x002 乙状结肠交界性肿瘤
D37.401 结肠肿瘤
D37.402 升结肠动态未定肿瘤
D37.403 升结肠肿瘤
D37.404 横结肠动态未定肿瘤
D37.405 横结肠肿瘤
D37.406 降结肠动态未定肿瘤
D37.407 降结肠肿瘤
D37.408 乙状结肠动态未定肿瘤
D37.409 乙状结肠肿瘤
D37.410 盲肠动态未定肿瘤
D37.411 盲肠肿瘤
D37.500x001 直肠交界性肿瘤
D37.500x002 直肠乙状结肠连接部交界性肿瘤
D37.501 直肠肿瘤
D37.502 直肠乙状结肠交界处动态未定肿瘤
D37.503 直肠乙状结肠交界处肿瘤
D37.606 壶腹部动态未定肿瘤
D37.607 壶腹部肿瘤
D37.700x001 肠交界性肿瘤
D37.700x002 食管交界性肿瘤
D37.700x007 肛管交界性肿瘤
D37.701 食管动态未定肿瘤
D37.702 食管肿瘤
D37.707 肠动态未定肿瘤
D37.708 肠肿瘤
D37.709 肛门动态未定肿瘤
D37.710 肛门肿瘤
D37.900x001 消化器官交界性肿瘤
D37.901 消化器官肿瘤
D48.117 腹壁结缔组织动态未定肿瘤
D48.121 腹股沟结缔组织动态未定肿瘤
D48.129 直肠阴道隔结缔组织动态未定肿瘤
D48.402 肠系膜动态未定肿瘤
D48.403 肠系膜肿瘤
E10.400x330+G99.0* 1 型糖尿病性腹泻
E10.400x340+G99.0* 1 型糖尿病性肛门直肠功能~~障碍
E10.400x350+G99.0* 1 型糖尿病性食管功能障碍
E10.400x370+G99.0* 1 型糖尿病性胃轻瘫
E11.400x330+G99.0* 2 型糖尿病性腹泻
E11.400x340+G99.0* 2 型糖尿病性肛门直肠功能~~障碍
E11.400x350+G99.0* 2 型糖尿病性食管功能障碍
E11.406+G99.0* 2 型糖尿病性胃轻瘫
E14.400x330+G99.0* 糖尿病性腹泻
E14.400x340+G99.0* 糖尿病性肛门直肠功能障碍
E14.400x350+G99.0* 糖尿病性食管功能障碍
E14.400x370+G99.0* 糖尿病性胃轻瘫
E16.400 胃泌素分泌异常
E16.400x003 促胃液素分泌异常
E16.401 高胃泌素血症
E16.402 佐林格-埃利森综合征
E73.000 先天性乳糖缺乏
E73.100 继发性乳糖缺乏
E73.800 乳糖不耐受,其他的
E73.900 乳糖不耐受
E84.102 远端肠梗阻综合症
E85.417+K93.8* 淀粉样变肠道损害
I72.800x063 肠系膜动脉夹层
I72.800x131 胃十二指肠动脉瘤
I72.800x132 胃十二指肠假性动脉瘤
I72.800x142 肠系膜上动脉假性动脉瘤
I72.801 肠系膜上动脉夹层动脉瘤
I72.802 肠系膜上动脉动脉瘤
I72.807 胃十二指肠动脉假性动脉瘤
I72.815 腹腔动脉瘤破裂
I72.816 腹腔动脉夹层动脉瘤
I74.800x011 肠系膜上动脉闭塞
I77.400 腹腔动脉压迫综合征
I78.802 胃肠道毛细血管扩张症
I85.000x001 食管静脉曲张破裂出血
I85.900x001 食管静脉曲张
I85.901 食管静脉瘤
I86.400 胃静脉曲张
I86.400x001 胃底静脉曲张
I86.400x002 胃血管扩张
I86.400x004 胃静脉瘤
I86.401 胃底静脉曲张伴出血
I86.800x014 食管胃底静脉曲张破裂出血
I86.800x022 乙状结肠静脉瘤
I86.812 十二指肠静脉曲张伴出血
I88.000x003 慢性肠系膜淋巴结炎
I88.001 急性肠系膜淋巴结炎
I88.105 慢性食管旁淋巴结炎
I89.005 肠淋巴管扩张
I89.006 小肠淋巴管扩张
I89.800x006 乳糜性腹水
I89.800x019 腹膜后乳糜囊肿
I89.801 肠系膜乳糜囊肿
I89.803 非丝虫性乳糜性腹水
J11.800x002 未知病毒的流感性胃肠炎
K20.x00 食管炎
K20.x00x001 贲门炎
K20.x00x003 创伤性食管炎
K20.x00x006 食管脓肿
K20.x01 化学性食管炎
K20.x02 放射性食管炎
K20.x03 手术后食管炎
K21.001 反流性食管炎
K21.900x003 胃食管反流
K21.901 食管反流
K21.902 贲门松弛
K21.903 喉咽反流
K22.000x001 贲门痉挛
K22.000x002 贲门失弛缓
K22.100 食管溃疡
K22.101 贲门糜烂
K22.102 贲门溃疡
K22.103 食管糜烂
K22.200 食管梗阻
K22.201 贲门梗阻
K22.202 贲门狭窄
K22.203 食管受压
K22.204 食管挛缩
K22.205 食管狭窄
K22.206 胡桃夹食管
K22.207 创伤性食管狭窄
K22.208 手术后食管狭窄
K22.209 后天性食管蹼
K22.300 食管穿孔
K22.301 食管破裂
K22.400 食管运动障碍
K22.400x003 螺旋状食管
K22.401 食管痉挛
K22.500 后天性食管憩室
K22.600x001 贲门撕裂症
K22.601 食管贲门黏膜撕裂综合征
K22.700x001 巴氏食管
K22.800x003 食管肌性肥厚
K22.800x011 贲门息肉
K22.801 食管隆起性病变
K22.802 创伤后食管瘘
K22.803 食管白斑
K22.804 食管出血
K22.805 食管囊肿
K22.806 食管扩张
K22.807 食管息肉
K22.808 食管肠上皮化生
K22.809 食管黏膜剥脱症
K22.811 食管瘘
K22.812 食管黏膜不典型增生
K22.813 手术后食管瘘
K22.814 食管炎性肉芽肿
K22.815 食管黏膜鳞状上皮增生
K22.900x001 食管功能不全
K22.901 食管肿物
K25.000 急性胃溃疡伴有出血
K25.000x001 胃黏膜下恒径动脉破裂出血
K25.000x002 急性胃黏膜病变伴出血
K25.001 迪厄拉富瓦溃疡
K25.100x001 胃溃疡伴急性穿孔
K25.200x001 胃溃疡伴出血和急性穿孔
K25.300x001 急性胃溃疡
K25.400x001 胃溃疡伴出血
K25.400x002 胃窦部溃疡伴出血
K25.401 幽门溃疡伴出血
K25.500x001 胃溃疡伴穿孔
K25.501 幽门穿孔
K25.600 慢性胃溃疡伴有出血和穿孔
K25.700 慢性胃溃疡不伴有出血或穿孔
K25.900x001 胃溃疡
K25.901 残胃溃疡
K25.902 胃小弯溃疡
K25.903 幽门管溃疡
K26.000 急性十二指肠溃疡伴有出血
K26.001 急性十二指肠球部溃疡并出血
K26.100 急性十二指肠溃疡伴有穿孔
K26.200x001 十二指肠溃疡伴出血和急性穿孔
K26.200x002 十二指肠球部溃疡伴出血和急性穿~~孔
K26.300 急性十二指肠溃疡不伴有出血和穿孔
K26.400x003 十二指肠糜烂出血
K26.401 十二指肠球部溃疡伴出血
K26.500x001 十二指肠溃疡伴穿孔
K26.501 十二指肠球部溃疡伴穿孔
K26.600 慢性十二指肠溃疡伴有出血和穿孔
K26.701 慢性十二指肠溃疡
K26.900x001 十二指肠溃疡
K26.900x002 十二指肠球部溃疡
K27.000 急性消化性溃疡伴有出血
K27.100x001 消化性溃疡伴急性穿孔
K27.200 急性消化性溃疡伴有出血和穿孔
K27.300 急性消化性溃疡不伴有出血和穿孔
K27.400 慢性消化性溃疡伴有出血
K27.400x001 多发性溃疡伴出血
K27.400x002 复合性溃疡伴出血
K27.400x004 消化性溃疡伴出血
K27.401 应激性溃疡伴出血
K27.500 慢性消化性溃疡伴有穿孔
K27.500x001 多发性溃疡伴穿孔
K27.500x002 复合性溃疡伴穿孔
K27.500x005 上消化道溃疡伴穿孔
K27.501 消化性溃疡伴穿孔
K27.502 应激性溃疡伴穿孔
K27.503 上消化道穿孔
K27.600 慢性消化性溃疡伴有出血和穿孔
K27.600x001 复合性溃疡伴出血和穿孔
K27.700x001 慢性消化性溃疡
K27.900x001 多发性复合性溃疡
K27.900x002 复合性溃疡
K27.900x005 NSAIDs 相关溃疡
K27.901 消化性溃疡
K27.902 应激性溃疡
K28.000 急性胃空肠溃疡伴有出血
K28.100 急性胃空肠溃疡伴有穿孔
K28.200 急性胃空肠溃疡伴有出血和穿孔
K28.300x001 急性胃空肠溃疡
K28.400x002 吻合口溃疡伴出血
K28.401 空肠溃疡伴出血
K28.500 慢性胃空肠溃疡伴有穿孔
K28.500x001 吻合口溃疡伴穿孔
K28.600 慢性胃空肠溃疡伴有出血和穿孔
K28.600x001 空肠溃疡伴出血和穿孔
K28.700 慢性胃空肠溃疡不伴有出血或穿孔
K28.900x001 吻合口溃疡
K28.900x002 吻合口溃疡伴梗阻
K28.901 空肠溃疡
K29.000 急性出血性胃炎
K29.001 急性糜烂出血性胃炎
K29.100x001 急性胃炎
K29.101 急性糜烂性胃炎
K29.200 酒精性胃炎
K29.300 慢性浅表性胃炎
K29.400 慢性萎缩性胃炎
K29.500 慢性胃炎
K29.501 慢性胃窦炎
K29.600 胃炎，其他的
K29.600x006 反流性胃炎
K29.600x007 应激性胃炎
K29.601 变应性胃炎
K29.602 肥厚性胃炎
K29.603 糜烂性胃炎
K29.604 梅内特里耶病
K29.605 肉芽肿性胃炎
K29.606 胃黏膜肥厚
K29.608 药物性胃炎
K29.700 胃炎
K29.700x002 胃炎性假瘤
K29.701 残胃炎
K29.800 十二指肠炎
K29.801 十二指肠球炎
K29.802 十二指肠乳头炎
K29.900 胃十二指肠炎
K30.x00 功能性消化不良
K30.x00x001 肠消化不良
K31.000 急性胃扩张
K31.100 成人肥厚性幽门狭窄
K31.100x002 幽门梗阻
K31.101 瘢痕性幽门梗阻
K31.102 幽门不全梗阻
K31.103 幽门肥大
K31.104 幽门狭窄
K31.200 胃沙漏状狭窄及缩窄
K31.300 幽门痉挛
K31.400 胃憩室
K31.500 十二指肠梗阻
K31.501 十二指肠狭窄
K31.502 十二指肠淤积
K31.600x004 胃小肠结肠瘘
K31.600x005 胃瘘
K31.601 胃空肠结肠瘘
K31.602 胃结肠瘘
K31.603 胃腹壁瘘
K31.604 十二指肠瘘
K31.605 手术后食管胃瘘
K31.606 手术后胃瘘
K31.607 手术后胃小肠瘘
K31.608 手术后胃大肠瘘
K31.609 手术后十二指肠瘘
K31.701 十二指肠息肉
K31.702 十二指肠球部息肉
K31.703 胃息肉
K31.800x801 低张力胃
K31.800x802 十二指肠白点征
K31.800x806 十二指肠穿孔
K31.800x808 胃假性淋巴瘤
K31.801 胃黏膜肠上皮化生
K31.802 高张力胃
K31.803 沙漏状胃痉挛
K31.804 胃酸过多
K31.805 胃酸缺乏
K31.806 胃狭窄
K31.807 胃痉挛
K31.808 胃结石
K31.809 胃麻痹
K31.810 胃囊肿
K31.811 胃下垂
K31.812 胃扭转
K31.813 胃破裂
K31.814 胃穿孔
K31.815 胃黄色斑
K31.816 胃黏膜脱垂
K31.818 十二指肠球变形
K31.819 胃潴留
K31.820 胃-心综合征
K31.821 胃粘膜不典型增生
K31.901 胃排空障碍
K31.902 胃肿物
K31.903 十二指肠肿物
K31.904 急性胃黏膜病变
K31.905 胃黏膜病变
K35.200 急性阑尾炎伴有弥漫性腹膜炎
K35.201 急性阑尾炎破裂或穿孔后伴有弥漫性腹~~膜炎
K35.300 急性阑尾炎伴局限性腹膜炎
K35.301 急性阑尾炎伴腹膜脓肿
K35.800x001 急性阑尾炎
K36.x00x003 亚急性阑尾炎
K36.x00x004 阑尾残端炎
K36.x01 复发性阑尾炎
K36.x02 慢性阑尾炎
K37.x00 阑尾炎
K37.x00x002 阑尾周围炎
K38.000 阑尾增生
K38.000x002 阑尾包块
K38.100 阑尾结石
K38.200 阑尾憩室
K38.300 阑尾瘘
K38.800x001 闭锁性阑尾
K38.800x003 阑尾套叠
K38.800x004 阑尾炎性假瘤
K38.801 阑尾黏液囊肿
K38.802 阑尾囊肿
K38.900 阑尾疾病
K40.000x001 双侧腹股沟疝伴梗阻
K40.001 双侧腹股沟斜疝伴梗阻
K40.002 双侧腹股沟直疝伴梗阻
K40.100x001 双侧腹股沟疝伴坏疽
K40.101 双侧腹股沟斜疝伴坏死
K40.102 双侧腹股沟直疝伴坏死
K40.200x001 双侧腹股沟疝
K40.201 双侧腹股沟斜疝
K40.202 双侧腹股沟直疝
K40.203 双侧滑动性腹股沟斜疝
K40.204 双侧腹股沟疝(一侧直疝、一侧斜疝)
K40.300 单侧或未特指的腹股沟疝，伴有梗阻，不~~伴有坏疽
K40.301 单侧绞窄性腹股沟斜疝
K40.302 单侧绞窄性腹股沟直疝
K40.303 单侧难复性腹股沟直疝
K40.304 单侧难复性腹股沟斜疝
K40.305 单侧嵌顿性腹股沟直疝
K40.306 单侧嵌顿性腹股沟斜疝
K40.307 单侧嵌顿性腹股沟疝伴梗阻
K40.308 单侧滑动性腹股沟疝伴梗阻
K40.309 腹股沟嵌顿性滑疝
K40.310 绞窄性腹股沟疝
K40.311 难复性腹股沟疝
K40.312 嵌顿性腹股沟疝
K40.313 嵌顿性腹股沟疝伴梗阻
K40.314 嵌顿性腹股沟斜疝
K40.315 腹股沟直疝嵌顿
K40.400x001 单侧腹股沟疝伴坏疽
K40.401 单侧腹股沟斜疝伴坏疽
K40.402 单侧腹股沟直疝伴坏疽
K40.900x001 腹股沟环松弛
K40.900x002 单侧腹股沟疝
K40.900x003 单侧腹股沟斜疝
K40.900x004 单侧腹股沟直疝
K40.900x005 腹股沟斜疝合并直疝
K40.900x006 先天性腹股沟斜疝
K40.901 腹股沟斜疝
K40.902 腹股沟直疝
K40.903 腹股沟滑动疝
K40.904 复发性腹股沟斜疝
K40.905 复发性腹股沟直疝
