包含以下主要诊断：
A18.400x001 播散性粟粒性狼疮
M34.100 全身性钙质沉着综合征[CR(E)ST]
M34.200 药物和化学物质诱发的全身性硬皮病
M34.803 蒂比耶日-魏森巴赫综合征
M54.001 颈部脂膜炎
M54.002 骶部脂膜炎
M54.003 背部脂膜炎
M79.400 髌下脂肪垫肥大
M79.401 膝脂肪垫肥大
M79.403 髌前脂肪垫肥大
M79.404 髌后脂肪垫肥大
M79.809 普罗菲谢病
Q80.000 寻常性鱼鳞病
Q80.100 性联鱼鳞病
Q80.200 片层状鱼鳞癣
Q80.200x002 胶样婴儿
Q80.300 先天性大疱性鱼鳞病样红皮病
Q80.400 斑色胎儿
Q80.800 先天性鱼鳞病，其他的
Q80.800x001 非大疱型红皮病型鱼鳞病
Q80.900 先天性鱼鳞病
Q81.000 单纯性大疱性表皮松解症
Q81.100 致死性大疱性表皮松解症
Q81.200 营养不良性大疱性表皮松解症
Q81.800 大疱性表皮松解症，其他的
Q81.900 大疱性表皮松解症
Q82.100 着色性干皮病
Q82.800x011 先天性面部皮肤松弛
Q82.801 蓝色橡皮-疱痣综合征
Q82.802 良性家族性天疱疮
Q82.803 毛囊角化病
Q82.804 汗管角化症
Q82.805 疣状肢端角化症
Q82.806 遗传性掌跖角化症
Q84.800x012 先天性皮肤缺失
Q85.900x022 神经皮肤综合征
R21.x01 非特异性斑疹
R60.900x003 流行性水肿
R60.900x004 儿童急性出血性水肿
