包含以下主要诊断：
D17.700x016 肾脂肪瘤
Q64.301 先天性尿道瓣膜性狭窄
Q64.302 先天性尿道闭锁
Q64.303 先天性尿道狭窄
Q64.304 先天性膀胱尿道口处狭窄
Q64.400x301 先天性脐尿管憩室
Q64.400x902 先天性脐尿管脱垂
Q64.401 脐尿管瘘
Q64.402 脐尿管囊肿
Q64.403 脐尿管未闭
Q64.501 尿道缺如
Q64.502 膀胱缺如
Q64.600 先天性膀胱憩室
Q64.700x201 先天性膀胱脱垂
Q64.700x601 先天性巨尿道
Q64.700x701 巨膀胱-巨输尿管综合征
Q64.700x801 先天性尿道空洞性脊髓突出
Q64.700x901 先天性脐膀胱瘘
Q64.700x902 先天性膀胱疝
Q64.700x904 先天性尿道粘膜脱垂
Q64.701 先天性尿道畸形
Q64.702 双尿道
Q64.703 双尿道口
Q64.704 先天性尿道直肠瘘
Q64.705 先天性尿道憩室
Q64.706 异位尿道口
Q64.707 双膀胱
Q64.708 先天性尿道膨出
Q64.800x001 先天性尿道旁裂
Q64.900 泌尿系统先天性畸形
S37.000 肾损伤
S37.000x012 肾囊挫伤
S37.000x013 肾盂挫伤
S37.000x015 肾包膜下血肿
S37.000x016 肾盂血肿
S37.000x022 肾囊破裂
S37.000x023 肾盂裂伤
S37.000x031 肾粉碎伤
S37.000x032 肾蒂损伤
S37.001 创伤性肾破裂
S37.002 肾挫伤
S37.003 创伤性肾血肿
S37.004 创伤性肾周血肿
S37.010 开放性肾损伤
S37.011 开放性肾破裂
S37.100 输尿管损伤
S37.101 创伤性输尿管断裂
S37.111 开放性输尿管断裂
S37.200 膀胱损伤
S37.200x011 膀胱挫伤
S37.200x022 腹膜外膀胱破裂
S37.200x023 腹膜内膀胱破裂
S37.200x024 混合型膀胱破裂
S37.200x081 膀胱裂伤
S37.201 创伤性膀胱破裂
S37.211 开放性膀胱破裂
S37.300 尿道损伤
S37.300x004 尿道完全断裂
S37.300x005 尿道部分断裂
S37.300x011 尿道膜部损伤
S37.300x021 尿道阴茎部损伤
S37.300x031 尿道前列腺部损伤
S37.300x081 尿道球部断裂
S37.300x082 尿道球部挫裂伤
S37.300x083 后尿道损伤
S37.301 创伤性尿道断裂
S37.302 尿道挫伤
S37.303 尿道损伤伴狭窄
S37.310 开放性尿道损伤
S37.813 开放性肾上腺损伤
S37.814 开放性前列腺损伤
T19.000 尿道内异物
T19.100 膀胱内异物
T19.800x001 输尿管内异物
T19.801 多发性泌尿生殖道异物
T19.900 泌尿生殖道内异物
T28.300 泌尿生殖器官内部烧伤
T28.800 泌尿生殖器官内部腐蚀伤
T28.800x001 阴道和子宫腐蚀伤
T81.800x011 手术后尿失禁
T81.800x014 透析器首次使用综合征
T83.000x001 泌尿系导管引起的机械性并发症
T83.001 肾盂引流管阻塞
T83.002 肾造瘘管移位
T83.003 膀胱造瘘管阻塞
T83.004 导尿管阻塞
T83.100 泌尿系装置和植入物的机械性并发症，其~~他的
T83.100x001 泌尿系支架引起的机械性并发症
T83.100x002 泌尿系电子刺激装置引起的机械性并~~发症
T83.100x003 泌尿系括约肌植入物引起的机械性并~~发症
T83.100x004 尿道悬吊术后引起的机械性并发症
T83.101 输尿管支架断裂
T83.102 输尿管支架移位
T83.103 输尿管支架管阻塞
T83.200 泌尿器官移植物的机械性并发症
T83.800 泌尿生殖系假体装置、植入物和移植物的~~其他并发症
T83.800x001 插管引起的尿道损伤
T83.801 尿道悬吊带脱出
T83.802 阴道网片侵蚀
T83.804 移植肾输尿管瘘
T86.811 尿道悬吊带排斥
Z45.800x007 腹膜透析管取出
Z46.600x001 取出输尿管 D-J 管
Z46.601 更换肾盂造瘘导管
Z46.603 更换膀胱造瘘导管
Z46.800x001 为肾透析半永久静脉拔管
Z46.800x002 为肾透析的临时静脉拔管
Z49.000 透析的准备性医疗
Z49.000x002 为肾透析的静脉插管
Z49.000x004 为肾透析的动静脉造瘘
Z49.101 血液透析
Z52.400 供肾者
