包含以下主要诊断：
C15.000 颈部食管恶性肿瘤
C21.801 直肠肛管恶性肿瘤
C21.802 直肠肛门恶性肿瘤
C26.000 肠道部位的恶性肿瘤
C26.800 消化系统交搭跨越恶性肿瘤的损害
C26.800x001 小肠及结肠恶性肿瘤
C26.800x002 胃体及横结肠恶性肿瘤
C26.800x003 胆管及胆囊恶性肿瘤
C26.900 消化系统部位不明确的恶性肿瘤
C26.901 胃肠道恶性肿瘤
C45.100 腹膜间皮瘤
C45.101 肠系膜间皮瘤
C45.102 结肠系膜间皮瘤
C45.700x002 腹膜后间皮瘤
C45.700x005 直肠间皮瘤
C45.703 胃间皮瘤
C45.705 结肠间皮瘤
C48.000 腹膜后腔恶性肿瘤
C48.100 腹膜特指部位的恶性肿瘤
C48.103 盆腔腹膜恶性肿瘤
C48.104 网膜恶性肿瘤
C48.105 腹膜壁层恶性肿瘤
C48.200 腹膜恶性肿瘤
C48.201 腹膜腔恶性肿瘤
C48.800 腹膜后腔和腹膜交搭跨越恶性肿瘤的损害
C76.200 腹部恶性肿瘤
C76.304 腹股沟恶性肿瘤
C77.106 食管淋巴结继发恶性肿瘤
C77.200x001 贲门淋巴结继发恶性肿瘤
C77.201 胃淋巴结继发恶性肿瘤
C77.207 肠系膜淋巴结继发恶性肿瘤
C77.208 肠周淋巴结继发恶性肿瘤
C78.400 小肠继发性恶性肿瘤
C78.401 十二指肠继发恶性肿瘤
C78.402 空肠继发恶性肿瘤
C78.403 回肠继发恶性肿瘤
C78.500x004 乙状结肠继发恶性肿瘤
C78.500x006 直肠乙状结肠连接部继发恶性肿瘤
C78.500x008 肛门继发恶性肿瘤
C78.501 直肠继发恶性肿瘤
C78.502 盲肠继发恶性肿瘤
C78.503 阑尾继发恶性肿瘤
C78.504 结肠继发恶性肿瘤
C78.505 肛管继发恶性肿瘤
C78.600x004 腹膜继发恶性肿瘤
C78.601 腹膜后继发恶性肿瘤
C78.602 大网膜继发恶性肿瘤
C78.603 肠系膜继发恶性肿瘤
C78.800x005 胃肠道继发恶性肿瘤
C78.800x010 胃底继发恶性肿瘤
C78.800x013 胃食管连接部继发恶性肿瘤
C78.800x014 贲门食管连接部继发恶性肿瘤
C78.801 食管继发恶性肿瘤
C78.802 胃继发恶性肿瘤
C78.803 贲门继发恶性肿瘤
C78.804 壶腹继发恶性肿瘤
C78.809 消化器官继发性恶性肿瘤
C79.800x834 腹股沟继发恶性肿瘤
C79.809 腹腔继发恶性肿瘤
D00.100 食管原位癌
D00.200 胃原位癌
D00.200x002 贲门食管连接部原位癌
D00.200x003 胃角原位癌
D01.000 结肠原位癌
D01.100 直肠乙状结肠连接处原位癌
D01.200 直肠原位癌
D01.300x001 肛门原位癌
D01.301 肛管原位癌
D01.401 肠原位癌
D01.402 小肠原位癌
D01.403 空肠原位癌
D01.404 回肠原位癌
D01.405 十二指肠原位癌
D01.900 消化器官原位癌
D09.700x002 腹腔原位癌
