包含以下主要诊断：
D18.000x023 硬膜外血管瘤
R29.800x503 半侧注意不能
R29.800x504 半侧空间忽略
R29.800x505 左侧忽略
R29.800x507 感觉忽略
R29.800x508 视空间忽略
R29.802 短暂性肢体麻痹
R29.803 短暂性单瘫
R40.000 嗜眠
R40.200x005 意识模糊
R42.x00x001 眩晕
R42.x00x002 周期性眩晕
R42.x00x004 头晕
R43.000 嗅觉丧失
R43.100 嗅觉倒错
R43.200 味觉倒错
R43.800x001 嗅觉障碍
R43.800x003 味觉障碍
R43.800x004 味觉丧失
R56.000 发热性惊厥
R83.000 脑脊液酶水平异常
R83.100 脑脊液激素水平异常
R83.200 脑脊液其他药物、药剂和生物制剂水平异~~常
R83.300 脑脊液主要为非药用性物质的水平异常
R83.400 脑脊液异常的免疫学所见
R83.500 脑脊液异常的微生物学所见
R83.600 脑脊液异常的细胞学所见
R83.700 脑脊液异常的组织学所见
R83.800 脑脊液其他异常所见
R83.900 脑脊液异常所见
R83.900 脑脊液异常所见
R90.000x003 脑干占位性病变
R90.800x003 脑沟增宽
R90.801 脑超声波图异常
R90.803 脑缺血灶
R90.804 脑软化灶
R90.805 垂体柄增粗
R90.807 白质病变
R93.000x001 颅骨诊断性检查异常
R93.000x002 头部诊断性检查异常
R94.000 中枢神经系统功能检查的异常结果
R94.001 脑电图异常
R94.102 特殊感觉功能检查异常
R94.103 神经刺激反应异常
R94.104 肌电图异常
T70.203 高原性脑水肿
T79.100x002 创伤性脑脂肪栓塞
T79.801 创伤性脑膜炎
T80.600x007 急性透析性脑病
T80.600x008 慢性透析性脑病
T80.600x009 透析性脑病
T85.000 脑室颅内(交通)分流的机械性并发症
T85.001 脑室腹腔分流管障碍
T85.002 脑室腹腔分流管脱位
T85.003 脑室腹腔分流管阻塞
T85.100 神经系统植入的电子刺激器的机械性并发~~症
T85.100x001 脑电子神经刺激器引起的机械性并发~~症
T85.100x002 周围神经电子神经刺激器引起的机械~~性并发症
T85.100x004 脊髓电子神经刺激器引起的机械性并~~发症
T85.807 颅骨补片排斥反应
T90.500 颅内损伤后遗症
T90.501 陈旧性颅脑损伤
T90.502 陈旧性颅内损伤
Z42.000x011 开颅术后骨瓣凹陷整形
Z42.001 颅骨缺损修补
Z46.200x001 取出神经系统治疗装置
Z46.200x002 神经刺激器更换
Z46.201 听觉代替装置
Z46.202 视觉代替装置
