包含以下主要手术或操作：
29.9900 咽的其他手术
33.2703 支气管镜肺穿刺抽吸术
33.2900 肺和支气管的其他诊断性操作
33.3201 胸膜腔注气术
33.3202 胸腔镜下胸腔注气术
33.3300 气腹用于肺萎陷
33.9301 肺穿刺抽吸术
33.9302 肺穿刺引流术
33.9800 支气管的其他手术
33.9900x001 支气管肺灌洗术
33.9901 肺灌洗术
33.9903 气管镜肺灌洗术
34.0100x002 胸膜外引流术
34.0101 胸壁切开引流术
34.0102 胸壁切开异物取出术
34.0103 胸壁切开血肿清除术
34.0401 胸腔闭式引流术
34.0402 胸腔闭式引流管调整术
34.0500 创建胸膜腹膜分流术
34.0900x006 胸膜切开探查术
34.0903 胸腔切开引流术
34.6x00 胸膜划痕术
34.6x01 胸膜硬化术
34.8900x003 膈肌切开术
34.8900x004 膈上升术
34.9101 胸腔穿刺抽液术
34.9102 胸腔穿刺抽气术
34.9103 超声引导下胸腔穿刺术
34.9104 CT 引导下胸腔穿刺术
34.9201 化学胸膜固定术
34.9202 胸膜腔药物注射治疗
34.9300 胸膜修补术
34.9302 胸腔镜下胸膜修补术
38.0501 锁骨下动脉取栓术
38.0503 肺动脉取栓术
40.1100x008 肺门淋巴结活检术
40.1100x009 纵隔淋巴结活检术
40.1100x012 胸腔镜下淋巴结活检术
40.1900x002 纳米炭淋巴结示踪及负显影
40.2100 深部颈淋巴结切除术
40.2200 乳房内淋巴结切除术
40.2300 腋淋巴结切除术
40.2900x002 单纯淋巴结切除术
40.2900x025 胸腔镜下纵隔淋巴结切除术
40.2900x026 胸腔镜下淋巴管瘤切除术
40.2900x027 腹腔镜下淋巴管瘤切除术
40.2901 锁骨上淋巴结切除术
40.2902 肺门淋巴结切除术
40.2903 肺门纵膈淋巴结切除术
40.2904 纵隔淋巴结切除术
40.3x00x001 淋巴结扩大性区域性切除术
40.3x00x002 淋巴结区域性切除术
40.3x00x003 腔镜下区域性腋窝淋巴结区域切除术
40.3x00x005 功能性颈淋巴结清扫术
40.4000 根治性颈淋巴结清扫
40.4100 根治性颈淋巴结清扫，单侧
40.4200 根治性颈淋巴结清扫，双侧
40.5100 腋下淋巴结根治性切除术
40.5101 腔镜腋下淋巴结清扫术
40.5903 锁骨上淋巴结清扫术
40.5904 胸内淋巴结清扫术
40.5905 肺门淋巴结清扫术
40.5906 纵隔淋巴结清扫术
40.5913 胸腔镜胸内淋巴结清扫术
40.5914 胸腔镜纵隔淋巴结清扫术
40.9x00x003 周围淋巴管-小静脉吻合术
40.9x00x004 淋巴干-小静脉吻合术
40.9x00x008 淋 巴 水 肿 矫 正 Homans-Macey 手 术~~[Homan 手术]
40.9x00x009 淋巴水肿矫正 Charles 手术[Charles 手~~术]
40.9x00x010 淋 巴 水 肿 矫 正 Thompson 手 术~~[Thompson 手术]
40.9x00x013 淋巴管瘘结扎术
40.9x00x014 淋巴管瘘切除术
40.9x00x015 淋巴管瘘粘连术
40.9x00x016 淋巴管瘤注射术
54.1900x024 膈下脓肿切除术
54.1908 膈下血肿清除术
98.1502 非切开支气管异物取出术
98.1503 气管镜支气管异物取出术
98.1504 气管镜气管异物取出术
98.1800x001 造口腔内异物去除
