包含以下主要诊断：
A01.000 伤寒
A49.800x015 迟钝爱德华杆菌感染
A49.800x019 醋酸钙不动杆菌感染
A49.800x020 人苍白杆菌菌血症
A49.800x023 革兰阳性杆菌感染
A49.801 大肠杆菌感染
A49.802 肺炎杆菌感染
A49.803 不动杆菌感染性菌血症
A49.804 变形杆菌感染
A49.805 克雷伯杆菌感染
A49.806 肠杆菌感染性菌血症
A49.807 沙雷菌感染
A49.808 雷极普鲁菲登菌感染
A49.809 幽门螺旋杆菌感染
A49.810 阴沟肠杆菌感染
A49.811 嗜麦芽窄食单胞菌感染性菌血症
A49.812 鲍曼不动杆菌感染
A49.813 克雷伯杆菌感染性菌血症
A49.814 铜绿假单胞菌感染
A49.815 肺炎克雷伯杆菌感染
A49.816 屎肠球菌感染
A49.817 气球菌感染
A49.900 细菌性感染
A49.901 菌血症
A49.902 革兰阴性杆菌感染
A50.000 有症状的早期先天性梅毒
A50.100 潜伏性早期先天性梅毒
A50.200 早期先天性梅毒
A50.600 潜伏性晚期先天性梅毒
A50.700 晚期先天性梅毒
A50.900 先天性梅毒
A51.400x001 二期梅毒
A51.500 潜伏性早期梅毒
A51.900 早期梅毒
A52.700x001 梅毒瘤
A52.800 潜伏性晚期梅毒
A52.801 潜伏性三期梅毒
A52.900 晚期梅毒
A53.000x001 隐性梅毒
A53.000x002 梅毒血清反应阳性
A53.900 梅毒
A54.808 淋球菌性脓毒症
A54.900 淋球菌感染
A54.900x001 淋病
A54.900x002 慢性淋球菌感染
A55.x00 衣原体(性病性)淋巴肉芽肿
A56.800 衣原体感染，其他部位的性传播的
A58.x01 溃疡性腹股沟肉芽肿
A59.900 滴虫病
A63.800 主要为性传播的疾病，其他特指的
A64.x00 性传播疾病
A65.x00 非性病性梅毒
A66.000 雅司病初发损害
A66.100 多发性乳头瘤和湿性角化过度性雅司病
A66.200 雅司病的其他早期皮肤损害
A66.400 雅司病的树胶样肿和溃疡
A66.700 雅司病的其他表现
A66.800 潜伏性雅司病
A66.900 雅司病
A67.000 品他病初期损害
A67.100 品他病中期损害
A67.200 品他病晚期损害
A67.300 品他病的混合性损害
A67.900 品他病
A68.000 虱媒介的回归热
A68.100 蜱媒介的回归热
A68.900 回归热
A69.200 莱姆病
A69.800 螺旋体感染，其他特指的
A69.900 螺旋体感染
A70.x00 鹦鹉热衣原体感染
A74.900 衣原体感染
A75.000x002 轻型斑疹伤寒
A75.000x003 典型斑疹伤寒
A75.001 流行性斑疹伤寒
A75.100 再燃性斑疹伤寒[布里尔病]
A75.200x001 地方性斑疹伤寒
A75.300x001 恙虫病
A75.900 斑疹伤寒
A77.000 立氏立克次体性斑疹热
A77.000x001 落基山斑点热
A77.100 康诺尔立克次体性斑疹热
A77.100x001 南欧斑疹热[纽扣热]
A77.200 西伯利亚立克次体性斑疹热
A77.200x001 北亚蜱传斑点热
A77.300 澳洲立克次体性斑疹热
A77.300x001 昆士兰蜱传斑点热
A77.800 斑疹热,其他的
A77.900 斑疹热
A77.900x001 蜱传斑点热
A78.x00 Q 热
A79.000 战壕热
A79.100 螨立克次体性立克次体痘
A79.800x002 人粒细胞无形体病
A79.801 附红细胞体病
A79.900 立克次体病
A79.901 立克次体感染
A92.000 奇昆古尼亚病毒病
A92.001 基孔肯雅热
A92.100 奥尼昂-尼昂热
A92.200 委内瑞拉马型热
A92.300 西尼罗河病毒感染
A92.300x001 西尼罗热
A92.400 裂谷热
A92.800 蚊媒介的病毒性发热，其他特指的
A92.900 蚊媒介的病毒性发热
A93.000 奥罗普什病毒病
A93.100 白蛉热
A93.200 科罗拉多蜱热
A93.800x001 发热伴血小板减少综合征[新型布尼~~亚病毒感染]
A93.802 发热伴血小板减少综合征
A94.x01 虫媒病毒性发热
A95.000 森林黄热病
A95.100 城市黄热病
A95.900 黄热病
A96.000 朱宁出血热
A96.100 马丘波出血热
A96.100x001 玻利维亚出血热
A96.200 拉沙热
A96.800 沙粒病毒性出血热,其他的
A96.900 沙粒病毒性出血热
A97.000 登革热不伴预警
A97.100 登革热伴预警
A97.200 重症登革热
A97.900 登革热，未特指
A98.000 克里米亚-刚果出血热
A98.100 鄂木斯克出血热
A98.200 基萨那[凯萨努]森林病
A98.300 马尔堡病毒病
A98.400 埃博拉病毒病
A98.400x001 埃博拉出血热
A98.500x001+N08.0* 流行性出血热[肾综合征出~~血热]
A98.800 病毒性出血热，其他特指的
A99.x00 病毒性出血热
B00.700 播散性疱疹病毒病
B00.701 疱疹性脓毒症
B00.900x005 播散性单纯疱疹[系统性单纯疱疹]
B00.900x007 接种性单纯疱疹
B00.901 EB 病毒感染
B00.902 单纯疱疹
B01.900x001 水痘
B01.900x002 出血性水痘
B02.700 播散性带状疱疹
B02.800x001 内脏带状疱疹
B02.900x002 不全性带状疱疹
B02.900x003 顿挫性带状疱疹
B03.x00 天花
B03.x00x002 变形天花
B03.x00x003 重型天花
B03.x00x004 类天花
B04.x00 猴痘
B05.800x008 麻疹综合征
B05.800x010 重型麻疹
B05.900x001 麻疹
B05.900x002 轻型麻疹
B05.900x005 出血性麻疹
B05.901 异型麻疹
B06.900x001 风疹
B08.000x001 牛痘
B08.000x002 副牛痘
B08.400x003 EV71 感染
B08.401 手足口病
B08.800x005 羊痘
B08.800x006 传染性水疱病
B08.801 口蹄疫
B25.800x001 巨细胞病毒血症
B25.900x001 巨细胞病毒感染
B25.900x002 巨细胞包涵体病
B27.000 γ 疱疹病毒性单核细胞增多症
B27.001 EB 病毒性单核细胞增多症
B27.100 巨细胞病毒性单核细胞增多症
B27.800 传染性单核细胞增多症，其他的
B27.900x001 传染性单核细胞增多症[腺性热]
B33.100 罗斯河病
B33.300x001 逆转录病毒感染
B33.400x001+J17.1* 汉坦病毒心肺综合征
B33.800 病毒性疾病，其他特指的
B33.801 急性传染性淋巴细胞增多症
B33.802 奥耶斯基病
B34.000 腺病毒感染
B34.100 肠病毒感染
B34.101 柯萨奇病毒感染
B34.102 艾柯病毒感染
B34.200 冠状病毒感染
B34.300 细小病毒感染
B34.300x002 细小病毒 B19 感染
B34.400 乳头多瘤空泡病毒感染
B34.400x001 乳头状瘤多型空泡病毒感染
B34.400x002 人乳头瘤病毒感染
B34.800x002 副流感病毒感染
B34.800x003 呼吸道合胞病毒感染
B34.801 鼻病毒感染
B34.900 病毒性感染
B36.800 浅部真菌病，其他特指的
B36.801 播散性阿萨希毛孢子菌感染
B37.700 念珠菌性脓毒症
B37.700x001 念珠菌脓毒症
B37.808 播散性念珠菌病
B37.900 念珠菌病
B37.901 热带白色念珠菌感染
B38.700 播散性球孢子菌病
B38.800 球孢子菌病，其他形式的
B38.900 球孢子菌病
B39.300 播散性荚膜组织胞浆菌病
B39.400 荚膜组织胞浆菌病
B39.400x001 美洲组织胞浆菌病
B39.500 杜波依西变种组织胞浆菌病
B39.500x001 非洲组织胞浆菌病
B39.900 组织胞浆菌病
B40.700 播散性芽生菌病
B40.800 芽生菌病，其他形式的
B40.900 芽生菌病
B41.700 播散性副球孢子菌病
B41.800x001 内脏型副球孢子菌病
B41.800x003 淋巴管型副球孢子菌病
B41.900 副球孢子菌病
B42.100 淋巴皮肤的孢子丝菌病
B42.100x001 固定型孢子丝菌病
B42.100x002 淋巴管型孢子丝菌病
B42.100x003 黏膜型孢子丝菌病
B42.700 播散性孢子丝菌病
B42.800 孢子丝菌病，其他形式的
B42.900 孢子丝菌病
B43.800 着色真菌病，其他形式的
B43.801 暗丝孢霉病
B43.900 着色真菌病
B44.100x003 曲霉球
B44.700 播散性曲霉病
B44.900x001 曲霉菌病
B45.700 播散性隐球菌病
B45.900 隐球菌病
B46.100x001+G99.8* 鼻脑型毛霉菌病
B46.400 播散性毛霉病
B46.500 毛霉病
B46.800x001 蝇疫霉病
B46.800x002 虫霉病
B46.900x002 藻菌病
B47.100 放线菌瘤
B48.000x001 洛博芽生菌病
B48.200 阿利什利菌病
B48.201 霉样真菌病
B48.300 地霉病
B48.300x001 地丝菌病
B48.400 青霉病
B48.401 马尔尼菲青霉菌感染
B48.402 播散型青霉病
B48.700 机会性真菌病
B48.800x001 不育大孢子菌病
B49.x00x007 真菌感染
B50.800 恶性疟原虫疟疾，其他严重的和有并发症~~的
B50.801 黑水热
B50.900x001 恶性疟
B51.000 间日疟原虫疟疾伴有脾破裂
B51.000x001+D77* 间日疟伴脾破裂
B51.800 间日疟原虫疟疾伴有其他并发症
B51.900 间日疟原虫疟疾不伴有并发症
B52.800 三日疟原虫疟疾伴有其他并发症
B52.900x001 三日疟
B53.000x001 卵形疟
B53.100 猴疟原虫性疟疾
B53.800x001 寄生虫学性疟疾
B54.x00x004 输血性疟疾
B54.x00x006 婴幼儿疟疾
B54.x00x007 孕妇疟疾
B54.x00x008 疟疾复发
B55.000 内脏利什曼病
B55.000x001 黑热病
B55.000x003 黑热病后皮肤利什曼病
B55.100 皮肤利什曼病
B55.900 利什曼病
B56.000x001 布氏冈比亚锥虫病[中西非睡眠病]
B56.100x001 布氏罗得西亚锥虫病[东非睡眠病]
B56.900x001 非洲锥虫病[非洲睡眠病]
B57.100 急性查加斯病，未累及心脏
B57.500 慢性查加斯病累及其他器官
B58.900x001 弓形虫病[弓形体病]
B60.000 巴贝虫病
B60.000x001 梨浆虫病
B64.x00 原虫性疾病
B65.100x001 曼氏血吸虫病
B65.101 慢性结肠血吸虫病
B65.200x001 日本血吸虫病
B65.800x001 湄公血吸虫病
B65.800x002 间插血吸虫病
B65.800x003 异位血吸虫病
B65.900x006 急性血吸虫病
B65.900x007 慢性血吸虫病
B65.900x008 晚期血吸虫病
B66.000 后睾吸虫病
B66.000x001 猫后睾吸虫病
B66.100 支睾吸虫病
B66.101 华支睾吸虫感染
B66.200 支双腔吸虫病
B66.800x001 棘口吸虫病
B66.800x002 异形吸虫病
B66.800x003 后殖吸虫病
B66.800x004 隐孔吸虫病
B66.800x005 沃森吸虫病
B66.800x006 横川吸虫病
B67.301 多部位细粒棘球蚴感染
B67.400x001 细粒棘球蚴病
B67.401 犬绦虫感染
B67.601 多部位多房棘球蚴感染
B67.700x001 泡型棘球蚴病
B67.901 棘球蚴病
B68.000 猪肉绦虫的绦虫病
B68.100 牛肉绦虫的绦虫病
B68.900x002 脑绦虫病
B68.900x003 肠绦虫病
B68.900x004 带绦虫病
B68.901 马尾绦虫肉芽肿
B69.900x001 囊虫病[囊尾蚴病]
B70.000 裂头绦虫病
B70.100 裂头蚴病
B71.000 膜壳绦虫病
B71.100 复孔绦虫病
B71.800 绦虫感染，其他特指的
B71.900 绦虫感染
B73.x00 盘尾丝虫病
B74.000x001 班氏丝虫病
B74.000x003 班氏丝虫性乳糜尿
B74.100x003 马来丝虫性乳糜尿
B74.200x001 帝汶丝虫病
B74.200x003 帝汶丝虫性乳糜尿
B74.300 罗阿丝虫病
B74.400 曼森丝虫病
B74.400x001 欧氏丝虫病
B74.400x002 常现丝虫病
B74.400x003 链尾丝虫病
B74.800x001 恶丝虫病
B74.900x005 淋巴丝虫病
B74.901 丝虫病性乳糜尿
B74.902 丝虫性象皮病
B75.x00 旋毛虫病
B76.100 美洲钩虫病
B76.800 钩虫病，其他的
B78.700 播散性类圆线虫病
B78.901 粪类圆线虫感染
B79.x00 鞭虫病
B80.x00 蛲虫病
B81.000 异尖线虫病
B81.200 毛圆线虫病
B83.000 内脏幼虫移行症
B83.000x001 内脏蠕虫蚴移行症
B83.000x002 弓蛔虫病
B83.100 颚口线虫病
B83.200x001 广州管圆线虫病
B83.201 广州血管圆线虫病
B83.300 比翼(线虫)病
B83.400 内部水蛭病
B83.800x001 棘头虫病
B83.800x002 美丽筒线虫病
B83.800x004 后圆线虫病
B83.800x006 管圆线虫病
B83.800x007 腹部管圆线虫病
B83.800x009 猪巨吻棘头虫病
B83.900 蠕虫病
B85.400 混合型虱病和阴虱病
B88.800x001 舌形虫病
B88.800x002 蛇舌状虫病
B89.x00 寄生虫病
B99.x00x001 感染
B99.x01 感染性发热
J10.800x002 已知病毒的流感性胃肠炎
P37.000 先天性结核病
P37.100 先天性弓形虫病
P37.300 先天性恶性疟
R50.800x002 发热伴强直
R50.801 发热伴恶寒
R50.802 发热伴寒颤
R50.803 持续性发热
R50.900 发热
R50.900x002 高热
R50.901 夏季热
R68.801 毒血症
T79.300x001 创伤后伤口感染
T80.200 输注、输血和治疗性注射后的感染
T80.200x004 输注后感染
T80.201 输注后脓毒症
T81.400x001 操作后伤口感染
T81.400x002 操作后伤口积液
T81.400x004 手术后切口脂肪液化
T81.400x005 操作后感染性发热
T81.400x006 操作后脓毒症
T81.401 手术后口腔感染
T81.402 手术后耳部感染
T81.403 手术后胸腔感染
T81.404 手术后胆道感染
T81.405 手术后膝关节感染
T81.406 手术后切口感染
T82.700x001 血管导管相关性感染
T82.700x002 起搏器周围组织感染
T82.700x003 心脏导管相关性感染
T82.700x004 心脏电子装置感染
T82.700x005 心脏电子装置囊袋感染
T82.700x007 肾透析的动静脉瘘感染
T82.700x008 肾透析的静脉导管感染
T82.700x009 肾透析的血管通路感染
T82.700x010 肾透析的人造血管感染
T82.700x011 肾透析的移植血管感染
T82.701 化疗泵植入感染
T84.701 下颌骨假体植入感染
T85.700x103 腹膜透析导管隧道感染
T85.700x104 腹膜透析导管外口感染
T85.700x808 植入装置后感染
T85.700x809 鼻假体植入后感染
T85.701 脑室腹腔分流管置入感染
T85.702 人工硬脑膜植入感染
T85.703 导管相关性感染
T85.706 鼻硅胶植入感染
T85.708 胆道造影术后感染
T85.709 腹腔插管感染
T85.710 腹膜透析中腹腔感染
T85.711 腹膜透析后腹膜炎
T85.712 皮肤扩张器植入感染
T86.807 皮瓣移植感染
T88.000 免疫接种后的感染
T98.200x012 开放性损伤伴异物合并感染
T98.200x021 开放性损伤伴感染
Z03.000 可疑结核病的观察
