包含以下主要诊断：
A06.700 皮肤阿米巴病
B86.x00x003 绵羊疥疮
B86.x00x004 牛疥疮
B86.x00x005 犬疥疮
B86.x00x006 猪疥疮
B86.x00x007 动物疥疮
B87.000x001+L99.8* 皮肤蝇蛆病
B87.100 伤口蝇蛆病
B87.900 蝇蛆病
B88.000x002 螨虫病
B88.000x003 蠕形螨病
B88.000x004+L99.8* 革螨皮炎
B88.000x006+L99.8* 恙螨皮炎
B88.001+L99.8* 螨性皮炎
B88.100 潜蚤病[沙蚤侵染]
B88.300 外部水蛭病
B88.800x004 蚰蜒皮炎
B88.900x001 皮肤病虫侵染
B88.900x002 螨侵染
B88.900x003 皮肤寄生虫侵染
C43.500 躯干恶性黑色素瘤
C43.501 乳房恶性黑色素瘤
C43.502 胸壁恶性黑色素瘤
C43.503 腹壁恶性黑色素瘤
C43.504 腹股沟恶性黑色素瘤
C43.505 背部恶性黑色素瘤
C43.506 臀部恶性黑色素瘤
C43.507 肛门恶性黑色素瘤
C43.508 肛周恶性黑色素瘤
C43.600 上肢(包括肩)恶性黑色素瘤
C43.600x002 手指恶性黑色素瘤
C43.601 肩部恶性黑色素瘤
C43.602 上臂恶性黑色素瘤
C43.603 前臂恶性黑色素瘤
C43.604 肘部恶性黑色素瘤
C43.605 腕部恶性黑色素瘤
C43.606 手恶性黑色素瘤
C43.700x001 下肢恶性黑色素瘤
C43.701 髋恶性黑色素瘤
C43.702 大腿恶性黑色素瘤
C43.703 小腿恶性黑色素瘤
C43.704 膝部恶性黑色素瘤
C43.705 腘部恶性黑色素瘤
C43.706 踝部恶性黑色素瘤
C43.707 足部恶性黑色素瘤
C43.800 皮肤交搭跨越的恶性黑色素瘤
C43.900 皮肤恶性黑色素瘤
C43.900x003 恶性雀斑样痣
C43.901 恶性蓝痣
C44.500 躯干皮肤恶性肿瘤
C44.501 乳房皮肤恶性肿瘤
C44.502 胸部皮肤恶性肿瘤
C44.503 腹部皮肤恶性肿瘤
C44.504 背部皮肤恶性肿瘤
C44.505 肩胛区皮肤恶性肿瘤
C44.506 臀部皮肤恶性肿瘤
C44.507 肛门皮肤恶性肿瘤
C44.508 肛周皮肤恶性肿瘤
C44.509 腹股沟皮肤恶性肿瘤
C44.600 上肢(包括肩)皮肤恶性肿瘤
C44.601 肩部皮肤恶性肿瘤
C44.602 上臂皮肤恶性肿瘤
C44.603 前臂皮肤恶性肿瘤
C44.604 肘部皮肤恶性肿瘤
C44.605 腕部皮肤恶性肿瘤
C44.606 手皮肤恶性肿瘤
C44.700 下肢(包括髋)皮肤恶性肿瘤
C44.701 髋部皮肤恶性肿瘤
C44.702 大腿皮肤恶性肿瘤
C44.703 小腿皮肤恶性肿瘤
C44.704 膝部皮肤恶性肿瘤
C44.705 腘窝皮肤恶性肿瘤
C44.706 踝部皮肤恶性肿瘤
C44.707 足皮肤恶性肿瘤
C44.800 皮肤交搭跨越恶性肿瘤的损害
C44.900 皮肤恶性肿瘤
C44.901 汗腺恶性肿瘤
C46.000 皮肤卡波西肉瘤
C50.000x001 乳头恶性肿瘤
C50.001 乳晕恶性肿瘤
C50.100 乳房中央部恶性肿瘤
C50.200 乳房上内象限恶性肿瘤
C50.300 乳房下内象限恶性肿瘤
C50.400 乳房上外象限恶性肿瘤
C50.500 乳房下外象限恶性肿瘤
C50.600 乳房腋尾部恶性肿瘤
C50.800 乳房交搭跨越恶性肿瘤的损害
C50.800x005 异位乳腺恶性肿瘤
C50.801 乳腺恶性肿瘤，上部
C50.802 乳腺恶性肿瘤，下部
C50.803 乳腺恶性肿瘤，内侧
C50.804 乳腺恶性肿瘤，外侧
C50.900 乳房恶性肿瘤
C50.900x005 双侧乳腺恶性肿瘤
C50.901 男性乳腺恶性肿瘤
C50.902 副乳腺恶性肿瘤
C79.200 皮肤继发性恶性肿瘤
C79.200x001 腹壁皮肤继发恶性肿瘤
C79.200x005 臀部皮肤继发恶性肿瘤
C79.200x006 颌部皮肤继发恶性肿瘤
C79.200x007 乳房皮肤继发恶性肿瘤
C79.204 躯干皮肤继发恶性肿瘤
C79.205 四肢皮肤继发恶性肿瘤
C79.800x831 皮下继发恶性肿瘤
C79.806 乳腺继发恶性肿瘤
D03.500 躯干原位黑色素瘤
D03.500x002 肛门原位黑色素瘤
D03.501 乳房原位黑色素瘤
D03.502 肛门边缘原位黑色素瘤
D03.503 肛门皮肤原位黑色素瘤
D03.504 肛周原位黑色素瘤
D03.600 上肢(包括肩)原位黑色素瘤
D03.600x002 上肢端原位黑色素瘤
D03.601 肩原位黑色素瘤
D03.602 手原位黑色素瘤
D03.700x001 下肢原位黑色素瘤
D03.700x002 下肢端原位黑色素瘤
D03.701 髋原位黑色素瘤
D03.800 原位黑色素瘤，其他部位的
D03.900 原位黑色素瘤
D03.900x002 浅表扩散性原位黑色素瘤
D04.500 躯干皮肤原位癌
D04.501 乳房皮肤原位癌
D04.502 肛门边缘皮肤原位癌
D04.503 肛门皮肤原位癌
D04.504 肛周皮肤原位癌
D04.600x001 上肢皮肤原位癌
D04.601 肩皮肤原位癌
D04.700x001 下肢皮肤原位癌
D04.701 髋皮肤原位癌
D04.800 皮肤其他部位的原位癌
D04.900x001 皮肤原位癌
D05.000 乳房小叶原位癌
D05.100 乳房导管原位癌
D05.700 乳房其他部位的原位癌
D05.900 乳房的原位癌
D17.000x004 肩部脂肪瘤
D17.100x001 躯干脂肪瘤
D17.100x002 乳房脂肪瘤
D17.100x003 胸壁脂肪瘤
D17.101 会阴脂肪瘤
D17.200x001 肢体脂肪瘤
D17.200x002 上肢脂肪瘤
D17.200x003 手脂肪瘤
D17.200x004 下肢脂肪瘤
D17.200x005 足脂肪瘤
D17.300x001 大阴唇脂肪瘤
D17.300x002 外阴脂肪瘤
D17.300x004 皮肤脂肪瘤
D17.300x005 皮下脂肪瘤
D17.301 皮肤和皮下组织良性脂肪瘤样肿瘤
D17.500x010 腹股沟脂肪瘤
D17.500x011 腹壁脂肪瘤
D17.900x001 多发性脂肪瘤
D17.900x002 脂肪瘤
D18.000x010 腹壁血管瘤
D18.000x018 肢端血管瘤
D18.000x812 外阴血管瘤
D18.000x816 乳房血管瘤
D18.000x828 婴儿血管瘤(重症)
D18.000x847 臀血管瘤
D18.000x848 腰部血管瘤
D18.000x849 腋下血管瘤
D18.000x850 背血管瘤
D18.000x851 肘部血管瘤
D18.000x852 腕部血管瘤
D18.005 躯干部血管瘤
D18.007 皮肤血管瘤
D18.008 生殖器官血管瘤
D22.500 躯干黑素细胞痣
D22.500x008 骶部黑色素痣
D22.501 胸壁黑素细胞痣
D22.502 背黑素细胞痣
D22.503 乳房黑素细胞痣
D22.504 耻骨黑素细胞痣
D22.505 会阴黑素细胞痣
D22.506 肛门边缘黑素细胞痣
D22.507 肛门皮肤黑素细胞痣
D22.508 肛周黑素细胞痣
D22.509 肩胛间区黑素细胞痣
D22.510 腹股沟黑素细胞痣
D22.511 臀黑素细胞痣
D22.600 上肢(包括肩)黑素细胞痣
D22.601 肩黑素细胞痣
D22.602 手黑素细胞痣
D22.700 下肢(包括髋)黑素细胞痣
D22.701 足黑素细胞痣
D22.702 髋黑素细胞痣
D22.900 黑素细胞痣
D22.900x002 痣
D22.900x003 甲下痣
D22.900x017 大汗腺黑色素痣
D22.900x021 假性黑色素瘤
D22.901 神经皮肤黑变病
D23.400x003 头皮良性肿瘤
D23.401 颈部皮肤良性肿瘤
D23.500 躯干皮肤良性肿瘤
D23.500x003 肛门皮肤良性肿瘤
D23.500x006 胸部皮肤良性肿瘤
D23.500x010 会阴皮肤良性肿瘤
D23.501 背部皮肤良性肿瘤
D23.502 乳房皮肤良性肿瘤
D23.503 肛周皮肤良性肿瘤
D23.504 腹壁良性肿瘤
D23.505 腋皮肤良性肿瘤
D23.506 臀部皮肤良性肿瘤
D23.600x001 上肢皮肤良性肿瘤
D23.600x002 上肢端皮肤良性肿瘤
D23.601 肩皮肤良性肿瘤
D23.602 手皮肤良性肿瘤
D23.700x001 下肢皮肤良性肿瘤
D23.700x002 下肢端皮肤良性肿瘤
D23.701 髋皮肤良性肿瘤
D23.900 皮肤良性肿瘤
D24.x00 乳房良性肿瘤
D24.x01 乳头的腺瘤
D24.x02 副乳腺良性肿瘤
D28.000x001 外阴黑色素痣
D48.500x002 鼻部皮肤交界性肿瘤
D48.500x003 臀部皮肤交界性肿瘤
D48.500x004 耳部皮肤交界性肿瘤
D48.500x005 皮肤交界性肿瘤
D48.500x006 躯干皮肤交界性肿瘤
D48.500x007 眼睑交界性肿瘤
D48.500x008 头皮交界性肿瘤
D48.500x009 面部皮肤交界性肿瘤
D48.500x010 手部皮肤交界性肿瘤
D48.500x011 肢体皮肤交界性肿瘤
D48.500x012 毛囊漏斗部交界性肿瘤
D48.500x014 耵聍腺交界性肿瘤
D48.501 皮肤肿瘤
D48.502 头颈部皮肤动态未定肿瘤
D48.503 头颈部皮肤肿瘤
D48.504 躯干皮肤动态未定肿瘤
D48.505 躯干皮肤肿瘤
D48.506 乳房皮肤动态未定肿瘤
D48.507 乳房皮肤肿瘤
D48.508 肛门边缘动态未定肿瘤
D48.509 肛门边缘肿瘤
D48.510 肛门皮肤动态未定肿瘤
D48.511 肛门皮肤肿瘤
D48.512 肛周皮肤动态未定肿瘤
D48.513 肛周皮肤肿瘤
D48.514 上肢皮肤动态未定肿瘤
D48.515 上肢皮肤肿瘤
D48.516 下肢皮肤动态未定肿瘤
D48.517 下肢皮肤肿瘤
D48.600x001 乳房交界性肿瘤
D48.601 乳腺肿瘤
D86.300 皮肤结节病
D86.300x002 冻疮样狼疮型皮肤结节病
E05.906 甲亢性皮肤病
E10.600x021 1 型糖尿病性大疱症
E10.600x023 1 型糖尿病性红斑
E10.600x024 1 型糖尿病性潮红
E10.600x025 1 型糖尿病性皮肤硬化
E10.600x026 1 型糖尿病性皮肤增厚
E10.600x027+L99.8* 1 型糖尿病性糖尿病脂性渐~~进性坏死
E10.600x028 1 型糖尿病性甲周毛细血管扩张
E10.600x970 1 型糖尿病性乳腺纤维化病变
E10.603+L99.8* 1 型糖尿病性皮肤病
E11.600x021 2 型糖尿病性大疱症
E11.600x023 2 型糖尿病性红斑
E11.600x024 2 型糖尿病性潮红
E11.600x025 2 型糖尿病性皮肤硬化
E11.600x026 2 型糖尿病性皮肤增厚
E11.600x027+L99.8* 2 型糖尿病性糖尿病脂性渐~~进性坏死
E11.600x028 2 型糖尿病性甲周毛细血管扩张
E11.600x970 2 型糖尿病性乳腺纤维化病变
E11.603+L99.8* 2 型糖尿病性皮肤病
E14.600x021 糖尿病性大疱症
E14.600x022 糖尿病性皮肤病
E14.600x023 糖尿病性红斑
E14.600x024 糖尿病性潮红
E14.600x025 糖尿病性皮肤硬化
E14.600x026 糖尿病性皮肤增厚
E14.600x027+L99.8* 糖尿病性糖尿病脂性渐进性~~坏死
E14.600x028 糖尿病性甲周毛细血管扩张
E14.600x970 糖尿病性乳腺纤维化病变
E50.800x002+L86* 维生素 A 缺乏伴毛囊角化病
E50.801+L86* 维生素 A 缺乏合并皮肤干燥病
E51.100x005+I98.8* 湿性脚气病
E83.201 肠病性肢端皮炎
I80.802 乳腺血栓性静脉炎
I89.000x004 淋巴水肿
I89.000x013 继发性淋巴水肿
I89.000x015 颈部淋巴水肿
I89.000x017 腹壁淋巴水肿
I89.000x026 象皮腿
I89.002 淋巴管闭塞
I89.009 非丝虫性象皮肿
I89.100x002 慢性淋巴管炎
I89.800x012 乳糜回流障碍
I89.800x013 乳糜反流
I89.800x014 乳糜瘘
I89.800x015 颈部乳糜瘘
I89.800x020 颈部乳糜囊肿
I89.800x022 腋窝乳糜囊肿
I89.800x024 躯干乳糜囊肿
I89.800x025 盆腔乳糜囊肿
I89.800x026 会阴区乳糜囊肿
I89.800x027 髂部乳糜囊肿
I89.800x028 腹壁乳糜囊肿
I89.800x029 腰背部乳糜囊肿
I89.800x030 臀部乳糜囊肿
I89.900 淋巴管和淋巴结非感染性疾患
I97.200 乳房切除术后淋巴水肿综合征
L00.x00 葡萄球菌性烫伤样皮肤综合征
L01.000x011 急性泛发性发疹型脓疱病
L01.000x012 急性发热性发疹样脓疱病
L01.000x013 脓疱疮
L01.001 伯克哈特脓疱病
L01.002 大疱性脓疱病
L01.003 单纯性脓疱病
L01.004 溃疡性脓疱病
L01.005 滤泡性脓疱病
L01.008 寻常性脓疱病
L01.100 皮肤病的脓疱化，其他的
L02.100 颈部皮肤脓肿、疖和痈
L02.200 躯干皮肤脓肿、疖和痈
L02.200x004 会阴部炎性疖
L02.200x009 背部痈
L02.200x010 胸壁脓肿
L02.201 背部脓肿
L02.202 腹壁脓肿
L02.203 腹股沟脓肿
L02.205 髂窝脓肿
L02.206 会阴脓肿
L02.300 臀部皮肤脓肿、疖和痈
L02.401 腘窝脓肿
L02.402 下肢皮肤脓肿、疖和痈
L02.403 上肢皮肤脓肿、疖和痈
L02.800 皮肤脓肿、疖和痈，其他部位的
L02.801 头皮脓肿
L02.802 帽状腱膜下脓肿
L02.803 头部疖
L02.804 头部痈
L02.900x001 多发性疖肿
L02.900x002 多发性脓肿
L02.900x006 新生儿疖肿
L02.901 皮肤疖
L02.902 皮肤脓肿
L02.903 皮肤痈
L03.000 指和趾的蜂窝织炎
L03.000x015 指甲沟脓肿
L03.001 趾蜂窝织炎
L03.002 甲周炎
L03.003 甲沟炎
L03.004 甲床炎
L03.101 急性上肢淋巴管炎
L03.103 上肢蜂窝织炎
L03.104 肩蜂窝织炎
L03.105 臂蜂窝织炎
L03.106 手蜂窝织炎
L03.107 下肢蜂窝织炎
L03.108 腿蜂窝织炎
L03.109 足蜂窝织炎
L03.200 面部蜂窝织炎
L03.300 躯干蜂窝织炎
L03.301 胸壁蜂窝织炎
L03.302 背部蜂窝织炎
L03.303 腹壁蜂窝织炎
L03.304 腹股沟蜂窝织炎
L03.305 脐部蜂窝织炎
L03.306 会阴蜂窝织炎
L03.800 蜂窝织炎，其他部位的
L03.801 头部蜂窝织炎
L03.802 头皮蜂窝织炎
L03.900 蜂窝织炎
L04.800 急性淋巴结炎，其他部位的
L05.000 藏毛囊肿伴有脓肿
L05.000x001 先天性胸壁皮肤窦道伴脓肿
L05.900 藏毛囊肿不伴有脓肿
L05.901 先天性背部皮肤窦道
L08.000x001 脓疱性细菌疹
L08.000x005 手浅表性大疱性脓皮病
L08.000x006 下疳样脓皮病
L08.000x007 慢性乳头状溃疡性脓皮病
L08.000x008 头皮糜烂脓疱性皮病
L08.000x009 芽生菌病样脓皮病
L08.000x010 足浅表性大疱性脓皮病
L08.001 化脓性皮炎
L08.002 脓疱性皮疹
L08.003 坏疽性皮炎
L08.100 红癣
L08.800x005 骶部炎性窦道
L08.800x006 臀部感染性窦道
L08.800x008 足跟感染性窦道
L08.800x011 恶性脓皮病
L08.801 皮肤感染性窦道
L08.802 增殖性脓皮病
L08.803 瘢痕感染
L08.804 背部感染性窦道
L08.805 腹壁感染性窦道
L08.900 皮肤和皮下组织的局部感染
L08.900x028 皮肤软化斑
L08.901 头面颈部皮肤感染
L08.902 躯干皮肤感染
L08.903 上肢皮肤感染
L08.904 下肢皮肤感染
L08.905 脐炎
L08.906 颈部软组织感染
L08.907 腹壁软组织感染
L08.908 会阴部软组织感染
L08.909 会阴炎性包块
L08.910 足皮肤感染
L08.911 足软组织感染
L10.000 寻常型天疱疮
L10.100 增生型天疱疮
L10.200 落叶型天疱疮
L10.300 巴西天疱疮
L10.400 红斑性天疱疮
L10.500 药物性天疱疮
L10.800 天疱疮，其他特指的
L10.801 疱疹样天疱疮
L10.900 天疱疮
L11.000 后天性毛囊角化病
L11.100 短暂性棘皮松解皮肤病[格罗弗]
L11.800 皮肤棘层松解性疾患，其他特指的
L11.900 皮肤棘层松解性疾患
L12.000 大疱性类天疱疮
L12.001 老年性疱疹样皮炎
L12.100 瘢痕性类天疱疮
L12.101 良性黏膜类天疱疮
L12.102+H13.3* 结膜天疱疹
L12.103+H13.3* 眼天疱疹
L12.200 儿童期慢性大疱性疾病
L12.201 青少年疱疹样皮炎
L12.202 线状 IgA 大疱性皮炎
L12.300 后天性大疱性表皮松解
L12.800 类天疱疮，其他的
L12.900 类天疱疮
L13.000 疱疹样皮炎
L13.100 角质层下小脓疱性皮炎
L13.101 斯内登-威尔金森病
L13.800 大疱性疾患，其他特指的
L13.900 大疱性疾患
L13.901 大疱性皮炎
L20.000 贝尼耶痒疹
L20.801 泛发性神经性皮炎
L20.802 变应性湿疹
L20.803 特应性神经性皮炎
L20.804 婴儿湿疹
L20.805 弥漫性神经性皮炎
L20.806 新生儿皮肤湿疹
L20.900 特应性皮炎
L21.000 头皮皮脂溢
L21.001 乳痂
L21.002 头皮糠疹
L21.100 婴儿脂溢性皮炎
L21.800 脂溢性皮炎，其他的
L21.900 脂溢性皮炎
L21.901 脂溢性湿疹
L22.x00 尿布皮炎
L22.x01 银屑病样尿布疹
L23.000 金属引起的变应性接触性皮炎
L23.001 铬变应性接触性皮炎
L23.002 镍变应性接触性皮炎
L23.100 粘贴剂引起的变应性接触性皮炎
L23.101 橡皮膏变应性接触性皮炎
L23.200 化妆品引起的变应性接触性皮炎
L23.300 药物接触皮肤引起的变应性接触性皮炎
L23.400 染料引起的变应性接触性皮炎
L23.500 化学产品引起的变应性接触性皮炎，其他~~的
L23.501 水泥变应性接触性皮炎
L23.502 塑料变应性接触性皮炎
L23.503 橡胶变应性接触性皮炎
L23.504 杀虫剂变应性接触性皮炎
L23.600 食物接触皮肤引起的变应性接触性皮炎
L23.700 植物引起的变应性接触性皮炎，除外食物
L23.801 毛皮变应性接触性皮炎
L23.900 变应性接触性皮炎
L23.901 过敏性皮炎
L24.000 去污剂引起的刺激性接触性皮炎
L24.100 油脂类引起的刺激性接触性皮炎
L24.200 溶剂类引起的刺激性接触性皮炎
L24.201 丙酮刺激性接触性皮炎
L24.202 醇类刺激性接触性皮炎
L24.203 二硫化碳刺激性接触性皮炎
L24.204 甲苯刺激性接触性皮炎
L24.205 溶剂类刺激性接触性皮炎
L24.206 松脂刺激性接触性皮炎
L24.300 化妆品引起的刺激性接触性皮炎
L24.400 药物接触皮肤引起的刺激性接触性皮炎
L24.500 化学产品引起的刺激性接触性皮炎，其他~~的
L24.501 碱刺激性接触性皮炎
L24.502 尼龙刺激性接触性皮炎
L24.503 砌砖工刺激性痒病
L24.504 酸类刺激性接触性皮炎
L24.600 食物接触皮肤引起的刺激性接触性皮炎
L24.601 揉面刺激性痒病
L24.700 植物引起的刺激性接触性皮炎，除外食物
L24.800 刺激性接触性皮炎，其他物质引起的
L24.801 松毛虫皮炎
L24.900 刺激性接触性皮炎
L24.901 刺激性皮炎
L25.000 化妆品引起的接触性皮炎
L25.100 药物接触皮肤引起的接触性皮炎
L25.200 染料引起的接触性皮炎
L25.201 染发性皮炎
L25.300 化学产品引起的接触性皮炎，其他的
L25.400 食物接触皮肤引起的接触性皮炎
L25.500 植物引起的接触性皮炎，除外食物
L25.800 接触性皮炎，其他物质引起的
L25.900 接触性皮炎
L26.x00 剥脱性皮炎
L26.x01 黑布拉糠疹
L27.000x004 剥脱性皮炎型药疹
L27.000x006 大疱表皮松解症型药疹
L27.002 红皮病型药疹
L27.003 荨麻疹型药疹
L27.004 药物性红斑
L27.005 药物性皮炎
L27.100 药物和药剂引起的局限性皮疹
L27.101 固定性药疹
L27.200 摄入食物引起的皮炎
L27.201 牛奶过敏性皮炎
L27.800 内服物质引起的皮炎，其他的
L27.801 砷过敏性皮炎
L27.900 内服物质引起的皮炎
L28.000 慢性单纯性苔藓
L28.000x006 小棘苔癣
L28.000x007 金黄色苔癣
L28.001 局限性神经性皮炎
L28.002 苔藓样皮炎
L28.003 苔藓
L28.100 结节性痒疹
L28.200 痒疹，其他的
L28.201 黑布拉痒疹
L28.202 轻症痒疹
L28.203 丘疹性荨麻疹
L29.000 肛门瘙痒(症)
L29.800 瘙痒(症)，其他的
L29.801 冬令瘙痒症
L29.802 老年瘙痒症
L29.900 瘙痒(症)
L30.000 钱币状皮炎
L30.100 汗疱疹
L30.201 念珠菌疹
L30.202 皮肤癣菌疹
L30.203 湿疹样疹
L30.204 自体过敏性皮炎
L30.300 感染性皮炎
L30.301 传染性湿疹样皮炎
L30.302 小脓疱性湿疹
L30.400 擦烂红斑
L30.400x004 色素性玫瑰疹
L30.500 白色糠疹
L30.500x003 渗出性慢性单纯性糠疹
L30.800 皮炎，其他特指的
L30.801 寒冷性皮炎
L30.802 激素依赖性皮炎
L30.803 季节性大疱性皮炎
L30.804 嗜酸性粒细胞增多性皮病
L30.805 胼胝性湿疹
L30.900 皮炎
L30.901 泛发性湿疹
L30.902 湿疹
L30.903 外阴湿疹
L30.904 阴囊湿疹
L30.905 湿疹样皮炎
L40.000 寻常性银屑病
L40.001 斑块状银屑病
L40.002 蛎壳状银屑病
L40.003 钱币形银屑病
L40.100 全身脓疱性银屑病
L40.101 冯-聪布施病
L40.102 脓疱性银屑病
L40.103 疱疹样脓疱病
L40.200 持续性肢端皮炎
L40.300 掌跖脓疱病
L40.301 掌跖脓疱性银屑病
L40.400 滴状银屑病
L40.500 关节病型银屑病
L40.800 银屑病，其他的
L40.801 反常性银屑病
L40.802 红皮病性银屑病
L40.900 银屑病
L41.000 急性苔藓痘疮样糠疹
L41.000x002 急性发热坏死溃疡性痘疮样糠疹
L41.001 穆哈-黑贝曼病
L41.100 慢性苔藓样糠疹
L41.300 小斑块副银屑病
L41.400 大斑块副银屑病
L41.500 网状副银屑病
L41.801 斑状副银屑病
L41.900 副银屑病
L42.x00 玫瑰糠疹
L43.000 肥厚性扁平苔藓
L43.100 大疱性扁平苔藓
L43.200 苔藓样药物反应
L43.301 热带扁平苔藓
L43.800 扁平苔藓，其他的
L43.901 口腔扁平苔藓
L43.902 舌扁平苔藓
L44.000 毛发红糠疹
L44.100 光泽苔藓
L44.200 条纹状苔藓
L44.300 念珠状红苔藓
L44.400 婴儿丘疹性肢皮炎[詹诺托-克罗斯蒂]
L44.800 丘疹鳞屑性疾患，其他特指的
L44.900 丘疹鳞屑性疾患
L50.000 变应性荨麻疹
L50.100 特发性荨麻疹
L50.200 冷和热引起的荨麻疹
L50.201 寒冷性荨麻疹
L50.202 热性荨麻疹
L50.300 皮肤划痕性荨麻疹
L50.400 振动荨麻疹
L50.500 胆碱能性荨麻疹
L50.600 接触性荨麻疹
L50.801 急性荨麻疹
L50.802 慢性荨麻疹
L50.803 胃肠型荨麻疹
L50.900 荨麻疹
L51.000 非大疱型多形性红斑
L51.100 大疱型多形性红斑
