包含以下主要诊断：
A18.200x002 颌下淋巴结结核
C05.200 悬雍垂恶性肿瘤
C05.800 腭交搭跨越恶性肿瘤的损害
C05.900 腭恶性肿瘤
C05.900x002 口顶恶性肿瘤
C06.000 颊黏膜恶性肿瘤
C06.001 颊内部恶性肿瘤
C06.100 口前庭恶性肿瘤
C06.100x002 上颊沟恶性肿瘤
C06.100x003 下颊沟恶性肿瘤
C06.100x004 上唇沟恶性肿瘤
C06.100x005 下唇沟恶性肿瘤
C06.101 颊龈沟恶性肿瘤
C06.102 唇龈沟恶性肿瘤
C06.200 磨牙后区恶性肿瘤
C06.800 口的其他和未特指部位交搭跨越恶性肿~~瘤的损害
C06.900 口恶性肿瘤
C06.901 小涎腺恶性肿瘤
C06.902 口腔黏膜恶性肿瘤
C07.x00 腮腺恶性肿瘤
C07.x00x003 副腮腺恶性肿瘤
C08.000 下颌下腺恶性肿瘤
C08.100 舌下腺恶性肿瘤
C08.800 大涎腺交搭跨越恶性肿瘤的损害
C08.800x001 舌下腺及下颌下腺恶性肿瘤
C08.900 大涎腺恶性肿瘤
C08.900x001 唾液腺恶性肿瘤
C09.000 扁桃体窝恶性肿瘤
C09.100x001 舌腭弓恶性肿瘤
C09.100x002 前扁桃体柱恶性肿瘤
C09.100x003 后扁桃体柱恶性肿瘤
C09.800 扁桃体交搭跨越恶性肿瘤的损害
C09.900 扁桃体恶性肿瘤
C09.901 咽门扁桃体恶性肿瘤
C09.902 腭扁桃体恶性肿瘤
C10.000 会厌谷恶性肿瘤
C10.100 会厌前面恶性肿瘤
C10.101 会厌边缘恶性肿瘤
C10.102 舌会厌褶恶性肿瘤
C10.200 口咽侧壁恶性肿瘤
C10.300 口咽后壁恶性肿瘤
C10.400 鳃裂恶性肿瘤
C10.800 口咽交搭跨越恶性肿瘤的损害
C10.800x002 口咽连接部恶性肿瘤
C10.900 口咽恶性肿瘤
C11.000 鼻咽上壁恶性肿瘤
C11.001 鼻咽顶恶性肿瘤
C11.100 鼻咽后壁恶性肿瘤
C11.101 腺样体恶性肿瘤
C11.102 咽扁桃体恶性肿瘤
C11.200 鼻咽侧壁恶性肿瘤
C11.200x002 罗森米窝恶性肿瘤
C11.201 咽鼓管开口恶性肿瘤
C11.202 咽隐窝恶性肿瘤
C11.300 鼻咽前壁恶性肿瘤
C11.300x001 鼻中隔后缘恶性肿瘤
C11.300x004 软腭的鼻咽后面恶性肿瘤
C11.300x005 软腭的鼻咽上面恶性肿瘤
C11.300x006 鼻后缘恶性肿瘤
C11.301 鼻咽底恶性肿瘤
C11.302 鼻后孔恶性肿瘤
C11.800 鼻咽交搭跨越恶性肿瘤的损害
C11.801 鼻咽多壁恶性肿瘤
C11.900 鼻咽恶性肿瘤
C11.901 鼻咽壁恶性肿瘤
C12.x00x002 梨状窝恶性肿瘤
C13.000 环状软骨后部恶性肿瘤
C13.100x001 杓状会厌褶恶性肿瘤
C13.100x002 杓状会厌褶边缘区恶性肿瘤
C13.101 咽下面恶性肿瘤
C13.200 下咽后壁恶性肿瘤
C13.800 下咽交搭跨越恶性肿瘤的损害
C13.900 下咽恶性肿瘤
C13.901 下咽壁恶性肿瘤
C14.000 咽恶性肿瘤
C14.001 咽喉恶性肿瘤
C14.002 咽侧壁恶性肿瘤
C14.003 咽后壁恶性肿瘤
C14.200 瓦尔代尔扁桃体环恶性肿瘤
C14.800 唇、口腔和咽交搭跨越恶性肿瘤的损害
C14.800x001 颊部及牙龈恶性肿瘤
C14.800x002 舌根及咽部恶性肿瘤
C14.800x003 舌根和咽部及喉部恶性肿瘤
C14.800x004 舌部及口底恶性肿瘤
C14.800x005 口腔及咽部恶性肿瘤
C14.800x006 腭部及咽部恶性肿瘤
C14.800x007 舌下腺及舌根恶性肿瘤
C30.000 鼻腔恶性肿瘤
C30.001 鼻软骨恶性肿瘤
C30.002 鼻甲恶性肿瘤
C30.003 内鼻恶性肿瘤
C30.004 鼻中隔恶性肿瘤
C30.005 鼻前庭恶性肿瘤
C30.100 中耳恶性肿瘤
C30.101 咽鼓管恶性肿瘤
C30.102 乳突恶性肿瘤
C30.103 内耳恶性肿瘤
C31.000 上颌窦恶性肿瘤
C31.100 筛窦恶性肿瘤
C31.200 额窦恶性肿瘤
C31.300 蝶窦恶性肿瘤
C31.800 鼻旁窦交搭跨越恶性肿瘤的损害
C31.801 筛窦蝶窦恶性肿瘤
C31.900x001 鼻窦恶性肿瘤
C32.000 声门恶性肿瘤
C32.001 声带恶性肿瘤
C32.100 声门上恶性肿瘤
C32.100x004 会厌后面(喉面)恶性肿瘤
C32.101 会厌恶性肿瘤
C32.102 喉外部恶性肿瘤
C32.103 假声带恶性肿瘤
C32.104 喉室带恶性肿瘤
C32.200 声门下恶性肿瘤
C32.300 喉软骨恶性肿瘤
C32.800 喉交搭跨越恶性肿瘤的损害
C32.900 喉恶性肿瘤
C39.000 上呼吸道的恶性肿瘤
C39.801 鼻腔,鼻窦恶性肿瘤
C41.000x018 颅骨恶性肿瘤
C41.000x019 斜坡恶性肿瘤
C41.000x020 舌骨恶性肿瘤
C41.000x021 犁骨恶性肿瘤
C41.000x023 颚骨恶性肿瘤
C41.000x025 鼻甲骨恶性肿瘤
C41.000x027 颌面骨恶性肿瘤
C41.001 面骨恶性肿瘤
C41.002 额骨恶性肿瘤
C41.003 顶骨恶性肿瘤
C41.004 枕骨恶性肿瘤
C41.005 蝶骨恶性肿瘤
C41.006 筛骨恶性肿瘤
C41.007 颞骨恶性肿瘤
C41.008 眶骨恶性肿瘤
C41.009 鼻骨恶性肿瘤
C41.010 颧骨恶性肿瘤
C41.011 上颌骨恶性肿瘤
C41.012 眉弓恶性肿瘤
C41.100 下颌骨恶性肿瘤
C43.000 唇恶性黑色素瘤
C43.200x001 耳廓恶性黑色素瘤
C43.200x003 耳恶性黑色素瘤
C43.201 外耳道恶性黑色素瘤
C43.300 面部恶性黑色素瘤
C43.302 鼻恶性黑色素瘤
C43.400x002 头皮恶性黑色素瘤
C43.401 颈部恶性黑色素瘤
C44.000 唇皮肤恶性肿瘤
C44.200x001 耳部皮肤恶性肿瘤
C44.201 外耳道皮肤恶性肿瘤
C44.300 面部皮肤恶性肿瘤
C44.300x005 颞部皮肤恶性肿瘤
C44.300x006 鼻翼皮肤恶性肿瘤
C44.302 额部皮肤恶性肿瘤
C44.304 鼻部皮肤恶性肿瘤
C44.305 颌下皮肤恶性肿瘤
C44.306 鼻唇沟恶性肿瘤
C44.307 颏部恶性肿瘤
C44.400x004 头皮恶性肿瘤
C44.401 颈部皮肤恶性肿瘤
C46.200 腭卡波西肉瘤
C47.000x004 耳部周围神经和自主神经恶性肿瘤
C47.000x005 颞下窝周围神经和自主神经恶性肿~~瘤
C47.000x006 翼腭窝周围神经和自主神经恶性肿~~瘤
C47.000x007 咽旁间隙周围神经和自主神经恶性~~肿瘤
C47.000x008 咽后间隙周围神经和自主神经恶性~~肿瘤
C47.000x009 眼睑周围神经和自主神经恶性肿瘤
C47.000x010 鼻部周围神经和自主神经恶性肿瘤
C47.000x011 颈丛恶性肿瘤
C49.000x004 颞部结缔组织恶性肿瘤
C49.000x005 头部结缔组织恶性肿瘤
C49.001 面部结缔组织和软组织恶性肿瘤
C49.002 颈部结缔组织和软组织恶性肿瘤
C49.004 耳部结缔组织恶性肿瘤
C49.005 翼腭窝结缔组织恶性肿瘤
C76.000x002 头部恶性肿瘤
C76.000x007 颌下恶性肿瘤
C76.000x008 腭部恶性肿瘤
C76.000x009 翼腭窝恶性肿瘤
C76.000x010 颞下窝恶性肿瘤
C76.001 面部恶性肿瘤
C76.002 颈部恶性肿瘤
C76.003 颊恶性肿瘤
C76.004 鼻恶性肿瘤
C76.005 颔下恶性肿瘤
C76.006 颏下恶性肿瘤
C77.000x005 头部淋巴结继发恶性肿瘤
C77.001 面部淋巴结继发恶性肿瘤
C77.002 颈部淋巴结继发恶性肿瘤
C77.003 颏下淋巴结继发恶性肿瘤
C77.004 颌下淋巴结继发恶性肿瘤
C77.005 腮腺淋巴结继发恶性肿瘤
C77.006 耳淋巴结继发恶性肿瘤
C77.007 锁骨上淋巴结继发恶性肿瘤
C77.008 气管食管沟淋巴结继发恶性肿瘤
C78.300x004 咽鼓管继发恶性肿瘤
C78.300x005 上颌窦继发恶性肿瘤
C78.300x006 声带继发恶性肿瘤
C78.300x008 乳突继发恶性肿瘤
C78.300x010 会厌继发恶性肿瘤
C78.301 鼻窦继发恶性肿瘤
C78.302 鼻腔继发恶性肿瘤
C78.303 中耳继发恶性肿瘤
C78.305 喉继发恶性肿瘤
C79.200x008 颏部皮肤继发恶性肿瘤
C79.201 头部皮肤继发恶性肿瘤
C79.202 面部皮肤继发恶性肿瘤
C79.203 颈部皮肤继发恶性肿瘤
C79.500x004 上颌骨继发恶性肿瘤
C79.500x007 斜坡继发恶性肿瘤
C79.500x016 眶骨继发恶性肿瘤
C79.500x028 舌骨继发恶性肿瘤
C79.502 颅骨继发恶性肿瘤
C79.503 面骨继发恶性肿瘤
C79.504 颌骨继发恶性肿瘤
C79.505 下颌骨继发恶性肿瘤
C79.800x806 头部继发恶性肿瘤
C79.800x812 颌部继发恶性肿瘤
C79.800x824 悬雍垂继发恶性肿瘤
C79.800x825 腭部继发恶性肿瘤
C79.800x826 臼齿后区继发恶性肿瘤
C79.800x828 鼻咽继发恶性肿瘤
C79.800x833 面部继发恶性肿瘤
C79.800x840 唇部继发恶性肿瘤
C79.800x843 齿龈继发恶性肿瘤
C79.800x844 颊黏膜继发恶性肿瘤
C79.800x845 颊龈沟继发恶性肿瘤
C79.801 口腔继发恶性肿瘤
C79.802 舌继发恶性肿瘤
C79.803 咽继发恶性肿瘤
C79.804 扁桃体继发恶性肿瘤
C79.830 颌下腺继发恶性肿瘤
C79.831 腮腺继发恶性肿瘤
C79.832 拉特克囊继发恶性肿瘤
C79.834 颈部继发性恶性肿瘤
C79.835 舌下腺继发恶性肿瘤
D00.000x005 唇红缘原位癌
D00.000x007 鼻咽原位癌
D00.000x008 腮腺原位癌
D00.001 扁桃体原位癌
D00.002 唇原位癌
D00.003 口腔原位癌
D00.004 舌原位癌
D00.005 杓状会厌褶原位癌
D00.006 口底原位癌
D00.007 咽原位癌
D00.008 下咽原位癌
D00.009 舌下腺原位癌
D00.010 颌下腺原位癌
D00.011 颊黏膜原位癌
D00.012 臼齿后区原位癌
D00.013 硬腭原位癌
D02.000 喉原位癌
D02.000x003 喉面杓状会厌褶原位癌
D02.000x004 会厌舌骨上原位癌
D02.001 会厌原位癌
D02.002 声带原位癌
D02.301 鼻腔原位癌
D02.302 鼻旁窦原位癌
D02.303 中耳原位癌
D03.000 唇原位黑色素瘤
D03.200x002 耳原位黑色素瘤
D03.201 外耳道原位黑色素瘤
D03.301 面部原位黑色素瘤
D03.400x002 头皮原位黑色素瘤
D03.401 颈部原位黑色素瘤
D04.000 唇皮肤原位癌
D04.200x001 耳皮肤原位癌
D04.201 外耳道皮肤原位癌
D04.300x001 鼻沟皮肤原位癌
D04.300x002 面皮肤原位癌
D04.400x001 头皮原位癌
D04.401 颈部皮肤原位癌
D09.701 颊原位癌
D10.000 唇良性肿瘤
D10.000x002 唇系带良性肿瘤
D10.000x003 唇内面良性肿瘤
D10.000x004 唇黏膜良性肿瘤
D10.000x005 唇红缘良性肿瘤
D10.100 舌良性肿瘤
D10.101 舌扁桃体良性肿瘤
D10.200 口底良性肿瘤
D10.200x002 舌下良性肿瘤
D10.300x005 悬雍垂良性肿瘤
D10.300x007 颌下良性肿瘤
D10.301 口腔黏膜黑色素痣
D10.302 颊黏膜良性肿瘤
D10.303 腭良性肿瘤
D10.305 牙槽良性肿瘤
D10.306 齿龈良性肿瘤
D10.307 磨牙后区良性肿瘤
D10.308 小涎腺良性肿瘤
D10.309 口良性肿瘤
D10.400 扁桃体良性肿瘤
D10.401 咽门扁桃体良性肿瘤
D10.402 腭扁桃体良性肿瘤
D10.500x001 口咽良性肿瘤
D10.500x002 会厌前面良性肿瘤
D10.501 扁桃体窝良性肿瘤
D10.502 扁桃体柱良性肿瘤
D10.503 会咽谷良性肿瘤
D10.504 鳃裂良性肿瘤
D10.600 鼻咽良性肿瘤
D10.601 鼻中隔后缘良性肿瘤
D10.602 鼻后孔良性肿瘤
D10.603 咽扁桃体良性肿瘤
D10.700 咽下部良性肿瘤
D10.701 咽下梨状窝良性肿瘤
D10.900 咽良性肿瘤
D11.000 腮腺良性肿瘤
D11.701 下颌下腺良性肿瘤
D11.702 舌下腺良性肿瘤
D11.900 大涎腺良性肿瘤
D11.900x001 唾液腺良性肿瘤
D14.000x005 额窦良性肿瘤
D14.000x006 筛窦良性肿瘤
D14.000x007 上颌窦良性肿瘤
D14.000x009 蝶窦良性肿瘤
D14.000x010 鼻腔良性肿瘤
D14.001 鼻旁窦良性肿瘤
D14.002 中耳良性肿瘤
D14.003 鼻前庭良性肿瘤
D14.004 鼻中隔良性肿瘤
D14.005 鼻软骨良性肿瘤
D14.006 鼻孔良性肿瘤
D14.007 鼻黏膜良性肿瘤
D14.008 内耳良性肿瘤
D14.100 喉良性肿瘤
D14.100x002 会厌舌骨上良性肿瘤
D14.101 会厌良性肿瘤
D14.102 声带良性肿瘤
D14.103 声门良性肿瘤
D16.400x013 眼窝骨良性肿瘤
D16.400x018 颅骨良性肿瘤
D16.400x019 乳突骨良性肿瘤
D16.400x025 犁骨良性肿瘤
D16.401 面骨良性肿瘤
D16.402 蝶骨良性肿瘤
D16.403 筛骨良性肿瘤
D16.404 颞骨良性肿瘤
D16.405 顶骨良性肿瘤
D16.406 额骨良性肿瘤
D16.407 枕骨良性肿瘤
D16.409 鼻骨良性肿瘤
D16.410 颧骨良性肿瘤
D16.411 上颌骨良性肿瘤
D16.500 下颌骨良性肿瘤
D16.500x002 髁突良性肿瘤
D17.000x003 头部脂肪瘤
D17.001 面部脂肪瘤
D17.002 颈部脂肪瘤
D17.700x003 喉脂肪瘤
D17.700x006 梨状窝脂肪瘤
D17.700x007 颅骨脂肪瘤
D17.700x020 腮腺脂肪瘤
D17.700x021 舌脂肪瘤
D17.700x032 下颌下腺脂肪瘤
D18.000x021 颅骨血管瘤
D18.000x501 鼻窦血管瘤
D18.000x503 鼻部血管瘤
D18.000x504 鼻咽血管瘤
D18.000x505 唇部血管瘤
D18.000x506 外耳道血管瘤
D18.000x507 喉部血管瘤
D18.000x508 口腔血管瘤
D18.000x510 咽部血管瘤
D18.000x511 梨状窝血管瘤
D18.000x807 腮腺血管瘤
D18.000x808 唾液腺血管瘤
D18.000x809 舌部血管瘤
D18.000x823 上颌骨血管瘤
D18.000x844 腭部血管瘤
D18.000x845 上颌窦血管瘤
D18.000x858 嚼肌血管瘤
D18.001 头部血管瘤
D18.003 面部血管瘤
D18.004 颈部血管瘤
D18.100x004 口腔内淋巴管瘤
D18.100x007 颅内淋巴管瘤
D18.100x010 腮腺淋巴管瘤
D18.100x011 舌淋巴管瘤
D18.100x013 头部淋巴管瘤
D18.100x021 下颌下腺淋巴管瘤
D18.100x027 唇部淋巴管瘤
D18.101 面部淋巴管瘤
D18.102 颈部淋巴管瘤
D21.000x002 耳软骨良性肿瘤
D21.000x007 锁骨上结缔组织良性肿瘤
D21.000x008 头部结缔组织良性肿瘤
D21.001 面部结缔组织良性肿瘤
D21.002 颈结缔组织良性肿瘤
D21.004 耳部结缔组织良性肿瘤
D21.005 颞下凹结缔组织良性肿瘤
D21.006 翼腭窝结缔组织良性肿瘤
D21.007 咽旁间隙结缔组织良性肿瘤
D22.000 唇黑素细胞痣
D22.200x002 耳部黑色素痣
D22.201 外耳道黑素细胞痣
D22.301 面部黑素细胞痣
D22.302 鼻黑素细胞痣
D22.400x002 头皮黑色素痣
D22.401 颈黑素细胞痣
D23.000 唇皮肤良性肿瘤
D23.200x002 耳廓良性肿瘤
D23.200x003 耳皮肤良性肿瘤
D23.200x008 耳后皮肤良性肿瘤
D23.201 外耳道良性肿瘤
D23.300x003 鼻唇沟良性肿瘤
D23.300x004 颊部皮肤良性肿瘤
D23.301 面部皮肤良性肿瘤
D23.303 鼻部皮肤良性肿瘤
D36.700x004 颞部良性肿瘤
D36.700x005 颊部良性肿瘤
D36.700x006 咽旁间隙良性肿瘤
D36.700x007 鼻部良性肿瘤
D36.700x028 肩部良性肿瘤
D36.701 头部良性肿瘤
D36.702 面部良性肿瘤
D36.703 颈部良性肿瘤
D37.000x001 扁桃体交界性肿瘤
D37.000x002 唇交界性肿瘤
D37.000x003 腮腺交界性肿瘤
D37.000x004 唾液腺交界性肿瘤
D37.000x005 咽部交界性肿瘤
D37.000x006 杓状会厌褶交界性肿瘤
D37.000x007 唇红缘交界性肿瘤
D37.000x008 大唾液腺交界性肿瘤
D37.000x009 小唾液腺交界性肿瘤
D37.000x010 齿龈交界性肿瘤
D37.000x011 鼻咽交界性肿瘤
D37.000x012 舌根交界性肿瘤
D37.000x013 口底交界性肿瘤
D37.000x014 腭交界性肿瘤
D37.000x015 颊黏膜交界性肿瘤
D37.001 唇肿瘤
D37.002 口腔动态未定肿瘤
D37.003 口腔肿瘤
D37.004 咽动态未定肿瘤
D37.005 咽肿瘤
D37.006 腭动态未定肿瘤
D37.007 腭肿瘤
D37.008 舌根动态未定肿瘤
D37.009 舌根肿瘤
D37.010 腮腺动态未定肿瘤
D37.011 腮腺肿瘤
D37.012 扁桃体动态未定肿瘤
D37.013 扁桃体肿瘤
D37.014 大涎腺动态未定肿瘤
D37.015 大涎腺肿瘤
D37.016 小涎腺动态未定肿瘤
D37.017 小涎腺肿瘤
D37.018 杓状会厌褶动态未定肿瘤
D37.019 杓状会厌褶肿瘤
D38.000x001 会厌交界性肿瘤
D38.000x002 喉交界性肿瘤
D38.001 喉肿瘤
D38.002 会厌动态未定肿瘤
D38.003 会厌肿瘤
D38.500x001 鼻腔交界性肿瘤
D38.500x003 鼻窦交界性肿瘤
D38.500x004 鼻软骨交界性肿瘤
D38.500x005 中耳交界性肿瘤
D38.501 鼻腔动态未定肿瘤
D38.502 鼻腔肿瘤
D38.503 鼻旁窦动态未定肿瘤
D38.504 鼻旁窦肿瘤
D38.505 鼻软骨动态未定肿瘤
D38.506 鼻软骨肿瘤
D38.507 中耳动态未定肿瘤
D38.508 中耳肿瘤
D38.509 鼻颅底交通性肿瘤
D44.600x002 颈动脉体交界性肿瘤
D44.700x003 颈静脉体交界性肿瘤
D44.700x004 颈静脉球交界性肿瘤
D48.200x002 头周围神经和自主神经交界性肿瘤
D48.200x003 面周围神经和自主神经交界性肿瘤
D48.200x004 颈周围神经和自主神经交界性肿瘤
D48.200x005 耳周围神经和自主神经交界性肿瘤
D48.200x006 颞下窝周围神经和自主神经交界性~~肿瘤
D48.200x007 翼腭窝周围神经和自主神经交界性~~肿瘤
D48.200x008 咽旁间隙周围神经和自主神经交界~~性肿瘤
D48.200x009 咽后间隙周围神经和自主神经交界~~性肿瘤
D48.518 鼻皮肤动态未定肿瘤
D48.519 耳皮肤动态未定肿瘤
D48.700x007 颊部交界性肿瘤
D48.700x025 面部交界性肿瘤
D48.701 头颈部动态未定肿瘤
D48.702 头颈部肿瘤
D86.802 眼色素层腮腺炎
E10.600x031 1 型糖尿病性急性牙周脓肿
E10.600x032 1 型糖尿病性牙周炎
E11.600x031 2 型糖尿病性急性牙周脓肿
E11.600x032 2 型糖尿病性牙周炎
E14.600x031 糖尿病性急性牙周脓肿
E14.600x032 糖尿病性牙周炎
E34.800x005 坏死性唾液腺组织化生
E85.400x005 上呼吸道淀粉样变性
E85.400x006 咽淀粉样变性
E85.401 淀粉样变声带损害
E85.402 淀粉样变鼻咽损害
E85.405 淀粉样变齿龈损害
E85.409 淀粉样变喉损害
E85.410 淀粉样变胸膜损害
H60.000 外耳脓肿
H60.000x002 外耳道脓肿
H60.000x004 耳廓痈
H60.000x005 耳廓疖
H60.001 外耳疖
H60.002 外耳痈
H60.100 外耳蜂窝织炎
H60.100x001 外耳道蜂窝织炎
H60.100x002 耳廓蜂窝织炎
H60.200 恶性外耳炎
H60.300 感染性外耳炎，其他的
H60.300x002 耳廓感染
H60.300x003 耳廓瘘感染
H60.300x005 弥漫性外耳道炎
H60.300x006 外耳继发性感染
H60.301 出血性外耳炎
H60.302 弥漫性外耳炎
H60.303 游泳者耳病
H60.400 外耳胆脂瘤
H60.400x004 外耳道胆脂瘤
H60.401 外耳肉芽肿
H60.500x006 急性接触性外耳炎
H60.500x007 急性反应性外耳炎
H60.501 外耳湿疹
H60.502 急性光化性外耳炎
H60.503 急性化学性外耳炎
H60.801 慢性外耳炎
H60.900 外耳炎
H60.901 外耳道炎
H61.000 外耳软骨膜炎
H61.001 慢性结节性耳轮软骨皮炎
H61.100x002 后天性耳廓畸形
H61.100x005 烧伤后耳廓缺损
H61.100x006 烧伤后小耳畸形
H61.100x007 耳廓钙化
H61.100x009 耳廓瘢痕
H61.101 后天性外耳畸形
H61.102 耳廓瘘
H61.103 耳廓假性囊肿
H61.104 耳后血肿骨化
H61.105 耳廓肿物
H61.200 耵聍栓塞
H61.300 后天性外耳道狭窄
H61.800x005 外耳道瘢痕
H61.801 颞下颌关节外耳道疝
H61.802 外耳道外生骨疣
H61.803 外耳瘘
H61.804 外耳道角化症
H61.805 外耳道坏死
H61.806 外耳道囊肿
H61.901 外耳道肿物
H61.902 后天性外耳道闭锁
H65.000x002 急性分泌性中耳炎
H65.101 蓝鼓膜综合征
H65.102 急性变应性中耳炎
H65.200 慢性浆液性中耳炎
H65.300 慢性黏液样中耳炎
H65.300x001 慢性分泌性中耳炎
H65.400 慢性非化脓性中耳炎，其他的
H65.400x001 其他的慢性非化脓性中耳炎
H65.900 非化脓性中耳炎
H65.900x001 分泌性中耳炎
H65.901 浆液性中耳炎
H66.000 急性化脓性中耳炎
H66.000x002 格拉代尼果综合征[Gradenigo 综合~~征]
H66.001 岩尖综合征
H66.101 慢性鼓室化脓性中耳炎
H66.102 良性慢性化脓性中耳炎
H66.200 慢性鼓窦隐窝化脓性中耳炎
H66.301 慢性化脓性中耳炎
H66.400 化脓性中耳炎
H66.900 中耳炎
H66.900x002 急性中耳炎
H66.900x003 慢性中耳炎
H68.000 咽鼓管炎
H68.100 咽鼓管阻塞
H68.100x003 咽鼓管受压
H68.101 咽鼓管狭窄
H69.000 咽鼓管开放症
H69.800 咽鼓管其他特指的疾患
H69.900 咽鼓管疾患
