包含以下主要诊断：
A02.200x005+M90.2* 沙门菌性骨髓炎
C41.901 关节软骨恶性肿瘤
C49.100x001 上肢结缔组织恶性肿瘤
C49.100x002 上肢软组织恶性肿瘤
C49.100x006 腕部结缔组织恶性肿瘤
C49.101 肩结缔组织和软组织恶性肿瘤
C49.102 肘结缔组织恶性肿瘤
C49.103 手结缔组织恶性肿瘤
C49.200x001 下肢结缔组织恶性肿瘤
C49.200x002 下肢软组织恶性肿瘤
C49.200x005 膝部结缔组织和软组织恶性肿瘤
C49.200x006 踝部结缔组织恶性肿瘤
C49.201 髋结缔组织和软组织恶性肿瘤
C49.202 足结缔组织恶性肿瘤
C49.300x001 横膈恶性肿瘤
C49.300x002 肩胛区结缔组织恶性肿瘤
C49.300x003 胸部结缔组织恶性肿瘤
C49.301 腋下结缔组织恶性肿瘤
C49.302 膈结缔组织恶性肿瘤
C49.400 腹部结缔组织和软组织恶性肿瘤
C49.400x003 腹壁结缔组织恶性肿瘤
C49.401 季肋部结缔组织恶性肿瘤
C49.500 盆腔结缔组织和软组织恶性肿瘤
C49.500x001 骶前结缔组织恶性肿瘤
C49.500x008 直肠周围结缔组织恶性肿瘤
C49.501 臀部结缔组织恶性肿瘤
C49.502 腹股沟结缔组织恶性肿瘤
C49.503 会阴结缔组织恶性肿瘤
C49.504 骶结缔组织恶性肿瘤
C49.505 直肠阴道隔结缔组织恶性肿瘤
C49.600 躯干结缔组织和软组织的恶性肿瘤
C49.601 背部结缔组织恶性肿瘤
C49.800 结缔组织和软组织交搭跨越恶性肿瘤的~~损害
C49.900x003 软组织恶性肿瘤
C79.500x001 骨继发恶性肿瘤
C79.500x006 椎体继发恶性肿瘤
C79.500x008 指骨继发恶性肿瘤
C79.500x009 髂骨继发恶性肿瘤
C79.500x010 股骨继发恶性肿瘤
C79.500x011 关节继发恶性肿瘤
C79.500x012 桡骨继发恶性肿瘤
C79.500x013 胸骨继发恶性肿瘤
C79.500x021 肋骨继发恶性肿瘤
C79.500x022 锁骨继发恶性肿瘤
C79.500x024 盆骨继发恶性肿瘤
C79.500x025 骶骨继发恶性肿瘤
C79.500x026 尾骨继发恶性肿瘤
C79.500x030 颈椎继发恶性肿瘤
C79.500x031 胸椎继发恶性肿瘤
C79.500x032 腰椎继发恶性肿瘤
C79.501 骨髓继发恶性肿瘤
C79.506 躯干骨继发恶性肿瘤
C79.507 上肢骨继发恶性肿瘤
C79.508 下肢骨继发恶性肿瘤
C79.509 脊柱继发恶性肿瘤
C79.800x835 上肢继发恶性肿瘤
C79.800x836 肌肉继发恶性肿瘤
C79.800x847 髂窝继发恶性肿瘤
D16.000x002 肩胛骨良性肿瘤
D16.001 上肢长骨良性肿瘤
D16.002 肱骨良性肿瘤
D16.003 桡骨良性肿瘤
D16.004 尺骨良性肿瘤
D16.100x005 上肢关节良性肿瘤
D16.101 腕骨良性肿瘤
D16.102 掌骨良性肿瘤
D16.103 指骨良性肿瘤
D16.200x005 膝关节良性肿瘤
D16.201 股骨良性肿瘤
D16.202 胫骨良性肿瘤
D16.203 腓骨良性肿瘤
D16.300 下肢短骨良性肿瘤
D16.300x003 踝骨良性肿瘤
D16.300x004 距骨良性肿瘤
D16.300x005 跟骨良性肿瘤
D16.300x008 下肢关节良性肿瘤
D16.301 髌骨良性肿瘤
D16.302 跗骨良性肿瘤
D16.303 跖骨良性肿瘤
D16.304 趾骨良性肿瘤
D16.600x002 颈椎良性肿瘤
D16.600x003 胸椎良性肿瘤
D16.600x004 腰椎良性肿瘤
D16.600x005 椎骨良性肿瘤
D16.700x003 锁骨良性肿瘤
D16.701 胸骨良性肿瘤
D16.702 肋骨良性肿瘤
D16.800x001 耻骨良性肿瘤
D16.800x002 髂骨良性肿瘤
D16.800x006 髋骨良性肿瘤
D16.801 盆骨良性肿瘤
D16.802 骶骨良性肿瘤
D16.803 坐骨良性肿瘤
D16.804 尾骨良性肿瘤
D16.900x001 骨良性肿瘤
D16.900x002 关节软骨良性肿瘤
D16.900x003 软骨良性肿瘤
D17.700x028 骨脂肪瘤
D18.000x846 锁骨血管瘤
D18.000x860 膝关节血管瘤
D18.000x861 踝关节血管瘤
D18.009 肌内血管瘤
D18.014 骨血管瘤
D21.100x002 上肢结缔组织良性肿瘤
D21.100x003 肘部结缔组织良性肿瘤
D21.100x004 上肢端结缔组织良性肿瘤
D21.101 肩结缔组织良性肿瘤
D21.102 手结缔组织良性肿瘤
D21.200x003 膝关节滑膜良性肿瘤
D21.200x004 腘窝结缔组织良性肿瘤
D21.200x006 下肢结缔组织良性肿瘤
D21.200x007 下肢端结缔组织良性肿瘤
D21.201 髋结缔组织良性肿瘤
D21.202 足结缔组织良性肿瘤
D21.300 胸部结缔组织和其他软组织良性肿瘤
D21.300x001 胸壁结缔组织良性肿瘤
D21.300x004 胸骨后结缔组织良性肿瘤
D21.301 腋结缔组织良性肿瘤
D21.302 膈结缔组织良性肿瘤
D21.303 肩胛区结缔组织良性肿瘤
D21.400x001 腹部结缔组织良性肿瘤
D21.400x002 髂窝结缔组织良性肿瘤
D21.400x003 髂腰肌结缔组织良性肿瘤
D21.401 腰部结缔组织良性肿瘤
D21.402 腹壁结缔组织良性肿瘤
D21.403 腹腔结缔组织良性肿瘤
D21.500x001 骶部结缔组织良性肿瘤
D21.500x002 骶前结缔组织良性肿瘤
D21.500x005 盆腔结缔组织良性肿瘤
D21.501 臀部结缔组织良性肿瘤
D21.502 腹股沟结缔组织良性肿瘤
D21.503 骶尾结缔组织良性肿瘤
D21.504 坐骨直肠窝结缔组织良性肿瘤
D21.505 尿道旁结缔组织良性肿瘤
D21.507 阴道旁结缔组织良性肿瘤
D21.508 直肠阴道壁结缔组织良性肿瘤
D21.509 直肠旁结缔组织良性肿瘤
D21.600x002 躯干结缔组织良性肿瘤
D21.601 背部结缔组织良性肿瘤
D21.602 胁腹结缔组织良性肿瘤
D21.900x001 肌肉良性肿瘤
D21.900x002 结缔组织良性肿瘤
D21.900x003 结缔组织及软组织良性肿瘤
D21.900x005 粘液囊良性肿瘤
D21.900x007 筋膜良性肿瘤
D21.900x008 脂肪良性肿瘤
D21.900x009 韧带良性肿瘤
D21.900x012 滑膜良性肿瘤
D21.900x013 腱鞘良性肿瘤
D21.900x014 肢体多处结缔组织良性肿瘤
D36.105 腹腔周围神经和自主神经良性肿瘤
D48.000x001 骨交界性肿瘤
D48.000x004 上颌骨交界性肿瘤
D48.000x028 髂骨交界性肿瘤
D48.001 骨肿瘤
D48.002 颅骨动态未定肿瘤
D48.003 颅骨肿瘤
D48.004 面骨动态未定肿瘤
D48.005 面骨肿瘤
D48.006 锁骨动态未定肿瘤
D48.007 锁骨肿瘤
D48.008 胸骨动态未定肿瘤
D48.009 胸骨肿瘤
D48.010 肋骨动态未定肿瘤
D48.011 肋骨肿瘤
D48.012 脊柱动态未定肿瘤
D48.013 脊柱肿瘤
D48.014 盆骨动态未定肿瘤
D48.015 盆骨肿瘤
D48.016 骶骨动态未定肿瘤
D48.017 骶骨肿瘤
D48.018 上肢骨动态未定肿瘤
D48.019 上肢骨肿瘤
D48.020 下肢骨动态未定肿瘤
D48.021 下肢骨肿瘤
D48.022 关节动态未定肿瘤
D48.023 关节肿瘤
D48.100x003 骶前结缔组织交界性肿瘤
D48.100x006 滑膜交界性肿瘤
D48.100x007 结缔组织交界性肿瘤
D48.100x009 软组织交界性肿瘤
D48.100x018 腹部结缔组织交界性肿瘤
D48.100x020 盆腔结缔组织交界性肿瘤
D48.100x021 背部结缔组织交界性肿瘤
D48.100x025 肢端结缔组织交界性肿瘤
D48.101 头部结缔组织动态未定肿瘤
D48.102 头部结缔组织肿瘤
D48.103 面结缔组织动态未定肿瘤
D48.104 面结缔组织肿瘤
D48.105 耳结缔组织动态未定肿瘤
D48.106 耳结缔组织肿瘤
D48.107 颈部结缔组织动态未定肿瘤
D48.108 颈部结缔组织肿瘤
D48.109 躯干结缔组织动态未定肿瘤
D48.110 躯干结缔组织肿瘤
D48.111 腋下结缔组织动态未定肿瘤
D48.112 腋下结缔组织肿瘤
D48.113 肩结缔组织动态未定肿瘤
D48.114 肩结缔组织肿瘤
D48.116 胸壁结缔组织肿瘤
D48.118 腹壁结缔组织肿瘤
D48.119 腰结缔组织动态未定肿瘤
D48.120 腰结缔组织肿瘤
D48.122 腹股沟结缔组织肿瘤
D48.123 骶结缔组织动态未定肿瘤
D48.124 骶结缔组织肿瘤
D48.125 臀结缔组织动态未定肿瘤
D48.126 臀结缔组织肿瘤
D48.128 会阴结缔组织肿瘤
D48.130 直肠阴道隔结缔组织肿瘤
D48.131 上肢结缔组织动态未定肿瘤
D48.132 上肢结缔组织肿瘤
D48.133 下肢结缔组织动态未定肿瘤
D48.134 下肢结缔组织肿瘤
D48.900x005+M90.6* 肿瘤引起的变形性骨炎
D48.900x012+G73.2* 副肿瘤综合征相关性肌无力~~综合征
D48.900x013+M63.8* 肿瘤相关性肌炎
D48.903+M90.7* 肿瘤性病理性骨折
D48.904+M36.0* 肿瘤相关性皮肌炎
D86.800x006+M14.8* 结节病性关节病
D86.800x007 BLAU 综合征
D86.803+M63.3* 结节病性肌炎
D86.900 结节病
D86.901 伯克结节病
E03.900x005+M14.5* 甲状腺功能减退性关节炎
E05.900x005+M14.5* 甲状腺毒症性关节病
E10.405+G73.0* 1 型糖尿病性肌萎缩
E10.600x011+M14.6* 1 型糖尿病性夏科关节病
E10.600x012+M14.2* 1 型糖尿病性手关节综合征
E10.600x014+M14.2* 1 型糖尿病性手掌筋膜纤维~~瘤病
E10.600x015+M14.2* 1 型糖尿病性肩关节周围炎
E10.600x910 1 型糖尿病性肌坏死
E10.600x911 1 型糖尿病性坏死性筋膜炎
E10.600x920 1 型糖尿病性无菌性肌坏死
E10.600x930 1 型糖尿病性缺血性肌坏死
E10.601+M14.2* 1 型糖尿病性关节病
E10.602+M14.6* 1 型糖尿病神经病性关节病
E11.600x011+M14.6* 2 型糖尿病性夏科关节病
E11.600x012+M14.2* 2 型糖尿病性手关节综合征
E11.600x014+M14.2* 2 型糖尿病性手掌筋膜纤维~~瘤病
E11.600x015+M14.2* 2 型糖尿病性肩关节周围炎
E11.600x910 2 型糖尿病性肌坏死
E11.600x911 2 型糖尿病性坏死性筋膜炎
E11.600x920 2 型糖尿病性无菌性肌坏死
E11.600x930 2 型糖尿病性缺血性肌坏死
E11.601+M14.2* 2 型糖尿病性关节病
E11.602+M14.6* 2 型糖尿病神经病性关节病
E14.400x120+G73.0* 糖尿病性肌萎缩
E14.600x011+M14.6* 糖尿病性夏科关节病
E14.600x012+M14.2* 糖尿病性手关节综合征
E14.600x014+M14.2* 糖尿病性手掌筋膜纤维瘤病
E14.600x015+M14.2* 糖尿病性肩关节周围炎
E14.600x016+M14.2* 糖尿病性骨关节病
E14.600x910 糖尿病性肌坏死
E14.600x911 糖尿病性坏死性筋膜炎
E14.600x920 糖尿病性无菌性肌坏死
E14.600x930 糖尿病性缺血性肌坏死
E22.000x006+M14.5* 肢端肥大症性关节病
E23.000x001+G73.5* 垂体功能减退性肌病
E34.902+M82.1* 内分泌病性骨质疏松
E55.000x002 佝偻病性骨软化
E55.000x003 幼年的骨软化性佝偻病
E55.000x004 婴儿的骨软化性佝偻病
E55.000x007 先天性佝偻病
E55.001 佝偻病
E64.300 佝偻病后遗症
E75.601+G73.6* 脂质沉积性肌病
E83.100x006+M14.5* 血色素沉着型关节病
E83.300x012+M90.8* 维生素 D 抵抗性骨软化
E85.000 非神经病性家族遗传性淀粉样变
E85.001 家族性地中海热
E85.900 淀粉样变
E85.900x003 斑疹性淀粉样变性
E88.902+M90.8* 代谢性骨病
E88.908+G73.6* 代谢性肌病
H05.003 眼眶骨髓炎
I00.x00x004 急性风湿热
I00.x00x005 急性风湿性关节炎
I00.x01 风湿性关节炎
I02.900x001 风湿性舞蹈症[小舞蹈症]
I02.900x003 慢性风湿性舞蹈症
I89.000x020 臀部淋巴水肿
I89.000x021 下肢淋巴水肿
I89.004 上肢淋巴水肿
I89.800x031 下肢乳糜囊肿
K10.200x009 新生儿颌骨骨髓炎
K10.202 颌骨骨髓炎
K10.203 颌骨放射性骨髓炎
K10.207 化脓性颌骨髓炎
K10.209 慢性下颌骨边缘性骨髓炎
K10.210 慢性下颌骨中央性骨髓炎
K50.902+M07.4* 克罗恩病性关节病
K51.904+M07.5* 溃疡性结肠炎性关节病
K52.913+M07.6* 肠病性关节炎
L40.501+M07.3* 银屑病性关节炎
L40.502+M09.0* 银屑病性幼年型关节炎
L87.100 反应性穿通性胶原病
M00.000x091 葡萄球菌性关节炎
M00.000x092 葡萄球菌性多关节炎
M00.001 葡萄球菌性肩关节炎
M00.002 葡萄球菌性肘关节炎
M00.003 葡萄球菌性腕关节炎
M00.004 葡萄球菌性髋关节炎
M00.005 葡萄球菌性膝关节炎
M00.006 葡萄球菌性踝关节炎
M00.100x001 肺炎球菌性多关节炎
M00.100x011 肺炎球菌性肩关节炎
M00.100x021 肺炎球菌性肘关节炎
M00.100x031 肺炎球菌性腕关节炎
M00.100x051 肺炎球菌性髋关节炎
M00.100x061 肺炎球菌性膝关节炎
M00.100x071 肺炎球菌性踝关节炎
M00.100x091 肺炎球菌性关节炎
M00.200x001 链球菌性多关节炎
M00.200x011 链球菌性肩关节炎
M00.200x021 链球菌性肘关节炎
M00.200x031 链球菌性腕关节炎
M00.200x051 链球菌性髋关节炎
M00.200x061 链球菌性膝关节炎
M00.200x071 链球菌性踝关节炎
M00.200x091 链球菌性关节炎
M00.800 关节炎和多关节炎，其他特指的细菌性病~~原体引起的
M00.900 化脓性关节炎
M00.900x011 感染性肩关节炎
M00.900x021 感染性肘关节炎
M00.900x031 感染性腕关节炎
M00.900x051 感染性髋关节炎
M00.900x061 感染性膝关节炎
M00.900x071 感染性踝关节炎
M00.901 感染性关节炎
M02.000 肠旁路术后关节病
M02.100 痢疾后关节病
M02.200 免疫后关节病
M02.201 血清性关节炎
M02.300 赖特尔病
M02.800 反应性关节病，其他的
M02.900 反应性关节病
M05.000 费尔蒂综合征
M05.303+G73.7* 类风湿性关节炎相关性肌病
M05.308 累及全身类风湿性关节炎
M05.800 血清反应阳性的类风湿性关节炎,其他的
M05.900 血清反应阳性的类风湿性关节炎
M05.900x093 累及内脏的类风湿性关节炎
M06.000 血清反应阴性的类风湿性关节炎
M06.001 复发性血清阴性对称性滑膜炎伴凹陷性~~水肿
M06.002 缓解性血清阴性对称性滑膜炎伴凹陷性~~水肿综合征
M06.003 滑膜炎-痤疮-脓疱疹-骨肥厚-骨炎综合~~征
M06.100 成年型斯蒂尔病
M06.200 类风湿性滑囊炎
M06.300 类风湿性结节
M06.400 炎性多关节病
M06.800 类风湿性关节炎，其他特指的
M06.800x051 类风湿性髋关节炎
M06.800x071 类风湿性足关节炎
M06.900 类风湿性关节炎
M06.901 类风湿性肩关节关节炎
M06.902 类风湿性肘关节关节炎
M06.903 类风湿性腕关节关节炎
M06.904 类风湿性手骨间关节关节炎
M06.906 类风湿性膝关节关节炎
M06.907 类风湿性踝关节关节炎
M06.908 类风湿性斜颈
M06.909 类风湿性多部位关节炎
M08.000 幼年型类风湿性关节炎
M08.001 幼年型类风湿因子阴性关节炎
M08.002 幼年型类风湿因子阳性关节炎
M08.100 幼年型关节强硬性脊椎炎
M08.100x092 幼年型脊椎关节炎
M08.201 幼年型斯蒂尔病
M08.300 幼年型多关节炎(血清反应阴性)
M08.300x001 多关节型儿童类风湿病
M08.301 慢性幼年型多关节炎
M08.400 少关节性幼年型关节炎
M08.800x091 幼年型特发性关节炎
M08.900 幼年型关节炎
M10.000 特发性痛风
M10.000x094 原发性痛风
M10.002 痛风性关节炎
M10.003 痛风性滑囊炎
M10.100 铅性痛风
M10.200 药物性痛风
M10.300 肾功能损害引起的痛风
M10.400 继发性痛风，其他的
M10.900 痛风
M10.900x093 痛风石
M10.901 痛风体质
M10.902+H62.8* 耳痛风石
M10.903 痛风结节
M11.000 羟磷灰石沉着病
M11.100 家族性软骨钙沉着
M11.201 软骨钙质沉着
M11.800x093 假性痛风性关节炎
M11.801 焦磷酸盐结晶性关节炎(病)
M11.802 磷酸二钙结晶性关节炎(病)
M11.900 结晶性关节病
M12.000 慢性风湿病后关节病[雅库综合征]
M12.100 卡斯钦-贝克病[大骨节病]
M12.200 绒毛结节性滑膜炎(色素沉着的)
M12.200x011 肩关节色素沉着绒毛结节性滑膜炎
M12.200x021 肘关节色素沉着绒毛结节性滑膜炎
M12.200x031 腕关节色素沉着绒毛结节性滑膜炎
M12.200x051 髋关节色素沉着绒毛结节性滑膜炎
M12.200x061 膝色素沉着绒毛结节性滑膜炎
M12.200x071 踝关节色素沉着绒毛结节性滑膜炎
M12.300 复发性风湿病
M12.400 间歇性关节积水
M12.500 创伤性关节病
M12.500x011 肩关节创伤性关节病
M12.500x021 肘关节创伤性关节病
M12.500x031 腕关节创伤性关节病
M12.500x051 髋关节创伤性关节病
M12.500x061 膝关节创伤性关节病
M12.500x071 踝关节创伤性关节病
M12.801 短暂性关节炎(病)
M13.000 多关节炎
M13.100 单关节炎
M13.100x011 胸锁关节炎
M13.800x001 变应性关节炎
M13.802 更年期关节炎
M13.900 关节炎
M15.000 原发性全身性(骨)关节病
M15.100 赫伯登结节(伴有关节病)
M15.200 布沙尔结节(伴有关节病)
M15.300 继发性多发性关节病
M15.301 创伤后多关节病
M15.400 侵蚀性(骨)关节病
M15.401 糜烂性骨关节病
M15.801 海加思结节
M15.900 多关节病
M15.900x003 重度多关节病
M15.901 萎缩性多关节炎
M15.902 全身性骨关节炎
M16.000 原发性双侧髋关节病
M16.101 原发性单侧髋关节病
M16.200 发育异常导致的双侧髋关节病
M16.301 发育异常性单侧髋关节病
M16.400 创伤后双侧髋关节病
M16.501 创伤后单侧髋关节病
M16.600 继发性双侧髋关节病，其他的
M16.701 继发性单侧髋关节病
M16.900 髋关节病
M16.900x002 双侧髋关节骨性关节病
M16.900x011 髋关节周围炎
M16.900x012 髋关节退行性病变
M16.901 老年性髋关节病
M17.000 原发性双侧膝关节病
M17.101 原发性单侧膝关节病
M17.200 创伤后双侧膝关节病
M17.301 创伤后单侧膝关节病
M17.400 继发性双侧膝关节病，其他的
M17.500x002 独眼征(膝 CYCLOPS 形成)
M17.501 继发性单侧膝关节病
M17.900 膝关节病
M17.900x002 膝关节退行性病变
M17.900x003 双侧膝关节骨性关节病
M17.900x004 单侧膝关节骨性关节病
M18.000 双侧第一腕掌关节的原发性关节病
M18.101 单侧第一腕掌关节原发性关节病
M18.200 双侧第一腕掌关节的创伤后关节病
M18.301 单侧第一腕掌关节创伤后关节病
M18.400x001 继发性双侧第一腕掌关节病
M18.501 单侧第一腕掌关节继发性关节病
M18.900 第一腕掌关节的关节病
M18.900x002 双侧腕关节骨性关节病
M19.001 原发性关节病
M19.101 创伤后关节病
M19.201 继发性关节病
M19.800 关节病，其他特指的
M19.900 关节病
M19.900x092 重度骨关节病
M19.900x093 指骨关节病
M19.900x094 趾骨关节病
M19.900x095 跖骨关节病
M19.900x096 距下关节骨性关节病
M19.900x097 跖趾关节骨性关节病
M19.901 肩关节关节病
M19.902 肘关节关节病
M19.903 腕关节关节病
M19.904 手骨间关节病
M19.905 踝关节关节病
M19.906 足关节关节病
M19.907 肥厚性关节炎
M19.908 老年性关节炎
M19.909 变形性关节炎
M19.910 萎缩性关节炎
M20.000 手指变形
M20.000x004 拇外展功能障碍
M20.000x005 后天性拇变形
M20.000x011 后天性槌状指
M20.002 后天性手指畸形
M20.003 后天性手指重叠
M20.005 手指挛缩
M20.006 手指钮孔状变形
M20.007 手指天鹅颈状变形
M20.100x001 (足母)囊炎
M20.100x002 后天性(足母)外翻
M20.200x001 僵(足母)
M20.301 后天性踇内翻
M20.302 后天性槌状趾
M20.400x001 后天性锤状趾
M20.501 后天性仰趾畸形
M20.502 后天性脚趾重叠
M20.503 后天性脚趾肥大
M20.504 后天性爪形趾
M20.505 鸡趾
M20.506 脚趾挛缩
M20.507 脚趾下垂
M20.508 竖起趾
M20.600 趾后天性变形
M21.000x051 后天性髋外翻
M21.000x071 后天性马蹄外翻足
M21.001 后天性肘外翻
M21.002 后天性膝外翻
M21.003 后天性足外翻
M21.100x011 后天性肩内翻
M21.100x051 后天性髋内翻
M21.100x072 后天性踝内翻
M21.101 弓形腿
M21.102 后天性肘内翻
M21.103 髋关节内翻变形
M21.104 后天性膝内翻
M21.105 后天性足内翻
M21.200x001 后天性肢体屈曲变形
M21.200x021 后天性肘关节屈曲变形
M21.200x031 后天性前臂屈曲变形
M21.200x032 后天性腕关节屈曲变形
M21.200x041 后天性手屈曲变形
M21.200x061 后天性膝关节屈曲变形
M21.201 手屈曲畸形
M21.202 膝关节屈曲畸形
M21.301 后天性腕下垂
M21.302 后天性足下垂
M21.400 后天性扁平足[平足]
M21.401 足弓下陷
M21.402 足弓松弛
M21.501 后天性爪形手
M21.502 后天性手畸形
M21.503 后天性爪形足
M21.504 后天性足畸形
M21.505 后天性马蹄内翻足
M21.600x071 后天性足变形
M21.600x072 后天性踝变形
M21.601 后天性弓形足
M21.602 足旋前
M21.603 足凹陷
M21.604 后天性踝关节畸形
M21.605 踝旋前
M21.700 四肢(后天性)长度不等
