1、严重并发症或合并症（MCC）
表 2-1-1 严重并发症或合并症（MCC）
疾病编码 疾病名称 排除内容
A85.200x001 虫媒病毒性脑炎 表 2-3-9
A85.800 病毒性脑炎，其他特指的 表 2-3-9
A86.x00 病毒性脑炎 表 2-3-9
A86.x01 病毒性脑脊髓炎 表 2-3-9
A86.x02 病毒性脑膜脑炎 表 2-3-9
A87.000+G02.0* 肠病毒性脑膜炎 表 2-3-9
A87.000x001+G02.0* 肠道病毒性脑膜炎 表 2-3-9
1076
疾病编码 疾病名称 排除内容
A87.000x002+G02.0* 柯萨奇病毒性脑膜炎 表 2-3-9
A87.000x003+G02.0* 埃可病毒性脑膜炎 表 2-3-9
A87.200x001+G02.0* 淋巴细胞性脉络丛脑膜炎 表 2-3-9
A87.200x002+G02.0* 复发性淋巴细胞性脑膜炎 表 2-3-9
A87.800 病毒性脑膜炎，其他的 表 2-3-9
A87.801 乙脑病毒性脑膜炎 表 2-3-9
A87.900 病毒性脑膜炎 表 2-3-9
A87.901 病毒性脑脊髓膜炎 表 2-3-9
A89.x00 中枢神经系统的病毒性感染 表 2-3-9
A92.500 寨卡病毒病 表 2-3-10
A96.000 朱宁出血热 表 2-3-10
A96.100 马丘波出血热 表 2-3-10
A96.100x001 玻利维亚出血热 表 2-3-10
A96.200 拉沙热 表 2-3-10
A96.800 沙粒病毒性出血热,其他的 表 2-3-10
A96.900 沙粒病毒性出血热 表 2-3-10
A97.200 重症登革热 表 2-3-10
A97.900 登革热，未特指 表 2-3-10
A98.100 鄂木斯克出血热 表 2-3-10
A98.200 基萨那[凯萨努]森林病 表 2-3-10
A98.300 马尔堡病毒病 表 2-3-10
A98.400 埃博拉病毒病 表 2-3-10
A98.400x001 埃博拉出血热 表 2-3-10
A98.500 出血热伴有肾综合征 表 2-3-10
A98.500x001+N08.0* 流行性出血热[肾综合征出血热] 表 2-3-10
A98.800 病毒性出血热，其他特指的 表 2-3-10
A99.x00 病毒性出血热 表 2-3-10
B00.000 疱疹性湿疹 表 2-3-11
B00.001 卡波西水疱样疹 表 2-3-11
B00.100 疱疹病毒性水疱皮炎 表 2-3-11
B00.100x001 单纯疱疹病毒性水疱皮炎 表 2-3-11
B00.100x004+H62.1* 耳部单纯疱疹HSV-Ⅱ型 表 2-3-11
B00.100x005 唇部单纯疱疹HSV-Ⅱ型 表 2-3-11
B00.101 唇单纯疱疹 表 2-3-11
B00.102 面单纯疱疹 表 2-3-11
B00.400+G05.1* 疱疹病毒性脑炎 表 2-3-11
B00.400x001+G05.1* 单纯疱疹病毒性脑炎 表 2-3-11
B00.401+G05.1* 疱疹病毒性脑膜脑炎 表 2-3-11
B00.700 播散性疱疹病毒病 表 2-3-11
B00.701 疱疹性脓毒症 表 2-3-11
B01.000+G02.0* 水痘脑膜炎 表 2-3-11
B01.000x001+G02.0* 水痘性脑膜炎 表 2-3-11
B01.100+G05.1* 水痘脑炎 表 2-3-11
1077
疾病编码 疾病名称 排除内容
B01.200+J17.1* 水痘肺炎 表 2-3-11
B02.000+G05.1* 带状疱疹脑炎 表 2-3-11
B02.000x002+G05.1* 带状疱疹性脑炎 表 2-3-11
B02.000x003+G05.1* 带状疱疹性脑膜脑炎 表 2-3-11
B02.001+G05.1* 带状疱疹神经根脊髓炎 表 2-3-11
B02.100+G02.0* 带状疱疹脑膜炎 表 2-3-11
B02.700 播散性带状疱疹 表 2-3-11
B04.x00 猴痘 表 2-3-11
B05.200+J17.1* 麻疹并发肺炎 表 2-3-11
B05.400 麻疹伴有肠道并发症 表 2-3-11
B06.000 风疹伴有神经科并发症 表 2-3-11
B06.000x002+G05.1* 风疹性脑膜脑炎 表 2-3-11
B06.001+G05.1* 风疹性脑炎 表 2-3-11
B06.002+G02.0* 风疹性脑膜炎 表 2-3-11
B06.800 风疹伴有其他并发症 表 2-3-11
B06.801+J17.1* 风疹性肺炎 表 2-3-11
B06.802+M01.4* 风疹性关节炎 表 2-3-11
B15.000 甲型肝炎，伴有肝昏迷 表 2-3-12
B15.001 急性甲型病毒性肝炎伴肝昏迷 表 2-3-12
B15.002 急性重型甲型病毒性肝炎伴肝昏迷 表 2-3-12
B15.003 亚急性重型甲型病毒性肝炎伴肝昏迷 表 2-3-12
B16.000 急性乙型肝炎，伴有δ因子（共同感染），并伴有肝昏迷 表 2-3-12
B16.000x001 病毒性肝炎乙型丁型亚急性重型 表 2-3-12
B16.001 急性乙型丁型病毒性肝炎伴肝昏迷 表 2-3-12
B16.200 急性乙型肝炎，不伴有δ因子（共同感染），但伴有肝昏迷 表 2-3-12
B16.201 急性乙型病毒性肝炎伴肝昏迷 表 2-3-12
B16.202 亚急性重型乙型病毒性肝炎伴肝昏迷 表 2-3-12
B16.203 急性重型乙型病毒性肝炎伴肝昏迷 表 2-3-12
B16.204 急性无黄疸型乙型肝炎伴肝昏迷 表 2-3-12
B19.000 病毒性肝炎，伴有肝昏迷 表 2-3-12
B19.001 急性重型病毒性肝炎伴肝昏迷 表 2-3-12
B19.002 亚急性重型病毒性肝炎伴肝昏迷 表 2-3-12
B20.000 人类免疫缺陷病毒[HIV]病造成的分枝杆菌感染 表 2-3-13
B20.000x001 艾滋病伴分枝杆菌感染 表 2-3-13
B20.001 人类免疫缺陷病毒病性结核菌感染 表 2-3-13
B20.002 人类免疫缺陷病毒病性颈淋巴结结核 表 2-3-13
B20.003 人类免疫缺陷病毒病性肺结核 表 2-3-13
B20.004 人类免疫缺陷病毒病性结核性胸膜炎 表 2-3-13
B20.005 人类免疫缺陷病毒病性肠结核 表 2-3-13
B20.006 人类免疫缺陷病毒病性结核性腹膜炎 表 2-3-13
B20.100 人类免疫缺陷病毒[HIV]病造成的其他细菌感染 表 2-3-13
B20.100x001 艾滋病伴细菌感染 表 2-3-13
B20.200 人类免疫缺陷病毒[HIV]病造成的巨细胞病毒病 表 2-3-13
1078
疾病编码 疾病名称 排除内容
B20.200x001 艾滋病伴巨细胞病毒感染 表 2-3-13
B20.300 人类免疫缺陷病毒[HIV]病造成的其他病毒感染 表 2-3-13
B20.300x001 艾滋病伴病毒感染 表 2-3-13
B20.301 人类免疫缺陷病毒病性带状疱疹 表 2-3-13
B20.400 人类免疫缺陷病毒[HIV]病造成的念珠菌病 表 2-3-13
B20.400x001 艾滋病伴念珠菌病 表 2-3-13
B20.500 人类免疫缺陷病毒[HIV]病造成的其他真菌病 表 2-3-13
B20.500x001 艾滋病伴真菌病 表 2-3-13
B20.600 人类免疫缺陷病毒[HIV]病造成的卡氏肺囊虫肺炎[肺孢子虫病] 表 2-3-13
B20.600x001 艾滋病伴卡氏肺孢子虫肺炎 表 2-3-13
B20.700 人类免疫缺陷病毒[HIV]病造成的多发性感染 表 2-3-13
B20.700x001 艾滋病伴多发性感染 表 2-3-13
B20.800 人类免疫缺陷病毒[HIV]病造成的其他传染病和寄生虫病 表 2-3-13
B20.801 人类免疫缺陷病毒病性弓形虫病 表 2-3-13
B20.900 人类免疫缺陷病毒[HIV]病造成的传染病和寄生虫病 表 2-3-13
B20.901 人类免疫缺陷病毒病造成寄生虫病 表 2-3-13
B21.000 人类免疫缺陷病毒[HIV]病造成的卡波西肉瘤 表 2-3-13
B21.000x001 艾滋病伴卡波西肉瘤 表 2-3-13
B21.100 人类免疫缺陷病毒[HIV]病造成的伯基特淋巴瘤 表 2-3-13
B21.100x001 艾滋病伴伯基特淋巴瘤 表 2-3-13
B21.200 人类免疫缺陷病毒[HIV]病造成的其他类型的非霍奇金淋巴瘤 表 2-3-13
B21.200x001 艾滋病伴非霍奇金淋巴瘤 表 2-3-13
B21.300 人类免疫缺陷病毒[HIV]病造成的淋巴造血和有关组织的其他恶性肿瘤 表 2-3-13
B21.700 人类免疫缺陷病毒[HIV]病造成的多发性恶性肿瘤 表 2-3-13
B21.800 人类免疫缺陷病毒[HIV]病造成的其他恶性肿瘤 表 2-3-13
B21.900 人类免疫缺陷病毒[HIV]病造成的恶性肿瘤 表 2-3-13
B22.000 人类免疫缺陷病毒[HIV]病造成的脑病 表 2-3-13
B22.000x001 艾滋病相关的脑病 表 2-3-13
B22.000x003 艾滋病性脑炎 表 2-3-13
B22.000x004 艾滋病性脑膜炎 表 2-3-13
B22.000x005 艾滋病性脑膜脑炎 表 2-3-13
B22.001+F02.4* 人类免疫缺陷病毒病性痴呆 表 2-3-13
B22.100 人类免疫缺陷病毒[HIV]病造成的淋巴组织间质性肺炎 表 2-3-13
B22.200 人类免疫缺陷病毒[HIV]病造成的消瘦综合征 表 2-3-13
B22.700 人类免疫缺陷病毒[HIV]病造成的分类于他处的多种疾病 表 2-3-13
B22.701 人类免疫缺陷病毒病性多发性疾病 表 2-3-13
B23.000 急性人类免疫缺陷病毒[HIV]感染综合征 表 2-3-13
B23.100 人类免疫缺陷病毒[HIV]病造成的（持续的）全身性淋巴结病 表 2-3-13
B23.100x001 持续性全身淋巴结肿大综合征 表 2-3-13
B23.100x002 HIV感染的不典型皮肤淋巴细胞增生性疾病 表 2-3-13
B23.200 人类免疫缺陷病毒[HIV]病造成的不可归类在他处的血液学和免疫学的异常 表 2-3-13
1079
疾病编码 疾病名称 排除内容
B23.201 人类免疫缺陷病毒病造成免疫学异常 表 2-3-13
B23.800 人类免疫缺陷病毒[HIV]病造成的其他特指的情况 表 2-3-13
B23.800x001 空泡样脊髓病 表 2-3-13
B23.800x002 艾滋病神经综合征 表 2-3-13
B23.801 免疫重建炎症综合征 表 2-3-13
B24.x00 人类免疫缺陷病毒[HIV]病 表 2-3-13
B24.x01 艾滋病 表 2-3-13
B26.300+K87.1* 流行性腮腺炎性胰腺炎 表 2-3-14
B27.000 γ疱疹病毒性单核细胞增多症 表 2-3-14
B27.001 EB病毒性单核细胞增多症 表 2-3-14
B27.100 巨细胞病毒性单核细胞增多症 表 2-3-14
B30.000+H19.2* 腺病毒性角膜结膜炎 表 2-3-14
B30.001+H19.2* 流行性角膜结膜炎 表 2-3-14
B33.300 反转录病毒感染，不可归类在他处者 表 2-3-14
B33.300x001 逆转录病毒感染 表 2-3-14
B33.400+J17.1* 汗坦病毒（心）-肺综合征[HPS][HCPS] 表 2-3-14
B33.400x001+J17.1* 汉坦病毒心肺综合征 表 2-3-14
B37.100 肺念珠菌病 表 2-3-15
B37.101+J17.2* 念珠菌性肺炎 表 2-3-15
B37.200 皮肤和指[趾]甲念珠菌病 表 2-3-15
B37.200x003 肢端念珠菌病 表 2-3-15
B37.200x005+H62.2* 念珠菌性外耳炎 表 2-3-15
B37.201 念珠菌性指甲炎 表 2-3-15
B37.202 念珠菌性趾甲炎 表 2-3-15
B37.203 念珠菌性甲沟炎 表 2-3-15
B37.204 念珠菌性甲床炎 表 2-3-15
B37.205 皮肤念珠菌病 表 2-3-15
B37.300+N77.1* 外阴和阴道念珠菌病 表 2-3-15
B37.300x002+N77.1* 真菌性外阴炎 表 2-3-15
B37.301+N77.1* 念珠菌性阴道炎 表 2-3-15
B37.302+N77.1* 念珠菌性外阴阴道炎 表 2-3-15
B37.400 泌尿生殖系部位的念珠菌病，其他的 表 2-3-15
B37.400x001+N37.0* 泌尿道念珠菌病 表 2-3-15
B37.401+N37.0* 念珠菌性尿道口炎 表 2-3-15
B37.402+N51.2* 念珠菌性龟头炎 表 2-3-15
B37.500+G02.1* 念珠菌性脑膜炎 表 2-3-15
B37.600+I39.8* 念珠菌性心内膜炎 表 2-3-15
B37.700 念珠菌性脓毒症 表 2-3-15
B37.700x001 念珠菌脓毒症 表 2-3-15
B37.800 念珠菌病，其他部位的 表 2-3-15
B37.800x083 呼吸道念珠菌感染 表 2-3-15
B37.800x084 念珠菌性唇炎 表 2-3-15
B37.800x085 脑念珠菌感染 表 2-3-15
