诊断操作包括如下：
D17.000x004 肩部脂肪瘤
I89.800x014 乳糜瘘
I89.800x015 颈部乳糜瘘
I89.800x020 颈部乳糜囊肿
I89.800x022 腋窝乳糜囊肿
I89.800x024 躯干乳糜囊肿
I89.800x025 盆腔乳糜囊肿
I89.800x026 会阴区乳糜囊肿
I89.800x027 髂部乳糜囊肿
I89.800x028 腹壁乳糜囊肿
I89.800x029 腰背部乳糜囊肿
I89.800x030 臀部乳糜囊肿
L90.500x006 头皮瘢痕
L90.500x007 枕部瘢痕
L90.500x008 鬓角瘢痕
L90.500x009 面部瘢痕
L90.500x010 额部瘢痕
L90.500x011 颞部瘢痕
L90.500x012 颧部瘢痕
L90.500x013 颌部瘢痕
L90.500x014 颏部瘢痕
L90.500x015 颊部瘢痕
L90.500x016 眼睑瘢痕
L90.500x017 内眦瘢痕
L90.500x018 上睑瘢痕
L90.500x019 下睑瘢痕
L90.500x020 外眦瘢痕
L90.500x021 眼眶瘢痕
L90.500x022 眉部瘢痕
L90.500x023 鼻部瘢痕
L90.500x024 鼻翼瘢痕
L90.500x025 口部瘢痕
L90.500x026 上唇瘢痕
L90.500x027 下唇瘢痕
L90.500x028 口角瘢痕
L90.500x029 耳部瘢痕
L90.500x030 耳垂瘢痕
L90.500x031 上肢瘢痕
L90.500x032 肩部瘢痕
L90.500x033 腋部瘢痕
L90.500x034 上臂瘢痕
L90.500x035 肘部瘢痕
L90.500x036 前臂瘢痕
L90.500x037 腕部瘢痕
L90.500x038 下肢瘢痕
L90.500x039 大腿瘢痕
L90.500x040 膝部瘢痕
L90.500x041 小腿瘢痕
L90.500x042 踝部瘢痕
L90.500x043 臀部瘢痕
L90.500x044 腘窝瘢痕
L90.500x045 乳房瘢痕
L90.500x046 乳头瘢痕
L90.500x047 乳晕瘢痕
L90.500x048 手部瘢痕
L90.500x049 手背瘢痕
L90.500x050 手掌瘢痕
L90.500x051 虎口瘢痕
L90.500x052 手指瘢痕
L90.500x053 拇指瘢痕
L90.500x054 足部瘢痕
L90.500x055 足背瘢痕
L90.500x056 足掌瘢痕
L90.500x057 足跟瘢痕
L90.500x058 足趾瘢痕
L90.500x059 (足母)趾瘢痕
L90.500x060 躯干瘢痕
L90.500x061 颈部瘢痕
L90.500x062 胸部瘢痕
L90.500x063 腹部瘢痕
L90.500x064 背部瘢痕
L90.500x065 腰部瘢痕
L90.500x066 脐部瘢痕
L90.500x067 全身多处瘢痕
L90.500x071 男性生殖器瘢痕
L90.500x072 睾丸瘢痕
L90.500x073 阴囊瘢痕
L90.500x074 男性外阴瘢痕
L90.501 瘢痕
L90.502 瘢痕挛缩
L90.503 瘢痕粘连
L90.504 痛性瘢痕
L90.505 手术后瘢痕
L90.800 皮肤的其他萎缩性疾患
L91.001 瘢痕疙瘩
L91.801 皮肤赘生物
L92.200 面部肉芽肿[皮肤嗜酸细胞肉芽肿]
L92.800 皮肤和皮下组织其他肉芽肿性疾患
L92.901 皮下组织肉芽肿
L92.903 皮肤肉芽肿
M79.801 上肢肿胀
M79.802 下肢肿胀
M79.803 巨手
M79.804 手肿胀
M79.805 脚趾肿胀
M79.806 足肿胀
M79.807 筋膜腐坏
M79.811 脂肪液化
N90.800x024 大阴唇瘢痕
N90.800x025 小阴唇瘢痕
R22.000x003 面部肿胀
R22.000x004 头部肿胀
R22.000x005 头部肿物
R22.002 头皮肿物
R22.003 鼻部肿物
R22.004 颊部肿物
R22.005 面部肿物
R22.006 耳部肿物
R22.100x001 颈部肿物
R22.100x002 颈部肿胀
R22.200x001 躯干肿胀
R22.200x002 躯干肿物
R22.200x004 胸部肿物
R22.202 胸壁肿物
R22.203 腹壁肿物
R22.204 腹股沟肿物
R22.205 背部肿物
R22.206 骶尾部肿物
R22.207 臀部肿物
R22.300x001 上肢肿物
R22.300x002 手肿物
R22.302 肩部肿物
R22.400x002 下肢肿物
R22.400x003 足肿物
R22.402 髋部肿物
R22.700x001 多部位肿胀
R22.700x002 多部位肿物
R22.901 局部肿物
R22.902 皮下肿物
R22.903 皮肤肿物
R22.904 皮下结节
