诊断操作包括如下：
A06.700 皮肤阿米巴病
L41.400 大斑块副银屑病
L41.500 网状副银屑病
L41.801 斑状副银屑病
L41.900 副银屑病
L51.000 非大疱型多形性红斑
L51.100 大疱型多形性红斑
L51.200 中毒性表皮坏死松解症[莱尔]
L51.802 渗出性多形红斑
L51.900 多形性红斑
L52.x00 结节性红斑
L53.000 中毒性红斑
L53.200 边缘性红斑
L53.901 红皮病
L64.000 药物性雄激素性脱发
L73.200 化脓性汗腺炎
L81.401 黑皮病
L81.402 黑变病
L81.701 进行性色素性皮肤病
L83.x00 黑棘皮病
L88.x00 坏疽性脓皮症
L89.000 受压区Ⅰ期压疮
L89.001 骶尾区Ⅰ期压疮
L89.002 坐骨区Ⅰ期压疮
L89.003 股骨区Ⅰ期压疮
L89.004 跟骨区Ⅰ期压疮
L89.005 足踝区Ⅰ期压疮
L89.006 肩胛区Ⅰ期压疮
L89.007 枕骨区Ⅰ期压疮
L89.008 多处Ⅰ期压疮
L89.100 受压区Ⅱ期压疮
L89.101 骶尾区Ⅱ期压疮
L89.102 坐骨区Ⅱ期压疮
L89.103 股骨区Ⅱ期压疮
L89.104 跟骨区Ⅱ期压疮
L89.105 足踝区Ⅱ期压疮
L89.106 肩胛区Ⅱ期压疮
L89.107 枕骨区Ⅱ期压疮
L89.108 多处Ⅱ期压疮
L89.200 受压区Ⅲ期压疮
L89.201 骶尾区Ⅲ期压疮
L89.202 坐骨区Ⅲ期压疮
L89.203 股骨区Ⅲ期压疮
L89.204 跟骨区Ⅲ期压疮
L89.205 足踝区Ⅲ期压疮
L89.206 肩胛区Ⅲ期压疮
L89.207 枕骨区Ⅲ期压疮
L89.208 多处Ⅲ期压疮
L89.300 受压区Ⅳ期压疮
L89.301 骶尾区Ⅳ期压疮
L89.302 坐骨区Ⅳ期压疮
L89.303 股骨区Ⅳ期压疮
L89.304 跟骨区Ⅳ期压疮
L89.305 足踝区Ⅳ期压疮
L89.306 肩胛区Ⅳ期压疮
L89.307 枕骨区Ⅳ期压疮
L89.308 多处Ⅳ期压疮
L89.900 受压区压疮
L92.000 环状肉芽肿
L92.801 脐肉芽肿
L93.000 盘状红斑狼疮
L93.001 红斑狼疮
L93.100 亚急性皮肤红斑狼疮
L93.200 局限性红斑狼疮，其他的
L93.200x003 肿胀性(瘤样)狼疮
L93.201 狼疮性脂膜炎
L93.202 深在性红斑狼疮
L94.000 局限性硬皮病[硬斑病]
L94.500 血管萎缩性皮肤异色病
L95.100 持久性隆起性红斑
L95.800 局限于皮肤的其他血管炎
L95.800x004 恶性萎缩性丘疹病
L95.801 结节性血管炎
L97.x00 下肢溃疡，不可归类在他处者
L98.200 热性中性粒细胞皮肤病[斯威特]
L98.400 皮肤慢性溃疡，不可归类在他处者
L98.401 热带溃疡
L98.502 黏液水肿性苔藓
L98.800x012 弥漫性皮肤肥大细胞增生病
L98.800x013 系统性肥大细胞增生病
L98.803 皮肤淋巴细胞瘤
M31.000x005 变应性皮肤血管炎
M34.000 进行性全身性硬皮病
M34.100 全身性钙质沉着综合征[CR(E)ST]
M34.200 药物和化学物质诱发的全身性硬皮病
M34.803 蒂比耶日-魏森巴赫综合征
M54.001 颈部脂膜炎
M54.002 骶部脂膜炎
M54.003 背部脂膜炎
M79.400 髌下脂肪垫肥大
M79.401 膝脂肪垫肥大
M79.403 髌前脂肪垫肥大
M79.404 髌后脂肪垫肥大
M79.809 普罗菲谢病
Q80.000 寻常性鱼鳞病
Q80.100 性联鱼鳞病
Q80.200 片层状鱼鳞癣
Q80.200x002 胶样婴儿
Q80.300 先天性大疱性鱼鳞病样红皮病
Q80.400 斑色胎儿
Q80.800 先天性鱼鳞病，其他的
Q80.800x001 非大疱型红皮病型鱼鳞病
Q80.900 先天性鱼鳞病
Q81.000 单纯性大疱性表皮松解症
Q81.100 致死性大疱性表皮松解症
Q81.200 营养不良性大疱性表皮松解症
Q81.800 大疱性表皮松解症，其他的
Q81.900 大疱性表皮松解症
Q82.800x010 毛发苔藓
Q82.800x011 先天性面部皮肤松弛
Q82.801 蓝色橡皮-疱痣综合征
Q82.802 良性家族性天疱疮
Q82.803 毛囊角化病
Q82.804 汗管角化症
Q82.805 疣状肢端角化症
Q82.806 遗传性掌跖角化症
Q84.800x012 先天性皮肤缺失
Q85.900x022 神经皮肤综合征
R21.x01 非特异性斑疹
R60.900x004 儿童急性出血性水肿
T14.000x002 身体浅表血肿
