包含以下主要诊断：
S00.102 额部血肿
S68.800x001 掌部创伤性切断
S69.900x001 腕部损伤
S69.900x002 手部损伤
S69.900x003 拇指损伤
S69.900x004 手指损伤
S71.000 髋开放性伤口
S71.100 大腿开放性伤口
S71.700 髋和大腿多处开放性伤口
S71.800x011 髋部开放性损伤伴骨折
S71.800x012 股部开放性损伤伴骨折
S71.800x021 髋部开放性损伤伴脱位
S71.800x022 股部开放性损伤伴脱位
S71.801 开放性骨盆带损伤
S77.000 髋部挤压伤
S77.100 大腿挤压伤
S77.200 髋伴有大腿挤压伤
S78.000 髋部创伤性切断
S78.100x001 大腿部切断
S79.900x001 髋部损伤
S81.000 膝开放性伤口
S81.700 小腿多处开放性伤口
S81.800x011 小腿开放性损伤伴骨折
S81.800x021 小腿开放性损伤伴脱位
S81.800x081 腓部开放性损伤
S81.800x082 腘窝开放性损伤
S81.800x083 胫部开放性损伤
S81.900 小腿开放性伤口
S87.000 膝挤压伤
S87.801 小腿挤压伤
S88.000x001 膝部切断
S88.100x001 小腿部切断
S91.000 踝开放性伤口
S91.100 趾开放性伤口不伴有趾甲损坏
S91.200 趾开放性伤口伴有趾甲损坏
S91.300x002 足部套脱伤
S91.300x003 跟部开放性损伤
S91.300x812 踝部开放性损伤伴骨折
S91.300x813 足部开放性损伤伴骨折
S91.300x822 踝部开放性损伤伴脱位
S91.700x002 踝部多处开放性损伤
S91.700x003 足部多处开放性损伤
S97.000 踝挤压伤
S97.100 足趾挤压伤
S97.800x002 踝和足挤压伤
S97.801 足挤压伤
S98.000x001 踝部切断
S98.100x001 单趾切断
S98.200x001 两趾切断
S98.200x002 多趾切断
S99.700x001 足部多处损伤
S99.700x002 踝部多处损伤
S99.900x001 足部损伤
S99.900x002 踝部损伤
T01.000x001 头和颈开放性损伤
T01.100x001 胸伴腹和下背及骨盆开放性损伤
T01.101 开放性胸腹损伤
T01.200x001 上肢多处开放性损伤
T01.300x001 下肢多处开放性损伤
T01.302 下肢多处裂伤
T01.600x001 上肢和下肢多处开放性损伤
T01.900 多处开放性伤口
T01.901 多发性穿刺伤
T01.902 多发性动物咬伤
T01.903 多发性切割伤
T01.904 多发性撕裂伤
T02.400x001 双上肢多发性骨折
T02.410 开放性多发性双上肢骨折
T02.500x001 双下肢多发性骨折
T02.510 开放性多发性双下肢骨折
T02.600x001 上肢伴下肢多发性骨折
T02.600x011 上肢伴下肢多发性开放性骨折
T02.610 开放性多发性肢体骨折
T02.700x001 胸伴下背和骨盆及四肢骨折
T02.710 开放性胸部伴有下背和骨盆及四肢骨折
T04.000x001 头和颈挤压伤
T04.100x001 躯干挤压伤
T04.200x001 上肢多处挤压伤
T04.300x001 下肢多处挤压伤
T04.400x001 上肢和下肢多处挤压伤
T04.700x001 胸伴腹和下背及骨盆四肢挤压伤
T04.901 全身性挤压伤
T05.000 双手创伤性切断
T05.100x001 手和对侧臂创伤性切断
T05.200x001 双臂创伤性切断
T05.300 双足创伤性切断
T05.300x002 双足部分创伤性切断
T05.400x001 足和对侧小腿创伤性切断
T05.500x001 双小腿创伤性切断
T05.600x001 上肢和下肢创伤性切断
T05.800x001 胸部创伤性切断
T05.800x002 腹部创伤性切断
T05.900 多处创伤性切断
T06.300x001 多处血管损伤
T06.500x001 胸内器官伴腹内及盆腔器官开放性~~损伤
T06.500x002 胸内器官伴腹内及盆腔器官损伤
T06.501 多脏器损伤
T07.x00 多处损伤
T09.100 躯干开放性伤口
T09.600 躯干创伤性切断
T09.800 躯干其他特指的损伤
T09.900 躯干损伤
T11.100 上肢开放性伤口
T11.600 上肢创伤性切断
T11.600x001 臂创伤性切断
T13.100 下肢开放性伤口
T13.600 下肢创伤性切断
T98.200x011 开放性损伤伴异物
