包含以下主要手术或操作：
17.3100 腹腔镜多段大肠切除术
45.9400x017 盲肠-结肠吻合术
45.9400x018 盲肠-直肠吻合术
45.9401 横结肠-降结肠吻合术
45.9402 横结肠-乙状结肠吻合术
45.9403 降结肠-直肠吻合术
45.9404 结肠-直肠吻合术
45.9405 乙状结肠-直肠吻合术
45.9406 升结肠-横结肠吻合术
45.9407 升结肠-降结肠吻合术
45.9408 升结肠-直肠吻合术
45.9500x001 直肠-肛门吻合术
45.9501 结肠-肛门吻合术
45.9502 回肠-肛门吻合术
45.9503 降结肠-肛门吻合术
45.9504 乙状结肠-肛门吻合术
46.0200 小肠外置段切除术
46.0400x002 肠外置段的切除术
46.0401 肠外置术（二期）
46.0402 结肠襻切除术
46.1000 结肠造口术
46.1000x007 腹腔镜下结肠造口术
46.1100x002 腹腔镜下结肠暂时性造口术
46.2000 回肠造口术
46.2001 腹腔镜回肠造口术
46.2200 节制性回肠造口术
46.2301 腹腔镜永久性回肠造口术
46.3100 其他肠造口的延迟性切开
46.3900x008 暂时性盲肠造口术
46.4000 肠造口修复术
46.5000 肠造口闭合术
46.5200x012 降结肠造口闭合术
46.6000 肠固定术
46.6100 小肠固定至腹壁
46.6101 回肠固定术
46.6400x001 腹腔镜下结肠固定术
46.6400x002 大肠折叠术
46.8001 肠系膜扭转复位术
46.8002 肠套叠复位术
46.8100x001 腹腔镜下小肠扭转复位术
46.8100x002 腹腔镜下小肠套叠复位术
46.8200x001 腹腔镜下大肠扭转复位术
46.8200x002 腹腔镜下大肠套叠复位术
46.8700 结肠支架的其他非内镜置入术
46.9700 肠移植
46.9900 肠的其他手术
48.0x04 直肠脓肿切开引流术
48.4104 直肠内拖出切除术
48.4106 腹腔镜直肠黏膜下切除术
48.4900x002 直肠切除术[Swenson 手术]
48.4900x003 直肠-腹-会阴拖出切除术
48.4901 会阴-直肠拖出术
48.4902 经前会阴超低位直肠切除术
48.4903 腹腔镜辅助经前会阴超低位直肠切除术
48.4904 斯文林直肠切除术
48.4905 Bacon-Black 术
48.5100 腹腔镜下腹会阴直肠切除术
48.5100x002 腹腔镜下经肛提肌外腹会阴直肠联~~合切除术[LELAPE 手术]
48.5200 开放性腹会阴直肠切除术
48.5201 肛提肌外腹会阴直肠联合切除术
48.5900x001 直肠全部切除术
48.6100 经骶直肠乙状结肠切除术
48.6100x001 腹腔镜下经腹直肠乙状结肠切除术
48.6100x002 腹腔镜下经骶直肠乙状结肠切除术
48.6100x002 腹腔镜下经骶直肠乙状结肠切除术
48.6200 直肠前切除术同时伴结肠造口术
48.6201 腹腔镜下直肠前切除伴结肠造口术
48.6300x001 腹腔镜下经括约肌间直肠前切除术~~（ISR）
48.6300x002 腹腔镜下经自然腔道直肠前切除术~~（NOSES）
48.6300x003 腹腔镜下超低位直肠前切除术
48.6300x004 低位直肠前切除术
48.6300x005 超低位直肠前切除术
48.6301 直肠前切除术
48.6302 腹腔镜下直肠前切除术
48.6303 腹腔镜低位直肠前切除术
48.6400x001 经骶尾直肠切除术
48.6500x001 腹-会阴拖出术
48.6900x002 腹腔镜下直肠根治术
48.6900x004 经肛门直肠病损根治术
48.6900x007 直肠根治术
48.6901 经骶经肛门括约肌直肠病损切除术
48.6902 直肠部分切除术
48.6903 直肠-乙状结肠切除术
48.6904 直肠乙状结肠部分切除术
48.6905 直肠切除术
48.6906 残余直肠切除术
48.6907 全结肠直肠(包括肛门)切除术
48.6908 残余直肠肛管切除术
48.6909 腹腔镜下直肠部分切除术
48.6910 腹腔镜直肠切除术
48.6911 腹腔镜直肠-乙状结肠部分切除术
48.6912 腹腔镜全结肠直肠（包括肛门）切除术
48.6913 腹腔镜帕克氏术（Park's 术）
54.4x00x051 直肠全系膜切除术
54.4x00x053 腹腔镜下经肛全直肠系膜切除术~~（L-TaTME）
54.4x00x054 经肛全直肠系膜切除术（TaTME）
70.5002 腹腔镜阴道前后壁修补术
70.5300x001 阴道前后壁修补术伴生物补片植入
70.7200 结肠阴道瘘修补术
70.7300 直肠阴道瘘修补术
70.7400x001 小肠-阴道瘘修补术
70.7401 小肠-阴道瘘切除术
