包含以下主要诊断：
B01.800x002+N08.0* 水痘并发肾炎
N07.700 遗传性肾病伴有弥漫性新月形肾小球肾~~炎，不可归类在他处者
N07.800 遗传性肾病，其他的,不可归类在他处者
N07.900x001 遗传性肾炎
N10.x00 急性肾小管-间质肾炎
N11.800x002 免疫相关的慢性间质性肾炎
N11.800x003 代谢异常相关的慢性间质性肾炎
N11.900 慢性肾小管-间质肾炎
N11.901 慢性间质性肾炎
N12.x00 肾小管-间质肾炎
N12.x01 间质性肾炎
N12.x03 肾小管病变
N13.801 梗阻性肾病
N14.000 镇痛剂肾病
N14.101 马兜铃酸肾病
N14.102 造影剂肾病
N14.201 药物性肾病
N14.301 汞中毒性肾病
N15.000 巴尔干肾病
N17.002 缺血性肾病
N18.100 慢性肾脏病 1 期
N18.200 慢性肾脏病 2 期
N18.300 慢性肾脏病 3 期
N18.900x011 慢性肾损害
N18.901 弥漫性硬化性肾小球肾炎
N25.100 肾性尿崩症
N25.800x006 莱 特 伍 德 - 奥 尔 布 赖 特 综 合 征~~[Lightwood-Albright 综合征]
N25.802 肾小管酸中毒
N25.803 肾小管酸中毒Ⅰ型
N25.804 肾小管酸中毒Ⅱ型
N25.806 肾小管酸中毒Ⅳ型
N25.900 肾小管功能损害所致的疾患
N26.x00 肾挛缩
N26.x01 肾小球硬化
N26.x02 肾硬化
N28.800x001 脂蛋白肾病
N28.817 失盐综合征
N28.900x004 非传染性肝炎相关性肾病
N28.900x013 继发性肾损害
N28.900x026 IgG 相关性肾病
N28.901 肾病
Q61.200 多囊肾，常染色体显性
Q61.400 肾发育不良
Q61.401 肾多囊性发育不良
Q61.402 多囊肾（进展型）
Q61.403 多囊性肾病
Q61.404 多囊肾发育不良
Q61.500 髓部囊性肾
Q63.000 副肾
Q63.102 马蹄形肾
Q63.201 肾旋转不良
Q63.203 异位肾盂
Q63.900 肾先天性畸形
Q87.800x903 Denys-Drash 综合征
