包含以下主要手术或操作：
00.0300 周围血管治疗性超声
03.1x01 脊髓后根神经切断术
03.1x02 脊髓前根神经切断术
03.2100x001 经皮脊髓切断术
03.2101 立体定向脊髓切断术
03.2900x003 脊髓前连合切断术
03.2900x004 脊髓前连合切开术
03.2901 脊髓前外侧束切断术
03.2902 脊髓神经束切断术
03.2903 脊髓丘脑侧索切断术
03.4x00x001 脊髓髓内病损切除术
03.4x00x002 脊髓病损栓塞术
03.4x00x004 硬脊膜切除术
03.4x00x007 脊髓脊膜病损电凝破坏术
03.4x01 颈髓病损切除术
03.4x02 硬脊膜囊肿造袋术
03.4x03 脊髓病损切除术
03.4x04 硬脊膜病损切除术
03.4x05 硬脊膜外病损切除术
03.4x06 硬脊膜下病损切除术
03.4x07 内镜下椎管内病损切除术
03.5100x003 脑脊膜膨出修补术
03.5200x003 脊髓外露修补术
03.6x00x008 脊髓终丝切断术
03.6x00x010 脊髓脊膜松解术
03.6x00x011 脊髓栓系松解术
03.6x01 脊髓粘连松解术
03.6x02 脊髓神经根粘连松解术
03.6x03 脊髓蛛网膜粘连松解术
03.7100 脊髓蛛网膜下-腹腔分流术
03.7101 脊髓空洞腹腔引流术
03.7200 脊髓蛛网膜下-输尿管分流术
03.7900x002 脊髓-蛛网膜下腔分流术
03.7901 脊髓硬膜外分流术
03.7902 脊髓空洞蛛网膜下腔分流术
03.7904 胸腔脊膜吻合术
03.7905 腰-蛛网膜下腔分流术
03.7906 输卵管脊膜吻合术
03.9201 脊髓蛛网膜下腔注射术
03.9202 脊髓鞘内注射
03.9302 脊髓神经刺激器置换术
03.9400x001 骶神经电刺激器导线取出术
03.9500 脊髓血块补片
03.9600 经皮的椎骨关节面去神经术
03.9700x001 脊髓膜分流修正术
03.9801 脊髓蛛网膜下腔-腹腔分流管去除术
04.0100x003 听神经切断术
04.0101 经乙状窦后入路听神经瘤切除术
04.0102 经迷路内听道听神经瘤切除术
04.0103 前庭神经切断术
04.0200x005 三叉神经感觉根部分切断术
04.0200x007 三叉神经射频毁损术
04.0201 延髓三叉神经脊髓束切断术
04.0202 颞下三叉神经根切断术
04.0203 经后颅窝三叉神经感觉根切断术
04.0204 上牙槽神经切断术
04.0205 筛前神经切断术
04.0300x002 闭孔神经切断术
04.0300x003 脊神经根切断术
04.0300x009 颈神经后根切断术
04.0300x010 腰骶神经后根切断术
04.0300x011 面神经分支切断术
04.0300x012 膈神经切断术
04.0300x013 翼管神经切断术
04.0301 颅神经切断术
04.0303 面神经切断术
04.0304 周围神经切断术
04.0305 指神经切断术
04.0306 趾神经切断术
04.0307 运动神经切断术
04.0308 坐骨神经切断术
04.0309 胫神经肌支切断术
04.0400x025 牙槽神经探查术
04.0400x029 胸背神经探查术
04.0401 面神经解剖术
04.0402 颅神经探查术
04.0404 面神经探查术
04.0405 喉返神经探查术
04.0406 副神经探查术
04.0407 舌下神经探查术
04.0408 周围神经探查术
04.0409 颈丛神经探查术
04.0410 臂丛神经探查术
04.0411 腰丛神经探查术
04.0412 骶丛神经探查术
04.0413 膈神经探查术
04.0414 坐骨神经探查术
04.0415 腋神经探查术
04.0416 肌皮神经探查术
04.0417 肩胛上神经探查术
04.0418 正中神经探查术
04.0419 尺神经探查术
04.0420 桡神经探查术
04.0421 指神经探查术
04.0422 肋间神经探查术
04.0423 股神经探查术
04.0424 胫神经探查术
04.0425 腓总神经探查术
04.0426 足底神经探查术
04.0500 半月神经节切除术
04.0700x030 神经内镜下经鼻腔视神经管减压术
04.0701 滑车神经撕脱术
04.0702 三叉神经撕脱术
04.0703 眶上神经撕脱术
04.0704 眶下神经撕脱术
04.0705 下牙槽神经撕脱术
04.0706 舌神经撕脱术
04.0707 颅神经病损切除术
04.0708 视神经病损切除术
04.0709 三叉神经病损切除术
04.0710 面神经病损切除术
04.0711 听神经病损切除术
04.0712 鼓室神经丛切除术
04.0713 周围神经病损切除术
04.0714 颈神经病损切除术
04.0715 臂丛神经病损切除术
04.0716 腰神经病损切除术
04.0717 骶尾部神经病损切除术
04.0718 坐骨神经病损切除术
04.0719 尺神经病损切除术
04.0720 桡神经病损切除术
04.0721 腓总神经病损切除术
04.0722 颅神经切除术
04.0723 视神经切除术
04.0724 面神经切除术
04.0725 听神经切除术
04.0726 经乙状窦后入路听神经切除术
04.0727 前庭神经切除术
04.0728 经迷路内听道前庭神经切除术
04.0729 舌咽神经切除术
04.0730 喉返神经切除术
04.0731 周围神经切除术
04.0732 肋间神经切除术
04.0733 骶前神经切除术
04.1101 闭合性颅神经活组织检查
04.1102 闭合性周围神经活组织检查
04.1103 闭合性神经节活组织检查术
04.1201 颅神经活组织检查
04.1202 周围神经活组织检查
04.1203 神经节活组织检查术
04.2x00x001 肋间神经冷冻镇痛术
04.2x02 周围神经破坏术
04.2x03 周围神经烧灼术
04.2x04 脊神经破坏术
04.2x11 肋间神经射频消融术
04.3x00x012 臂丛神经上、中、下干缝合术
04.3x00x017 腓肠神经吻合术
04.3x00x018 腋神经吻合术
04.3x00x019 下颌神经吻合术
04.3x00x020 隐神经吻合术
04.3x00x021 隐神经修复术
04.3x00x023 马尾神经缝合术
04.3x00x024 皮神经缝合术
04.3x00x025 耳大神经吻合术
04.3x00x026 腓总神经吻合术
04.3x00x028 迷走神经干吻合术
04.3x01 颅神经缝合术
04.3x02 面神经缝合术
04.3x03 迷走神经缝合术
04.3x04 喉返神经缝合术
04.3x05 周围神经缝合术
04.3x07 腰丛神经缝合术
04.3x08 骶丛神经缝合术
04.3x09 肌皮神经缝合术
04.3x10 正中神经缝合术
04.3x11 尺神经缝合术
04.3x12 桡神经缝合术
04.3x13 指神经缝合术
04.3x14 闭孔神经缝合术
04.3x17 胫神经缝合术
04.3x18 腓神经缝合术
04.4100x007 三叉神经根粘连松解术
04.4200x006 经后颅窝面神经减压术
04.4200x007 枕下神经减压术
04.4200x014 面神经根粘连松解术
04.4200x017 迷走神经根粘连松解术
04.4201 视神经减压术
04.4202 内镜下视神经减压术
04.4203 面神经减压术
04.4204 面神经微血管减压术
04.4205 内镜下面神经微血管减压术
04.4206 听神经减压术
04.4207 听神经根粘连松解术
04.4208 舌咽神经减压术
04.4211 迷走神经减压术
04.4212 喉返神经松解术
04.4213 副神经减压术
04.4300 腕管松解术
04.4301 关节镜下腕管松解术
04.4400 跗管松解术
04.4900x033 腓浅神经松解术
04.4900x034 腓深神经松解术
04.4900x035 腋神经松解术
04.4900x037 胫后神经松解术
04.4900x042 周围神经松解术
04.4900x043 肘管松解术
04.4900x044 跖管减压术
04.4900x045 踝管减压术
04.4901 臂丛神经松解术
04.4902 舌神经根松解术
04.4903 神经根管松解术
04.4904 腰丛神经松解术
04.4905 骶神经松解术
04.4906 马尾神经松解术
04.4907 正中神经松解术
04.4908 尺神经松解术
04.4909 桡神经松解术
04.4910 指神经松解术
04.4911 坐骨神经松解术
04.4912 下肢外周神经减压术
04.4913 股神经松解术
04.4914 胫神经松解术
04.4915 腓总神经松解术
04.4916 腓神经松解术
04.4917 足神经松解术
04.4918 跖间神经松解术
04.4919 趾间神经松解术
04.5x00x005 颅神经移植术
04.5x00x009 耳大神经移植术
04.5x00x016 周围神经移植术
04.5x01 面神经移植术
04.5x02 臂丛神经移植术
04.5x03 正中神经移植术
04.5x04 尺神经移植术
04.5x05 桡神经移植术
04.5x06 指神经移植术
04.5x07 坐骨神经移植术
04.5x08 股神经移植术
04.5x09 腓总神经移植术
04.5x10 腓肠神经移植术
04.6x00x010 同侧脊神经根移位术
04.6x00x012 闭孔神经移位术
04.6x00x013 尺神经部分神经束移位术
04.6x00x014 尺神经前移术
04.6x00x015 肱三头肌支移位术
04.6x00x017 脑神经移位术
04.6x00x018 桡神经浅支移位术
04.6x00x019 正中神经部分神经束移位术
04.6x00x020 周围神经移位术
04.6x01 副神经移位术
04.6x02 耳大神经移位术
04.6x03 下牙槽神经移位术
04.6x04 颈丛神经移位术
04.6x05 健侧颈 7 神经移位术
04.6x06 肋间神经移位术
04.6x07 胸背神经移位术
04.6x08 正中神经移位术
04.6x09 桡神经移位术
04.6x10 尺神经移位术
04.6x12 膈神经移位术
04.7100 舌下神经-面神经吻合术
04.7200 副神经-面神经吻合术
04.7300 副神经-舌下神经吻合术
04.7400x032 面神经-三叉神经吻合术
04.7401 颅神经吻合术
04.7402 面神经吻合术
04.7403 面神经膈神经吻合术
04.7404 舌下神经吻合术
04.7405 牙槽神经吻合术
04.7406 迷走神经吻合术
04.7407 周围神经吻合术
04.7408 指神经吻合术
04.7409 尺神经吻合术
04.7410 桡神经吻合术
04.7411 臂丛神经吻合术
04.7412 正中神经吻合术
04.7413 肌皮神经吻合术
04.7414 闭孔神经吻合术
04.7415 坐骨神经吻合术
04.7416 股神经吻合术
04.7417 胫神经吻合术
04.7418 腓神经吻合术
04.7500x001 颅神经调整术
04.7500x002 周围神经调整术
04.7500x003 正中神经调整术
04.7501 颅神经修复术
04.7502 周围神经修复术
04.7503 正中神经修复术
04.7601 尺神经延迟修补术
04.7602 桡神经延迟修补术
04.7603 皮神经延迟修补术
04.9100 神经牵伸术
04.9202 周围神经刺激器置换术
04.9203 骶神经神经刺激器置入术
04.9300x001 周围神经电刺激器导线去除术
04.9301 骶神经刺激电极取出术
05.0x00x001 交感神经切断术
05.0x01 胸腔镜下交感神经切断术
05.1101 交感神经活组织检查
05.1102 交感神经节活组织检查
05.2100 蝶腭神经节切除术
05.2100x002 翼腭神经节破坏术
05.2200 颈交感神经切除术
05.2300 腰交感神经切除术
05.2300x003 超声内镜下腹腔神经丛阻滞术(CPN)
05.2300x006 经皮腹腔神经丛射频消融术
05.2301 腹腔镜腰交感神经切除术
05.2401 腹腔镜骶前神经切断术
05.2402 骶前神经切断术
05.2500 动脉周围交感神经切除术
05.2901 交感神经切除术
05.2902 交感神经病损切除术
05.2903 胸交感神经切除术
05.2904 胸腔镜下胸交感神经部分切除术
05.8101 交感神经修补术
05.8102 交感神经节修补术
05.8900x001 交感神经瘤切除术
06.2x00 单侧甲状腺叶切除术
06.2x01 腔镜下单侧甲状腺切除术
06.2x02 单侧甲状腺切除伴甲状腺峡部切除术
06.2x03 单侧甲状腺切除伴他叶部分切除术
06.2x04 单侧甲状腺切除伴峡部和其他叶部分切~~除术
06.3100 甲状腺病损切除术
06.3102 甲状腺病损射频消融术
06.3900x001 残余甲状腺大部切除术
06.3900x003 单侧甲状腺部分切除术
06.3900x004 单侧甲状腺次全切除术
06.3900x011 腔镜下甲状腺次全切除术
06.3900x012 双侧甲状腺部分切除术
06.3900x013 双侧甲状腺次全切除术
06.3901 甲状腺大部切除术
06.3902 腔镜下甲状腺大部切除术
06.3903 异位甲状腺切除术
06.3904 甲状腺楔形切除术
06.3905 甲状腺峡部切除术
06.3906 甲状腺峡部部分切除术
06.3907 腔镜下甲状腺峡部切除术
06.3908 腔镜下甲状腺部分切除术
06.4x00 甲状腺全部切除术
06.4x02 腔镜下甲状腺全部切除术
06.5000 胸骨下甲状腺切除术
06.5200 胸骨下甲状腺全部切除术
06.6x00 舌部甲状腺切除术
06.7x00 甲状舌管切除术
06.7x00x003 甲状舌管瘘闭合术
06.7x01 甲状舌管病损切除术
06.7x02 甲状舌管瘘切除术
06.8905 移植甲状旁腺切除术
06.9200 甲状腺血管结扎术
06.9300 甲状腺缝合术
06.9401 甲状腺自体移植术
06.9501 甲状旁腺自体移植术
06.9502 甲状旁腺异体移植术
06.9900x002 甲状旁腺病损破坏术
07.0100 单侧肾上腺区探查术
07.0200 双侧肾上腺区探查术
07.1200 开放性肾上腺活组织检查
07.2100 肾上腺病损切除术
07.2200 单侧肾上腺切除术
07.2201 腹腔镜单侧肾上腺切除术
07.2900x001 单侧肾上腺大部分切除术
07.2900x003 肾上腺部分切除术
07.2901 肾上腺大部切除术
07.2902 腹腔镜肾上腺部分切除术
07.3x00 双侧肾上腺切除术
07.3x01 腹腔镜双侧肾上腺切除术
07.4101 肾上腺探查术
07.4102 腹腔镜肾上腺探查术
07.4103 肾上腺切开引流术
07.4200 肾上腺神经切断
07.4200x002 经皮肾动脉去交感神经射频消融术
07.4300 肾上腺血管结扎术
07.4400 肾上腺修补术
07.4501 肾上腺自体移植术
07.4900x002 肾上腺病损破坏术
07.8000 胸腺切除术
07.8001 胸腔镜下胸腺切除术
07.8100 胸腺部分切除术
07.8100x009 CT 引导下胸腺病损射频消融术
07.8201 胸腺扩大切除术
07.8300 胸腔镜下胸腺部分切除术
07.8300x002 胸腔镜下胸腺病损切除术
07.8400 胸腔镜下胸腺全部切除术
07.8401 胸腔镜下胸腺扩大切除术
07.9100 胸腺区探查术
07.9200x001 胸腺切开探查术
07.9300 胸腺修补术
07.9400 胸腺移植术
07.9500 胸腔镜下胸腺切开术
07.9800 胸腺其他和未特指的胸腔镜手术
07.9901 胸腺固定术
08.0100 睑缘切开术
08.0200 睑缝合后切开术
08.0901 眼睑切开探查术
08.0902 眼睑切开引流术
08.0903 眼睑粘连松解术
08.0904 眼睑切开异物取出术
08.2000x003 眉部瘢痕切除术
08.2000x005 眼睑瘢痕切除术
08.2000x006 眼睑病损切除术
08.2000x009 眼睑皮肤和皮下坏死组织切除清创~~术
08.2000x010 眼睑皮肤和皮下组织非切除性清创
08.2001 眉部病损切除术
08.2002 睑板腺切除术
08.2003 眦病损切除
08.2100 睑板腺囊肿切除术
08.2100x001 睑板腺囊肿刮除术
08.2100x004 睑板腺脓肿切开引流术
08.2200x003 眼睑小病损切除术
08.2201 睑板腺病损切除术
08.2300x001 眼睑病损板层切除术
08.2400x001 眼睑病损全层切除术
08.2500 眼睑病损破坏术
08.3101 上睑下垂额肌瓣悬吊术
08.3102 额肌缝线睑下垂修补术
08.3200x001 上睑下垂缝线悬吊术
08.3200x002 上睑下垂异体组织额肌悬吊术
08.3200x003 上睑下垂额肌悬吊术
08.3201 硬脑膜异体额肌悬吊术
08.3202 眼阔筋膜悬吊术
08.3300x001 上睑下垂提上睑肌缩短术
08.3400x001 上睑下垂上直肌提吊术
08.3500 上睑下垂修补术，用睑板法
08.3600x002 上睑下垂眼轮匝肌悬吊术
08.3700 上睑下垂矫正过度复位术
08.3800 睑退缩矫正术
08.4101 睑外翻热灼修补术
08.4102 睑内翻热灼修补术
08.4201 睑外翻缝合修补术
08.4202 睑内翻缝合修补术
08.4203 睑轮匝肌缩短睑内翻修补术
08.4204 睑轮匝肌重叠，睑外翻修补术
08.4301 睑外翻楔形切除修补术
08.4302 睑内翻楔形切除修补术
08.4401 睑内翻矫正伴睑重建术
08.4402 睑外翻矫正伴睑重建术
08.4403 Wheeler 睑内翻修补术
08.4901 睑外翻矫正术
08.5100 眦切开术
08.5101 睑裂增大术
08.5200 睑缝合术
08.5200x002 睑缘缝合术
08.5200x003 眦缝合术
08.5200x004 睑板缝合术
08.5900x001 眦移位矫正术
08.5900x004 内眦成形术
08.5900x005 外眦成形术
08.5900x006 眦韧带固定术
08.5900x007 眦韧带修复术
08.5901 内眦赘皮修补术
08.5902 眦成形术
08.5903 眶距增宽矫正术
08.5904 眦韧带悬吊术
08.6100x002 眼睑全厚植皮术
08.6100x003 眼睑中厚植皮术
08.6100x004 游离皮瓣移植眼睑重建术
08.6101 局部皮瓣转位眼睑重建术
08.6102 眼睑皮片移植重建术
08.6103 带蒂头皮瓣眉再造术
08.6201 黏膜瓣移植眼睑重建术
08.6301 头皮移植法眉毛再造术
08.6400 用结膜睑板移植片的眼睑重建术
08.6900 用皮瓣或移植物的其他眼睑重建术
08.7001 眉重建术
08.7100x001 眼睑非全层伴睑缘重建术
08.7200x001 眼睑板层重建术
08.7300x001 眼睑全层伴睑缘重建术
08.7400x001 眼睑全层重建术
08.8101 眼睑裂伤缝合术
08.8102 眉裂伤缝合术
08.8200x001 眼睑非全层的眼睑裂伤及修补术
08.8300x001 眼睑非全层裂伤修补术
08.8400x001 眼睑全层及睑缘裂伤修补术
08.8500x001 眼睑全层裂伤修补术
08.8600 下眼睑皱纹切除术
08.8600x002 眼袋切除术
08.8700 上眼睑皱纹切除术
08.8900x002 异体睑板移植术
08.8900x005 重建眉修整术
08.8901 外眦皱纹切除术
08.8902 重睑术
08.8903 眉修补术
08.9200 冷冻外科眼睑拔睫毛术
09.0x00x001 泪囊切开引流术
09.2100 泪腺病损切除术
09.3x00x001 泪腺悬吊术
09.3x02 泪腺加固术
09.4100 泪点探通术
09.4401 鼻泪管支架植入术
09.4402 鼻泪管激光探通插管术
09.4404 人工泪管置入术
09.4405 泪小管穿线插管术
09.4900x002 鼻内镜下人工泪管取出术
09.4900x003 人工泪管取出术
09.4901 泪道挂线术
09.5100 泪点切开术
09.5200 泪小管切开术
09.5300 泪囊切开术
09.5900x001 泪管切开术
09.6x00x001 泪管病损切除术
09.6x00x006 泪小管病损切除术
09.6x01 泪囊切除术
09.6x02 泪囊病损切除术
09.6x03 泪道病损切除术
09.6x04 泪小管切除术
09.7100 泪点外翻矫正术
09.7200x001 泪点修补术
09.7201 泪点重建术
09.7300x001 泪小管成形术
09.7300x003 泪小管缝合术
09.7300x004 泪道重建术
09.7301 泪小管吻合术
09.8100 泪囊鼻腔吻合术[DCR]
09.8100x004 鼻内镜下鼻腔泪囊造口术
09.8101 内镜下鼻-泪管吻合术
09.8200 结膜泪囊鼻腔吻合术
09.8301 结膜-鼻腔吻合插管术
09.9900x002 泪囊瘘口封闭术
10.0x00x001 结膜切开异物取出术
10.1x00x001 结膜切开探查术
10.1x00x002 结膜引流术
10.2900x001 结膜囊探查术
10.3102 结膜环切除术
10.3201 结膜冷冻术
10.3300x002 结膜结石取出术
10.3301 沙眼滤泡去除术
10.3302 沙眼摩擦挤压术
10.4100x001 睑球粘连游离移植物修补术
10.4101 睑球粘连羊膜移植修补术
10.4102 睑球粘连口唇黏膜移植修补术
10.4200x001 结膜穹窿游离移植物重建术
10.4201 结膜穹窿羊膜移植重建术
10.4202 结膜穹窿口唇黏膜移植重建术
10.4300x002 结膜穹窿成形术
10.4400x001 结膜移植术
10.4401 自体结膜移植术
10.4402 异体结膜移植术
10.4403 羊膜移植结膜修补术
10.4900x001 结膜成形术
10.4900x003 结膜修补术
10.4901 结膜滤过泡瘘修补术
10.4903 结膜囊成形术
10.4904 结膜瓣修补术
10.5x01 睑球粘连分离术
10.6x00x001 结膜缝合术
10.6x00x002 结膜撕裂修补术
10.9900x001 结膜瓣遮盖术
10.9901 结膜松弛矫正术
11.0x00 磁吸法去除嵌入角膜异物
11.1x00 角膜切开术
11.1x01 角膜切开异物去除术
11.3100x001 翼状胬肉转位术
11.3200 胬肉切除术伴角膜移植术
11.3201 翼状胬肉切除伴自体干细胞移植术
11.3203 翼状胬肉切除伴羊膜植片移植术
11.3204 翼状胬肉切除术伴丝裂霉素注入
11.3900x001 翼状胬肉切除术
11.3901 翼状胬肉切除伴结膜移植术
11.4100x001 角膜上皮刮除术
11.4200 角膜病损的热灼术
11.4300 角膜病损的冷冻疗法
11.4901 板层角膜切除术
11.4903 角膜病损切除术
11.5100 角膜裂伤缝合术
11.5101 角巩膜瘘缝合术
11.5200 角膜手术后伤口裂开修补术
11.5300x001 结膜瓣角膜修补术
11.5900x001 角膜修补术
11.5900x002 角膜间层烧灼术
11.5901 角膜缝线调整术
11.6000x002 部分角膜缘移植术
11.6000x003 全角膜缘移植术
11.6100 用自体移植物的板层角膜成形术
11.6200x002 板层角膜移植术
11.6200x003 角膜板层修补术
11.6300x001 穿透性自体角膜移植术
11.6300x002 自体角膜转位术
11.6400x001 穿透性角膜移植术
11.6400x002 羊膜移植的角膜成形术
11.6900x001 全层角膜移植术
11.6900x003 异体角膜缘干细胞移植术
11.7100x001 屈光性角膜成形术
11.7100x002 准分子激光角膜原位磨镶术[LASIK]
11.7100x002 准分子激光角膜原位磨镶术[LASIK]
11.7100x005 准分子激光屈光性角膜切削术[PRK]
11.7100x007 全飞秒微小切口基质透镜切除术~~（SMILE）
11.7101 准分子原位角膜磨镶术
11.7102 前弹力层下角膜磨镶术[SBK]
11.7103 微型角膜刀法准分子激光角膜上皮瓣下~~磨镶术（Epi-LASIK）
11.7104 准分子激光角膜上皮瓣下磨镶术（LASEK）
11.7300x001 人工角膜移植术
11.7300x001 人工角膜移植术
11.7400x001 角膜交联术
11.7400x001 角膜交联术
11.7500 放射性角膜切开术
11.7600 表面角膜镜片术
11.7900x001 角膜基质环植入术
11.7901 不规则散光矫正术
11.7902 角膜植片更换术
11.9100x001 角膜染色术[墨针]
11.9200x001 植入角膜去除术
11.9900x002 自体角膜缘干细胞取材术
12.0100 用磁吸法去除眼前节眼内异物
12.0200x002 眼前房切开异物取出术
12.0200x003 巩膜异物取出术
12.0200x004 眼前节非磁性异物取出术
12.1100x002 虹膜激光切开贯通术
12.1101 虹膜激光打孔术
12.1200x001 虹膜切开术
12.1201 瞳孔缘剪开术
12.1202 虹膜激光切开术
12.1203 虹膜括约肌切断术
12.1300 虹膜脱出切除术
12.1400x001 虹膜部分切除术
12.1401 虹膜全切除术
12.1402 虹膜激光切除术
12.1403 虹膜周边切除术
12.1404 虹膜周边激光切除术
12.3100 虹膜前房角粘连松解术
12.3200x001 虹膜前粘连松解术
12.3300 虹膜后粘连松解术
12.3301 虹膜粘连松解术
12.3400 角膜玻璃体粘连松解术
12.3500 瞳孔成形术
12.3501 瞳孔膜穿刺术
12.3502 瞳孔粘连松解术
12.3503 瞳孔切开术
12.3504 瞳孔残膜切除术
12.3505 滤过泡针拨术
12.3900x001 虹膜修补术
12.3900x004 虹膜还纳术
12.3901 虹膜离断缝合术
12.3902 虹膜复位术
12.4100x001 眼前房病损激光切除术
12.4200 虹膜病损切除术
12.4201 前房机化膜切除术
12.4300x001 睫状体病损破坏术
12.4400 睫状体病损切除术
12.4401 虹膜睫状体切除术
12.5100x001 前房角穿刺术
12.5200x001 前房角切开术
12.5300 眼前房角切开伴眼前房角穿刺
12.5400 外路小梁切开术
12.5501 睫状体切开术
12.5900x001 房角分离术
12.5900x003 巩膜静脉窦扩张术[Schlemm's 管扩~~张术]
12.5900x003 巩膜静脉窦扩张术[Schlemm's 管扩~~张术]
12.5901 前房角成形术
12.6100 巩膜环钻术伴虹膜切除术
12.6200 巩膜热灼术伴虹膜切除术
12.6301 虹膜嵌顿术
12.6400x001 激光小梁成形术[ALP、KLP]
12.6400x003 滤帘切除术[小梁切除术]
12.6400x009 小梁切除术伴人造移植物
12.6400x010 滤过道再通术
12.6401 氪激光小梁成形术[KLP]
12.6402 小梁消融术
12.6403 氩激光小梁成形术[ALP]
12.6404 小梁切除术伴丝裂霉素注入
12.6405 非穿透性小梁切除术
12.6406 小梁切除术伴羊膜移植
12.6407 小梁切除术伴移植物
12.6408 非穿透小梁切除术伴移植物
12.6500x003 巩膜灼瘘术
12.6500x004 虹膜周边切除伴巩膜造瘘术[谢氏手~~术]
12.6501 巩膜切除术
12.6502 巩膜下巩膜咬切术
12.6503 虹膜巩膜切除术
12.6600 巩膜造口术后修复术
12.6601 滤泡修复术
12.6700x010 眼压调节器再次置入术
12.6703 前房导管术
12.6901 脉络膜上腔巩膜内引流术
12.7401 睫状体贫血术
12.8100 巩膜裂伤缝合术
12.8200x001 巩膜瘘修补术
12.8302 巩膜瓣剥离术
12.8303 巩膜缝线调整术
12.8304 巩膜环扎带修正术
12.8400x002 巩膜咬切术
12.8400x004 巩膜缝合术
12.8401 巩膜灼烙术
12.8402 巩膜透热术
12.8403 巩膜病损切除术
12.8404 巩膜冷冻术
12.8500x002 异体巩膜移植术
12.8600x001 巩膜葡萄肿修补术
12.8700x005 巩膜移植物加固术
12.8701 巩膜异体羊膜填充术
12.8702 巩膜生物胶植入术
12.8703 巩膜外加压术伴填充
12.8801 巩膜外加压术
12.8802 后巩膜加固术
12.8900x001 巩膜板层移植术
12.8900x007 巩膜交联术
12.8901 巩膜修补术
12.8902 巩膜成形术
12.8903 巩膜切开探查术
12.8904 巩膜切开放液术
12.9100x002 机化膜切除
12.9100x004 睫状体放液术
12.9100x006 前房抽吸术
12.9101 前房穿刺术
12.9102 前房冲洗术
12.9201 前房注气术
12.9202 前房注液术
12.9203 前房药物注射术
12.9301 前房上皮衍生物去除术
12.9302 前房上皮衍生物破坏
12.9701 人工虹膜隔取出术
12.9702 人工虹膜隔植入术
12.9703 虹膜缩短术
12.9801 睫状体缝合术
12.9802 睫状体固定术
