包含以下主要诊断：
A18.200x006 淋巴结结核
R59.012 腹膜后淋巴结肿大
R59.013 盆腔淋巴结肿大
R59.014 腹股沟淋巴结肿大
R59.100 全身性淋巴结增大
R59.100x002 淋巴结病
R72.x00x002 白细胞分类计数异常
R76.801 低补体血症
R93.300x002 脾占位性病变
R94.800x001 脾功能异常
S36.000 脾损伤
S36.000x021 脾被膜撕裂
S36.000x031 脾撕裂伴软组织损伤
S36.000x081 脾穿透伤
S36.001 创伤性脾血肿
S36.002 创伤性脾破裂
S36.011 开放性脾破裂
T86.000 骨髓移植排斥
T86.000x003 急性移植物抗宿主病
T86.000x004 慢性移植物抗宿主病
T86.001 移植物抗宿主反应
