包含以下主要诊断：
A18.000x002+M90.0* 腭骨结核
M06.002 缓解性血清阴性对称性滑膜炎伴凹陷性~~水肿综合征
M06.003 滑膜炎-痤疮-脓疱疹-骨肥厚-骨炎综合~~征
M06.100 成年型斯蒂尔病
M06.200 类风湿性滑囊炎
M06.300 类风湿性结节
M06.800 类风湿性关节炎，其他特指的
M06.800x051 类风湿性髋关节炎
M06.800x071 类风湿性足关节炎
M06.900 类风湿性关节炎
M06.901 类风湿性肩关节关节炎
M06.902 类风湿性肘关节关节炎
M06.903 类风湿性腕关节关节炎
M06.904 类风湿性手骨间关节关节炎
M06.906 类风湿性膝关节关节炎
M06.907 类风湿性踝关节关节炎
M06.908 类风湿性斜颈
M06.909 类风湿性多部位关节炎
M08.000 幼年型类风湿性关节炎
M08.001 幼年型类风湿因子阴性关节炎
M08.002 幼年型类风湿因子阳性关节炎
M08.100 幼年型关节强硬性脊椎炎
M08.100x092 幼年型脊椎关节炎
M08.200 幼年型关节炎伴有全身性发病
M08.201 幼年型斯蒂尔病
M08.300 幼年型多关节炎(血清反应阴性)
M08.300x001 多关节型儿童类风湿病
M08.301 慢性幼年型多关节炎
M08.400 少关节性幼年型关节炎
M08.800x091 幼年型特发性关节炎
M08.900 幼年型关节炎
M10.400 继发性痛风，其他的
M11.800x093 假性痛风性关节炎
M11.801 焦磷酸盐结晶性关节炎(病)
M11.802 磷酸二钙结晶性关节炎(病)
M12.300 复发性风湿病
M23.601 自发性膝韧带破裂
M30.000 结节性多动脉炎
M30.001+G73.7* 结节性多动脉炎性肌病
M30.002+G63.5* 结节性多动脉炎性多神经病
M30.003+G63.5* 结节性多动脉炎性周围神经病
M30.004 多脉管炎
M30.100x001 嗜酸性肉芽肿性血管炎
M30.101 变应性肉芽肿性血管炎
M30.200 幼年型多动脉炎
M30.300 黏膜皮肤淋巴结综合征[川崎病]
M30.301 IVIG 无应答型川崎病
M30.801 多脉管炎重叠综合征
M31.000 过敏性血管炎
M31.000x002 免疫性血管炎
M31.001 古德帕斯丘综合征
M31.100 血栓性微血管病
M31.101 血栓性血小板减少性紫癜
M31.300 韦格纳肉芽肿病
M31.500 巨细胞动脉炎伴有风湿性多肌痛
M31.700 显微镜下多脉管炎
M31.702+G63.5* 显微镜下多血管炎性周围神经病
M31.801 HCV 感染相关血管炎
M31.802 ANCA 相关性血管炎
M31.803 低补体血症血管炎
M31.900x001 坏死性脉管炎
M32.000 药物性系统性红斑狼疮
M32.115+K67.8* 狼疮性浆膜炎
M32.800 系统性红斑狼疮，其他形式的
M32.900 系统性红斑狼疮
M32.901 隐匿性系统性红斑狼疮
M33.000 幼年型皮肌炎
M33.001+J99.1* 幼年型皮肌炎累及肺
M33.100x001 儿童皮肌炎
M33.100x004 成人皮肌炎
M33.101 皮肌炎
M33.104 无肌病性皮肌炎
M33.105 异色皮肌炎
M33.200 多肌炎
M33.900 皮多肌炎
M33.901+J99.1* 皮多肌炎累及肺
M34.800x002+G73.7* 系统性硬化症性肌病
M34.802 布施克硬肿病
M34.804+G73.7* 全身性硬化性肌病
M34.805 肢端硬肿病
M34.900 全身性硬皮病
M34.900x001 系统性硬化症
M35.000 干燥综合征[舍格伦]
M35.001 继发性干燥综合征
M35.004+G73.7* 干燥综合征性肌病
M35.101 混合性结缔组织病
M35.102 混合性结缔组织病肾损害
M35.200 贝赫切特[贝切特]病
M35.201 贝赫切特病性关节炎
M35.203 神经贝赫切特病
M35.300 风湿性多肌痛
M35.400 弥漫性(嗜酸细胞性)筋膜炎
M35.500 多病灶性纤维硬化病
M35.700 过度活动综合征
M35.701 家族性韧带松弛
M35.800x001 抗合成酶综合征
M35.801 嗜酸性粒细胞增多-肌痛综合征
M35.900x007 高 IgD 综合征
M35.901 结缔组织病
M35.902 胶原病
M35.903+G63.5* 胶原血管性多神经病
M35.905 抗 J0-1 综合征
M35.906 IgG4 相关疾病
M35.907 自身免疫病
M45.x00 强直性脊柱炎
M45.x01 类风湿性脊椎炎
M45.x02 萎缩性脊柱炎
M45.x03+H22.1* 强直性脊柱炎伴虹膜睫状体炎
M60.900 肌炎
M60.901 嗜酸性肌筋膜炎
M60.902 肌筋膜炎
M60.903 巨噬细胞肌筋膜炎
M79.810 结缔组织炎
Q79.800x007 纤维肌性发育不良
Q79.801 肯林卡综合征
Q79.803 波伦综合征
Z51.800x001 冲击治疗
