包含以下主要手术或操作：
38.0200x003 颈内静脉血栓切除术
38.9304 股静脉穿刺置管术
38.9400 静脉缩短
38.9501 为肾透析半永久静脉插管术
38.9502 为肾透析的临时静脉插管术
38.9700x002 引导下中心静脉置管术
39.1x00x006 肾静脉-下腔静脉吻合术
39.1x00x007 肠系膜上静脉-右心房人工血管分流~~术
39.1x00x007 肠系膜上静脉-右心房人工血管分流~~术
39.1x00x008 脾静脉-下腔静脉人工血管分流术
39.1x00x009 肠系膜上静脉-下腔静脉颈内静脉搭~~桥术
39.1x00x010 肠系膜上静脉-下腔静脉人工血管搭~~桥术
39.1x00x011 肠系膜上静脉-下腔静脉-右心房人~~工血管搭桥术
39.1x00x012 颈外静脉-大隐静脉分流术
39.1x00x013 胃冠状静脉-肾静脉吻合术
39.1x00x020 胃左动脉-门静脉吻合术
39.1x00x021 门静脉-门静脉吻合术
39.1x00x022 脾静脉-门静脉吻合术
39.1x00x023 肠系膜静脉-门静脉吻合术
39.1x00x024 肝下下腔静脉-肝上下腔静脉人工血~~管搭桥术
39.1x01 肠系膜静脉-腔静脉吻合术
39.1x03 门静脉-腔静脉吻合术
39.1x04 肾静脉-腔静脉吻合术
39.1x05 肠系膜上静脉-下腔静脉吻合术
39.1x06 脾静脉-腔静脉吻合术
39.1x07 脾静脉-肾静脉吻合术
39.1x08 肝圆韧带架桥门静脉-下腔静脉吻合术
39.1x09 肝圆韧带架桥肠系膜上静脉-下腔静脉吻~~合术
39.1x10 经颈静脉肝内门体静脉吻合术
39.2101 腔静脉-右心房搭桥术
39.2300x004 无名静脉-右心房人工血管搭桥术
39.2300x016 肠系膜上静脉-下腔静脉-右心房搭~~桥术
39.2300x017 无名静脉-上腔静脉人工血管搭桥术
39.2300x018 无名静脉-右心耳人工血管搭桥术
39.2300x019 下腔静脉-右心耳人工血管搭桥术
39.2300x020 下腔静脉-右心房人工血管搭桥术
39.2300x021 腔静脉－右心房人工血管搭桥术
39.2300x022 上腔静脉-右心房人工血管搭桥术
39.2304 无名静脉-上腔静脉搭桥术
39.2305 上腔静脉-右心房搭桥术
39.2306 下腔静脉-右肺静脉搭桥术
39.2307 右心房-右肺静脉搭桥术
39.2308 颈静脉-锁骨下静脉搭桥术
39.2309 右心房-颈静脉搭桥术
39.2900x011 颈内静脉-股静脉搭桥术
39.2900x012 颈外静脉-颈内静脉搭桥术
39.2900x013 颈内静脉-锁骨下静脉自体血管搭桥~~术
39.2900x013 颈内静脉-锁骨下静脉自体血管搭桥~~术
39.2900x015 髂静脉-股静脉自体血管搭桥术
39.2900x028 股静脉-股静脉人工血管搭桥术
39.2900x044 股静脉-大隐静脉吻合术
39.2900x045 股静脉-股静脉自体血管搭桥术
39.2900x055 腘动脉-腘静脉自体血管搭桥术
39.2901 髂静脉-股静脉搭桥术
39.3200 静脉缝合术
39.3200x004 门静脉缝合术
39.3200x006 头静脉缝合术
39.3200x007 髂静脉缝合术
39.3200x008 移植肾的肾静脉缝合术
39.3200x009 肾静脉缝合术
39.3200x010 胫静脉缝合术
39.3200x011 腘静脉缝合术
39.3200x012 腓静脉缝合术
39.3200x013 足静脉缝合术
39.3202 肱静脉缝合术
39.3203 下腔静脉缝合术
39.3204 颈静脉缝合术
39.3205 上腔静脉缝合术
39.3206 股静脉缝合术
39.3207 肝静脉缝合术
39.5300x022 锁骨下动静脉瘘修补术
39.5300x023 肺动静脉瘘修补术
39.5300x024 躯干部动静脉瘘修补术
39.5300x025 股动静脉瘘修补术
39.5600x002 腔静脉组织补片修补术
39.5600x004 肺静脉组织补片修补术
39.5600x005 门静脉组织补片修补术
39.5602 静脉组织补片修补术
39.5700x007 上肢静脉合成补片修补术
39.5700x009 下肢静脉合成补片修补术
39.5701 静脉合成补片修补术
39.5900x003 肝静脉成形术
39.5900x005 腘静脉修补术
39.5900x007 静脉修补术
39.5900x009 上腔静脉成形术
39.5900x014 静脉瓣膜包裹术
39.5900x015 肺静脉成形术
39.5900x019 股静脉环缩术
39.5900x020 肺静脉再植入术
39.5900x021 股静脉瓣膜环缩术
39.5900x023 体静脉狭窄矫治术
39.5900x035 下肢深静脉瓣膜成形术
39.7400x001 经皮颅内静脉取栓术
39.7900x015 奇静脉封堵术
39.7900x809 下肢静脉滤器置入术
39.9100x003 下腔静脉粘连松解术
54.9400x002 腹腔-静脉转流泵管置入术
54.9401 腹腔颈静脉分流术
54.9402 腹腔静脉分流术
