包含以下主要手术或操作：
38.0603 肾动脉取栓术
55.9902 肾蒂淋巴管离断术
56.0x00x001 经尿道输尿管镜输尿管异物取出术
56.0x00x002 经尿道输尿管镜肾盂异物取出术
56.0x00x003 经尿道输尿管镜输尿管取石术
56.0x00x004 经尿道输尿管镜肾盂取石术
56.0x00x005 经尿道输尿管镜输尿管激光碎石术
56.0x00x006 经尿道输尿管镜肾盂激光碎石术
56.0x00x007 经尿道输尿管镜输尿管气压弹道碎~~石术
56.0x00x008 经尿道输尿管镜肾盂气压弹道碎石~~术
56.0x00x009 经尿道输尿管镜输尿管超声碎石术
56.0x00x010 经尿道输尿管镜肾盂超声碎石术
56.0x00x011 经尿道输尿管镜输尿管激光碎石取~~石术
56.0x00x012 经尿道输尿管镜肾盂激光碎石取石~~术
56.0x00x013 经尿道输尿管镜输尿管气压弹道碎~~石取石术
56.0x00x014 经尿道输尿管镜肾盂气压弹道碎石~~取石术
56.0x00x015 经尿道输尿管镜输尿管超声碎石取~~石术
56.0x00x016 经尿道输尿管镜肾盂超声碎石取石~~术
56.1x00x001 输尿管口切开术
56.1x01 膀胱镜下输尿管口切开术
56.2x00x002 经皮肾镜输尿管内切开术
56.2x00x007 输尿管切开探查术
56.2x01 输尿管切开取石术
56.2x02 输尿管切开异物取出术
56.2x03 输尿管切开引流术
56.2x04 腹腔镜下输尿管切开取石术
56.2x05 输尿管镜下输尿管切开术
56.3200 闭合性经皮输尿管活组织检查
56.3300x003 经皮肾镜输尿管活检术
56.3400 开放性输尿管活组织检查
56.4100 部分输尿管切除术
56.4100x008 膀胱镜下输尿管病损切除术
56.4100x009 腹腔镜下输尿管囊肿造口术
56.4100x011 腹腔镜下输尿管残端切除术
56.4101 输尿管病损切除术
56.4102 副输尿管切除术
56.4103 输尿管口囊肿切除术
56.4104 输尿管缩短伴再植术
56.4105 腹腔镜下输尿管部分切除术
56.4106 内镜下输尿管病损切除术
56.4107 内镜下输尿管部分切除术
56.5102 回肠输尿管皮肤造口术
56.5200x001 输尿管-回肠皮肤造口修正术
56.6100x001 输尿管-皮肤造口术
56.6100x003 输尿管造口术
56.6100x004 腹腔镜下输尿管-皮肤造口术
56.6201 输尿管-腹壁造口修复术
56.7400 输尿管膀胱吻合术
56.7401 用膀胱补片的输尿管置换术
56.7402 腹腔镜下输尿管膀胱吻合术
56.7501 左右输尿管吻合术
56.7900 输尿管其他吻合术或搭桥
56.8100 输尿管管腔内粘连松解术
56.8200x002 腹腔镜下输尿管损伤修复术
56.8300 输尿管造口闭合术
56.8400x001 输尿管瘘修补术
56.8401 输尿管阴道瘘修补术
56.8500 输尿管固定术
56.8600 输尿管结扎去除术
56.9100 输尿管口扩张
56.9101 膀胱镜下输尿管口扩张术
56.9200 电子输尿管刺激器置入
56.9300 电子输尿管刺激器置换
56.9400 电子输尿管刺激器去除
56.9500 输尿管结扎术
56.9500x001 腹腔镜下输尿管结扎术
56.9900 输尿管其他手术
57.1700x002 经皮膀胱造口钬激光碎石取石术
57.9300x002 膀胱镜下膀胱术后出血止血术
59.0201 输尿管狭窄松解术
59.0202 输尿管周围粘连松解术
59.0203 肾周围粘连松解术
59.0303 腹腔镜下输尿管周围粘连松解术
59.0901 肾周切开引流术
59.0902 肾周血肿清除术
59.0903 肾周区域探查术
59.0904 腹腔镜下肾周切开引流术
59.2101 肾周活组织检查
59.3x00 尿道膀胱连接处的折叠术
59.4x01 戈-弗-斯氏尿道膀胱悬吊术
59.4x02 米林-里德氏尿道膀胱悬吊术
59.4x03 奥克斯福德尿失禁手术[OXFORD 手术]
59.4x04 经耻骨上膀胱尿道悬吊术（SPARC）
59.4x05 斯塔米膀胱颈悬吊术
59.8x00x001 膀胱镜下输尿管扩张术
59.8x00x007 直视下输尿管支架置入
59.8x05 输尿管膀胱口扩张术
59.9101 肾周病损切除术
59.9201 肾周穿刺引流术
70.5001 阴道前后壁修补术
70.5002 腹腔镜阴道前后壁修补术
70.5100 膀胱膨出修补术
70.5101 阴道前壁修补术
70.5102 腹腔镜阴道前壁修补术
70.5400x001 阴道前壁修补术伴生物补片植入
70.5400x002 阴道前壁修补术伴人工补片置入
70.7700x004 腹腔镜下阴道悬吊术
70.7701 阴道悬吊术
70.7703 耻骨梳韧带悬吊术
70.9400x001 膀胱/直肠/阴道同种异体补片植入
70.9400x002 膀胱/直肠/阴道自体补片植入
70.9400x003 膀胱/直肠/阴道异种补片植入
70.9500x001 膀胱/直肠/阴道人工补片置入
