疾病编码 疾病名称 排除内容
C83.800x006 脾红髓弥漫小 B 细胞淋巴瘤 表 7-31
C83.800x008 恶性淋巴瘤,淋巴浆细胞性 表 7-31
C83.801 原发渗出性淋巴瘤 表 7-31
C83.802 血管内大 B 细胞淋巴瘤 表 7-31
C83.803 淋巴样肉芽肿病 表 7-31
C83.900 非滤泡(弥漫性)淋巴瘤，未特指 表 7-31
C90.200 髓外浆细胞瘤 表 7-31
C90.200x005 骨孤立性浆细胞瘤 表 7-31
C90.200x007 骨浆细胞瘤 表 7-31
C90.200x008 软组织浆细胞瘤 表 7-31
C90.200x013 髓外的浆细胞瘤伴缓解 表 7-31
C90.200x014 孤立性骨髓瘤伴缓解 表 7-31
C90.200x015 骨孤立性浆细胞瘤伴缓解 表 7-31
C90.206 起源于 HHV8 相关多中心性 Castleman 病的大 B 细胞淋巴瘤 表 7-31
C91.700 淋巴样白血病，其他的 表 7-31
C91.701 非白血性淋巴细胞性白血病 表 7-31
C91.704 T-细胞大颗粒淋巴细胞白血病 表 7-31
C96.400x001 滤泡树突状细胞肉瘤 表 7-31
C96.400x003 母细胞性浆细胞样树状突细胞肿瘤 表 7-31
C96.401 交错树突细胞肉瘤 表 7-31
C96.402 朗格汉斯细胞肉瘤 表 7-31
D35.300 颅咽管良性肿瘤 表 7-34
D35.500 颈动脉体良性肿瘤 表 7-34
D59.300x001 溶血-尿毒综合征 表 7-37
D59.301 非典型溶血性尿毒症 表 7-37
D60.000x001 慢性后天性纯红细胞再生障碍性贫血 表 7-38
D61.101 化疗后骨髓抑制 表 7-38
D61.102 药物性骨髓抑制 表 7-38
D61.200x002 外因性再生障碍性贫血 表 7-38
D61.201 中毒性贫血 表 7-38
D61.800x002 肝炎相关重型再生障碍性贫血 表 7-38
D61.801 肝炎后再生障碍性贫血 表 7-38
D61.802 继发性再生障碍性贫血 表 7-38
D65.x00x001 弥散性血管内凝血 表 7-39
D65.x00x003 坏疽性紫癜 表 7-39
D65.x00x005 消耗性凝血障碍 表 7-39
1138
疾病编码 疾病名称 排除内容
D65.x01 后天性纤维蛋白原缺乏血症 表 7-39
D65.x02 后天性纤维蛋白溶解性出血 表 7-39
D65.x03 纤维蛋白溶解性紫癜 表 7-39
D65.x04 暴发性紫癜 表 7-39
D66.x01 血友病 A 型 表 7-39
D66.x02 血友病 表 7-39
D66.x03+M36.2* 血友病性关节炎 表 7-39
D67.x01 血友病 B 型 表 7-39
D68.000 冯·维勒布兰德病 表 7-39
D68.000x001 血管性血友病 表 7-39
D68.000x002 因子Ⅷ缺乏伴血管缺陷 表 7-39
D68.001 获得性血管性血友病 表 7-39
D68.200x001 凝血酶原缺乏 表 7-39
D68.200x005 先天性纤维蛋白原缺乏血症 表 7-39
D68.200x006 AC 球蛋白缺乏 表 7-39
D68.200x007 低前转变素血症 表 7-39
D68.200x010 先天性异常纤维蛋白原血症 表 7-39
D68.201 纤维蛋白原缺乏血症 表 7-39
D68.202 凝血因子Ⅰ缺乏症 表 7-39
D68.203 凝血因子Ⅱ缺乏症 表 7-39
D68.204 凝血因子Ⅴ缺乏症 表 7-39
D68.205 凝血因子Ⅶ缺乏症 表 7-39
D68.206 凝血因子Ⅹ缺乏症 表 7-39
D68.207 凝血因子Ⅻ缺乏症 表 7-39
D68.208 凝血因子 XIII 缺乏症 表 7-39
D68.400 后天性凝血因子缺乏 表 7-39
D68.400x002 获得性维生素 K 依赖因子缺乏症 表 7-39
D68.401 维生素 K 依赖因子缺乏症 表 7-39
D68.402 自身免疫性凝血酶原减少 表 7-39
D68.801 凝血因子缺乏 表 7-39
D69.200 非血小板减少性紫癜、其他的 表 7-39
D69.200x003 精神性紫癜 表 7-39
D69.200x005 湿疹样紫癜 表 7-39
D69.200x006 糖皮质激素紫癜 表 7-39
D69.200x007 血小板增多性紫癜 表 7-39
D69.200x008 淤积性紫癜 表 7-39
D69.201 单纯性紫癜 表 7-39
D69.202 老年性紫癜 表 7-39
D69.203 紫癜 表 7-39
D69.300 特发性血小板减少性紫癜 表 7-39
D69.301 出血性紫癜 表 7-39
D69.302 埃文斯综合征 表 7-39
D69.400 血小板减少，其他原发性的 表 7-39
1139
疾病编码 疾病名称 排除内容
D69.400x001 巨核细胞再生不良 表 7-39
D69.400x002 免疫性血小板减少 表 7-39
D69.400x003 无巨核细胞性血小板减少 表 7-39
D69.400x006 先天性巨核细胞增生不良 表 7-39
D69.401 先天性血小板减少症 表 7-39
D69.403 原发性血小板减少症 表 7-39
D69.405 无巨核细胞性血小板减少性紫癜 表 7-39
D69.406 血小板减少性紫癜 表 7-39
D69.407 MYH9 相关综合征 表 7-39
D69.500 继发性血小板减少 表 7-39
D69.500x003 症状性血小板减少性紫癜 表 7-39
D69.501 继发性血小板减少性紫癜 表 7-39
D69.502 药物性血小板减少症 表 7-39
D69.503 药物性血小板减少性紫癜 表 7-39
D69.504 获得性巨细胞性血小板减少症 表 7-39
D69.600 血小板减少 表 7-39
D69.800 出血性情况，其他特指的 表 7-39
D69.800x002 血管性假血友病 表 7-39
D69.801 卡-梅综合征 表 7-39
D69.802 毛细血管脆弱 表 7-39
D69.900 出血性情况 表 7-39
D75.800 血液和造血器官其他特指的疾病 表 7-40
D75.800x003 感染后骨髓抑制 表 7-40
D75.801 骨髓硬化 表 7-40
D75.802 骨髓坏死 表 7-40
D75.803 继发性骨髓纤维化 表 7-40
D75.804 骨髓增生 表 7-40
D75.805 继发性血小板增多症 表 7-40
D75.806 嗜碱粒细胞增多症 表 7-40
D75.807 红细胞生成障碍 表 7-40
D75.809 急性造血功能抑制 表 7-40
E05.300 来自异位甲状腺组织的甲状腺毒症 表 7-42
E05.301 异位甲状腺肿 表 7-42
E05.302 纵隔甲状腺肿 表 7-42
E13.600 糖尿病伴有其他特指的并发症，其他特指的 表 7-43
E23.300x001 垂体功能不良 表 7-44
E23.301 垂体功能紊乱 表 7-44
E23.302 下丘脑综合征 表 7-44
E25.000x007 早熟性巨睾症 表 7-44
E25.000x008 盐丢失性先天性肾上腺增生 表 7-44
E25.001 11β-羟化酶缺陷症 表 7-44
E25.002 17α-羟化酶缺陷症 表 7-44
E25.003 21-羟化酶缺乏症 表 7-44
1140
疾病编码 疾病名称 排除内容
E25.004 先天性肾上腺皮质增生症 表 7-44
E25.005 先天性肾上腺发育不良 表 7-44
E40.x00 夸希奥科病［恶性营养不良病］ 表 7-45
E41.x00 营养性消瘦 表 7-45
E41.x01 重度营养不良伴消瘦 表 7-45
E42.x00 消瘦性夸希奥科病 表 7-45
E43.x00 重度蛋白质-能量营养不良 表 7-45
E43.x00x001 严重营养不良 表 7-45
E43.x00x002 营养性水肿 表 7-45
E83.000 铜代谢紊乱 表 7-48
E83.001 肝豆状核变性 表 7-48
E83.002 门克斯综合征 表 7-48
E83.003+F02.8* 肝豆状核变性痴呆 表 7-48
E88.202 疼痛性脂肪过多症 表 7-48
E88.203 脂肪堆积 表 7-48
E88.300 肿瘤溶解综合征 表 7-48
F01.000 急性发作的血管性痴呆 表 7-49
F01.300 混合型皮层和皮层下血管性痴呆 表 7-49
F01.800x001 出血性痴呆 表 7-49
F01.900 血管性痴呆 表 7-49
F01.901 动脉硬化性痴呆 表 7-49
F01.902 脑动脉硬化性精神病 表 7-49
F03.x00 痴呆 表 7-49
F03.x01 老年性痴呆 表 7-49
F05.000 谵妄，描述为并非附加于痴呆的 表 7-49
F05.001 老年性谵妄 表 7-49
F05.801 癫痫性意识障碍 表 7-49
F05.900 谵妄 表 7-49
F05.901 感染性精神病 表 7-49
F05.902 急性脑病综合征 表 7-49
F10.100 有害性使用酒精引起的精神和行为障碍 表 7-50
F10.100x002 酒精非成瘾性滥用 表 7-50
F10.900 使用酒精引起的精神和行为障碍 表 7-50
F31.500 双相情感障碍，目前为伴有精神病性症状的重度抑郁发作 表 7-52
F40.200x001 高空恐怖 表 7-53
F40.200x003 幽闭恐怖 表 7-53
F40.200x004 单纯恐怖 表 7-53
G00.800 细菌性脑膜炎，其他的 表 7-59
G00.800x002 大肠埃希杆菌脑膜炎 表 7-59
G00.800x005 鲍曼不动杆菌性脑膜炎 表 7-59
G00.801 变形杆菌性脑膜炎 表 7-59
G00.802 大肠杆菌性脑膜炎 表 7-59
G00.803 克雷伯杆菌性脑膜炎 表 7-59
1141
疾病编码 疾病名称 排除内容
G00.900 细菌性脑膜炎 表 7-59
G00.900x003 颅底化脓性脑膜炎 表 7-59
G00.901 化脓性脑膜炎 表 7-59
G00.902 新生儿化脓性脑膜炎 表 7-59
G00.903 耳源性脑膜炎 表 7-59
G00.904 手术后化脓性脑膜炎 表 7-59
G03.800 脑膜炎，其他特指原因引起的 表 7-59
G03.800x003 肥厚性硬脑膜炎 表 7-59
G03.800x004 肥厚性硬脊膜炎 表 7-59
G03.800x005 肥厚性硬脑脊膜炎 表 7-59
G03.801 化学性脑膜炎 表 7-59
G03.802 反应性脑膜炎 表 7-59
G03.900 脑膜炎 表 7-59
G03.900x008 脑脊膜炎 表 7-59
G03.901 颅底蛛网膜炎 表 7-59
G03.902 脊髓蛛网膜炎 表 7-59
G03.903 硬脑膜炎 表 7-59
G03.904 蛛网膜炎 表 7-59
G03.905 原发性肥厚性硬脑膜炎 表 7-59
G03.906 非特异性脑脊膜炎 表 7-59
G03.907 急性脑膜炎 表 7-59
G04.000 急性播散性脑炎 表 7-59
G04.001 急性播散性脑脊髓炎 表 7-59
G04.002 疫苗接种后脑炎 表 7-59
G04.800 脑炎、脊髓炎和脑脊髓炎，其他的 表 7-59
G04.800x003 化脓性脊髓炎 表 7-59
G04.800x004 抗 NMDA 受体脑炎 表 7-59
G04.800x005 脱髓鞘性脊髓炎 表 7-59
G04.800x007 边缘叶脑炎 表 7-59
G04.800x008 肺炎支原体性脑炎 表 7-59
G04.800x013 免疫介导性脑炎 表 7-59
G04.800x014 免疫介导性脊髓炎 表 7-59
G04.800x016 免疫介导性脑干脑炎 表 7-59
G04.801 自体免疫性脑炎 表 7-59
G04.802 感染后脑炎 表 7-59
G04.803 感染后脑脊髓炎 表 7-59
G04.804 变态反应性脑炎 表 7-59
G04.805 化脓性脑炎 表 7-59
G04.807 化脓性脑膜脑炎 表 7-59
G04.808 化脓性脑室炎 表 7-59
G04.900x001 非特异性脑炎 表 7-59
G04.900x005 脊髓神经根病 表 7-59
G04.900x010 脑干脑炎 表 7-59
1142
疾病编码 疾病名称 排除内容
G04.900x011 脑脊髓神经根炎
表
7
-59
G04.900x019 散发性脑炎
表
7
-59
G04.900x021 脑室管膜炎
表
7
-59
G04.900x024 急性脑膜脑炎
表
7
-59
G04.900x025 急性小脑炎
表
7
-59
G04.900x031 脊髓神经根炎
表
7
-59
G04.902 急性上行性脊髓炎
表
7
-59
G04.903 脑室炎
表
7
-59
G04.904 中枢神经系统感染
表
7
-59
G04.905 急性神经根脊髓炎
表
7
-59
G04.906 室管膜炎
表
7
-59
G04.907 局灶性脑炎
表
7
-59
G04.908 脊髓炎
表
7
-59
G04.909 急性脊髓炎
表
7
-59
G04.910 上行性脊髓炎
表
7
-59
G04.911 脑脊髓炎
表
7
-59
G04.912 神经根脊髓炎
表
7
-59
G04.913 脑炎
表
7
-59
G04.914 脑膜脑炎
表
7
-59
G04.915 脑炎性假瘤
表
7
-59
G04.916 脑炎性肿物
表
7
-59
G04.917 脑炎性病变
表
7
-59
G04.918 椎管内炎性肿物
表
7
-59
G04.919 小脑炎
表
7
-59
G04.920 复发性多灶性炎性脑病
表
7
-59
G04.921 脑干炎
表
7
-59
G04.922 脑性发热
表
7
-59
G06.000x001 小脑脓肿
表
7
-59
G06.000x002 额叶脓肿
表
7
-59
G06.000x003 顶叶脓肿
表
7
-59
G06.000x004 颞叶脓肿
表
7
-59
G06.000x005 枕叶脓肿
表
7
-59
G06.000x007 基底节脓肿
表
7
-59
G06.000x008 丘脑脓肿
表
7
-59
G06.000x009 下丘脑脓肿
表
7
-59
G06.000x011 半卵圆中心脓肿
表
7
-59
G06.000x012 胼胝体脓肿
表
7
-59
G06.000x015 延髓脓肿
表
7
-59
G06.000x020 颅内硬脑膜下肉芽肿
表
7
-59
G06.000x022 耳源性脑脓肿
表
7
-59
G06.001 脑脓肿
表
7
-59
G06.002 脑肉芽肿
表
7
-59
G06.003 海绵窦脓肿
表
7
-59
1143
疾病编码 疾病名称 排除内容
G06.004 颅内脓肿 表 7-59
G06.005 颅内炎性肉芽肿 表 7-59
G06.006 颅内感染 表 7-59
G06.008 硬脑膜下脓肿 表 7-59
G06.009 硬脑膜外脓肿 表 7-59
G06.100x002 椎管内脓肿 表 7-59
G06.100x003 脊髓脓肿 表 7-59
G06.100x004 脊髓肉芽肿 表 7-59
G06.100x008 硬脊膜下肉芽肿 表 7-59
G06.100x009 椎管内感染 表 7-59
G06.101 椎管内肉芽肿 表 7-59
G06.102 硬脊膜下脓肿 表 7-59
G06.103 硬脊膜外脓肿 表 7-59
G08.x00 颅内和椎管内的静脉炎和血栓性静脉炎 表 7-59
G08.x00x001 化脓性失状窦血栓形成 表 7-59
G08.x00x002 化脓性直窦血栓形成 表 7-59
G08.x00x003 化脓性乙状窦血栓形成 表 7-59
G08.x00x004 乙状窦栓塞 表 7-59
G08.x00x005 乙状窦血栓性静脉炎 表 7-59
G08.x00x006 化脓性海绵窦血栓形成 表 7-59
G08.x00x007 海绵窦血栓性静脉炎 表 7-59
G08.x00x008 海绵窦炎 表 7-59
G08.x00x009 化脓性横窦血栓形成 表 7-59
G08.x00x010 侧窦栓塞 表 7-59
G08.x00x011 颅内静脉窦静脉炎 表 7-59
G08.x01 颅内静脉窦化脓性血栓形成 表 7-59
G08.x02 耳源性乙状窦血栓性静脉炎 表 7-59
G23.900 基底核变性疾病 表 7-61
G25.500 舞蹈症，其他的 表 7-61
G25.500x003 发作性运动诱发性舞蹈手足徐动症[阵发性运动神经源性运动障碍] 表 7-61
G25.500x005 老年性舞蹈病 表 7-61
G25.501 偏身舞蹈症 表 7-61
G25.502 神经棘红细胞增多症 表 7-61
G40.300 全身性特发性癫痫和癫痫综合征 表 7-64
G40.300x001 发作性肌阵挛 表 7-64
G40.300x002 混合型癫痫 表 7-64
G40.300x003 癫痫全面性发作肌阵挛发作 表 7-64
G40.300x006 癫痫全面性发作强直性发作 表 7-64
G40.300x007 仅全面性强直-阵挛发作的癫痫 表 7-64
G40.300x008 全身性非惊厥性癫痫 表 7-64
G40.300x009 全身性惊厥性疾病 表 7-64
G40.300x010 癫痫全面性发作阵挛性发作 表 7-64
G40.300x013 儿童良性癫痫 表 7-64
1144
疾病编码 疾病名称 排除内容
G40.300x014 婴儿重度肌阵挛癫痫[Dravet 综合征] 表 7-64
G40.300x017 新生儿癫痫 表 7-64
G40.300x018 新生儿癫痫综合征 表 7-64
G40.300x019 全面性癫痫伴热性惊厥附加症 表 7-64
G40.300x020 癫痫全面性发作失张力发作 表 7-64
G40.300x023 癫痫全面性发作强直阵挛性发作 表 7-64
G40.301 青少年肌阵挛癫痫 表 7-64
G40.302 良性婴儿肌阵挛性癫痫 表 7-64
G40.303 特发性全面性癫痫 表 7-64
G40.304 儿童失神癫痫 表 7-64
G40.305 良性家族性新生儿惊厥 表 7-64
G40.306 青少年失神癫痫 表 7-64
G40.307 肌阵挛失神癫痫 表 7-64
G40.308 全面惊厥性癫痫持续状态 表 7-64
G40.309 良性新生儿惊厥 表 7-64
G40.310 进行性肌阵挛性癫痫 表 7-64
G40.311 良性非家族性婴儿惊厥 表 7-64
G40.600 癫痫大发作(伴有或不伴有小发作) 表 7-64
G40.601 癫痫大发作伴小发作 表 7-64
G40.700 癫痫小发作，不伴有大发作 表 7-64
G40.700x001 癫痫小发作[典型失神发作] 表 7-64
G40.700x002 癫痫小发作[非典型失神发作] 表 7-64
G43.100 偏头痛伴有先兆［典型偏头痛］ 表 7-64
G43.100x002 偏头痛性先兆[偏头痛等位症] 表 7-64
G43.100x005 有迁延性先兆的偏头痛 表 7-64
G43.100x006 有先兆急性发作的偏头痛 表 7-64
G43.102 基底动脉型偏头痛 表 7-64
G43.103 典型先兆伴非偏头痛性头痛 表 7-64
G43.105 家族性偏瘫性偏头痛 表 7-64
G43.106 散发性偏瘫性偏头痛 表 7-64
G61.000 吉兰-巴雷［格林-巴利］综合征 表 7-66
G61.000x003 急性运动轴索性神经病 表 7-66
G61.000x004 急性炎性脱髓鞘性多发神经根神经病 表 7-66
G61.000x005 急性运动感觉轴索性神经病 表 7-66
G61.001 费舍综合征 表 7-66
G61.002 吉兰-巴雷综合征轴索型 表 7-66
G61.003 吉兰-巴雷综合征脱髓鞘型 表 7-66
G70.000 重症肌无力 表 7-67
G70.000x002 重症肌无力危象 表 7-67
G70.000x004 胆碱能危象 表 7-67
G70.000x005 反拗性危象 表 7-67
G70.001 重症肌无力，肌萎缩型 表 7-67
G70.002 重症肌无力，眼肌型 表 7-67
1145
疾病编码 疾病名称 排除内容
G70.003 重症肌无力，轻度全身型 表 7-67
G70.004 重症肌无力，中度全身型 表 7-67
G70.005 重症肌无力，急性重症型 表 7-67
G70.006 重症肌无力，迟发重症型 表 7-67
G70.007 肌无力危象 表 7-67
G70.008 儿童型重症肌无力 表 7-67
G80.000 痉挛性四肢麻痹性脑瘫 表 7-68
G80.000x011 双侧痉挛型脑性瘫痪 表 7-68
G80.000x021 偏侧痉挛型脑性瘫痪 表 7-68
G80.800 大脑性瘫痪［脑瘫］，其他的 表 7-68
G80.801 震颤型脑性瘫痪 表 7-68
G80.802 混合型脑性瘫痪 表 7-68
G82.000 松弛性截瘫 表 7-68
G82.000x011 急性驰缓性截瘫 表 7-68
G82.000x021 慢性驰缓性截瘫 表 7-68
G82.000x051 急性不完全性驰缓性截瘫 表 7-68
G82.000x061 慢性不完全性驰缓性截瘫 表 7-68
G82.200 截瘫 表 7-68
G82.200x021 慢性截瘫 表 7-68
G82.200x031 急性完全性截瘫 表 7-68
G82.200x041 慢性完全性截瘫 表 7-68
G82.201 慢性不完全性截瘫 表 7-68
G82.202 急性截瘫 表 7-68
G82.203 急性不完全性截瘫 表 7-68
G82.204 高位截瘫 表 7-68
G82.300 松弛性四肢瘫痪 表 7-68
G82.300x021 慢性驰缓性四肢瘫 表 7-68
G82.300x031 急性完全性驰缓性四肢瘫 表 7-68
G82.300x041 慢性完全性驰缓性四肢瘫 表 7-68
G82.300x051 急性不完全性驰缓性四肢瘫 表 7-68
G82.300x061 慢性不完全性驰缓性四肢瘫 表 7-68
G82.301 急性弛缓性四肢瘫 表 7-68
G82.500 四肢瘫痪 表 7-68
G82.500x031 急性完全性四肢瘫 表 7-68
G82.500x041 慢性完全性四肢瘫 表 7-68
G82.501 急性四肢瘫 表 7-68
G82.502 慢性四肢瘫 表 7-68
G82.503 急性不完全性四肢瘫 表 7-68
G82.504 慢性不完全性四肢瘫 表 7-68
G90.200 霍纳综合征 表 7-69
G93.500 脑受压 表 7-69
G93.500x001 枕骨大孔疝[小脑扁桃体疝] 表 7-69
G93.500x002 脑干受压 表 7-69
1146
疾病编码 疾病名称 排除内容
G93.500x005 外侧型小脑幕裂孔疝[钩回疝] 表 7-69
G93.500x006 中央型小脑幕裂孔疝[中心疝/中线疝] 表 7-69
G93.500x007 小脑幕孔下降疝 表 7-69
G93.500x009 大脑镰下疝[扣带回疝] 表 7-69
G93.501 脑疝 表 7-69
G93.503 小脑幕裂孔疝 表 7-69
G93.504 后天性脑膜膨出 表 7-69
G93.600 脑水肿 表 7-69
G93.600x002 脑干水肿 表 7-69
G93.600x003 血管源性脑水肿 表 7-69
G93.600x004 细胞性脑水肿[细胞毒性脑水肿] 表 7-69
G93.600x005 脑积水性脑水肿[间质性脑水肿] 表 7-69
G93.600x006 缺血性脑水肿 表 7-69
G93.600x007 渗透压性脑水肿 表 7-69
G93.600x009 离子性脑水肿 表 7-69
G95.100 血管性脊髓病 表 7-69
G95.100x003 脊髓前动脉栓塞 表 7-69
G95.100x004 脊髓前动脉血栓形成 表 7-69
G95.100x007 缺血性脊髓病 表 7-69
G95.100x008 缺血性脊髓血管病 表 7-69
G95.100x013 缺氧缺血性脊髓病 表 7-69
G95.101 脊髓出血 表 7-69
G95.102 急性脊髓梗死 表 7-69
G95.103 脊髓缺血 表 7-69
G95.104 脊髓坏死 表 7-69
G95.105 脊髓动脉血栓形成 表 7-69
G95.106 脊髓水肿 表 7-69
G95.107 脊髓后动脉综合征 表 7-69
G95.108 脊髓栓塞 表 7-69
G95.109 脊髓前动脉闭塞综合征 表 7-69
I07.000 三尖瓣狭窄 表 7-79
I07.000x001 风湿性三尖瓣狭窄 表 7-79
I21.001 急性前壁心肌梗死 表 7-81
I21.002 急性前侧壁心肌梗死 表 7-81
