包含以下主要手术或操作：
16.5200 眼眶内容物剜出术伴治疗性去除眶骨
79.3900x034 肋骨骨折切开复位螺钉内固定术
79.3900x036 肋骨骨折切开复位钢针内固定术
79.3900x040 锁骨骨折切开复位螺钉内固定术
79.3900x041 锁骨骨折切开复位髓内针内固定术
79.3900x042 锁骨骨折切开复位钢针内固定术
79.3900x044 肩胛骨骨折切开复位钢板内固定术
79.3900x049 肋骨骨折切开复位钢板内固定术
79.3900x051 锁骨骨折切开复位钢板内固定术
79.3900x053 胸骨骨折切开复位钢板内固定术
79.3900x054 胸骨骨折切开复位螺钉内固定术
79.3903 肋骨骨折切开复位内固定术
79.3904 锁骨骨折切开复位内固定术
79.3905 胸骨骨折切开复位内固定术
79.4900 其他骨骨骺分离的闭合性复位术
79.5900 其他骨骨骺分离的开放性复位术
79.6000 开放性骨折部位的清创术
79.7000 脱位的闭合性复位术
79.9000 骨损伤的手术
79.9900 其他骨损伤的手术
80.1900 其他特指部位关节切开术
80.2000 关节镜检查
80.2100 关节镜肩关节检查
80.2200 关节镜肘关节检查
80.2300 关节镜腕关节检查
80.2401 关节镜指关节检查
80.2500 关节镜髋关节检查
80.2600 关节镜膝关节检查
80.2700 关节镜踝关节检查
80.2801 关节镜趾关节检查
80.2900 关节镜其他特指关节检查
80.3000 关节结构的活组织检查
80.3100 肩关节结构的活组织检查
80.3200 肘关节结构的活组织检查
80.3300 腕关节结构的活组织检查
80.3401 指关节活组织检查
80.3500 髋关节结构的活组织检查
80.3600 膝关节结构的活组织检查
80.3700 踝关节结构的活组织检查
80.3800 足和趾关节结构的活组织检查
80.3901 胸锁关节活组织检查
80.3902 脊柱关节活组织检查
80.9900x004 肋软骨切除术
81.5900 下肢关节置换修复术
81.9101 关节抽吸术
81.9201 关节治疗性物质注射
81.9202 韧带治疗性物质注射
81.9800 关节结构的其他诊断性操作
81.9900 关节结构的其他手术
82.0300 手黏液囊切开术
82.3100 手黏液囊切除术
82.8900x003 缩窄环畸形矫正术
82.9300x001 手软组织抽吸术
83.0300 黏液囊切开术
83.0301 去除黏液囊钙质沉积物
83.0902 软组织探查术
83.0903 软组织切开异物取出术
83.0904 软组织切开引流术
83.1904 胸腔出口综合症减压术
83.3900x001 腘窝病损切除术
83.3900x016 滑囊病损切除术
83.3900x017 软组织病损切除术
83.3902 腘窝囊肿切除术
83.3904 颈部软组织病损切除术
83.4900 软组织的其他切除术
83.5x00 黏液囊切除术
83.9400 黏液囊抽吸术
83.9600 黏液囊治疗性药物注入
83.9800x001 软组织治疗性药物局部注射
83.9901 黏液囊缝合术
84.2900 其他再附着
84.3x00 截断残端的修复术
84.4400 臂假体装置置入
84.4800 小腿假体装置置入
84.5200 重组骨形态形成蛋白的置入
84.5300 肢体内部延长装置置入伴动力分离术
84.5400x001 肢体内部延长装置置入术
84.5500x003 丙烯酸水泥骨空隙填充
84.5500x004 钙质骨空隙填充
84.5500x005 聚甲基丙烯酸甲酯骨空隙填充
84.5501 骨空隙骨水泥填充术
84.5600x001 水泥间隔物置入术
84.5601 关节腔隙骨水泥填充术
84.5700x001 水泥间隔物取出术
84.7100x001 应用单平面外固定架
84.7200x001 应用环形外固定架系统
84.7300x001 应用组合外固定架系统
84.9200 等份联体双胎分离术
84.9300 联体双胎不等份分离术
84.9400 胸骨插入刚性板固定装置
84.9900 肌肉骨骼系统的其他手术
93.1101 悬吊治疗
93.1102 电动起立床训练
93.1103 减重支持系统训练
93.1200x001 肌肉骨骼运动训练
93.1300x001 对抗阻力辅助运动训练
93.1301 等速肌力训练
93.1400 关节运动训练
93.1500 脊柱松动法
93.1600x001 关节松动法
93.1700x001 被动性肌肉骨骼运动训练
93.1900x001 运动训练
93.2100 手法和机械性牵引
93.2200 行走和步态训练
93.2401 用拐行走训练
93.2500 肢体强迫伸展
93.2700x001 肌腱伸展训练
93.2800 筋膜伸展
93.2900x001 畸形强制性矫正训练
93.2901 畸形足手法矫正
93.3100 水池中辅助训练
93.3200 漩涡内运动治疗
