包含以下主要诊断：
A18.700+E35.1* 肾上腺结核
E23.000 垂体功能减退症
E23.000x005 产后垂体前叶功能减退危象
E23.000x007 腺垂体功能减退症
E23.000x008 垂体前叶功能减退
E23.000x011 孤立性促性腺激素缺乏症
E23.000x014 停经泌乳综合征
E23.000x015 低促性腺激素性性腺功能减退症
E23.001 卡尔曼综合征
E23.002 垂体前叶功能减退危象
E23.003 全垂体功能减退症
E23.004 席恩综合征
E23.005 垂体性矮小症
E23.006 低促性腺激素性腺功能减退症
E23.007 单一性促性腺激素缺乏症
E23.008 胰岛素样生长因子 1 缺乏
E23.009 生长激素缺乏症
E23.010 特发性低促性腺激素性性腺功能减退症
E23.100 药物性垂体功能减退症
E23.200 尿崩症
E23.200x003 中枢性尿崩症
E23.200x005 完全性尿崩症
E23.201 脑外伤后尿崩症
E23.202 部分性垂体性尿崩症
E23.203 完全性垂体性尿崩症
E23.204 继发性尿崩症
E23.300x001 垂体功能不良
E23.301 垂体功能紊乱
E23.302 下丘脑综合征
E23.600x001 鞍区病变
E23.600x005 垂体管囊肿
E23.600x008 垂体炎
E23.600x010 垂体增大
E23.600x011 下丘脑性肥胖
E23.600x014 蝶鞍扩大
E23.600x015 反馈性垂体瘤综合征
E23.600x016 肥胖-生殖无能综合征
E23.601 垂体脓肿
E23.602 垂体卒中
E23.603 空泡蝶鞍综合征
E23.604 垂体瘢痕
E23.605 垂体性肥胖
E23.606 垂体增生
E23.607 垂体囊肿
E23.608 拉特克囊肿
E23.609 肥胖性生殖无能症
E23.610 垂体钙化
E23.611 垂体出血
E23.612 垂体假腺瘤
E23.613 淋巴细胞性垂体炎
E23.614 垂体萎缩
E23.615 肉芽肿性垂体炎
E23.616 垂体柄阻断综合征
E23.617 垂体危象
E23.618 间脑综合征
E23.619 自身免疫性垂体炎
E23.700x001 垂体瘢痕形成
E23.701 垂体肿物
E24.000 垂体依赖性库欣病
E24.000x001 垂体促肾上腺皮质激素分泌过多
E24.001 垂体性嗜碱性粒细胞增多症
E24.100 纳尔逊综合征
E24.200 药物性皮质醇增多症
E24.200x001 正确用药所致药物性皮质醇增多症
E24.201 医源性库欣综合征
E24.202 类库欣综合征
E24.300 异位促肾上腺皮质激素综合征
E24.400 醇诱发的假库欣综合征
E24.800x001 原发性色素性结节状肾上腺皮质病
E24.801 糖皮质激素过度敏感综合征
E24.900 库欣综合征
E24.901 亚临床库欣综合征
E24.902 肾上腺皮质功能亢进症
E25.000x007 早熟性巨睾症
E25.000x008 盐丢失性先天性肾上腺增生
E25.001 11β-羟化酶缺陷症
E25.002 17α-羟化酶缺陷症
E25.003 21-羟化酶缺乏症
E25.004 先天性肾上腺皮质增生症
E25.005 先天性肾上腺发育不良
E25.801 假性性早熟
E25.802 女性肾上腺性假两性畸形
E25.901 肾上腺增生伴女性男性化
E25.902 肾上腺性征综合征
E25.903 男性肾上腺增生性性早熟
E26.000 原发性醛固酮过多症
E26.000x001 利德尔综合征[Liddle 综合征]
E26.000x003 康恩综合征[Conn 综合征]
E26.001 特发性醛固酮增多症
E26.100 继发性醛固酮过多症
E26.800x002 高肾素性醛固酮增多症
E26.801 家族性醛固酮增多症
E26.802 巴特综合征
E26.803 吉特尔曼综合征
E26.900 醛固酮过多症
E27.000x001 肾上腺皮质功能亢进
E27.000x002 促肾上腺皮质激素生成过多
E27.000x003 肾上腺皮质功能亢进危象
E27.000x011 肾上腺来源高雄激素血症
E27.001 肾上腺皮质功能亢进，与库欣综合征无关
E27.100x003 自身免疫性肾上腺炎
E27.101 艾迪生病
E27.200 艾迪生病危象
E27.200x003 肾上腺危象
E27.300 药物性肾上腺皮质功能减退症
E27.400x005 肾上腺皮质萎缩
E27.400x006 肾上腺皮质功能不全
E27.401 肾上腺出血
E27.402 肾上腺坏死
E27.403 继发性肾上腺皮质功能减退症
E27.404 三发性肾上腺皮质功能减退症
E27.405 醛固酮缺乏症
E27.406 肾上腺钙化
E27.407 肾上腺皮质功能减退症
E27.500 肾上腺髓质功能亢进
E27.500x003 儿茶酚胺分泌过多
E27.501 肾上腺髓质增生
E27.800x005 肾上腺增生
E27.800x010 肾上腺结节性增生
E27.800x012 肾上腺血肿
E27.800x021 肾上腺病变
E27.801 肾上腺囊肿
E27.802 肾上腺脓肿
E27.803 肾上腺皮质增生
E27.804 肾上腺炎
E27.805 肾上腺皮质结节样增生
E27.806 皮质醇结合球蛋白异常
E27.807 大结节性肾上腺皮质增生
E27.808 原发性色素性结节性肾上腺皮质增生
E27.809 肾上腺囊肿伴囊内出血
E27.810 肾上腺假性囊肿
E27.901 肾上腺肿物
E29.000x002 男性性腺功能亢进
E29.001 睾丸激素分泌过多
E29.002 雄激素分泌过多
E29.100 睾丸功能减退症
E29.100x002 男性性腺功能低下
E29.100x004 睾丸雄激素生物合成障碍
E29.103 幼稚型睾丸
E29.104 高促性腺激素性性腺功能减退症
E29.105 5α-还原酶缺陷症
E29.106 雄激素部分缺乏综合征
E29.900 睾丸功能障碍
E30.000 青春期延迟
E30.000x003 性发育迟缓
E30.001 第二性征发育不全
E30.002 幼稚型子宫
E30.100 性早熟
E30.100x002 真性性早熟
E30.101 周围性性早熟
E30.102 早发月经
E30.103 青春期发育过早
E30.801 乳腺过早发育
E31.000 自身免疫性多腺体衰竭
E31.001 施密特综合征
E31.002 自身免疫性多内分泌腺病综合征
E31.100 多腺体功能亢进
E31.800 多腺体功能障碍，其他的
E31.900 多腺体功能障碍
E31.901 多发性内分泌腺病
E34.000 类癌瘤综合征
E34.100 肠激素分泌过多，其他的
E34.200 异位激素分泌，不可归类在他处者
E34.300x002 侏儒症
E34.300x003 体质性身材矮小症
E34.300x006 社会心理性矮小症
E34.301 矮小症
E34.302 家族性身材矮小症
E34.303 原基性矮小症
E34.304 生长激素不反应性侏儒症
E34.305 拉伦氏综合征
E34.400 体质性高身材
E34.500 雄激素抵抗综合征
E34.500x001 睾丸女性化
E34.500x002 男性假两性畸形伴睾丸女性化
E34.500x005 男性假两性同体伴雄激素抵抗
E34.501 赖芬斯坦综合征
E34.800x006 妖精貌综合征
E34.801 松果体囊肿
E34.802 松果体功能障碍
E34.803 早老症
E34.804 多诺霍综合征
E34.805 松果体区肿物
E34.900x003 激素失调
E34.901+G73.5* 内分泌病性肌病
E34.903 内分泌功能障碍
E80.001 先天性红细胞生成性卟啉病
E80.003 肝性红细胞生成性卟啉病
E89.000 操作后甲状腺功能减退症
E89.001 手术后甲状腺功能减退
E89.002 放射后甲状腺功能减退
E89.100 操作后血内胰岛素不足
E89.101 手术后低血糖昏迷
E89.200x001 甲状旁腺缺失性手足搐搦
E89.201 手术后甲状旁腺功能减退
E89.300x002 医源性垂体功能减退症
E89.300x003 放射后垂体功能减退症
E89.301 手术后垂体功能减退
E89.302 后天性垂体缺失
E89.303 手术后尿崩症
E89.601 手术后肾上腺皮质功能减退
E89.801 血透失衡综合征
N25.801 继发性肾源性甲状旁腺功能亢进
Q85.900x006 甲状腺错构瘤
Q87.807 性幼稚-肥胖-多趾畸形综合征
Q89.100 肾上腺先天性畸形
Q89.101 异位肾上腺
Q89.200x012 先天性垂体发育异常
Q89.200x203 副甲状腺
Q89.200x204 甲状腺下降不全
Q89.200x601 胸腺发育不全
Q89.201 垂体发育不良
Q89.203 异位甲状腺
Q89.205 异位甲状旁腺
Q89.206 甲状舌管瘘
Q89.207 异位垂体
Q89.208 异位胸腺
Q90.000 三体性 21，减数分裂不分离，唐氏综合征
R94.600 甲状腺功能检查的异常结果
R94.801 基础代谢率异常
S37.803 肾上腺损伤
