包含以下主要诊断：
A01.000x016+I41.0* 伤寒并发中毒性心肌炎
R93.102 冠状循环诊断性影像异常
R93.103 主动脉占位性病变
R94.300 心血管功能检查的异常结果
R94.300x003 Q-T 间期延长
R94.300x007 非特异性 ST-T 改变
R94.300x010 Brugada 波样心电图改变
R94.301 复极综合征
R94.303 心电图异常
R94.304 RR 间期延长
R94.305 心音图异常
R94.306 心电向量图异常
R94.307 心内电生理学检查异常
S09.000x001 头部血管损伤
S15.700x001 颈部多处血管损伤
S25.400 肺血管损伤
S25.500 肋间血管损伤
S25.700 胸部多处血管损伤
S25.900 胸部血管的损伤
S26.000x001 创伤性心包积血
S26.000x002 创伤性心包填塞
S26.010 开放性心包积血
S26.800x011 心脏挫伤
S26.800x021 心脏撕裂伤
S26.800x031 心脏撕裂伤伴心室穿透
S26.800x082 心脏穿透性损伤
S26.800x083 创伤性心脏破裂
S26.801 创伤性心包破裂
S26.810 开放性心脏特指损伤
S26.811 开放性心脏穿通伤
S26.812 开放性心脏破裂
S26.813 心脏异物
S26.900 心脏损伤
S26.910 开放性心脏损伤
S35.700x001 腹部和下背及骨盆多处血管损伤
S35.700x004 肠系膜血管损伤
S35.701 腹部多处血管损伤
S35.900x001 腹部血管损伤
S35.901 下背血管损伤
S35.902 骨盆血管损伤
S35.903 创伤性肠系膜血管损伤
S45.700x001 肩和上臂多处血管损伤
S45.701 上臂多发血管损伤
S45.800 在肩和上臂水平的其他血管损伤
S45.900x001 肩和上臂血管损伤
S55.700x001 前臂多处血管损伤
S55.800 在前臂水平的其他血管损伤
S55.900x001 前臂血管损伤
S65.400 拇指血管损伤
S65.500 手指血管损伤,其他的
S65.700x001 腕和手多处血管损伤
S65.800 在腕和手水平的其他血管损伤
S65.900x001 腕和手血管损伤
S75.700x001 髋部多处血管损伤
S75.700x002 大腿多处血管损伤
S75.800 在髋和大腿水平的其他血管损伤
S75.900x001 髋部血管损伤
S75.900x002 大腿血管损伤
S85.700x001 小腿多处血管损伤
S85.800x001 胫后血管损伤
S85.900x001 小腿血管损伤
S95.700x001 踝和足多处血管损伤
S95.800 在踝和足水平的其他血管损伤
S95.900x001 踝和足血管损伤
T11.400 上肢血管的损伤
T13.400 下肢血管的损伤
T70.200x007 高原性心脏病
T79.101 脂肪栓塞综合征
T80.000 输注、输血和治疗性注射后的空气栓塞
T80.000x001 输注后空气栓塞
T81.700x002 操作后脂肪栓塞
T81.700x003 操作后周围血管狭窄
T81.700x004 操作后动-静脉瘘
T81.700x005 皮瓣血管危象
T81.700x101 经皮球囊扩瓣术后冠状动脉分支闭~~塞
T81.700x102 经皮球囊扩瓣术后腹膜后血肿
T81.700x103 经皮球囊扩瓣术后穿刺血管血肿
T81.700x104 经皮球囊扩瓣术后穿刺假性动脉瘤
T81.700x105 经皮球囊扩瓣术后动静脉瘘
T81.700x201 射频消融术后冠状动脉分支闭塞
T81.700x202 射频消融术后腹膜后血肿
T81.700x203 射频消融术后穿刺血管血肿
T81.700x204 射频消融术后穿刺假性动脉瘤
T81.700x205 射频消融术后动静脉瘘
T81.700x301 心导管检查术后腹膜后血肿
T81.700x302 心导管检查术后穿刺血管血肿
T81.700x303 心导管检查术后穿刺假性动脉瘤
T81.700x304 心导管检查术后动静脉瘘
T81.700x308 心导管检查术后冠状动脉分支闭塞
T81.700x401 心导管造影术后冠状动脉分支闭塞
T81.700x402 心导管造影术后腹膜后血肿
T81.700x403 心导管造影术后穿刺血管血肿
T81.700x404 心导管造影术后穿刺假性动脉瘤
T81.700x405 心导管造影术后动静脉瘘
T81.703 操作后的空气栓塞
T82.000x002 心脏植入物脱落
T82.002 二尖瓣机械瓣周漏
T82.100 心脏电子装置的机械性并发症
T82.100x002 起搏器起搏功能不良
T82.100x003 起搏器感知功能不良
T82.100x005 心房导线穿孔
T82.100x006 心室导线穿孔
T82.100x007 心脏电子装置电极导线绝缘层破裂
T82.100x008 心脏电子装置电极导线脱位
T82.100x009 心脏电子装置电极导线断裂
T82.100x010 除颤器起搏功能不良
T82.100x011 除颤器感知功能不良
T82.100x012 心脏电子装置周围组织慢性疼痛
T82.100x013 心脏电子装置囊袋血肿
T82.100x014 心脏电子装置囊袋积液
T82.100x015 心脏电子装置囊袋破溃
T82.101 心脏起搏器导线突出
T82.102 心脏起搏器电极功能异常
T82.103 心脏起搏器电极移位
T82.300 血管移植物的机械性并发症，其他的
T82.301 主动脉移植物(置换)的机械性并发症
T82.302 动脉移植物的机械性并发症
T82.303 主动脉移植物(置换)术后内漏
T82.400 血管透析导管的机械性并发症
T82.401 静脉透析管阻塞
T82.500x001 心血管封堵器移位
T82.500x002 心血管封堵器渗漏
T82.500x003 心脏和血管装置植入物引起的机械~~性并发症
T82.501 下腔静脉支架脱落
T82.502 移植血管坏死
T82.503 室间隔缺损手术后残余漏
T82.504 房间隔缺损手术后残余漏
T82.600 心脏瓣膜假体引起的感染和炎症性反应
T82.600x001 心脏瓣膜假体引起的感染
T82.601 人工瓣膜心内膜炎
T82.700 心脏和血管装置、植入物和移植物引起的~~感染和炎症性反应，其他的
T82.704 支架植入感染
T82.800x001 前臂动静脉瘘栓塞
T82.800x003 人工动静脉瘘闭塞
T82.800x004 人工动静脉瘘狭窄
T82.800x005 人工动静脉瘘血栓形成
T82.800x006 肾透析的移植血管血栓形成
T82.800x007 心脏和血管假体装置植入物和移植~~物引起的机械性并发症
T82.800x008 肾透析的人工血管血栓形成
T82.800x009 肾透析的血管通路血栓形成
T82.800x101 心脏和血管假体装置植入物和移植~~物引起的栓塞
T82.800x102 心脏和血管假体装置植入物和移植~~物引起的纤维化
T82.800x103 心脏和血管假体装置植入物和移植~~物引起的出血
T82.800x104 心脏和血管假体装置植入物和移植~~物引起的疼痛
T82.800x105 心脏和血管假体装置植入物和移植~~物引起的血管狭窄
T82.800x106 心脏和血管假体装置植入物和移植~~物引起的血栓形成
T82.800x201 经皮房缺-室缺矫治术后冠状动脉分~~支闭塞
T82.800x202 经皮房缺-室缺矫治术后腹膜后血肿
T82.800x203 经皮房缺-室缺矫治术后穿刺血管血~~肿
T82.800x204 经皮房缺-室缺矫治术后穿刺假性动~~脉瘤
T82.800x205 经皮房缺-室缺矫治术后动静脉瘘
T82.800x206 经皮房缺-室缺矫治术后冠状动脉撕~~裂
T82.800x207 经皮房缺-室缺矫治术后冠状动脉穿~~孔
T82.800x208 经皮房缺-室缺矫治术后冠状动脉急~~性闭塞
T82.800x301 经皮冠状动脉狭窄矫治术后腹膜后~~血肿
T82.800x302 经皮冠状动脉狭窄矫治术后穿刺血~~管血肿
T82.800x303 经皮冠状动脉狭窄矫治术后穿刺假~~性动脉瘤
T82.800x304 经皮冠状动脉狭窄矫治术后动静脉~~瘘
T82.800x305 经皮冠状动脉狭窄矫治术后冠状动~~脉撕裂
T82.800x306 经皮冠状动脉狭窄矫治术后冠状动~~脉穿孔
T82.800x307 经皮冠状动脉狭窄矫治术后冠状动~~脉急性闭塞
T82.800x308 经皮冠状动脉狭窄矫治术后冠状动~~脉分支闭塞
T82.811 人工血管血栓形成
T82.814 人工血管破裂
T82.900x001 心脏假体装置植入物和移植物的并~~发症
T82.900x002 血管假体装置植入物和移植物的并~~发症
T82.901 人工心脏瓣膜失常
T82.903 心脏起搏器失灵
T82.904 起搏器综合征
T86.200x001 心脏移植失败
T86.200x002 心脏移植排斥
T86.300x001 心肺移植失败
T86.300x002 心肺移植排斥
Z03.500x001 可疑心血管病的观察
Z03.501 可疑冠心病观察
Z52.700 供心者
