包含以下主要诊断：
D35.700 内分泌腺良性肿瘤，其他特指的
E71.305 极长链酰基辅酶 A 脱氢酶缺陷症
E71.307 中链酰基辅酶 A 脱氢酶缺乏症
E71.308 极长链酰基辅酶 A 脱氢酶缺乏症
E71.309 长链 3-羟酰基辅酶 A 脱氢酶缺乏症
E71.310 多种酰基辅酶 A 脱氢酶缺乏症
E83.300x007 抗维生素 D 性佝偻病
E83.401 低镁血症
E83.402 高镁血症
E83.501 高钙危象
E83.502 高钙血症
E83.503 低钙血症
E83.504 高钙尿症
E84.900 囊性纤维化病
E85.200x001 家族遗传性淀粉样变性
E85.300x002 继发性淀粉样变性
E85.300x003 透析相关性淀粉样变病
E85.400x014 局限性淀粉样变性
E85.406 淀粉样变甲状腺损害
E85.800 淀粉样变，其他的
E85.901 原发性淀粉样变性
E86.x00x001 低血容量
E86.x00x003 细胞外液缺失
E86.x00x004 血浆容量缺失
E86.x01 脱水
E87.001 高钠血症
E87.101 脑耗盐综合征
E87.102 低钠血症
E87.200x002 高血氯性酸中毒
E87.201 代谢性酸中毒
E87.202 混合性酸中毒
E87.203 呼吸性酸中毒
E87.204 乳酸性酸中毒
E87.205 有机酸血症
E87.206 先天性高乳酸血症
E87.301 代谢性碱中毒
E87.302 低钾性碱中毒
E87.303 呼吸性碱中毒
E87.400 混合性酸碱平衡失调
E87.500 高钾血症
E87.501 假性低醛固酮血症
E87.600 低钾血症
E87.600x002 低钾性抽搐
E87.600x003 钾缺乏
E87.600x004 低钾性肌病
E87.700 体液过多
E87.701 水中毒
E87.800x004 低钾钠氯综合征
E87.801 电解质代谢紊乱
E87.802 高氯血症
E87.803 低氯血症
E89.102 手术后低胰岛素血症
E89.800x003 肝移植术后高脂血症
R29.000 手足搐搦
R79.801 丙酮血症
R82.400 丙酮尿
R82.401 酮尿
R94.700 内分泌功能检查的异常结果，其他的
