包含以下主要手术或操作：
08.2200x003 眼睑小病损切除术
61.4102 阴囊裂伤缝合术
64.2x00x001 包皮瘢痕切除术
64.2x00x002 包皮病损切除术
64.2x00x003 阴茎瘢痕切除术
64.2x00x006 阴茎皮肤和皮下坏死组织切除清创术
64.2x00x007 阴茎皮肤和皮下组织非切除性清创
64.2x01 阴茎病损切除术
71.0900x001 会阴切开引流术
71.0900x004 外阴血肿清除术
71.0900x006 外阴脓肿穿刺术
71.0902 外阴切开引流术
71.0903 会阴造口术
71.0904 会阴切开术
71.0905 会阴切开异物取出术
71.2400x001 前庭大腺病损切除术
71.2400x003 前庭大腺切除术
71.3x00x001 大阴唇病损切除术
71.3x00x007 女性会阴部瘢痕切除术
71.3x00x011 外阴病损烧灼术
71.3x00x013 外阴窦道切除术
71.3x00x021 女性会阴皮肤和皮下坏死组织切除清创术
71.3x00x022 女性会阴皮肤和皮下组织非切除性清创
71.3x00x023 女性外阴皮肤和皮下坏死组织切除清创术
71.3x00x024 女性外阴皮肤和皮下组织非切除性清创
71.3x01 会阴病损切除术
71.3x04 外阴病损切除术
71.6100 单侧外阴切除术
71.6200 双侧外阴切除术
71.7101 外阴裂伤缝合术
71.7102 会阴裂伤缝合术
86.0100x002 皮肤和皮下组织脓肿抽吸术
86.0100x003 皮肤和皮下组织血肿抽吸术
86.0100x004 甲下脓肿抽吸术
86.0100x005 疱液抽取术
86.0200x003 皮肤着色
86.0200x004 皮肤充填物质置入术
86.0200x005 皮肤充填物质注射术
86.0200x006 细胞再生喷涂治疗(ReCell)
86.0201 文身
86.0202 皮肤硅胶填充术
86.0301 藏毛窦切开术
86.0302 藏毛囊肿切开术
86.0400x011 皮肤和皮下组织切开引流术
86.0401 创面封闭式负压引流术（VSD)
86.0402 男性会阴切开引流术
86.0500x007 皮下引流装置取出术
86.0500x008 皮下植入装置取出术
86.0500x009 脊髓神经刺激器去除术
86.0501 皮下神经刺激器去除
86.0502 皮肤和皮下组织异物切开取出术
86.0503 皮肤组织扩张器取出术
86.0900x002 皮肤和皮下组织切开探查术
86.0900x006 化疗泵管位置调整
86.0900x007 皮下药物置入术
86.0900x008 腹部埋藏手取出术
86.0900x009 皮下神经电刺激器置入术
86.0900x010 皮肤和皮下组织切开减压术
86.0901 皮肤焦痂切开术
86.0902 皮肤窦道切开术
86.0903 甲切开术
86.2101 藏毛囊肿切除术
86.2102 藏毛窦切除术
86.2200x011 皮肤和皮下坏死组织切除清创术
86.2201 皮肤伤口切除性清创术
86.2202 焦痂切除术
86.2203 中医化腐清创术
86.2300x001 甲床去除术
86.2300x002 甲根部分去除术
86.2300x003 甲褶去除术
86.2300x005 拔甲术
86.2301 指(趾)甲去除术
86.2400x001 皮肤病损显微外科手术[Mohs 手术]
86.2500 磨皮术
86.2600x004 指赘结扎术
86.2600x005 趾赘结扎术
86.2601 多余指切除术
86.2602 多余趾切除术
86.2701 甲床清创术
86.3x01 皮肤瘢痕切除术
86.3x02 皮肤病损切除术
86.3x03 皮下组织病损切除术
86.3x04 男性会阴病损切除术
86.3x05 腋嗅切除术
86.3x06 皮肤 Z 型成形伴病损切除术
86.3x07 文身切除术
86.3x08 汗腺病损切除术
86.3x09 皮肤病损冷冻治疗
86.3x10 皮肤病损烧灼治疗
86.3x10x038 腋下汗腺切除术
86.3x10x067 腔镜下皮下组织病损切除术
86.3x10x068 指赘切除术
86.3x10x069 趾赘切除术
86.3x10x070 皮肤病损挤刮治疗
86.3x10x071 皮肤病损电解治疗
86.3x11 皮肤病损电灼治疗
86.3x12 皮肤病损激光治疗
86.3x13 颈部皮下组织病损切除术
86.3x14 皮肤色素痣切除术
86.3x15 皮肤及皮下血管瘤切除术
86.3x16 瘢痕单纯切除,Z 字改形修复术
86.4x01 头.面.颈皮肤病损根治切除术
86.4x02 躯干皮肤病损根治性切除术
86.4x03 肢体皮肤病损根治切除术
86.5900x006 皮肤缝合术
86.5901 伤口裂开缝合术
86.5902 头皮裂伤清创缝合术
86.5903 男性会阴皮肤缝合术
86.8401 皮肤瘢痕松解术
86.8402 皮肤蹼状挛缩松解术
86.8403 皮肤 Z 型成形术
86.8501 并指矫正术
86.8502 并趾矫正术
86.8600x001 甲成形术
86.9000x001 脂肪抽吸术(用于脂肪移植)
86.9200x002 皮肤电解除毛术
86.9201 除毛术
86.9900 皮肤和皮下组织的其他手术
98.2501 非切开躯干异物取出术
98.2600x001 手异物去除
98.2700x001 上肢异物去除
98.2800x001 足异物去除
98.2900x001 下肢异物去除
