包含以下主要手术或操作：
16.9200 眼眶病损切除术
40.9x00x009 淋巴水肿矫正 Charles 手术[Charles手术]
40.9x00x010 淋 巴 水 肿 矫 正 Thompson 手 术[Thompson 手术]
40.9x00x011 腹膜后淋巴管横断结扎术
40.9x00x012 髂淋巴干横断结扎术
40.9x00x013 淋巴管瘘结扎术
40.9x00x014 淋巴管瘘切除术
40.9x00x015 淋巴管瘘粘连术
40.9x00x016 淋巴管瘤注射术
40.9x00x017 淋巴水肿抽吸术
40.9x01 腹腔淋巴管修补术
40.9x02 周围淋巴管结扎术
40.9x03 周围淋巴管闭合术
40.9x04 周围淋巴管扩张术
40.9x05 周围淋巴管吻合术
40.9x06 周围淋巴管移植术
40.9x07 周围淋巴管重建术
40.9x08 淋巴水肿矫正术
40.9x09 淋巴管静脉吻合术
41.1x00 脾穿刺
41.3300 开放性脾活组织检查
41.9100x001 供者骨髓采集术
41.9200 骨髓注入
41.9201 肱骨断端骨髓注射术
41.9202 股骨断端骨髓注射术
41.9203 胫骨断端骨髓注射术
41.9900x003 脾病损硬化剂注射术
45.4200x003 纤维结肠镜下结肠息肉切除术
51.2300 腹腔镜下胆囊切除术
54.1100 开腹探查术
54.1101 腹腔镜中转剖腹探查术
54.1900x001 腹部血肿去除术
54.1900x005 腹腔镜下腹腔积血清除术
54.1900x010 腹腔脓肿切开引流术
54.1900x011 腹腔血肿清除术
54.1900x020 男性盆腔脓肿切开引流术
54.1901 腹膜后血肿清除术
54.1902 腹膜血肿清除术
54.1904 膈下脓肿切开引流术
54.1907 腹腔出血止血术
54.2100 腹腔镜检查
54.2300x003 腹膜后活检术
54.2300x004 腹腔镜下网膜活组织检查
54.2300x005 腹腔镜下腹膜活组织检查
54.2300x006 腹腔镜下肠系膜活组织检查
54.2301 开放性腹膜活组织检查
54.2302 开放性网膜活组织检查
54.2303 开放性肠系膜活组织检查
54.3x01 腹壁病损切除术
54.3x02 腹腔镜下腹壁病损切除术
54.3x03 腹股沟病损切除术
54.3x04 脐切除术
54.3x05 盆腔壁病损切除术
54.3x06 腹壁清创术
54.3x07 腹壁脐尿管囊肿切除术
54.4x00x012 骶尾部病损切除术
54.4x00x021 腹膜外病损切除术
54.4x00x035 盆腔病损切除术
54.4x01 腹膜病损切除术
54.4x02 腹膜后病损切除术
54.4x07 骶前病损切除术
54.4x11 腹腔镜下腹膜病损切除术
54.4x12 腹腔镜下网膜病损切除术
54.4x13 腹腔镜下肠系膜病损切除术
54.4x14 腹腔镜下网膜部分切除术
54.4x15 腹腔镜下腹膜后病损切除术
54.4x16 腹腔镜下网膜切除术
54.9900x011 腹腔镜下盆腔内膜病损电凝术
54.9904 腹腔镜下腹腔病损切除术
66.5102 腹腔镜双侧输卵管切除术
67.3903 腹腔镜子宫颈病损切除术
67.3904 子宫颈病损切除术
68.2906 子宫病损切除术
68.2907 经阴道子宫病损切除术
68.2912 腹腔镜子宫病损切除术
68.2917 宫腔镜子宫病损切除术
68.2918 腹腔镜辅助经阴道子宫病损切除术
68.3104 腹腔镜残角子宫切除术
70.3200x002 直肠子宫陷凹病损切除术
70.3201 腹腔镜直肠子宫陷凹病损切除术
71.3x00x001 大阴唇病损切除术
71.3x00x011 外阴病损烧灼术
71.3x01 会阴病损切除术
71.3x04 外阴病损切除术
85.2100x003 乳房病损切除术
85.2100x019 乳房腺体区段切除术
86.2200x011 皮肤和皮下坏死组织切除清创术
86.2800x012 皮肤和皮下组织非切除性清创
99.2800x003 抗肿瘤基因治疗
99.2800x006 分子靶向治疗
99.2801 抗肿瘤免疫治疗
