包含以下主要诊断：
A01.000x008 伤寒并发腹膜炎
A59.001+N37.0* 滴虫性尿道炎
A59.800x001 口腔毛滴虫感染
A59.900 滴虫病
A60.001 生殖器疱疹
A60.002 泌尿生殖道疱疹病毒感染
A60.900 肛门生殖器的疱疹病毒感染
A63.000 肛门生殖器（性病性）疣
A63.001 肛门生殖器尖锐湿疣
A63.002 外阴尖锐湿疣
A63.003 喉尖锐湿疣
A63.800 主要为性传播的疾病，其他特指的
A64.x00 性传播疾病
A65.x00 非性病性梅毒
A66.000 雅司病初发损害
A66.100 多发性乳头瘤和湿性角化过度性雅司病
A66.200 雅司病的其他早期皮肤损害
A66.300 雅司病角化过度
A66.400 雅司病的树胶样肿和溃疡
A66.600 雅司病的骨和关节损害
A66.700 雅司病的其他表现
A66.800 潜伏性雅司病
A66.900 雅司病
A67.000 品他病初期损害
A67.100 品他病中期损害
A67.200 品他病晚期损害
A67.300 品他病的混合性损害
A67.900 品他病
A68.000 虱媒介的回归热
A68.100 蜱媒介的回归热
A68.900 回归热
A69.200 莱姆病
A69.800 螺旋体感染，其他特指的
A69.900 螺旋体感染
A70.x00 鹦鹉热衣原体感染
A74.900 衣原体感染
A75.000x002 轻型斑疹伤寒
A75.000x003 典型斑疹伤寒
A75.000x004 重型斑疹伤寒
A75.001 流行性斑疹伤寒
A75.100 再燃性斑疹伤寒[布里尔病]
A75.200x001 地方性斑疹伤寒
A75.300x001 恙虫病
A75.900 斑疹伤寒
A77.000 立氏立克次体性斑疹热
A77.000x001 落基山斑点热
A77.100 康诺尔立克次体性斑疹热
A77.100x001 南欧斑疹热[纽扣热]
A77.200 西伯利亚立克次体性斑疹热
A77.200x001 北亚蜱传斑点热
A77.300 澳洲立克次体性斑疹热
A77.300x001 昆士兰蜱传斑点热
A77.800 斑疹热,其他的
A77.900 斑疹热
A77.900x001 蜱传斑点热
A78.x00 Q 热
A79.000 战壕热
A79.100 螨立克次体性立克次体痘
A79.800x002 人粒细胞无形体病
A79.801 附红细胞体病
A79.900 立克次体病
A79.901 立克次体感染
A92.300x002 西尼罗脑炎
A92.300x003 西尼罗脑膜炎
A92.300x004 西尼罗病毒性脑膜脑炎
A92.500 寨卡病毒病
A93.801 疱疹性口炎病毒病
B00.001 卡波西水疱样疹
B00.202 疱疹病毒性咽扁桃体炎
B00.204 疱疹病毒性颌下腺炎
B00.205 疱疹病毒性咽炎
B01.800x002+N08.0* 水痘并发肾炎
B01.800x004 痘感染相关性视神经炎
B01.801 水痘肝炎
B02.900x001 带状疱疹
B03.x00 天花
B05.400 麻疹伴有肠道并发症
B05.800x009 麻疹合并上呼吸道感染
B05.801 麻疹并发喉炎
B05.802 麻疹并发支气管炎
B05.803 麻疹并发心肌炎
B07.x00x009 咽喉疣
B08.100 传染性软疣
B08.200 猝发疹[第六病]
B08.200x002 幼儿急疹
B08.300 传染性红斑[第五病]
B08.800x004 流行性粟疹热
B18.103+N08.0* 乙型肝炎相关性肾炎
B18.205+N08.0* 丙型肝炎相关性肾炎
B18.904+N08.0* 病毒性肝炎相关性肾病
B26.800x004 流行性腮腺炎并发胸骨前水肿
B26.800x008+N08.0* 流行性腮腺炎性肾炎
B26.800x010 流行性腮腺炎并发乳腺炎
B26.800x011 流行性腮腺炎并发甲状腺炎
B26.804 流行性腮腺炎伴颌下腺炎
B26.805+N08.0* 流行性腮腺炎性肾小球病变
B26.900x001 流行性腮腺炎
B33.000 流行性肌痛
B33.000x001 波恩霍尔姆病
B36.800 浅部真菌病，其他特指的
B36.801 播散性阿萨希毛孢子菌感染
B37.400x001+N37.0* 泌尿道念珠菌病
B37.401+N37.0* 念珠菌性尿道口炎
B37.800x085 脑念珠菌感染
B37.800x088 念珠菌性扁桃体炎
B37.801 念珠菌性眼内炎
B37.802 念珠菌性中耳炎
B37.808 播散性念珠菌病
B37.900 念珠菌病
B37.901 热带白色念珠菌感染
B38.700 播散性球孢子菌病
B38.800 球孢子菌病，其他形式的
B38.900 球孢子菌病
B39.300 播散性荚膜组织胞浆菌病
B39.400 荚膜组织胞浆菌病
B39.400x001 美洲组织胞浆菌病
B39.500 杜波依西变种组织胞浆菌病
B39.500x001 非洲组织胞浆菌病
B39.900 组织胞浆菌病
B40.700 播散性芽生菌病
B40.800 芽生菌病，其他形式的
B40.900 芽生菌病
B41.700 播散性副球孢子菌病
B41.800x001 内脏型副球孢子菌病
B41.800x003 淋巴管型副球孢子菌病
B41.900 副球孢子菌病
B42.100 淋巴皮肤的孢子丝菌病
B42.100x001 固定型孢子丝菌病
B42.100x002 淋巴管型孢子丝菌病
B42.100x003 黏膜型孢子丝菌病
B42.700 播散性孢子丝菌病
B42.800 孢子丝菌病，其他形式的
B42.900 孢子丝菌病
B43.100 棕色真菌病性脑脓肿
B43.800 着色真菌病，其他形式的
B43.801 暗丝孢霉病
B43.900 着色真菌病
B44.100x003 曲霉球
B44.700 播散性曲霉病
B44.800x003 眼曲霉菌病
B44.800x005 脑曲霉菌病
B44.801 声带曲霉病
B44.802 耳曲霉病
B44.900x001 曲霉菌病
B45.100 大脑隐球菌病
B45.700 播散性隐球菌病
B45.800x002 前列腺隐球菌病
B45.801 眼新型隐球菌病
B45.900 隐球菌病
B46.100x001+G99.8* 鼻脑型毛霉菌病
B46.400 播散性毛霉病
B46.500 毛霉病
B46.800x001 蝇疫霉病
B46.800x002 虫霉病
B46.900x002 藻菌病
B47.000 真菌性足菌肿
B47.100 放线菌瘤
B47.100x001 放线菌性足菌肿
B47.900 足菌肿
B48.000 瘢痕疙瘩性芽生菌病
B48.000x001 洛博芽生菌病
B48.200 阿利什利菌病
B48.201 霉样真菌病
B48.300 地霉病
B48.300x001 地丝菌病
B48.400 青霉病
B48.401 马尔尼菲蓝状菌病
B48.402 播散型青霉病
B48.700 机会性真菌病
B48.800x001 不育大孢子菌病
B49.x00x007 真菌感染
B49.x00x013 脑真菌感染
B49.x00x021 肝脏真菌感染
B49.x02+E35.8* 垂体真菌感染
B49.x11 外耳道真菌病
B49.x18 真菌性泌尿道感染
B50.000 恶性疟原虫疟疾伴有大脑并发症
B50.800 恶性疟原虫疟疾，其他严重的和有并发症的
B50.801 黑水热
B50.900x001 恶性疟
B51.000 间日疟原虫疟疾伴有脾破裂
B51.000x001+D77* 间日疟伴脾破裂
B51.800 间日疟原虫疟疾伴有其他并发症
B51.900 间日疟原虫疟疾不伴有并发症
B52.000 三日疟原虫疟疾伴有肾病
B52.000x002+N08.0* 三日疟性肾小球肾炎
B52.001+N08.0* 三日疟原虫疟疾性肾小球病变
B52.800 三日疟原虫疟疾伴有其他并发症
B52.900x001 三日疟
B53.000x001 卵形疟
B53.100 猴疟原虫性疟疾
B53.800x001 寄生虫学性疟疾
B54.x00x004 输血性疟疾
B54.x00x006 婴幼儿疟疾
B54.x00x008 疟疾复发
B55.000 内脏利什曼病
B55.000x001 黑热病
B55.000x003 黑热病后皮肤利什曼病
B55.100 皮肤利什曼病
B55.100x001 皮肤利什曼病[皮肤型黑热病]
B55.200 黏膜皮肤利什曼病
B55.200x001 淋巴结型黑热病
B55.900 利什曼病
B56.000x001 布氏冈比亚锥虫病[中西非睡眠病]
B56.100x001 布氏罗得西亚锥虫病[东非睡眠病]
B56.900x001 非洲锥虫病[非洲睡眠病]
B57.100 急性查加斯病，未累及心脏
B57.200x001 美洲锥虫病
B57.200x003 慢性恰加斯病
B57.300 慢性查加斯病累及消化系统
B57.500 慢性查加斯病累及其他器官
B58.801+N16.0* 弓形虫病性肾小球病变
B58.900x001 弓形虫病[弓形体病]
B60.000 巴贝虫病
B60.000x001 梨浆虫病
B60.800x001 肺蠊缨滴虫感染
B64.x00 原虫性疾病
B65.000x001 埃及血吸虫病
B65.001 膀胱血吸虫病
B65.100x001 曼氏血吸虫病
B65.101 慢性结肠血吸虫病
B65.200x001 日本血吸虫病
B65.300 尾蚴性皮炎
B65.800x001 湄公血吸虫病
B65.800x002 间插血吸虫病
B65.800x003 异位血吸虫病
B65.900x006 急性血吸虫病
B65.900x007 慢性血吸虫病
B65.900x008 晚期血吸虫病
B65.905+N08.0* 血吸虫病性肾小球病变
B66.000 后睾吸虫病
B66.000x001 猫后睾吸虫病
B66.100 支睾吸虫病
B66.101 华支睾吸虫感染
B66.200 支双腔吸虫病
B66.300 片吸虫病
B66.300x001 巨片吸虫病
B66.400 并殖吸虫病
B66.400x001 皮下组织并殖吸虫病
B66.500 姜片虫病
B66.800x001 棘口吸虫病
B66.800x002 异形吸虫病
B66.800x003 后殖吸虫病
B66.800x004 隐孔吸虫病
B66.800x005 沃森吸虫病
B66.800x006 横川吸虫病
B66.800x007 胰阔盘吸虫病
B66.900 吸虫感染
B66.901 脑吸虫病
B66.902 胆道吸虫病
B67.301 多部位细粒棘球蚴感染
B67.302+E35.0* 甲状腺细粒棘球蚴病
B67.400x001 细粒棘球蚴病
B67.401 犬绦虫感染
B67.600x001 肺泡型棘球蚴病
B67.600x002 脑泡型棘球蚴病
B67.600x003 骨泡型棘球蚴病
B67.601 多部位多房棘球蚴感染
B67.700x001 泡型棘球蚴病
B67.901 棘球蚴病
B67.902 脑棘球蚴病
B67.903 心脏棘球蚴病
B67.904 肺棘球蚴病
B67.905 胸膜棘球蚴病
B67.906 纵隔棘球蚴病
B67.907 腹腔棘球蚴病
B68.000 猪肉绦虫的绦虫病
B68.100 牛肉绦虫的绦虫病
B68.900x002 脑绦虫病
B68.900x003 肠绦虫病
B68.900x004 带绦虫病
B68.901 马尾绦虫肉芽肿
B69.100 眼囊虫病
B69.800x003 肌肉囊虫病
B69.800x004 皮下组织囊虫病
B69.800x005 脊髓囊虫病
B69.800x008 胸膜包囊虫症
B69.801 肺囊尾蚴病
B69.802 肝囊虫病
B69.803 骨囊虫病
B69.804 肌肉囊尾蚴病
B69.805 皮肤囊尾蚴病
B69.900x001 囊虫病[囊尾蚴病]
B70.000 裂头绦虫病
B70.100 裂头蚴病
B71.000 膜壳绦虫病
B71.100 复孔绦虫病
B71.800 绦虫感染，其他特指的
B71.900 绦虫感染
B73.x00 盘尾丝虫病
B74.000x001 班氏丝虫病
B74.000x002 班氏丝虫性象皮肿
B74.000x003 班氏丝虫性乳糜尿
B74.100x001 马来丝虫病
B74.100x002 马来丝虫性象皮肿
B74.100x003 马来丝虫性乳糜尿
B74.200x001 帝汶丝虫病
B74.200x002 帝汶丝虫性象皮肿
B74.200x003 帝汶丝虫性乳糜尿
B74.300 罗阿丝虫病
B74.400 曼森丝虫病
B74.400x001 欧氏丝虫病
B74.400x002 常现丝虫病
B74.400x003 链尾丝虫病
B74.800x001 恶丝虫病
B74.900 丝虫病
B74.900x003 丝虫性外阴象皮肿
B74.900x005 淋巴丝虫病
B74.901 丝虫病性乳糜尿
B74.902 丝虫性象皮病
B75.x00 旋毛虫病
B76.000 十二指肠钩虫病
B76.100 美洲钩虫病
B76.800 钩虫病，其他的
B76.900 钩虫病
B76.900x003 皮肤蠕虫蚴移行症
B76.901 胃钩虫病
B76.902 肠道钩虫病
B77.800x002 肝管蛔虫病
B77.800x004 蛔虫病伴胆道并发症
B77.800x005 蛔虫病伴肝管并发症
B77.803 胆道蛔虫病
B77.900 蛔虫病
B78.000 肠道类圆线虫病
B78.700 播散性类圆线虫病
B78.901 粪类圆线虫感染
B78.902+N08.0* 类圆线虫病性肾小球病变
B79.x00 鞭虫病
B80.x00 蛲虫病
B81.000 异尖线虫病
B81.100 肠道毛细线虫病
B81.200 毛圆线虫病
B81.300 肠道血管圆线虫病
B81.400 混合型肠道蠕虫病
B81.800x001 结节线虫病
B81.800x002 三齿线虫病
B81.801 食道口线虫病
B81.802 缩小三齿线虫病
B83.000 内脏幼虫移行症
B83.000x001 内脏蠕虫蚴移行症
B83.000x002 弓蛔虫病
B83.100 颚口线虫病
B83.200x001 广州管圆线虫病
B83.200x003 广州管圆线虫病性脑炎
B83.201 广州血管圆线虫病
B83.300 比翼（线虫）病
B83.400 内部水蛭病
B83.800x001 棘头虫病
B83.800x002 美丽筒线虫病
B83.800x003 肝毛细线虫病
B83.800x004 后圆线虫病
B83.800x005 结膜吸吮线虫病
B83.800x006 管圆线虫病
B83.800x007 腹部管圆线虫病
B83.800x008 肾膨结线虫病
B83.800x009 猪巨吻棘头虫病
B83.900 蠕虫病
B85.000 头虱引起的虱病
B85.100 体虱引起的虱病
B85.200 虱病
B85.300 阴虱病
B85.400 混合型虱病和阴虱病
B87.100 伤口蝇蛆病
B87.300 鼻咽蝇蛆病
B87.800x001 泌尿生殖道蝇蛆病
B87.900 蝇蛆病
B88.000x002 螨虫病
B88.000x003 蠕形螨病
B88.100 潜蚤病[沙蚤侵染]
B88.200x001 肠蜣螂病
B88.300 外部水蛭病
B88.800x001 舌形虫病
B88.800x002 蛇舌状虫病
B88.800x004 蚰蜒皮炎
B88.900x001 皮肤病虫侵染
B88.900x002 螨侵染
B88.900x003 皮肤寄生虫侵染
B89.x00 寄生虫病
B89.x01 颅内寄生虫感染
B90.102+N29.1* 肾自截
B99.x00x001 感染
B99.x01 感染性发热
O98.600x001 孕妇疟疾
P37.000 先天性结核病
P37.100 先天性弓形虫病
P37.300 先天性恶性疟
T80.200 输注、输血和治疗性注射后的感染
T80.200x004 输注后感染
T88.000 免疫接种后的感染
