包含以下主要手术或操作：
03.0100x001 椎管内异物去除术
80.5100x011 后入路胸椎间盘切除术
80.5100x013 后入路腰椎间盘切除术
80.5100x023 颈椎间盘切除伴椎板切除术
80.5100x024 颈椎间盘切除伴半椎板切除术
80.5100x025 颈椎间盘髓核切除术
80.5100x026 椎间盘镜下后入路颈椎间盘切除术
80.5100x027 胸椎间盘切除伴椎板切除术
80.5100x028 胸椎间盘切除伴半椎板切除术
80.5100x029 胸椎间盘髓核切除术
80.5100x030 椎间盘镜下后入路胸椎间盘切除术
80.5100x031 椎间盘镜下前入路胸椎间盘切除术
80.5100x032 椎间盘镜下前入路颈椎间盘切除术
80.5100x033 椎间盘镜下后入路腰椎间盘切除术
80.5100x034 椎间盘镜下前入路腰椎间盘切除术
80.5100x035 腰椎间盘切除伴椎板切除术
80.5100x036 腰椎间盘切除伴半椎板切除术
80.5100x037 经皮腰椎间盘髓核切吸术
80.5100x038 腰椎间盘髓核切除伴椎板切除术
80.5100x039 前外侧入路腰椎间盘切除术
80.5101 颈椎间盘切除术
80.5102 颈椎间盘切除伴椎管减压术
80.5103 内镜下颈椎间盘切除术
80.5104 胸椎间盘切除术
80.5105 胸椎间盘切除伴椎管减压术
80.5106 内镜下胸椎间盘切除术
80.5107 腰椎间盘切除术
80.5108 腰椎间盘切除伴椎管减压术
80.5109 腰椎髓核切除术
80.5110 内镜下腰椎间盘切除术
80.5111 内镜下腰椎髓核切除术
80.5200 椎间盘化学溶解术
80.5300 纤维环修补术伴移植物或假体
80.5400x001 经 皮 椎 间 盘 电 热 纤 维 环 成 形 术(IDET)
80.5401 腰椎间盘纤维环缝合术
80.7901 关节镜脊柱关节滑膜切除术
81.6500 经皮椎骨成形术
81.6600x001 经皮穿刺脊柱后凸成形术
81.6600x002 腰椎骨折球囊扩张成形术
81.6600x003 胸椎骨折球囊扩张成形术
81.6601 经皮椎体球囊扩张成形术
84.5900x002 椎体间减压装置置入术
84.6001 人工椎间盘置换
84.6101 颈部分椎间盘置换
84.6201 颈全椎间盘假体置换
84.6300x002 胸椎全部间盘假体置入术
84.6300x003 胸椎部分间盘假体置入术
84.6301 胸椎间盘假体置换
84.6400x001 腰椎部分间盘假体置入术
84.6400x003 腰椎棘突间腰椎稳定器置入术
84.6401 腰骶部分椎间盘假体置换
84.6501 腹腔镜辅助下腰椎前路椎间盘置换术
84.6600x001 颈人工椎间盘翻修术
84.6601 颈人工椎间盘假体置换术
84.6700x002 胸人工椎间盘翻修术
84.6701 胸人工椎间盘假体置换术
84.6800x001 腰人工椎间盘翻修术
84.6801 腰人工椎间盘假体置换术
84.8001 棘突装置的置入
84.8002 棘突装置的置换
84.8100 棘突装置的修复术
84.8201 椎弓根动力稳定装置置入术
84.8202 椎弓根动力稳定装置置换术
84.8203 脊柱生长阀置入术
84.8204 脊柱生长阀置换术
84.8205 经皮椎弓根钉内固定术
84.8301 脊柱生长阀修复术
84.8401 椎骨关节面置换装置的置入
84.8402 椎骨关节面置换装置的置换
84.8500 椎骨关节面置换装置的修复术
86.9401 单列神经刺激脉冲发生器的置入
86.9402 单列神经刺激脉冲发生器的置换
86.9500x001 多列神经刺激脉冲发生器置入术
86.9500x002 多列神经刺激脉冲发生器置换术
86.9600x003 脊髓神经刺激器置入术
86.9701 可充电单列神经刺激脉冲发生器的置入
86.9702 可充电单列神经刺激脉冲发生器的置换
86.9800x001 可充电多列神经刺激脉冲发生器置入术
86.9800x002 可充电多列神经刺激脉冲发生器置换术
