包含以下主要诊断：
C45.706 盆腔间皮瘤
C83.002 结节边缘区淋巴瘤
C83.003 脾缘区淋巴瘤
C83.004 非白血病 B-CLL 变异
C83.100 曼特尔细胞淋巴瘤
C83.101 中心细胞性淋巴瘤
C83.102 恶性淋巴瘤性息肉病
C83.300 弥漫性大 B 细胞淋巴瘤
C83.300x006 原发中枢神经系统弥漫大 B 细胞淋巴瘤
C83.300x007 原发皮肤弥漫大 B 细胞淋巴瘤（腿型）
C83.300x008 老年人 EBV 阳性弥漫大 B 细胞淋巴瘤
C83.300x009 与慢性炎症相关弥漫大 B 细胞淋巴瘤
C83.301 间变型弥漫大 B 细胞淋巴瘤
C83.302 中心母细胞型弥漫大 B 细胞淋巴瘤
C83.303 浆母细胞性弥漫大 B 细胞淋巴瘤
C83.304 免疫母细胞型弥漫大 B 细胞淋巴瘤
C83.305 未特指亚型的弥漫大 B 细胞淋巴瘤
C83.306 富 T 细胞弥漫大 B 细胞淋巴瘤
C83.307 CD30 阳性弥漫大 B 细胞淋巴瘤
C83.500 原淋巴细胞（弥漫性）淋巴瘤
C83.501 前体 B 细胞淋巴瘤
C83.502 B 淋巴母细胞性淋巴瘤
C83.503 淋巴母细胞性淋巴瘤 NOS
C83.504 T 淋巴母细胞性淋巴瘤
C83.505 前体 T 细胞淋巴瘤
C83.700 伯基特淋巴瘤
C83.702 伯基特样淋巴瘤
C83.703 非典型伯基特淋巴瘤
C83.800 其他非滤泡性淋巴瘤
C83.800x006 脾红髓弥漫小 B 细胞淋巴瘤
C83.800x008 恶性淋巴瘤,淋巴浆细胞性
C83.800x009 起源于HHV8相关多中心性 Castleman病的大 B 细胞淋巴瘤
C83.801 原发渗出性淋巴瘤
C83.802 血管内大 B 细胞淋巴瘤
C83.803 淋巴样肉芽肿病
C83.900 非滤泡（弥漫性）淋巴瘤，未特指
C84.000 蕈样真菌病
C84.000x002 原发性皮肤 T 细胞淋巴瘤[蕈样肉芽肿]
C84.000x003 嗜毛囊性蕈样肉芽肿
C84.100 塞扎里病
C84.400 周围 T 细胞淋巴瘤，不可分类在他处
C84.400x001 成熟 T 细胞淋巴瘤
C84.401 血管免疫母细胞性 T-细胞淋巴瘤
C84.402 外周 T-细胞淋巴瘤，多形性小细胞
C84.403 外周 T-细胞淋巴瘤，多形性中等细胞和大细胞
C84.404 间变大细胞 T-细胞淋巴瘤,ALK 阴性
C84.405 外周 T-细胞淋巴瘤,AILD
C84.406 Lennert 淋巴瘤
C84.407 淋巴上皮样淋巴瘤
C84.500 其他成熟的 T/NK 细胞淋巴瘤
C84.500x004 儿童系统性 EBV 阳性 T 细胞增殖性疾病
C84.500x012 原发皮肤外周 T 细胞淋巴瘤（罕见类型）
C84.500x016 原发皮肤 CD4+小/中多形性 T 细胞淋巴瘤
C84.502 皮肤淋巴瘤
C84.600 间变性大细胞淋巴瘤，ALK 阳性
C84.601 间变性大细胞淋巴瘤，CD30 阳性
C84.700 间变性大细胞淋巴瘤，ALK 阴性
C84.800 皮肤 T 细胞淋巴瘤，未特指
C84.900 成熟 T/NK 细胞淋巴瘤，未特指
C84.901 T/NK 细胞淋巴瘤，未特指
C85.100 B-细胞淋巴瘤
C85.100x010 富 T 细胞/富组织细胞大 B 细胞淋巴瘤
C85.100x017 ALK+大 B 细胞淋巴瘤
C85.100x021 原发皮肤 B 细胞淋巴瘤
C85.200 纵隔（胸腺）大 B 细胞淋巴瘤
C85.700 非霍奇金淋巴瘤的其他特指类型
C85.700x004 慢性 NK 细胞淋巴增殖性疾病
C85.700x016 皮下 NK 细胞淋巴瘤
C85.701 单核细胞样 B 细胞淋巴瘤
C85.704 血管中心性 T-细胞淋巴瘤
C85.705 大细胞（ki-1+）淋巴瘤
C85.707 NK/T-细胞淋巴瘤
C85.709 间变大细胞淋巴瘤
C85.715 血管内皮瘤病
C85.900 非霍奇金淋巴瘤
C85.900x001 鼻窦淋巴瘤
C85.900x002 鼻腔淋巴瘤
C85.900x003 扁桃体淋巴瘤
C85.900x004 肠淋巴瘤
C85.900x005 肠系膜淋巴瘤
C85.900x006 淋巴瘤
C85.900x008 肺淋巴瘤
C85.900x009 腹膜后淋巴瘤
C85.900x010 腹腔淋巴瘤
C85.900x011 肝淋巴瘤
C85.900x012 睾丸淋巴瘤
C85.900x013 纵隔淋巴瘤
C85.900x014 回盲部淋巴瘤
C85.900x015 结肠淋巴瘤
C85.900x016 卵巢淋巴瘤
C85.900x017 盲肠淋巴瘤
C85.900x019 脑淋巴瘤
C85.900x020 脾淋巴瘤
C85.900x022 舌淋巴瘤
C85.900x023 胃淋巴瘤
C85.900x024 小肠淋巴瘤
C85.900x025 眼淋巴瘤
C85.900x026 硬膜外淋巴瘤
C85.900x027 肢体淋巴瘤
C85.900x028 直肠淋巴瘤
C85.900x029 骨淋巴瘤
C85.900x030 腹股沟淋巴瘤
C85.900x031 乳腺淋巴瘤
C85.900x034 周围神经血管内淋巴瘤
C85.900x036 甲状腺淋巴瘤
C85.900x037 脊髓淋巴瘤
C85.900x038 淋巴瘤结内侵及
C85.900x039 淋巴瘤结外侵及
C85.900x040 颈淋巴瘤
C85.900x041 心脏淋巴瘤
C85.900x042 胰腺淋巴瘤
C85.900x043 肾淋巴瘤
C85.901 复合性霍奇金和非霍奇金淋巴瘤
C86.000 结外 NK/T 细胞淋巴瘤，鼻型
C86.100 肝脾 T 细胞淋巴瘤
C86.200 肠型 T 细胞淋巴瘤
C86.300 皮下血管炎样 T 细胞淋巴瘤
C86.400 原始 NK 细胞淋巴瘤
C86.500 血管免疫母细胞性 T 细胞淋巴瘤
C86.600 原发性皮肤 CD30 阳性 T 细胞增殖性病变
C86.601 淋巴瘤样丘疹病
C86.602 原发性皮肤间变性大细胞淋巴瘤
C86.603 原发性皮肤 CD30+间变性大细胞淋巴瘤
C88.000 瓦尔登斯特伦巨球蛋白血症
C88.000x002 高黏滞综合征
C88.000x011 巨球蛋白血症伴缓解
C88.000x012 高黏滞综合征伴缓解
C88.200 其他重链病
C88.200x011 γ重链病伴缓解
C88.200x012 富兰克林病伴缓解
C88.201 富兰克林病
C88.202 γ重链病
C88.203 Mµ重链病
C88.300 免疫增生性小肠病
C88.301 地中海淋巴瘤
C88.302 α重链病
C88.400 MALT-淋巴瘤
C88.401 与黏膜有关的淋巴样组织淋巴瘤
C88.402 与支气管有关的淋巴样组织淋巴瘤
C88.403 与皮肤有关的淋巴样组织淋巴瘤
C88.700 恶性免疫增生性疾病，其他的
C88.700x002 重链病
C88.700x003 μ重链病
C88.700x012 重链病伴缓解
C88.700x013 μ重链病伴缓解
C88.701 血管中心性免疫增生性病变，恶性
C88.900 恶性免疫增生性疾病
C88.900x001 原发性免疫疾病相关性淋巴增殖性疾病
C90.000 多发性骨髓瘤
C90.000x004 卡勒病
C90.000x005 浆细胞病
C90.000x008+M90.6* 多发性骨髓瘤引起的变形性骨炎
C90.000x009 多发性骨髓瘤髓外浸润
C90.000x011 多发性骨髓瘤伴缓解
C90.000x012 浆细胞性骨髓瘤伴缓解
C90.000x014 卡勒病伴缓解
C90.000x021 多发性骨髓瘤（IgGλ型）
C90.000x022 多发性骨髓瘤（IgGк型）
C90.000x023 多发性骨髓瘤（轻链λ型）
C90.000x024 多发性骨髓瘤（轻链к型）
C90.000x025 多发性骨髓瘤（无分泌型）
C90.000x026 多发性骨髓瘤（IgDλ型）
C90.000x027 多发性骨髓瘤（IgAλ型）
C90.000x028 多发性骨髓瘤（IgAк型）
C90.000x029 多发性骨髓瘤（IgDк型）
C90.000x030 多发性骨髓瘤（DS 分期 I 期）
C90.000x031 多发性骨髓瘤（DS 分期 II 期 B 组）
C90.000x032 多发性骨髓瘤（DS 分期 II 期）
C90.000x033 多发性骨髓瘤（DS 分期 III 期 B 组）
C90.000x034 多发性骨髓瘤（DS 分期 III 期）
C90.000x035 多发性骨髓瘤（DS 分期 I 期 B 组）
C90.000x036 多发性骨髓瘤（ISS 分期 III 期）
C90.000x037 多发性骨髓瘤（ISS 分期 III 期 B 组）
C90.000x038 多发性骨髓瘤（ISS 分期 II 期）
C90.000x039 多发性骨髓瘤（ISS 分期 II 期 B 组）
C90.000x040 多发性骨髓瘤（ISS 分期 I 期）
C90.000x041 多发性骨髓瘤（ISS 分期 I 期 B 组）
C90.001 骨髓瘤病
C90.002 浆细胞性骨髓瘤
C90.100 浆细胞白血病
C90.100x002 继发性浆细胞白血病
C90.100x011 浆细胞白血病伴缓解
C90.200 髓外浆细胞瘤
C90.200x008 软组织浆细胞瘤
C90.200x009 原发皮肤浆细胞瘤
C90.200x013 髓外的浆细胞瘤伴缓解
C90.300 孤立性浆细胞瘤
C90.300x001 浆细胞瘤伴缓解
C90.300x002 浆细胞肉瘤伴缓解
C90.300x003 浆细胞肉瘤
C90.300x004 孤立性骨髓瘤伴缓解
C90.301 局限性恶性浆细胞瘤
C90.302 浆细胞瘤
C90.303 孤立性骨髓瘤
C91.000 急性淋巴细胞白血病
C91.000x006 前 B 细胞急性淋巴细胞白血病
C91.000x007 前 T 细胞急性淋巴细胞白血病
C91.000x009 B 淋巴母细胞性白血病/淋巴瘤
C91.000x012 急性淋巴细胞白血病 L1 伴缓解
C91.000x013 急性淋巴细胞白血病 L2 伴缓解
C91.000x014 急性淋巴细胞白血病 L3 伴缓解
C91.000x015 慢性粒细胞性白血病伴缓解（急淋变）
C91.000x016 T 淋巴母细胞白血病/淋巴瘤
C91.000x017 前 T 细胞急性淋巴细胞白血病伴缓解
C91.001 急性淋巴细胞性白血病，L1 型
C91.002 急性淋巴细胞性白血病，L2 型
C91.003 急性淋巴细胞性白血病，L3 型
C91.004 慢性粒细胞性白血病，急淋变
C91.006 急性淋巴细胞白血病，完全缓解
C91.007 成人 Ph+急性淋巴细胞白血病（ALL）
C91.008 成人 Ph-急性淋巴细胞白血病（ALL）
C91.100 B 细胞型慢性淋巴细胞白血病
C91.100x011 慢性淋巴细胞白血病伴缓解
C91.100x012 慢性淋巴细胞性白血病，急性变
C91.101 淋巴浆细胞性白血病
C91.102 Richter 综合征
C91.300 幼淋巴细胞白血病，B 细胞型
C91.400 多毛细胞白血病
C91.400x004 毛细胞白血病（变异型）
C91.400x013 毛细胞白血病伴缓解
C91.401 白血病性网状内皮细胞增多症
C91.500 成人 T-细胞淋巴瘤/白血病[HTLV-1-相关性]
C91.500x011 成人 T 细胞白血病伴缓解
C91.600 T 细胞型早幼粒细胞白血病
C91.700 淋巴样白血病，其他的
C91.701 非白血性淋巴细胞性白血病
C91.704 T-细胞大颗粒淋巴细胞白血病
C91.800 伯基特型成熟 B 细胞白血病
C91.900 淋巴样白血病
C91.901 淋巴细胞白血病
C92.000 急性髓细胞白血病
C92.000x003 急性粒细胞性白血病
C92.000x006 急性嗜碱性粒细胞白血病
C92.000x011 急性粒细胞性白血病未分化型伴缓解（M1 型）
C92.000x012 急性粒细胞性白血病部分分化型伴缓解（M2 型）
C92.000x013 急性粒细胞性白血病伴缓解
C92.000x014 急性髓系白血病，伴有异常的骨髓嗜酸性粒细胞
C92.000x015 急性髓系白血病，最低分化
C92.000x016 急性髓系白血病，伴有成熟
C92.000x017 急性髓系白血病，完全缓解
C92.000x018 急 性 髓 系 白 血 病 ， t （ 6;9 ）（p23;q34）;DEK-NUP214
C92.001 急性髓细胞白血病，微分化型
C92.002 急性髓细胞白血病，不伴有成熟
C92.003 急性髓细胞白血病，1/ETO 型
C92.004 急性髓细胞白血病，M0 型
C92.005 急性髓细胞白血病，M1 型
C92.006 急性髓细胞白血病，M2 型
C92.007 急性髓细胞白血病，t（8;21）
C92.008 急性髓细胞白血病（没有 FAB 分类），未特指
C92.009 转化过程中难治性贫血伴原始细胞增多
C92.100 慢性髓系白血病（CML），BCR/ABL 阳性
C92.100x001 慢性粒细胞性白血病
C92.100x002 慢性粒细胞性白血病（急性变）
C92.100x004 慢性髓单核细胞性白血病
C92.100x011 慢性粒细胞性白血病伴缓解
C92.100x012 慢性粒细胞性白血病伴缓解（急性变）
C92.100x014 慢性髓单核细胞性白血病伴缓解
C92.100x016 慢性髓系白血病伴缓解
C92.100x017 慢性髓系白血病，急性发作
C92.100x018 慢性中幼粒细胞性白血病
C92.100x019 慢性髓系白血病，BCR/ABL 阳性
C92.101 费城染色体（Ph1）阳性慢性粒细胞白血病
C92.102 慢性粒细胞白血病 t（9:22）（q34；q11）
C92.103 慢性粒细胞白血病原始细胞危象
C92.200 非典型性慢性髓系白血病，BCR/ABL 阴性
C92.200x001 慢性粒细胞白血病（加速期）
C92.200x011 慢性粒细胞白血病伴缓解（加速期）
C92.201 亚急性粒细胞性白血病
C92.300 髓样肉瘤
C92.300x001 绿色瘤
C92.300x003 粒细胞肉瘤
C92.300x011 绿色瘤伴缓解
C92.300x013 粒细胞肉瘤伴缓解
C92.400x011 急性早幼粒细胞白血病伴缓解（M3 型）
C92.401 急性早幼粒细胞性白血病，完全缓解
C92.402 急性髓细胞白血病，M3 型
C92.403 急性髓细胞白血病，M3 伴（15；17）伴多样型
C92.500x011 急性粒单核细胞白血病伴缓解（M4 型）
C92.501 急性髓细胞白血病，M4 型
C92.502 急性髓细胞白血病，M4 伴 t（16；16）伴多样型
C92.600 急性髓系白血病伴 11q23 异常
C92.601 急性髓系白血病伴 MLL 基因变异
C92.700 髓样白血病,其他的
C92.700x006 唐氏综合征相关的髓系白血病
C92.700x012 嗜碱细胞性白血病伴缓解
C92.700x013 嗜酸细胞性白血病伴缓解
C92.701 非白血性髓系白血病
C92.703 嗜碱细胞白血病
C92.706 嗜酸细胞白血病
C92.800 急性髓系白血病伴多系增生异常
C92.900 髓样白血病
C92.900x001 低增生性粒细胞性白血病
C92.900x011 低增生性粒细胞性白血病伴缓解
C92.901 粒细胞白血病
C93.000x011 急性单核细胞性白血病伴缓解（M5 型）
C93.000x016 急性单核细胞白血病伴缓解
C93.001 急性髓细胞白血病，M5a 型
C93.002 急性髓细胞白血病，M5b 型
C93.003 急性髓细胞白血病，M5 型
C93.100 慢性粒单核细胞白血病
C93.100x011 慢性单核细胞白血病伴缓解
C93.100x012 慢性单核细胞白血病，急性加重
C93.100x013 慢性粒单核细胞性白血病伴缓解
C93.101 慢性单核细胞白血病
C93.102 慢性粒单核细胞白血病-1
C93.103 慢性粒单核细胞白血病-2
C93.104 慢性粒单核细胞白血病伴嗜酸粒细胞增多
C93.300 幼年型骨髓单核细胞白血病
C93.300x001 幼年型粒单核细胞白血病伴缓解
C93.700 单核细胞白血病，其他的
C93.701 非白血性单核细胞白血病
C93.900 单核细胞白血病
C93.901 组织细胞白血病
C94.000x001 急性红白血病（M6 型）
C94.000x011 急性红白血病伴缓解（M6 型）
C94.001 红白血病
C94.004 急性髓系白血病,M6（a）（b）
C94.200 急性原巨核细胞白血病
C94.200x011 急性巨核细胞白血病伴缓解（M7 型）
C94.201 急性巨核细胞性白血病
C94.202 急性髓系白血病，M7
C94.300 肥大细胞白血病
C94.300x011 肥大细胞白血病伴缓解
C94.400 急性全骨髓增殖症伴骨髓纤维化
C94.400x001 急性骨髓纤维化
C94.600 骨髓增生异常和骨髓增生性疾病，不可归类在他处者
C94.700 白血病，其他特指的
C94.700x004 中枢神经系统白血病
C94.700x014 中枢神经系统白血病伴缓解
C94.702 急性嗜碱细胞性白血病
C94.703 侵袭性 NK 细胞白血病
C95.000 急性白血病
C95.000x002 急性白血病髓外复发
C95.000x003 急性非淋巴细胞性白血病
C95.000x015 急性白血病（谱系未定）
C95.000x016 B 淋巴细胞和髓系混合表型急性白血病
C95.000x017 T 淋巴细胞和髓系混合表型急性白血病
C95.000x018 NK 细胞淋巴母细胞性白血病/淋巴瘤
C95.000x101 急性白血病伴缓解
C95.000x102 急性白血病髓外复发伴缓解
C95.000x115 急性白血病伴缓解（谱系未定）
C95.000x116 B 淋巴细胞和髓系混合表型急性白血病伴缓解
C95.000x117 T 淋巴细胞和髓系混合表型急性白血病伴缓解
C95.000x118 NK 细胞淋巴母细胞性白血病/淋巴瘤伴缓解
C95.002 干细胞白血病
C95.003 未分化细胞白血病
C95.004 急性双系白血病
C95.005 急性混合型单系白血病
C95.006 急性双表型白血病
C95.100 慢性白血病
C95.100x011 慢性白血病伴缓解
C95.100x012 慢性白血病急性加重
C95.700x001 高白细胞白血病
C95.700x002 先天性白血病
C95.700x003 皮肤白血病
C95.700x011 高白细胞白血病伴缓解
C95.900 白血病
C95.900x003+M36.1* 白血病性关节病
C95.900x005 难治性白血病
C95.900x012 混合细胞性白血病伴缓解
C95.900x013+M36.1* 白血病性关节病伴缓解
C95.900x015 难治性白血病伴缓解
C95.901 混合细胞性白血病
C96.000 莱特雷尔-西韦病
C96.002 急性分化性进行性组织细胞增多症
C96.004 组织细胞增生症 X，多系统
C96.200 恶性肥大细胞瘤
C96.200x005 全身性肥大细胞病
C96.200x013 肥大细胞肉瘤伴缓解
C96.201 侵袭性系统性肥大细胞增生症
C96.202 肥大细胞肉瘤
C96.400 树突细胞肉瘤
C96.400x001 滤泡树突状细胞肉瘤
C96.400x002 未定型树突细胞瘤
C96.400x003 母细胞性浆细胞样树状突细胞肿瘤
C96.400x004 指突状树突细胞肉瘤
C96.401 交错树突细胞肉瘤
C96.402 朗格汉斯细胞肉瘤
C96.403 小结树突细胞肉瘤
C96.500 朗格汉斯细胞组织细胞增生症，多病灶和单系统性
C96.501 汉-许-克病
C96.502 组织细胞增生症 X，多病灶
C96.600 朗格汉斯细胞组织细胞增生症，单病灶
C96.601 嗜酸细胞性肉芽肿
C96.602 组织细胞增生症 X，单病灶
C96.603 组织细胞增生症 XNOS
C96.604 朗格汉斯细胞组织细胞增生症 NOS
C96.704 原发皮肤γδ-T 细胞淋巴瘤
C96.705 种痘样水疱病样淋巴瘤
C96.800 组织细胞肉瘤
C96.801 恶性组织细胞增生症
C96.900 淋巴、造血和有关组织的恶性肿瘤
C97.x00 独立（原发）多个部位的恶性肿瘤
C97.x01 复合癌
D09.700 原位癌，其他特指部位的
D09.700x001 骶尾原位癌
D09.900 原位癌
D19.700 间皮组织良性肿瘤，其他部位的
D45.x00 真性红细胞增多症
D46.001 难治性贫血伴单系病态造血
D46.100 难治性贫血伴有环形铁粒幼细胞
D46.100x002 伴环形铁粒幼红细胞的难治性贫血合并血小板显著增多
D46.100x012 伴环形铁粒幼红细胞的难治性贫血合并血小板显著增多伴缓解
D46.200 难治性贫血伴有胚细胞过多
D46.201x001 难治贫血伴有胚细胞过多-I 型
D46.203 难治性贫血伴有胚细胞过多-II 型
D46.400 难治性贫血
D46.500 难治性贫血伴多系病态造血
D46.600 MDS-5q-综合征
D46.700x001 难治性血细胞减少伴单一系列病态造血
D46.700x002 难治性中性粒细胞减少症
D46.700x003 难治性血小板减少症
D46.700x006 不能分型的骨髓异常增生综合征
D46.700x007 儿童骨髓异常增生综合征
D46.700x008 儿童难治性血细胞减少
D46.900 骨髓增生异常综合征
D46.900x002 骨髓增生异常性贫血
D46.900x004 骨髓发育不良综合征
D46.900x006 治疗相关性 AML 和 MDS
D46.901 白血病前期综合征
D47.000 动态未定和动态未知的组织细胞和肥大细胞瘤
D47.001 懒性系统性肥大细胞增多症
D47.002 肥大细胞肿瘤，未特指
D47.003 肥大细胞瘤，未特指
D47.004 非肥大细胞系的造血系统增生疾病
D47.100 慢性骨髓增生性疾病
D47.100x004 慢性骨髓增殖性肿瘤
D47.100x007 慢性骨髓增殖性疾病（不能分型）
D47.100x008 骨髓增生异常性/骨髓增殖性肿瘤（不能分型）
D47.100x009 唐氏综合征相关的骨髓增殖性疾病
D47.100x017 慢性骨髓增殖性疾病伴缓解（不能分型）
D47.100x018 骨髓增生异常性/骨髓增殖性肿瘤伴缓解（不能分型）
D47.100x019 慢性中性粒细胞性白血病伴缓解
D47.101 慢性中性粒细胞白血病
D47.200 意义未明的单克隆丙种球蛋白病
D47.200x003 单克隆免疫球蛋白沉积病
D47.200x004+G63.1* 副蛋白血症相关神经病
D47.200x005+G63.1* 神经病伴副蛋白血症
D47.300 特发性（出血性）血小板增多症
D47.400 骨髓纤维瘤
D47.401 慢性原发性（特发性）骨髓纤维化
D47.402 （特发性）（髓样化生性）骨髓纤维化
D47.403 （巨核细胞性）骨髓硬化伴有髓样化生的
D47.404 继发性骨髓纤维化骨髓增殖性疾病
D47.500 慢性嗜酸性粒细胞白血病
D47.700 淋巴、造血和有关组织其他特指的动态未定或动态未知的肿瘤
D47.700x005 B 淋巴细胞克隆性疾病
D47.700x006 原发性系统性淀粉样变性
D47.700x007 Castleman 病
D47.701 血管中心性免疫增生性损害
D47.702 血管免疫母细胞淋巴结病
D47.703 T-γ淋巴组织增生性疾病
D47.900 淋巴、造血和有关组织的动态未定或动态未知的肿瘤
D47.900x001 淋巴细胞增殖性疾病
D47.900x002 移植后淋巴增殖性疾病
D48.700x001 背部交界性肿瘤
D48.700x015 臀部交界性肿瘤
D48.700x023 腋下交界性肿瘤
D48.707 躯干动态未定肿瘤
D48.708 躯干肿瘤
D48.715 盆腔动态未定肿瘤
D48.716 盆腔肿瘤
D48.722 背动态未定肿瘤
D48.723 臀动态未定肿瘤
D48.725 腋动态未定肿瘤
D48.900 动态未定或动态未知的肿瘤
D48.901 瘤
D48.902 新生物
D89.801 POEMS 综合征
Q85.802 波伊茨-耶格综合征
Q85.909 错构瘤病
包含以下主要手术或操作：
01.1200 开放性脑膜活组织检查
01.1400 开放性大脑活组织检查
01.2400x005 开颅探查术
01.2400x009 颅内脓肿引流术
01.2400x013 硬脑膜外血肿清除术
01.2400x018 硬脑膜切开术
01.2402 颅骨切开引流术
01.2405 硬膜外脓肿清除术
01.2407 颅骨钻孔探查术
01.2413 颅骨去骨瓣减压术
01.2414 颅骨钻孔减压术
01.2415 颅骨切开异物取出术
02.0101 线形颅骨切除术
02.0102 条带状颅骨切除术
02.0201 颅骨骨折减压术
02.0202 颅骨骨折清创术
02.0203 颅骨骨折复位术
02.0300x001 颅骨骨瓣修补术
02.0400x003 颅骨骨膜移植术
02.0500x004 颅骨硅橡胶板置入术
02.0500x005 颅骨有机玻璃板置入术
02.0502 颅骨钛板置入术
02.0600x003 颅骨修补术
02.0700 颅骨(金属)板去除
03.3201 硬脊膜活组织检查
03.3202 脊髓活组织检查术
03.4x03 脊髓病损切除术
25.0200 开放性舌活组织检查
25.1x01 舌病损切除术
25.1x02 舌病损破坏术
25.1x03 舌射频治疗术
25.1x04 支撑喉镜下舌根部病损切除术
25.1x05 支撑喉镜下舌病损激光烧灼术
25.2x00 舌部分切除术
25.2x01 半舌切除术
32.2400x001 经皮肺病损射频消融术
32.2500x001 胸腔镜下肺病损射频消融术
33.2000 胸腔镜肺活组织检查
33.2000x002 纵隔镜下肺组织活检术
33.2400x001 支气管镜下支气管活检
33.2400x002 支气管镜下诊断性支气管肺泡灌洗[BAL]
33.2402 超声内镜下支气管穿刺活组织检查术
33.2405 气管镜刷检术
33.2500x002 胸腔镜下支气管活检术
33.2500x003 直视下支气管活检术
33.2800x001 开胸肺活检术
34.2000 胸腔镜胸膜活组织检查
34.2502 胸腔镜下纵隔活组织检查
34.2600 开放性纵隔活组织检查
34.2700x001 膈肌活检术
37.2400 心包活组织检查
37.2401 胸腔镜下心包活组织检查
37.9100 开胸心脏按摩
38.8605 肝动脉结扎术
39.7900x017 结肠动脉栓塞术
39.9800x001 伤口止血术
39.9801 手术后伤口止血术
40.1100x003 腹腔镜下淋巴结活检术
40.1100x004 纵隔镜下淋巴结活检术
40.2100 深部颈淋巴结切除术
40.2200 乳房内淋巴结切除术
40.2300 腋淋巴结切除术
40.2400 腹股沟淋巴结切除术
40.2900x002 单纯淋巴结切除术
40.2900x008 颌下淋巴结切除术
40.2900x017 腹膜后淋巴管瘤(囊肿)切除术
