包含以下主要手术或操作：
34.4x01 胸壁病损切除术
82.8600x010 指深-浅屈肌腱交叉延长术
82.8600x011 伸指肌腱中央束重建术[Matev 法]
82.8600x012 伸指肌腱中央束重建术[Carroll 法]
82.8600x013 伸指肌腱中央束重建术[Fowler 法]
82.9100x004 手指肌腱松解术
82.9101 手部筋膜松解术
82.9102 手部肌肉粘连松解术
82.9103 手部肌腱粘连松解术
82.9501 手部腱鞘封闭术
82.9900 手肌、腱和筋膜的其他手术
83.0100x001 肌腱探查术
83.0101 腱鞘切开术
83.0102 腱鞘松解术
83.0103 腱鞘米粒样小体去除术
83.0200x005 前臂切开减压术
83.0200x006 小腿减张术
83.0201 肌肉筋膜切开减压术
83.0202 肌肉切开探查术
83.0203 肌肉切开异物取出术
83.0204 肌肉切开引流术
83.0205 臀中肌综合征减压术
83.1101 跟腱挛缩松解术
83.1201 股内收肌松解术
83.1202 臀大肌切断术
83.1300x001 腓肠肌腱膜松解术
83.1300x004 前臂肌腱松解术
83.1300x006 下肢肌腱松解术
83.1300x007 肌腱松解术
83.1300x008 跖腱膜切断术
83.1301 足部肌腱松解术
83.1302 髂腰肌腱切断术
83.1303 腕部屈肌腱松解术
83.1400x006 跖筋膜切断术
83.1400x007 福耳克曼挛缩松解伴筋膜切断术
83.1400x008 趾筋膜切断术
83.1401 筋膜剥脱术
83.1402 足筋膜切断术
83.1403 臀筋膜切断术
83.1404 腿筋膜松解术
83.1405 髂胫束切断术
83.3200 肌肉病损切除术
83.3200x001 背部肌肉病损切除术
83.3200x007 躯干肌肉病损切除术
83.3200x009 上肢肌肉病损切除术
83.3200x012 下肢肌肉病损切除术
83.3201 骨化性肌炎切除术
83.3900x018 软组织病损破坏术
83.4100x001 肌腱切取术
83.4200x002 腱膜切除术
83.4201 肌腱切除术
83.4202 腱鞘切除术
83.4300x001 肌肉切取术
83.4301 肌肉切取用做移植物
83.4302 筋膜切取用做移植物
83.4400x001 筋膜切除术
83.4400x002 阔筋膜部分切除术
83.4400x003 足筋膜切除术
83.4500x013 肌肉部分切除术
83.6100 腱鞘缝合术
83.6201 肌腱延迟缝合术
83.6301 冈上肌修补术
83.6400x007 前臂肌腱缝合术
83.6400x008 上肢肌腱缝合术
83.6400x009 腕部肌腱缝合术
83.6400x011 下肢肌腱缝合术
83.6400x013 趾肌腱缝合术
83.6400x015 �长伸肌腱缝合术
83.6401 肌腱缝合术
83.6402 跟腱缝合术
83.6403 腱膜缝合术
83.6500x001 腹直肌缝合术
83.6500x002 肱二头肌缝合术
83.6500x003 肱三头肌缝合术
83.6500x005 股二头肌缝合术
83.6500x006 股四头肌缝合术
83.6500x011 胫前肌缝合术
83.6500x012 前臂肌缝合术
83.6500x013 三角肌缝合术
83.6500x014 提肛肌缝合术
83.6500x015 臀部肌缝合术
83.6500x016 下肢肌肉缝合术
83.6500x017 胸锁乳突肌缝合术
83.6500x018 上肢肌肉缝合术
83.6500x019 头面部肌肉缝合术
83.6500x020 颈部肌肉缝合术
83.6500x021 躯干部肌肉缝合术
83.6501 肌肉缝合术
83.6502 筋膜缝合术
83.6503 腹直肌分离修补术
83.7100 腱前徙术
83.7200 腱后徙术
83.7300x002 肌腱再接术
83.7400x001 肌肉再接术
83.7500x003 前臂肌腱移位术
83.7500x004 跟腱异体肌腱移植修补术
83.7500x005 跟腱带蒂腱膜转移修补术
83.7501 肌腱转移术
83.7600x002 胫前肌腱移位术
83.7600x003 髂胫束移位术
83.7600x005 足趾肌腱移位术
83.7600x006 腓骨短肌腱移位术
83.7600x007 肱桡肌腱移位术
83.7600x008 股方肌腱移位术
83.7600x009 屈腕肌腱移位术
83.7600x010 屈指肌腱移位术
83.7600x011 伸腕肌腱移位术
83.7600x012 旋前圆肌腱移位术
83.7600x013 掌长肌腱移位术
83.7700x001 下肢肌肉移植术
83.7700x003 胫后肌移植术
83.7700x004 福耳克曼挛缩松解伴肌游离移植术
83.7700x005 肩内收功能重建伴肌移位术
83.7700x006 上肢肌拇内收功能重建伴肌移位术
83.7700x007 上肢肌拇外展功能重建伴肌移位术
83.7700x008 上肢肌屈拇功能重建伴肌移位术
83.7700x009 上肢肌屈拇功能重建伴肌游离移植术
83.7700x010 上肢肌屈腕功能重建伴肌移位术
83.7700x011 上肢肌屈腕功能重建伴肌游离移植术
83.7700x012 上肢肌屈指功能重建伴肌移位术
83.7700x013 上肢肌屈指功能重建伴肌游离移植术
83.7700x014 上肢肌屈肘功能重建伴肌移位术
83.7700x015 上肢肌屈肘功能重建伴肌游离移植术
83.7700x016 上肢肌伸拇功能重建伴肌移位术
83.7700x017 上肢肌伸拇功能重建伴肌游离移植术
83.7700x018 上肢肌伸腕功能重建伴肌移位术
83.7700x019 上肢肌伸腕功能重建伴肌游离移植术
83.7700x020 上肢肌伸指功能重建伴肌移位术
83.7700x021 上肢肌伸指功能重建伴肌游离移植术
83.7700x022 上肢肌伸肘功能重建伴肌移位术
83.7700x023 上肢肌伸肘功能重建伴肌游离移植术
83.7700x024 上肢肌旋后功能重建伴肌移位术
83.7700x025 上肢肌旋前功能重建伴肌移位术
83.7700x026 下肢肌屈踝功能重建伴肌移位术
83.7700x027 下肢肌屈�功能重建伴肌移位术
83.7700x028 下肢肌屈膝功能重建伴肌移位术
83.7700x029 下肢肌屈趾功能重建伴肌移位术
83.7700x030 下肢肌伸踝功能重建伴肌移位术
83.7700x031 下肢肌伸�功能重建伴肌移位术
83.7700x032 下肢肌伸膝功能重建伴肌移位术
83.7700x033 下肢肌伸趾功能重建伴肌移位术
83.7701 肌肉转移术
83.7702 肌皮瓣转移术
83.7900x001 肌肉移位术
83.7900x002 胫后肌前移术
83.7900x003 胫前肌外移术
83.7900x004 斜方肌代三角肌术
83.7900x005 背阔肌移位术
83.7900x006 比目鱼肌移位术
83.7900x007 大腿肌移位术
83.7900x008 大圆肌移位术
83.7900x009 腓肠肌移位术
83.7900x010 腹部肌移位术
83.7900x011 三角肌移位术
83.7900x012 臀大肌移位术
83.7900x013 胸大肌移位术
83.8100 肌腱移植
83.8100x003 人工肌腱移植术
83.8101 异体肌腱移植术
83.8200x001 背阔肌移植术
83.8200x005 颞筋膜移植术
83.8200x007 背阔肌游离移植术
83.8200x008 肌肉游离移植术
83.8200x009 股薄肌移植术
83.8200x010 斜方肌移植术
83.8200x011 胸大肌移植术
83.8201 肌肉移植术
83.8202 筋膜移植术
83.8300 肌腱滑车重建术
83.8500x001 腓骨长短肌腱延长术
83.8500x002 跟腱缩短术
83.8500x003 跟腱延长术
83.8500x004 肱二头肌腱延长术
83.8500x005 腘肌延长术
83.8500x008 伸趾肌腱延长术
83.8500x009 足屈肌腱延长术
83.8500x010 足伸肌腱延长术
83.8500x011 半腱肌延长术
83.8500x012 背阔肌延长术
83.8500x013 肱桡肌腱缩短术
83.8500x014 肱桡肌腱延长术
83.8500x015 肱三头肌腱缩短术
83.8500x016 肱三头肌腱延长术
83.8500x017 股二头肌腱缩短术
83.8500x018 股二头肌腱延长术
83.8500x019 股内收肌腱缩短术
83.8500x020 股内收肌腱延长术
83.8500x021 股三头肌腱缩短术
83.8500x022 股三头肌腱延长术
83.8500x023 股四头肌腱缩短术
83.8500x024 股四头肌腱延长术
83.8500x025 股直肌腱缩短术
83.8500x026 股直肌腱延长术
83.8500x027 肩胛下肌延长术
83.8500x028 胫后肌腱缩短术
83.8500x029 胫后肌腱延长术
83.8500x030 胫前肌腱缩短术
83.8500x031 胫前肌腱延长术
83.8500x032 胫前肌延长术
83.8500x033 足屈肌腱缩短术
83.8500x034 足伸肌腱缩短术
83.8500x035 胸大肌延长术
83.8500x036 胸大肌缩短术
83.8500x037 肱二头肌腱缩短术
83.8500x038 半腱肌缩短术
83.8500x039 旋前圆肌延长术
83.8500x040 旋前圆肌缩短术
83.8500x041 腕伸肌腱延长术
83.8500x042 腕伸肌腱缩短术
83.8500x043 腕屈肌腱延长术
83.8500x044 腕屈肌腱缩短术
83.8500x055 腓骨长短肌腱缩短术
83.8501 肌腱紧缩术
83.8502 肌腱延长术
83.8600 股四头肌成形术
83.8700x001 肌肉成形术
83.8700x003 肩关节肌肉成形术
83.8700x005 三角肌重建术
83.8700x007 下肢肌肉成形术
83.8700x009 胸大肌成形术
83.8701 肌肉修补术
83.8900x002 筋膜断蒂术
83.8901 筋膜成形术
83.8902 筋膜延长术
83.8903 筋膜疝修补术
83.8904 筋膜折叠术
83.8905 筋膜固定术
83.9100x001 关节镜下臀肌挛缩松解术
83.9100x004 前臂束带松解术
83.9100x005 上肢肌腱粘连松解术
83.9100x007 臀肌粘连松解术
83.9100x008 下肢肌腱粘连松解术
83.9100x009 下肢束带松解术
83.9101 肌腱粘连松解术
83.9102 肌肉粘连松解术
83.9103 臀筋膜挛缩松解术
83.9104 筋膜松解术
83.9105 针刀松解术
83.9201 骨骼肌刺激器置入术
83.9202 骨骼肌刺激器置换术
83.9300 去除骨骼肌刺激器
86.2800x012 皮肤和皮下组织非切除性清创
86.8900x011 残端皮肤修整术
