包含以下主要手术或操作：
38.8607 髂动脉结扎术
61.4902 阴囊修补术
61.4903 阴囊再造术
61.4904 睾丸鞘膜翻转术
61.4905 腹腔镜下鞘状突高位结扎术
62.9100 睾丸抽吸术
63.0103 输精管活组织检查
63.1x00x004 显微镜下精索静脉高位结扎术
63.1x00x005 显微镜下精索静脉低位结扎术
63.3x00x001 精索切除术
63.3x01 精索病损切除术
63.3x02 精索鞘膜囊肿切除术
63.3x03 附睾病损切除术
63.5100 精索和附睾裂伤缝合术
63.5101 精索裂伤缝合术
63.6x00x003 显微镜下输精管探查术
63.6x00x004 精囊镜下射精管疏通术
63.7000x001 男性绝育术
63.7100 输精管结扎术
63.7101 输精管切断术
63.7200 精索结扎术
63.7300 输精管切除术
63.7300x003 输精管病损切除术
63.7301 输精管部分切除术
63.8100 输精管和附睾裂伤的缝合术
63.8101 输精管裂伤的缝合术
63.8102 附睾裂伤的缝合术
63.8200x001 输精管吻合术
63.8200x002 显微镜下输精管吻合术
63.8300x001 显微镜下附睾输精管吻合术
63.8400 输精管结扎去除
63.8500 输精管瓣膜去除
63.8900 输精管和附睾的其他修补术
63.9100 精液囊肿抽吸术
63.9200x002 显微镜下附睾探查术
63.9500 输精管瓣膜置入
63.9900x001 经尿道精囊镜输精管梗阻疏通术
63.9900x002 经尿道射精管切开术
63.9901 附睾穿刺取精子
64.0x00 包皮环切术
64.9900 男性生殖器官的其他手术
86.0402 男性会阴切开引流术
86.2200x011 皮肤和皮下坏死组织切除清创术
86.2800x012 皮肤和皮下组织非切除性清创
86.3x04 男性会阴病损切除术
86.5903 男性会阴皮肤缝合术
98.1900x001 尿道内异物去除
98.2402 阴囊异物去除
