包含以下主要诊断：
F13.000 急性镇静剂或催眠剂中毒引起的精神和行为障碍
F19.900x002 A.P.C 中毒致精神障碍
F19.900x003 阿的平中毒致精神障碍
F19.900x004 合霉素中毒致精神障碍
F19.900x005 激素类药物致精神障碍
F19.900x006 眠尔通中毒致精神障碍
F19.900x007 药物源性精神障碍
F19.900x008 抗帕金森药物所致精神障碍
F19.900x009 利血平所致精神障碍
F55.x00 非致依赖性物质滥用
F55.x00x001 滥用抗抑郁剂
F55.x00x101 滥用缓泻剂
F55.x00x201 滥用止疼药
F55.x00x301 滥用抑酸药
F55.x00x401 滥用维生素
F55.x00x501 滥用激素
F55.x00x601 滥用草药或民间验方
F55.x00x702 有机化合物所致精神障碍
F55.x00x703 重金属所致精神障碍
F55.x00x704 食物毒素所致精神障碍
G25.803 静坐不能（药物引起）（治疗引起）
R50.200 药物性发热
R78.700 血中发现重金属水平异常
R78.801 血锂异常
R78.900 血中发现通常不出现的物质
T36.000 青霉素类中毒
T36.100x003 β内酰胺类抗生素中毒
T36.101 头孢类抗菌素中毒
T36.102 先锋霉素中毒
T36.200 氯霉素族中毒
T36.300 大环内酯类中毒
T36.300x001 红霉素中毒
T36.400 四环素类中毒
T36.500 氨基糖苷类中毒
T36.500x003 链霉素中毒
T36.501 丁胺卡那中毒
T36.502 庆大霉素中毒
T36.600 利福霉素类中毒
T36.700 全身性抗真菌性抗生素中毒
T36.800 全身性抗生素中毒,其他的
T36.900 全身性抗生素中毒
T36.900x001 抗生素中毒
T37.000 磺胺类中毒
T37.100 抗分枝杆菌药中毒
T37.100x001 异烟肼中毒
T37.200 抗疟疾和对其他血液原虫有作用的药中毒
T37.300 抗原虫药中毒，其他的
T37.300x001 抗原生动物药中毒
T37.400 驱蠕虫药中毒
T37.500 抗病毒药中毒
T37.800 全身性抗感染药和抗寄生虫药中毒，其他特指的
T37.800x001 羟基喹啉衍生物中毒
T37.900x001 全身性抗感染药中毒
T37.900x002 全身性抗寄生虫药中毒
T38.000 糖[肾上腺]皮质激素类及其合成的类似物中毒
T38.000x001 医源性类固醇性糖尿病
T38.000x002 糖皮质激素类及其合成的类似物中毒
T38.100 甲状腺激素类及其代用品中毒
T38.100x001 甲状腺激素及其衍生物中毒
T38.200 抗甲状腺药中毒
T38.300 胰岛素和口服降血糖[抗糖尿病]药中毒
T38.300x001 医源性高胰岛素血症
T38.300x003 口服抗糖尿病药中毒
T38.301 胰岛素中毒
T38.400 口服避孕药中毒
T38.401 棉酚中毒
T38.500 雌激素和孕激素中毒，其他的
T38.500x001 雌激素中毒
T38.500x002 孕激素中毒
T38.501 己烯雌酚中毒
T38.600 抗促性腺激素药、抗雌激素药、抗雄激素药中毒，不可归类在他处者
T38.600x001 三苯氧胺中毒
T38.700 雄激素类及其促组成代谢的同类药中毒
T38.800x001 垂体前叶激素类中毒
T38.801 激素类及其合成代用品中毒
T38.901 激素类拮抗剂中毒
T39.000 水杨酸盐类中毒
T39.100 4-氨基苯酚衍生物中毒
T39.101 对乙酰氨基酚中毒
T39.200 吡唑啉酮衍生物中毒
T39.200x001 安乃近中毒
T39.201 氨基比林中毒
T39.300 非类固醇性消炎药[NSAID]中毒
T39.300x002 曲马多中毒
T39.300x003 吲哚美辛中毒
T39.400x001 抗风湿药中毒
T39.800 非阿片样镇痛药和解热药中毒，其他的, 不可归类在他处者
T39.801 痛可宁中毒
T39.802 山豆根中毒
T39.900 非阿片样镇痛药、解热药和抗风湿药中毒
T39.901 非阿片样镇痛药中毒
T39.902 解热药中毒
T40.400x002 马兜铃（万丈龙）中毒
T40.800 二乙麦角酰胺[LSD]中毒
T40.900x001 南美仙人掌毒碱中毒
T40.900x002 二甲-4-羟色胺中毒
T40.900x003 西洛西宾中毒
T40.901 致幻药中毒
T41.000 吸入性麻醉药中毒
T41.100 静脉内麻醉药中毒
T41.100x002 硫巴比妥盐类中毒
T41.200x002 氯胺酮中毒
T41.201 全身麻醉药中毒
T41.300 局部麻醉药中毒
T41.400 麻醉药中毒
T41.500 治疗性气体中毒
T41.500x001 治疗性氧气中毒
T41.500x003 治疗性二氧化碳中毒
T42.000 乙内酰脲衍生物中毒
T42.001 苯妥英钠中毒
T42.100 亚氨基二苯乙烯类中毒
T42.101 卡马西平中毒
T42.200x001 �唑烷二铜类中毒
T42.200x002 琥珀酰亚胺类中毒
T42.300 巴比妥盐类中毒
T42.301 苯巴比妥中毒
T42.302 速可眠中毒
T42.400 苯二氮䓬类中毒
T42.401 安定中毒
T42.402 佳静安定中毒
T42.403 舒乐安定中毒
T42.404 利眠宁中毒
T42.405 硝基安定中毒
T42.406 氯氮平中毒
T42.500x001 混合型抗癫痫药中毒
T42.600 镇癫痫药和镇静催眠药中毒，其他的
T42.600x002 佐匹克隆中毒
T42.600x004 丙戊酸钠中毒
T42.600x005 丙戊酸中毒
T42.600x006 苯乙哌啶酮类中毒
T42.601 安眠酮中毒
T42.602 芬那露中毒
T42.700x001 催眠药中毒
T42.700x003 镇静剂中毒
T42.701 镇静催眠药中毒
T42.702 安眠药中毒
T42.800 抗帕金森病药和其他中枢神经系统肌肉张力抑制剂中毒
T42.800x001 抗震颤麻痹药中毒
T42.800x002 中枢神经系统肌肉张力抑制剂中毒
T42.800x003 金刚烷胺中毒
T43.000x002 三环抗抑郁药中毒
T43.000x003 四环抗抑郁药中毒
T43.001 阿米替林中毒
T43.002 多虑平中毒
T43.100 单胺-氧化酶-抑制剂抗抑郁药中毒
T43.200x001 氟西汀中毒
T43.201 抗抑郁药中毒
T43.300 酚噻嗪抗精神病药和精神安定剂中毒
T43.300x001 奋乃静中毒
T43.300x003 酚噻嗪基类安定药中毒
T43.301 非那根中毒
T43.302 氯丙嗪中毒
T43.400x002 丁酰苯中毒
T43.400x003 硫蒽精神安定剂中毒
T43.401 氟哌啶醇中毒
T43.500x001 安宁中毒
T43.500x002 富马酸喹硫平中毒
T43.500x003 碳酸锂中毒
T43.500x004 抗精神病药中毒
T43.500x005 五氟利多中毒
T43.501 抗精神病药和精神安定剂中毒
T43.502 眠尔通中毒
T43.600x004 摇头丸中毒
T43.601 咖啡因中毒
T43.800 对精神有影响的药物中毒，其他的,不可归类在他处者
T43.900 对精神有影响的药物中毒
T44.000 抗胆碱酯酶剂中毒
T44.001 吡啶斯明中毒
T44.100x001 拟副交感神经药中毒
T44.200x001 神经节阻滞药中毒
T44.300 副交感神经抑制剂[抗胆碱能药和抗毒蕈碱药]和解痉药中毒，其他的，不可归类在他处者
T44.301 阿托品中毒
T44.302 莨菪碱类植物中毒
T44.303 安坦中毒
T44.400x001 α肾上腺素能受体显效药中毒
T44.400x002 阿拉明中毒
T44.500x001 β肾上腺素能受体显效药中毒
T44.600x001 α肾上腺素能受体拮抗剂中毒
T44.700x001 β肾上腺素能受体拮抗剂中毒
T44.701 普萘洛尔中毒
T44.800x001 中枢作用和肾上腺素能-神经元-阻滞剂中毒
T44.900x001 α和β肾上腺素能受体药中毒
T44.900x002 麻黄碱中毒
T44.900x003 血管紧张素受体抑制剂中毒
T44.901 主要影响自主神经系统药物中毒
T45.000x001 抗过敏药中毒
T45.001 止吐药中毒
T45.002 胃复安中毒
T45.003 乘晕宁中毒
T45.100 抗肿瘤药和免疫抑制剂中毒
T45.100x001 抗肿瘤性抗生素中毒
T45.100x002 阿糖胞苷中毒
T45.100x003 环孢素中毒
T45.100x004 高氨甲蝶呤血症
T45.101 甲氨蝶呤中毒
T45.102 长春新碱中毒
T45.200x001 维生素类中毒
T45.201 维生素 A 中毒
T45.202 维生素 D 中毒
T45.300x001 酶类中毒
T45.400 铁及其化合物中毒
T45.500x002 抗凝血药中毒
T45.501 新抗凝片中毒
T45.600 影响纤维蛋白分解药中毒
T45.700x001 抗凝拮抗剂中毒
T45.700x002 维生素 K 中毒
T45.700x003 凝血药中毒
T45.800x001 天然血中毒
T45.800x002 血制品中毒
T45.800x003 血浆代用品中毒
T46.000 心脏兴奋苷和相似作用药中毒
T46.001 地高辛中毒
T46.002 洋地黄中毒
T46.100 钙通道阻滞剂中毒
T46.100x001 异搏定中毒
T46.200x001 抗心律失常药中毒
T46.300x002 冠状血管扩张剂中毒
T46.300x003 潘生丁中毒
T46.301 硝酸甘油中毒
T46.302 依姆多中毒
T46.400 血管紧张素转换酶抑制剂中毒
T46.500x002 胍乙啶中毒
T46.500x003 萝芙木中毒
T46.500x004 利血平中毒
T46.500x005 降压药中毒
T46.501 可乐定中毒
T46.600 抗高脂血症和抗动脉硬化药中毒
T46.600x001 抗动脉硬化药中毒
T46.700 周围血管扩张剂中毒
T46.700x001 复方降压片中毒
T46.700x002 烟酸中毒
T46.800x001 抗静脉曲张药中毒
T46.900x001 乌头碱中毒
T46.901 主要影响心血管系统制剂中毒
T47.000 组胺 H2 受体拮抗剂中毒
T47.100x001 抗酸药和抗胃分泌药类中毒
T47.200 刺激性轻泻剂中毒
T47.200x002 芦荟中毒
T47.300 盐水和渗透性轻泻剂中毒
T47.300x001 渗透性轻泻剂中毒
T47.400 轻泻剂中毒,其他的
T47.400x001 肠弛缓药中毒
T47.500 助消化药中毒
T47.600 止泻药中毒
T47.700 催吐药中毒
T48.000 催产药中毒
T48.100 骨骼肌松弛剂[神经肌肉阻滞剂]中毒
T48.300 镇咳剂中毒
T48.400 祛痰剂中毒
T48.500 抗感冒药中毒
T48.600 抗哮喘药中毒，不可归类在他处者
T48.600x002 曼陀罗中毒
T48.600x003 舒喘宁中毒
T48.601 氨茶碱中毒
T48.602 氨氯地平中毒
T48.603 克仑特罗中毒
T49.000 局部抗真菌、抗感染和消炎药中毒，不可归类在他处者
T49.000x003 碘酒中毒
T49.000x005 新洁尔灭中毒
T49.001 甲酚中毒
T49.002 氯化亚汞中毒
T49.003 来苏中毒
T49.100 止痒药中毒
T49.200x001 局部收敛药中毒
T49.201 局部去污剂中毒
T49.300x001 润滑剂中毒
T49.300x002 缓和剂中毒
T49.300x003 胃黏膜保护剂中毒
T49.400x001 角质层分离药中毒
T49.400x002 角质层增生药中毒
T49.400x003 毛发治疗的药物和制剂中毒
T49.500 眼科用药和制剂中毒
T49.600 耳鼻喉科药物和制剂中毒
T49.700x001 口腔科局部药物中毒
T49.800 局部制剂中毒，其他的
T49.800x001 杀精子药中毒
T49.801 化妆品中毒
T50.000 盐（肾上腺）皮质激素类及其拮抗剂中毒
T50.100 袢[强效]利尿剂中毒
T50.200 碳酸脱水酶抑制剂、苯并噻二嗪类和其他利尿剂中毒
T50.200x001 乙酰醋胺中毒
T50.200x002 汞利尿药类中毒
T50.300 电解质、热量和水平衡剂中毒
T50.300x001 氯化钾中毒
T50.300x002 口服再水化盐类中毒
T50.400x001 尿酸代谢药中毒
T50.500 食欲抑制剂中毒
T50.600x001 解酒药中毒
T50.600x002 解毒剂中毒
T50.600x003 螯合剂中毒
T50.700x001 兴奋药中毒
T50.700x002 阿片样物质受体拮抗剂中毒
T50.800 诊断性制剂中毒
T50.900 药物、药剂和生物制品中毒，其他和未特指的
T50.900x001 药物中毒
T50.900x002 酸化剂中毒
T50.900x003 碱化剂中毒
T50.900x004 免疫球蛋白中毒
T50.900x005 免疫制剂中毒
T50.900x006 调脂药物中毒
T50.900x007 甲状旁腺激素类中毒
T51.000 乙醇的毒性效应
T51.100 甲醇的毒性效应
T51.200 2-丙醇的毒性效应
T51.200x001 异丙醇中毒
T51.300 杂醇油的毒性效应
T51.300x002 戊基醇中毒
T51.300x003 丁基醇中毒
T51.300x004 丙基醇中毒
T51.800 醇类的毒性效应，其他的
T51.800x001 三氯吡啶醇钠中毒
T51.900 醇的毒性效应
T52.000 石油产品的毒性效应
T52.000x002 石脑油中毒
T52.000x003 煤油中毒
T52.000x004 汽油中毒
T52.000x005 醚中毒
T52.000x006 石油精中毒
T52.101 苯中毒
T52.200 苯同类物的毒性效应
T52.200x002 甲苯中毒
T52.200x003 二甲苯中毒
T52.300 脂肪族二元醇类的毒性效应
T52.400 酮类的毒性效应
T52.800 毒性效应，其他有机溶剂的
T52.800x001 二甲基甲酰胺中毒
T52.800x002 甲醛水溶液中毒
T52.800x003 二氯乙烷中毒
T52.800x004 正己烷中毒
T52.800x005 香蕉水中毒
T52.800x006 硫酸二甲酯中毒
T52.900 有机溶剂的毒性效应
T53.000 四氯化碳的毒性效应
T53.000x002 四氯代甲烷中毒
T53.100 氯仿的毒性效应
T53.100x002 三氯甲烷中毒
T53.200 三氯乙烯的毒性效应
T53.200x002 三氯乙烷中毒
T53.300 四氯乙烯的毒性效应
T53.300x001 全氯乙烯中毒
T53.400 二氯甲烷的毒性效应
T53.500 含氯氟烃类的毒性效应
T53.600 脂环烃的其他卤素衍生物的毒性效应
T53.600x001 氯乙烯中毒
T53.600x002 三氯丙烷中毒
T53.600x003 氯丁二烯中毒
T53.600x004 氯丙烯中毒
T53.700 芳香族烃的其他卤素衍生物的毒性效应
T53.700x001 氯酚中毒
T53.900 脂环烃和芳香族烃的卤素衍生物的毒性效应
T54.000 酚及其同类物的毒性效应
T54.000x002 苯酚中毒
T54.100 腐蚀性有机化合物的毒性效应，其他的
T54.201 硫酸中毒
T54.202 酸性物质中毒
T54.203 亚硝酸中毒
T54.300 腐蚀性碱和碱样物质的毒性效应
T54.300x002 氢氧化钾毒性效应
T54.300x003 氢氧化钠毒性效应
T54.301 苛性碱中毒
T54.900 腐蚀性物质的毒性效应
T54.900x002 卤水中毒
T55.x00x001 皂类中毒
T55.x00x002 清洁剂中毒
T55.x00x003 洗涤剂中毒
T56.000x002 铅化合物中毒
T56.000x003 四乙基铅中毒
T56.001 铅中毒
T56.100x002 汞化合物中毒
T56.101 汞中毒
T56.200x001 铬中毒
T56.200x002 铬化合物中毒
T56.300x001 镉中毒
T56.300x002 镉化合物中毒
T56.400x002 铜化合物中毒
T56.401 铜中毒
T56.500x001 锌中毒
T56.500x002 锌化合物中毒
T56.600x001 锡中毒
T56.600x002 锡化合物中毒
T56.700 铍及其化合物的毒性效应
T56.700x002 铍化合物中毒
T56.800 金属的毒性效应，其他的
T56.800x001 钒中毒
T56.800x002 钒化合物中毒
T56.800x003 铀中毒
T56.800x004 铀化合物中毒
T56.800x005 羰基镍中毒
T56.800x006 铟中毒
T56.800x007 铟化合物中毒
T56.800x008 硒中毒
T56.801 铊中毒
T56.900 金属的毒性效应
T56.900x002 金属烟热
T56.900x003 金属蒸气中毒
T57.000x001 砷中毒
T57.000x002 砷化合物中毒
T57.000x003 砷化氢中毒
T57.100x001 磷中毒
T57.100x002 磷化合物中毒
T57.100x003 磷化氢中毒
T57.100x004 磷化锌中毒
T57.100x005 磷化铝中毒
T57.200x001 锰中毒
T57.200x002 锰化合物中毒
T57.300 氰化氢的毒性效应
T57.800 无机物质的毒性效应，其他特指的
T57.800x002 钡化合物中毒
T57.800x003 钡中毒
T57.900 无机物的毒性效应
T58.x00 一氧化碳的毒性效应
T59.000 氧化氮类的毒性效应
T59.000x001 氮气中毒
T59.100 二氧化硫的毒性效应
T59.101 烟雾中毒
T59.200 甲醛的毒性效应
T59.300 催泪气体的毒性效应
T59.401 氯气中毒
T59.500x001 氟气中毒
T59.500x002 氟化合物中毒
T59.601 硫化氢中毒
T59.700 二氧化碳的毒性效应
T59.800 气体、烟雾和蒸气的毒性效应，其他特指的
T59.800x001 沼气中毒
T59.800x002 液化石油气中毒
T59.800x004 天然气中毒
T59.800x005 溴甲烷中毒
T59.800x006 芥子气中毒
T59.800x007 光气中毒
T59.800x008 一甲胺中毒
T59.800x009 溴丙烷中毒
T59.800x010 环氧乙烷中毒
T59.801 氨气中毒
T59.802 液化气中毒
T59.803 总烃油蒸气中毒
T59.900 气体、烟雾和蒸气的毒性效应
T59.900x001 刺激性气体中毒
T59.900x002 气雾剂中毒
T59.900x003 挥发剂中毒
T59.900x004 混合性气体中毒
T59.900x005 窒息性气体中毒
T60.000x003 辛硫磷中毒
T60.000x004 氨基甲酸酯杀虫剂中毒
T60.001 有机磷中毒
T60.002 敌敌畏中毒
T60.100 卤化杀虫剂的毒性效应
T60.101 溴氰菊酯中毒
T60.200 杀虫剂的毒性效应,其他未特指的
T60.200x001 杀蟑螂药中毒
T60.300x001 除莠剂中毒
T60.300x002 杀真菌药中毒
T60.300x003 氯乙酸中毒
T60.400 杀啮齿类剂的毒性效应
T60.401 杀鼠剂中毒
T60.800 农作物杀虫剂的毒性效应，其他的
T60.900 杀虫剂的毒性效应
T60.900x002 农药中毒
T60.900x003 木材防腐剂中毒
T61.000 鱼肉中毒
T61.001 鱼胆中毒
T61.100 鲭亚目鱼中毒
T61.100x002 组织胺样综合征
T61.200x001 鱼类中毒
T61.200x003 贝类中毒
T61.201 河豚中毒
T61.900 海产品的毒性效应
T62.000x001 蘑菇类中毒
T62.000x002 蕈类中毒
T62.001 食入毒蘑菇中毒
T62.002 牛肝菌中毒
T62.100x001 浆果类中毒
T62.200x002 蓖麻子中毒
T62.200x003 植物类中毒
T62.202 龙葵果中毒
T62.800 摄入食物中其他特指有害物质的毒性效应
T62.800x002 亚硝酸盐中毒
T62.801 苦杏仁中毒
T62.802 扁豆中毒
T62.900x002 食物中毒
T63.000 蛇毒液的毒性效应
T63.001 毒蛇咬伤
T63.100 爬行动物类毒液的毒性效应，其他的
T63.100x001 蜥蜴毒液中毒
T63.200 蝎子毒液的毒性效应
T63.300 蜘蛛毒液的毒性效应
T63.400 节肢动物的毒液的毒性效应，其他的
T63.400x002 有毒昆虫咬伤
T63.400x003 有毒昆虫螫伤
T63.400x004 白蛉叮咬
T63.401 蜂蜇伤
T63.402 节肢动物咬伤
T63.500x001 接触鱼后中毒
T63.600x001 接触海蜇后中毒
T63.600x002 接触海葵后中毒
T63.600x003 接触水生贝壳类动物后中毒
T63.600x004 接触海生动物后中毒
T63.600x005 接触海星后中毒
T63.800x001 两栖动物毒液中毒
T64.x00x001 黄曲霉毒素中毒
T64.x00x002 真菌毒素污染食物毒性效应
T64.x01 其他真菌毒素污染食物毒性效应
T64.x02 黄曲霉毒素污染食物的毒性效应
T65.000 氰化物的毒性效应
T65.100 士的年及其盐类的毒性效应
T65.200x001 烟草中毒
T65.200x002 尼古丁中毒
T65.300 苯及其同类物的氮衍生物和胺衍生物的毒性效应
T65.300x001 苯胺中毒
T65.300x002 硝基苯中毒
T65.300x003 三硝基甲苯中毒
T65.300x004 硝基化合物中毒
T65.400 二硫化碳的毒性效应
T65.500x001 硝基甘油醇中毒
T65.500x002 三硝酸甘油中毒
T65.501 特指硝酸及酯类毒性效应
T65.600x001 清漆中毒
T65.600x002 油漆中毒
T65.600x003 染料中毒
T65.800 物质的毒性效应，其他特指
T65.800x002 染发液中毒
T65.800x003 高锰酸钾中毒
T65.800x004 偏二甲基肼中毒
T65.800x005 消毒剂中毒
T65.800x006 丙烯酰胺中毒
T65.800x007 碘甲烷中毒
T65.801 加湿器消毒剂中毒
T65.900 物质的毒性效应
T65.900x001 防冻液中毒
T65.901+F02.8* 中毒性痴呆
T78.800 有害效应，其他不可归类在他处者
T88.102 免疫接种后反应
T88.500x001 麻醉后低体温
T88.700 药物和药剂的有害效应
T88.700x002 药物不良反应
T88.700x003 避孕药药物反应
T88.700x007 氨茶碱药物反应
T88.700x010 氨基糖甙类抗菌素药物反应
T88.700x012 苯妥英钠药物反应
T88.700x014 草酸爱司西酞普兰药物反应
T88.701 药物过敏反应
T88.703 维甲酸综合征
T97.x00x001 非药用物质毒性效应的后遗症
