包含以下主要诊断：
H34.000 短暂性视网膜动脉阻塞
H50.000x004 内斜视
H50.000x009 残余性内斜视
H50.001 调节性内斜视
H50.002 交替性内斜视
H50.003 失用性内斜视
H50.004 连续性内斜视
H50.005 先天性内斜视
H50.006 继发性内斜视
H50.007 知觉性内斜视
H50.008 运动性内斜视
H50.100 散开性共同性斜视
H50.100x002 共同性外斜视
H50.100x004 外斜视
H50.100x007 残余性外斜视
H50.101 交替性外斜视
H50.102 失用性外斜视
H50.103 连续性外斜视
H50.104 先天性外斜视
H50.105 继发性外斜视
H50.106 知觉性外斜视
H50.107 运动性外斜视
H50.200 垂直斜视
H50.200x004 下斜肌亢进
H50.200x006 分离性水平性偏斜
H50.201 上斜视
H50.202 下斜视
H50.300 间歇性斜视
H50.300x002 交替性间歇性外斜视
H50.300x004 交替性间歇性内斜视
H50.301 间歇性外斜视
H50.302 间歇性内斜视
H50.400 斜视，其他和未特指的
H50.401 旋转斜视
H50.402 分离性垂直斜视
H50.403 微斜视
H50.404 单眼固定综合征
H50.405 共同性斜视
H50.500 隐斜
H50.500x002 内隐斜
H50.500x003 外隐斜
H50.500x004 交替性上隐斜
H50.600 机械性斜视
H50.600x003 外伤性麻痹性斜视
H50.600x004 继发性斜视
H50.600x005 先天性眼外肌纤维化综合征
H50.601 上斜肌肌鞘综合征[Brown 综合征]
H50.602 粘连性斜视
H50.603 眼肌纤维化
H50.800x002 急性肌炎性斜视
H50.800x003 痉挛性斜视
H50.800x006 盲点综合征
H50.800x007 A-V 征
H50.800x010 固定性斜视
H50.801 外斜 V 征
H50.802 眼球后退综合征
H50.803 外斜 A 征
H50.804 Helveston 综合征
H50.805 失用性斜视
H50.806 内斜 V 征
H50.807 内斜 A 征
H50.900 斜视
H51.000 同向性注视麻痹
H51.000x001 先天性水平注视麻痹
H51.100 集合不全和过度
H51.200 核间性眼肌瘫痪
H51.800 双眼运动疾患，其他特指的
H51.801 眼球运动障碍
H51.900 双眼运动疾患
H52.500 调节疾患
H52.500x001 眼内肌麻痹
H52.500x003 调节痉挛
H52.500x004 调节麻痹
H52.501 瞳孔括约肌麻痹
H53.200 复视
H53.400 视野缺损
H53.400x003 双鼻侧偏盲
H53.400x004 弓形暗点
H53.400x005 比耶鲁姆暗点
H53.400x006 中心性暗点
H53.400x007 环形暗点
H53.402 偏盲
H55.x00 眼震和其他不规则眼运动
H55.x00x001 先天性眼球震颤
H55.x00x002 眼球震颤
H55.x00x005 隐性眼球震颤
H55.x01 不规则眼运动
H57.000 瞳孔功能异常
H57.000x003 虹膜麻痹
H57.001 瞳孔缩小
H57.002 瞳孔散大
H57.003 埃迪瞳孔
I70.800x003 眼底动脉硬化
I70.800x007 闭塞性视网膜动脉炎
I70.801 视网膜动脉粥样硬化
I77.004 眶动静脉瘘
I80.801 眶内血栓性静脉炎
I86.803 眼眶静脉曲张
Q14.000x006 眼永存胚胎血管膜
Q14.100x003 晶状体血管膜
Q14.200x001 先天性视神经乳头缺损
Q14.200x002 先天性视神经乳头小凹
Q14.200x004 先天性视神经乳头发育不全
Q82.800x017 大头、假性视盘水肿及多发性血管瘤病
Q85.804 冯·希佩尔-林道综合征
Q87.800x910 肥 胖 视 网 膜 变 性 糖 尿 病 综 合 征[Alstrom 综合征]
S04.000x001 视神经损伤
S04.100 动眼神经损伤
T66.x02+H47.5* 放射性视神经损害
