包含以下主要诊断：
O00.000 腹腔妊娠
66.7905 腹腔镜输卵管成形术
66.7906 腹腔镜输卵管伞端成形术
66.8x02 腹腔镜输卵管通液术
66.9200x001 阴道式输卵管结扎术
66.9201 单侧输卵管挤压术
66.9202 单侧输卵管结扎术
66.9203 腹腔镜单侧输卵管结扎术
66.9204 腹腔镜单侧输卵管切断术
66.9205 腹腔镜单侧输卵管破坏术
66.9500x001 腹腔镜下输卵管甲氨蝶呤注射术[MTX 注射术]
66.9500x004 输卵管甲氨蝶呤注射术[MTX 注射术]
66.9600x002 腹腔镜下输卵管扩张术
66.9700 输卵管伞埋入子宫壁
66.9900 输卵管的其他手术
68.2900x035 子宫角部分切除术
68.2900x037 子宫角楔形切除术
68.3903 子宫角切除术
68.3905 残角子宫切除术
74.3x00x006 子宫韧带妊娠物去除术
74.3x00x010 经阴道子宫颈妊娠物穿刺术
74.3x00x011 经阴道输卵管间质部妊娠物穿刺术
74.3x00x012 腹腔镜下卵巢切开胚胎清除术
74.3x00x013 卵巢切开胚胎清除术
74.3x00x014 腹腔镜下子宫韧带妊娠清除术
74.3x00x015 腹腔镜下残角子宫妊娠清除术
74.3x00x016 宫腔镜下子宫颈娠清除术
74.3x00x017 宫腔镜下子宫角妊娠清除术
74.3x00x018 宫腔镜下子宫瘢痕妊娠清除术
74.3x00x019 经阴道子宫瘢痕妊娠切除术
74.3x01 腹腔妊娠清除术
74.3x02 子宫角妊娠清除术
74.3x03 子宫颈妊娠清除术
74.3x04 子宫瘢痕妊娠清除术
74.3x05 腹腔镜腹腔妊娠清除术
74.3x06 腹腔镜子宫角妊娠清除术
74.3x07 腹腔镜子宫肌壁间妊娠清除术
74.3x08 腹腔镜子宫瘢痕妊娠清除术
74.3x09 宫腔镜子宫肌壁间妊娠清除术
