包含以下主要诊断：
N99.400 操作后盆腔腹膜粘连
T85.600x008 扩张器渗液
T85.600x009 扩张器破裂
T85.600x010 腹腔化疗泵外露
T85.601 人工耳蜗松动
T85.602 人工听骨移位
T85.603 鼓膜置管移位
T85.604 外耳道支架短缩
T85.609 腹膜透析管移位
T85.610 腹膜透析管阻塞
T85.611 腹膜透析管并发症
T85.700 假体装置、植入物和移植物引起的感染和炎症性反应，其他内部的
T85.704 巩膜硅胶带环扎植入感染
T85.705 人工耳蜗植入感染
T85.800x801 扩张器植入术后皮瓣破裂
T85.800x803 植入物脱出
T85.803 支架植入后出血
T85.900 内部假体装置、植入物和移植物的并发症
T85.901 腹膜透析装置并发症
T86.800x805 骨移植失败
T86.800x807 肠移植失败
T86.800x808 肠移植排斥
T86.800x809 皮肤移植失败
T86.800x813 皮瓣移植失败
T86.800x814 皮瓣移植排斥
T86.805 移植骨排斥反应
T86.806 移植皮肤排斥反应
T86.808 移植皮瓣坏死
T88.100x002 免疫接种后皮疹
T88.101 疫苗接种反应
T88.200 麻醉引起的休克
T88.300 麻醉引起的恶性高热
T88.400x001 插管失败
T88.400x002 插管困难
T88.501 麻醉意外
T88.702 类固醇激素并发症
T88.800x001 医源性脊髓损伤
T88.900 手术和医疗的并发症
T98.200x033 开放性损伤愈合不良
T98.300x002 眼植入物暴露的后遗症
T98.300x003 手术后坐骨神经损伤的后遗症
T98.300x004 手术后心脏异物残留的后遗症
T98.300x005 人工耳蜗植入后电极脱出的后遗症
T98.300x006 手术后颌骨异物残留的后遗症
