包含以下主要诊断：
M24.309 足关节病理性脱位
S53.400x031 桡肱关节扭伤
S53.400x041 尺肱关节扭伤
S53.401 桡骨环状韧带扭伤
S53.402 肘关节扭伤
S56.000x001 前臂拇指屈肌损伤
S56.000x002 前臂拇指屈肌腱损伤
S56.000x003 前臂拇指屈肌和肌腱损伤
S56.001 前臂拇指屈肌断裂
S56.100x001 前臂指屈肌损伤
S56.100x002 前臂指屈肌腱损伤
S56.100x003 前臂指屈肌和肌腱损伤
S56.200x001 前臂屈肌损伤
S56.200x002 前臂屈肌腱损伤
S56.200x003 前臂屈肌和肌腱损伤
S56.300x001 前臂拇指伸肌损伤
S56.300x002 前臂拇指伸肌腱损伤
S56.300x003 前臂拇指伸肌和肌腱损伤
S56.300x004 前臂拇指外展肌损伤
S56.300x005 前臂拇指外展肌腱损伤
S56.300x006 前臂拇指外展肌和肌腱损伤
S56.301 前臂拇指外展肌和肌腱断裂
S56.400x001 前臂指伸肌损伤
S56.400x002 前臂手指伸肌腱损伤
S56.400x003 前臂手指伸肌和肌腱损伤
S56.500x001 前臂伸肌损伤
S56.500x002 前臂伸肌腱损伤
S56.500x003 前臂伸肌和肌腱损伤
S56.700x001 前臂多处肌肉和肌腱损伤
S56.801 前臂肌肉和肌腱损伤
S59.700 前臂多处损伤
S59.701 肘关节后脱位，桡骨头和尺骨冠状突骨折
S59.900 前臂损伤
S61.701 开放性腕部多发损伤
S61.702 开放性手多发损伤
S61.901 开放性手部损伤
S61.902 手套撕脱伤
S62.000x001 腕舟骨骨折
S62.010 开放性手舟状骨骨折
S62.100x011 月骨骨折
S62.100x021 三角骨骨折
S62.100x031 豆骨骨折
S62.100x041 大多角骨骨折
S62.100x051 小多角骨骨折
S62.100x061 头状骨骨折
S62.100x071 钩骨骨折
S62.100x091 腕骨多发性骨折
S62.101 腕骨骨折
S62.110 开放性特指腕骨骨折
S62.111 开放性腕骨骨折
S62.200 第一掌骨骨折
S62.200x011 第一掌骨基底骨折
S62.200x021 第一掌骨干骨折
S62.200x031 第一掌骨颈骨折
S62.200x041 第一掌骨头骨折
S62.201 贝内特骨折
S62.210 开放性第一掌骨骨折
S62.300x002 掌骨骨骺分离
S62.300x011 掌骨基底骨折
S62.300x021 掌骨干骨折
S62.300x031 掌骨颈骨折
S62.300x041 掌骨头骨折
S62.301 掌骨骨折
S62.310 开放性特指掌骨骨折
S62.311 开放性掌骨骨折
S62.400 掌骨多处骨折
S62.410 开放性多发性掌骨骨折
S62.500 拇指骨折
S62.500x002 拇指骨骺分离
S62.500x011 拇指近节骨折
S62.500x021 拇指远节骨折
S62.510 开放性拇指骨折
S62.600x002 指骨骨骺分离
S62.600x011 指骨近节骨折
S62.600x021 指骨中节骨折
S62.600x031 指骨远节骨折
S62.611 开放性指骨骨折
S62.700 手指多处骨折
S62.710 开放性多发性指骨骨折
S62.801 手骨折
S62.802 指骨骨折
S62.811 开放性手骨折
S63.000 腕关节脱位
S63.000x002 桡骨远端关节脱位
S63.000x003 尺骨远端关节脱位
S63.000x011 下尺桡关节脱位
S63.000x021 桡腕关节脱位
S63.000x031 腕骨间关节脱位
S63.000x041 掌骨近端关节脱位
S63.000x042 腕掌关节脱位
S63.000x081 腕骨脱位
S63.000x082 腕舟骨脱位
S63.000x083 腕舟骨月骨周围脱位
S63.100 指关节脱位
S63.100x001 指间关节脱位
S63.100x002 拇指关节脱位
S63.100x011 掌指关节脱位
S63.100x012 掌骨远端关节脱位
S63.100x013 拇掌关节脱位
S63.100x021 手指远端指间关节脱位
S63.200 手指多处脱位
S63.200x001 指关节多发性脱位
S63.300x001 腕副韧带断裂
S63.300x002 桡腕韧带断裂
S63.300x003 尺腕韧带断裂
S63.300x004 腕和腕关节韧带断裂
S63.400x001 掌指关节韧带断裂
S63.400x002 掌指关节副韧带断裂
S63.400x003 手掌韧带断裂
S63.400x004 手掌板断裂
S63.400x005 指间关节韧带断裂
S63.400x006 指间关节副韧带断裂
S63.401 创伤性掌关节韧带破裂
S63.500 腕关节扭伤和劳损
S63.500x002 腕关节损伤
S63.500x003 创伤性腕关节积血
S63.500x011 腕骨关节扭伤
S63.500x012 腕骨关节损伤
S63.500x021 桡腕关节扭伤
S63.500x022 桡腕关节损伤
S63.500x031 腕掌关节扭伤
S63.500x032 腕掌关节损伤
S63.500x081 下尺桡关节扭伤
S63.500x082 下尺桡关节损伤
S63.500x101 腕关节三角纤维软骨损伤
S63.501 腕关节扭伤
S63.600 手指扭伤和劳损
S63.600x001 拇指扭伤
S63.600x002 指骨扭伤
S63.601 指关节扭伤
S63.602 掌指关节扭伤
S63.700x001 腕中关节扭伤
S63.701 手关节扭伤
S66.000x001 腕和手拇指长屈肌和肌腱损伤
S66.000x002 腕和手拇指长屈肌损伤
S66.000x003 腕和手拇指长屈肌腱损伤
S66.000x004 腕部拇指长屈肌和肌腱损伤
S66.000x005 腕部拇指长屈肌损伤
S66.000x006 腕部拇指长屈肌腱损伤
S66.000x007 手部拇指长屈肌和肌腱损伤
S66.000x008 手部拇指长屈肌损伤
S66.000x009 手部拇指长屈肌腱损伤
S66.100x001 腕和手指屈肌和肌腱损伤
S66.100x002 腕和手指屈肌损伤
S66.100x003 腕和手指屈肌腱损伤
S66.100x004 腕部指屈肌和肌腱损伤
S66.100x005 腕部指屈肌损伤
S66.100x006 腕部指屈肌腱损伤
S66.100x007 手部指屈肌和肌腱损伤
S66.100x008 手部指屈肌损伤
S66.100x009 手部指屈肌腱损伤
S66.200x001 腕和手拇指伸肌和肌腱损伤
S66.200x002 腕和手拇指伸肌损伤
S66.200x003 腕和手拇指伸肌腱损伤
S66.200x004 腕部拇指伸肌和肌腱损伤
S66.200x005 腕部拇指伸肌损伤
S66.200x006 腕部拇指伸肌腱损伤
S66.200x007 手部拇指伸肌和肌腱损伤
S66.200x008 手部拇指伸肌损伤
S66.200x009 手部拇指伸肌腱损伤
S66.300x001 腕和手指伸肌和肌腱损伤
S66.300x002 腕和手指伸肌损伤
S66.300x003 腕和手指伸肌腱损伤
S66.300x004 腕部指伸肌和肌腱损伤
S66.300x005 腕部指伸肌损伤
S66.300x006 腕部指伸肌腱损伤
S66.300x007 手部指伸肌和肌腱损伤
S66.300x008 手部指伸肌损伤
S66.300x009 手部指伸肌腱损伤
S66.400x001 腕和手拇指内在肌和肌腱损伤
S66.400x002 腕和手拇指内在肌损伤
S66.400x003 腕和手拇指内在肌腱损伤
S66.400x004 腕部拇指内在肌和肌腱损伤
S66.400x005 腕部拇指内在肌损伤
S66.400x006 腕部拇指内在肌腱损伤
S66.400x007 手部拇指内在肌和肌腱损伤
S66.400x008 手部拇指内在肌损伤
S66.400x009 手部拇指内在肌腱损伤
S66.500x001 腕和手指内在肌和肌腱损伤
S66.500x002 腕和手指内在肌损伤
S66.500x003 腕和手指内在肌腱损伤
S66.500x004 腕部指内在肌和肌腱损伤
S66.500x005 腕部指内在肌损伤
S66.500x006 腕部指内在肌腱损伤
S66.500x007 手部指内在肌和肌腱损伤
S66.500x008 手部指内在肌损伤
S66.500x009 手部指内在肌腱损伤
S66.600x001 腕和手多处屈肌和肌腱损伤
S66.601 多发性手屈肌断裂
S66.700x001 腕和手多处伸肌和肌腱损伤
S66.800 在腕和手水平的其他肌肉和肌腱的损伤
S66.900x001 腕和手肌肉和肌腱损伤
S66.900x002 腕部肌肉损伤
S66.900x003 手部肌肉损伤
S66.900x004 手指肌肉损伤
S68.001 拇指完全切断
S68.100x001 单指不全切断
S68.200x001 多指不全切断
S68.201 多手指完全切断
S68.300 手指（一部分）伴有腕和手其他部分的合并创伤性切断
S68.900 腕和手水平的创伤性切断
S69.700 腕和手多处损伤
S69.800 腕和手其他特指的损伤
S86.001 跟腱断裂
S91.300x823 足部开放性损伤伴脱位
S91.301 开放性足损伤
S91.302 足部皮肤撕裂伤
S91.303 足裂伤
S92.000 跟骨骨折
S92.010 开放性跟骨骨折
S92.200x001 跗骨骨折
S92.200x081 跗间关节骨折
S92.201 骰骨骨折
S92.202 足舟状骨骨折
S92.203 楔状骨骨折（足）
S92.210 开放性特指跗骨骨折
S92.300 跖骨骨折
S92.300x001 跖跗关节骨折
S92.300x003 跖骨基底骨折
S92.300x004 跖骨骨骺损伤
S92.310 开放性跖骨骨折
S92.400 �趾骨折
S92.410 开放性�趾骨折
S92.500x001 趾骨骨折
S92.500x002 趾骨骨骺损伤
S92.510 开放性特指趾骨骨折
S92.700 足多处骨折
S92.710 开放性多发性足骨折
S92.900 足骨折
S92.910 开放性足骨折
S93.100x001 趾骨脱位
S93.101 趾关节脱位
S93.102 跖趾关节半脱位
S93.103 跖趾关节脱位
S93.200x003 足部韧带断裂
S93.300x011 跗骨脱位
S93.300x021 中跗关节脱位
S93.300x031 跗跖关节骨折脱位[Lisfranc 骨折脱位]
S93.300x032 跗跖关节脱位
S93.300x081 距舟关节脱位
S93.301 足部脱位
S93.302 跖骨脱位
S93.303 足舟骨脱位
S93.500 足趾扭伤和劳损
S93.500x001 趾间关节扭伤
S93.500x002 趾间关节损伤
S93.500x003 跖趾关节扭伤
S93.500x004 跖趾关节损伤
S93.500x005 足趾扭伤
S93.500x006 足趾损伤
S93.600x001 跗骨韧带扭伤
S93.600x002 跗骨韧带损伤
S93.600x003 跗跖韧带扭伤
S93.600x004 跗跖韧带损伤
S93.601 足扭伤
S96.000x001 踝和足趾长屈肌和肌腱损伤
S96.100x001 踝和足趾长伸肌和肌腱损伤
S96.100x002 足拇长肌腱损伤
S96.101 足拇长伸肌腱断裂
S96.102 趾伸肌腱断裂
S96.200x001 踝和足内在肌和肌腱损伤
S96.700x001 踝和足多处肌肉和肌腱损伤
S96.701 踝和足水平多发性肌腱损伤
S96.800x001 踝部胫后肌腱损伤
S96.800x002 趾肌腱损伤
S96.801 趾肌腱断裂
S96.900x002 踝和足肌肉和肌腱损伤
S99.800x001 足部软组织撕脱伤
