包含以下主要诊断：
A01.000x016+I41.0* 伤寒并发中毒性心肌炎
I08.104 二尖瓣及三尖瓣狭窄
I08.200 主动脉瓣和三尖瓣的疾患
I08.200x001 风湿性主动脉瓣三尖瓣联合瓣膜病
I08.200x002 风湿性主动脉瓣及三尖瓣关闭不全
I08.201 主动脉瓣及三尖瓣关闭不全
I08.300 二尖瓣、主动脉瓣和三尖瓣的合并疾患
I08.300x001 风湿性二尖瓣主动脉瓣三尖瓣联合瓣~~膜病
I08.300x002 风湿性二尖瓣狭窄关闭不全伴主动脉~~瓣及三尖瓣关闭不全
I08.300x003 风湿性二尖瓣狭窄及主动脉瓣三尖瓣~~关闭不全
I08.300x004 风湿性二尖瓣主动脉瓣及三尖瓣关闭~~不全
I08.300x005 风湿性二尖瓣主动脉瓣及三尖瓣狭窄~~关闭不全
I08.300x006 风湿性二尖瓣狭窄关闭不全伴主动脉~~瓣三尖瓣狭窄
I08.300x007 风湿性二尖瓣主动脉瓣狭窄关闭不全~~伴三尖瓣关闭不全
I08.301 二尖瓣狭窄关闭不全伴主动脉瓣及三尖瓣~~关闭不全
I08.302 二尖瓣狭窄及主动脉瓣三尖瓣关闭不全
I08.303 二尖瓣主动脉瓣及三尖瓣关闭不全
I08.304 二尖瓣主动脉瓣及三尖瓣狭窄关闭不全
I08.305 二尖瓣狭窄关闭不全伴主动脉瓣三尖瓣狭~~窄
I08.306 二尖瓣主动脉瓣狭窄关闭不全伴三尖瓣关~~闭不全
I08.800 多个心瓣膜疾病，其他的
I08.800x002 风湿性二尖瓣狭窄伴三尖瓣关闭不全~~及肺动脉瓣关闭不全
I08.800x003 风湿性二尖瓣狭窄及关闭不全肺动脉~~瓣关闭不全
I08.801 二尖瓣狭窄及关闭不全肺动脉瓣关闭不全
I08.900 多个心瓣膜疾病
I08.901 风湿性联合瓣膜病
I09.000 风湿性心肌炎
I09.100x001 慢性风湿性心内膜炎
I09.100x002 慢性风湿性心瓣膜炎
I09.200 慢性风湿性心包炎
I09.200x001 风湿性粘连性心包炎
I09.200x003 慢性风湿性心肌心包炎
I09.200x004 慢性风湿性纵隔心包炎
I09.801 风湿性肺动脉瓣狭窄
I09.802 风湿性肺动脉瓣关闭不全
I09.900 风湿性心脏病
I09.900x002 风湿性全心炎
I10.x00x002 高血压
I10.x00x007 老年收缩期高血压
I10.x00x008 良性高血压
I10.x00x009 临界性高血压
I10.x00x015 青春期高血压
I10.x00x016 白大衣高血压
I10.x00x017 假性高血压
I10.x01 正常高值血压
I10.x02 恶性高血压
I10.x03 高血压 1 级
I10.x04 高血压 2 级
I10.x05 高血压 3 级
I10.x06 高血压危象
I10.x08 单纯收缩期高血压
I10.x09 原发性高血压
I10.x10 高血压急症
I10.x12 难治性高血压
I10.x13 低肾素性高血压
I10.x14 高血压亚急症
I11.001 高血压性心力衰竭
I11.002 高血压心脏病伴心力衰竭
I11.901 高血压性心脏病
I12.902 肾动脉硬化
I13.000x001 高血压性心脏病和肾脏病伴心力衰竭
I13.200x001 高血压性心脏病和肾脏病伴心力衰竭~~和肾衰竭
I13.900x001 高血压性心脏病和肾脏病
I13.900x001 高血压性心脏病和肾脏病
I15.000 肾血管性高血压
I15.100x001 肾实质性高血压
I15.101 利德尔综合征
I15.102 肾性高血压
I15.103 肾萎缩性高血压
I15.200x001 原发性醛固酮增多症性高血压
I15.200x002 肾上腺皮质醇增多症性高血压
I15.200x003 肾上腺髓质增生性高血压
I15.200x004 糖皮质激素增多综合征性高血压
I15.200x005 嗜铬细胞瘤性高血压
I15.800x001 口服避孕药性高血压
I15.800x002 大动脉炎性高血压
I15.800x003 医源性高血压
I15.800x004 围手术期高血压
I15.800x006 阻塞性睡眠呼吸暂停低通气综合征性~~高血压
I15.900 继发性高血压
I20.000 不稳定型心绞痛
I20.000x004 中间型冠状动脉综合征
I20.000x005 混合型心绞痛
I20.001 增强型心绞痛
I20.002 初发型劳力性心绞痛
I20.003 恶化劳力性心绞痛
I20.004 卧位型心绞痛
I20.005 心肌梗死后心绞痛
I20.006 心肌梗死前综合征
I20.101 变异型心绞痛
I20.102 冠状动脉痉挛
I20.800x006 自发型心绞痛
I20.800x007 微血管性心绞痛
I20.801 稳定型心绞痛
I20.802 X 综合征
I20.803 劳力性心绞痛
I20.806 慢性稳定型心绞痛
I20.807 稳定劳力性心绞痛
I20.808 冠状动脉慢血流综合征
I20.808 冠状动脉慢血流综合征
I20.900 心绞痛
I21.000x005 急性前壁尖部心肌梗死
I21.001 急性前壁心肌梗死
I21.002 急性前侧壁心肌梗死
I21.003 急性前间壁心肌梗死
I21.004 急性广泛前壁心肌梗死
I21.103 急性下壁心肌梗死
I21.104 急性下间壁心肌梗死
I21.105 急性下侧壁心肌梗死
I21.106 急性下后壁心肌梗死
I21.200x003 急性后壁心肌梗死
I21.200x009 急性心房心肌梗死
I21.200x010 急性心尖部心肌梗死
I21.200x011 急性后间壁心肌梗死
I21.200x014 急性侧壁正后壁心肌梗死
I21.200x015 急性尖-侧壁心肌梗死
I21.200x016 急性下壁高侧壁心肌梗死
I21.200x017 急性下壁高侧壁正后壁心肌梗死
I21.200x018 急性下壁后壁右心室心肌梗死
I21.200x019 急性广泛前壁高侧壁心肌梗死
I21.200x020 急性前侧壁下壁心肌梗死
I21.200x021 急性前壁高侧壁心肌梗死
I21.200x022 急性前间壁高侧壁心肌梗死
I21.200x023 急性广泛前壁下壁心肌梗死
I21.200x024 急性前壁高侧壁下壁心肌梗死
I21.200x025 急性广泛前壁下壁高侧壁心肌梗死
I21.200x026 急性前间壁下壁心肌梗死
I21.200x027 急性高侧壁正后壁心肌梗死
I21.200x029 急性下壁侧壁心肌梗死
I21.200x030 急性下后壁右心室心肌梗死
I21.204 急性高侧壁心肌梗死
I21.205 急性正后壁心肌梗死
I21.206 急性右室心肌梗死
I21.207 急性下壁右心室心肌梗死
I21.208 急性下壁正后壁心肌梗死
I21.210 急性侧壁心肌梗死
I21.211 急性前壁下壁心肌梗死
I21.212 急性下壁侧壁正后壁心肌梗死
I21.213 急性多壁心肌梗死
I21.300x003 手术后心肌梗死
I21.300x004 急性 ST 段抬高型心肌梗死
I21.300x005 围手术期心肌梗死
I21.300x008 支架内血栓相关性心肌梗死
I21.302 冠状动脉旁路术后心肌梗死
I21.303 冠状动脉介入治疗术后心肌梗死
I21.400x003 急性小灶心肌梗死
I21.401 急性非 ST 段抬高型心肌梗死
I21.402 非透壁性心肌梗死
I21.900 急性心肌梗死
I21.900x001 非冠心病性心肌梗死
I21.901 冠状动脉破裂
I22.000x001 急性前壁再发心肌梗死
I22.000x002 急性广泛前壁再发心肌梗死
I22.000x003 急性前间壁再发心肌梗死
I22.000x004 急性前尖壁再发心肌梗死
I22.000x005 急性前侧壁再发心肌梗死
I22.100x001 急性下壁再发心肌梗死
I22.100x002 急性下后壁再发心肌梗死
I22.100x003 急性下侧壁再发心肌梗死
I22.800x001 急性后壁再发心肌梗死
I22.800x002 急性后间壁再发心肌梗死
I22.800x003 急性间壁再发心肌梗死
I22.800x004 急性侧壁再发心肌梗死
I22.800x005 急性高侧壁再发心肌梗死
I22.800x006 急性前壁高侧壁再发心肌梗死
I22.800x007 急性下壁侧壁正后壁再发心肌梗死
I22.800x008 急性下壁右心室再发心肌梗死
I22.800x009 急性下壁正后壁再发心肌梗死
I22.800x010 急性正后壁再发心肌梗死
I22.800x011 急性前壁下壁再发心肌梗死
I22.800x012 急性右心室再发心肌梗死
I22.800x013 急性广泛前壁下壁高侧壁再发心肌梗~~死
I22.800x014 急性下壁高侧壁正后壁再发心肌梗死
I22.800x015 急性下壁高侧壁再发心肌梗死
I22.800x016 急性侧壁正后壁再发心肌梗死
I22.800x017 急性前间壁高侧壁再发心肌梗死
I22.800x018 急性前间壁下壁再发心肌梗死
I22.900x001 急性再发心肌梗死
I23.000x001 急性心肌梗死后心脏破裂伴心包积血
I23.100x001 急性心肌梗死后房间隔缺损
I23.200x001 急性心肌梗死后室间隔穿孔
I23.300x001 急性心肌梗死后心脏破裂
I23.400x001 急性心肌梗死后腱索断裂
I23.500x001 急性心肌梗死后乳头肌断裂
I23.601 急性心肌梗死后心室附壁血栓形成
I23.800x001 急性心肌梗死后的近期并发症
I24.000x003 冠状动脉血栓形成
I24.000x004 急性冠状动脉支架内血栓形成
I24.000x005 亚急性冠状动脉支架内血栓形成
I24.000x009 冠状动脉支架后并发冠状动脉血栓栓~~塞
I24.000x010 冠状动脉支架后并发冠状动脉分支闭~~塞
I24.001 冠状动脉支架内血栓形成
I24.002 冠状动脉闭塞
I24.003 冠状动脉栓塞
I24.100x001 心肌梗死后综合征[德雷斯勒综合~~征][Dressler 综合征]
I24.800x001 冠状动脉供血不足
I24.800x004 冠状动脉支架后并发冠状动脉无再流
I24.800x007 急性非 ST 段抬高型急性冠脉综合征
I24.801 急性冠状动脉供血不足
I24.900x001 急性心肌缺血
I24.901 急性冠脉综合征
I25.000x001 动脉硬化性心血管病
I25.100x003 冠状动脉狭窄
I25.102 冠状动脉粥样硬化
I25.103 冠状动脉粥样硬化性心脏病
I25.104 冠心病心律失常型
I25.300 心脏动脉瘤
I25.300x005 室间隔动脉瘤
I25.300x006 左心室假性室壁瘤
I25.300x007 左心室前壁心尖假性室壁瘤
I25.300x008 左心室前壁心尖室壁瘤
I25.300x009 左心室室壁瘤
I25.300x010 左心室下壁假性室壁瘤
I25.300x011 左心室下壁室壁瘤
I25.300x012 右室室壁瘤
I25.300x013 假性室壁瘤
I25.301 心室壁瘤
I25.302 心房壁瘤
I25.400 冠状动脉动脉瘤
I25.400x001 冠状动脉窦动脉瘤
I25.400x005 冠状动脉夹层
I25.401 后天性冠状动脉动静脉瘘
I25.402 冠状动脉扩张
I25.403 冠状动脉扩张病
I25.500 缺血性心肌病
I25.600x001 隐匿性冠状动脉粥样硬化性心脏病
I25.800x002 冠状动脉左房瘘
I25.800x003 慢性冠状动脉供血不足
I25.800x004 心肌供血不足
I25.800x005 冠状动脉瘘
I25.800x006 冠状动脉左室瘘
I25.800x009 冠状动脉成形术后再狭窄
I25.800x010 冠状动脉支架植入术后再狭窄
I25.800x011 冠状动脉右室瘘
I25.800x012 冠状动脉无再流
I25.802 冠状动脉炎
I25.900 慢性缺血性心脏病
I25.901 冠状动脉性心脏病
I25.902 冠状动脉缺血
I26.001 急性肺源性心脏病
I27.000x007 可遗传性肺动脉高压
I27.000x008 原发性轻度肺动脉高压
I27.000x009 原发性中度肺动脉高压
I27.000x010 原发性重度肺动脉高压
I27.001 特发性肺动脉高压[原发性肺动脉高压]
I27.100 脊柱后侧凸性心脏病
I27.200x002 结缔组织病相关性肺动脉高压
I27.200x003 门静脉高压性肺动脉高压
I27.200x004 甲状腺相关性肺动脉高压
I27.200x005 药物性肺动脉高压
I27.200x006 食物抑制剂相关性肺动脉高压
I27.200x009 危险因素相关性肺动脉高压
I27.200x012 肺动脉高压
I27.200x013 肺动脉高压危象
I27.200x015 轻度肺动脉高压
I27.200x016 低氧相关性肺动脉高压
I27.200x017 脾切除相关性肺动脉高压
I27.200x018 疾病相关性肺动脉高压
I27.200x019 毒物相关性肺动脉高压
I27.200x020 左心疾病相关性肺动脉高压
I27.200x021 中度肺动脉高压
I27.200x022 重度肺动脉高压
I27.201 继发性肺动脉高压
I27.202 慢性血栓栓塞性肺动脉高压症
I27.801 艾森门格综合征
I27.900 肺源性心脏病
I27.900x002 慢性肺源性心脏病
I28.000x002 经皮肺动静脉瘘栓塞术后再通
I28.000x003 肺动静脉瘘
I28.100 肺动脉的动脉瘤
I28.800x003 肺小静脉炎
I28.800x005 肺毛细血管瘤样病变
I28.800x007 肺血管炎
I28.800x008 特发性肺动脉扩张
I28.801 肺动脉扩张
I28.802 肺静脉狭窄
I28.803 后天性肺动脉狭窄
I28.804 肺静脉闭塞症
I28.900x001 肺血管病
I30.000 急性非特异性特发性心包炎
I30.100 感染性心包炎
I30.100x005 肺炎球菌性心包炎
I30.100x006 急性感染心包积液
I30.100x007 链球菌性心包炎
I30.100x008 葡萄球菌性心包炎
I30.101 化脓性心包炎
I30.102 细菌性心包炎
I30.103 病毒性心包炎
I30.801 纤维蛋白性心包炎
I30.900 急性心包炎
I30.900x001 急性心包积液
I30.900x003 急性心肌心包炎
I31.000 慢性粘连性心包炎
I31.000x002 慢性粘连性纵隔心包炎
I31.001 心包粘连
I31.100 慢性缩窄性心包炎
I31.100x001 慢性化脓性缩窄性心包炎
I31.101 心包钙化
I31.200x001 心包积血
I31.300 心包积液(非炎性)
I31.300x005 甲状腺功能减低性心包积液
I31.301 乳糜性心包积液
I31.302 包裹性心包积液
I31.800x001 心包破裂
I31.800x003 心包积气
I31.900x008 纵隔心包炎
I31.900x009 放射性心包炎
I31.900x010 肿瘤性心包炎
I31.901 心包压塞
I31.902 心包炎
I31.903 非特异性心包炎
I31.904 慢性心包炎
I33.000x001 恶性心内膜炎
I33.000x004 感染性心内膜炎
I33.000x006 革兰阳性杆菌性心内膜炎
I33.000x007 急性细菌性心内膜炎
I33.000x008 假单胞菌性心内膜炎
I33.000x011 葡萄球菌性心内膜炎
I33.000x012 奥斯勒结节
I33.000x019 吸毒性心内膜炎
I33.000x020 二尖瓣瓣周脓肿
I33.000x021 右心感染性心内膜炎
I33.000x022 左心自体瓣膜性心内膜炎
I33.000x024 机械相关性心内膜炎
I33.001 急性感染性心内膜炎
I33.002 亚急性感染性心内膜炎
I33.003 链球菌性心内膜炎
I33.004 真菌性心内膜炎
I33.005 细菌性心内膜炎
I33.006 感染性心内膜炎性赘生物
I33.007 亚急性细菌性心内膜炎
I33.008 二尖瓣赘生物
I33.009 主动脉瓣赘生物
I33.010 三尖瓣赘生物
I33.011 肺动脉瓣赘生物
I33.900 急性心内膜炎
I34.000 二尖瓣关闭不全
I34.000x001 非风湿性二尖瓣关闭不全
I34.001 二尖瓣反流
I34.100 二尖瓣脱垂
I34.101 二尖瓣脱垂综合征
I34.102 二尖瓣后叶脱垂
I34.200 非风湿性二尖瓣狭窄
I34.201 二尖瓣术后狭窄
I34.202 老年钙化性二尖瓣狭窄
I34.800x002 二尖瓣裂
I34.800x003 手术后二尖瓣狭窄伴关闭不全
I34.800x005 心内膜炎并二尖瓣穿孔
I34.800x006 二尖瓣钙化
I34.801 非风湿性二尖瓣狭窄伴关闭不全
I34.802 二尖瓣腱索断裂
I34.803 二尖瓣退行性变
I34.900 非风湿性二尖瓣疾患
I35.000 主动脉瓣狭窄
I35.000x002 经导管主动脉瓣植入术后再狭窄
I35.000x003 主动脉瓣球囊扩张术后再狭窄
I35.100 主动脉瓣关闭不全
I35.100x003 经导管主动脉瓣植入术后关闭不全
I35.101 心内膜炎伴主动脉瓣关闭不全
I35.200 主动脉瓣狭窄伴有关闭不全
I35.200x001 老年钙化性主动脉瓣狭窄伴关闭不全
I35.800x003 心内膜炎伴主动脉瓣脱垂
I35.801 主动脉瓣硬化
I35.802 主动脉瓣松软综合征
I35.803 心内膜炎伴主动脉瓣穿孔
I35.804 退行性主动脉瓣疾患
I35.805 主动脉瓣增厚
I35.806 主动脉瓣钙化
I35.807 主动脉瓣周脓肿
I35.808 主动脉瓣脱垂
I35.900 主动脉瓣疾患
I36.000 非风湿性三尖瓣狭窄
I36.100 非风湿性三尖瓣关闭不全
I36.200 非风湿性三尖瓣狭窄伴有关闭不全
I36.800x002 三尖瓣脱垂
I36.800x003 三尖瓣下移
I36.800x004 三尖瓣腱索断裂
I36.800x005 三尖瓣钙化
I36.801 非风湿性三尖瓣脱垂
I36.900 非风湿性三尖瓣疾患
I37.000 肺动脉瓣狭窄
I37.100 肺动脉瓣关闭不全
I37.200 肺动脉瓣狭窄伴有关闭不全
I37.800 肺动脉瓣疾患，其他的
I37.900 肺动脉瓣疾患
I38.x00x002 老年性心脏瓣膜病
I38.x00x005 心瓣膜破裂
I38.x00x006 心内膜炎
I38.x00x007 慢性心脏瓣膜炎
I38.x01 心脏瓣膜病
I38.x02 心脏瓣膜穿孔
I38.x03 心脏瓣膜钙化
I40.000x003 细菌性心肌炎
I40.000x004 心肌脓肿
I40.000x005 暴发性心肌炎
I40.000x006 原虫性心肌炎
I40.000x007 真菌性心肌炎
I40.001 病毒性心肌炎
I40.002 急性细菌性心肌炎
I40.100 孤立性心肌炎
I40.800x001 中毒性心肌炎
I40.800x002 药物性心肌炎
I40.800x003 过敏性心肌炎
I40.900 急性心肌炎
I42.000x001 家族性扩张性心肌病
I42.001 扩张型心肌病（充血型心肌病）
I42.100 梗阻性肥厚型心肌病
I42.100x002 肥厚性主动脉瓣下狭窄
I42.200x002 肥厚型心肌病
I42.201 心尖肥厚型心肌病
I42.300 心内膜心肌(嗜酸性)病
I42.301 心内膜心肌纤维化
I42.401 先天性心肌病
I42.500x001 限制性心肌病
I42.501 缩窄性心肌病
I42.600 酒精性心肌病
I42.701 药物性心肌病
I42.800x001 心肌囊肿
I42.800x002 致心律失常性右室心肌病
I42.800x004 心肌炎后心肌病
I42.800x005 右心心肌病
I42.800x006 致心律失常性左室心肌病
I42.800x007 应激性心肌病[心尖球形综合征]
I42.801 心尖球囊样综合征
I42.802 心动过速性心肌病
I42.803 右室心肌病
I42.900 心肌病
I42.901 继发性心肌病
I42.902 家族性心肌病
I42.904 特异性心肌病
I42.905 特发性心肌病
I44.000 Ⅰ度房室传导阻滞
I44.100 Ⅱ度房室传导阻滞
I44.101 二度Ⅰ型房室传导阻滞
I44.102 二度Ⅱ型房室传导阻滞
I44.200 Ⅲ度房室传导阻滞
I44.201 高度房室传导阻滞
I44.300x003 特发性房室束支退化症[lengre 病]
I44.302 部分房室传导阻滞
I44.303 房室传导阻滞
I44.304 左室支架硬化症
I44.400 左前分支传导阻滞
I44.500 左后分支传导阻滞
I44.601 不完全性左束支传导阻滞
I44.602 完全性左束支传导阻滞
I44.700 左束支传导阻滞
I45.000 右分支传导阻滞
I45.101 不完全性右束支传导阻滞
I45.102 完全性右束支传导阻滞
I45.103 右束支传导阻滞
I45.200 双分支传导阻滞
I45.300 三分支传导阻滞
I45.400x001 室内传导阻滞
I45.401 束支传导阻滞
I45.500x002 窦房结功能低下
I45.500x004 房内传导阻滞
I45.500x005 中隔束支传导阻滞
I45.501 窦房传导阻滞
I45.502 窦性停搏
I45.600 预激综合征
I45.600x003 间歇性预激综合征
I45.600x004 A 型预激综合征
I45.600x005 B 型预激综合征
I45.600x007 心室预激
I45.601 劳恩-加农-莱文综合征
I45.602 隐性预激综合征
I45.800x002 干扰性房室分离
I45.800x004 R-R 长间歇
I45.801 短 QT 综合征
I45.804 先天性 QT 间期延长
I45.900x002 家族性传导系统障碍
I45.900x003 心脏传导系统退行性变
I45.901 阿-斯综合征[Stokes-Adams 综合征]
I46.000 心脏停搏复苏成功
I46.100x001 心源性猝死
I46.901 呼吸心跳骤停
I47.000 折返性室性心律失常
I47.100 室上性心动过速
I47.100x001 窦房折返性心动过速
I47.100x004 房室结折返性心动过速
