包含以下主要诊断：
A06.800x004+N51.2* 阿米巴龟头炎
Q55.800 男性生殖器官其他特指的先天性畸形
Q55.800x001 前列腺囊
Q55.801 先天性阴茎阴囊融合
Q55.802 阴茎阴囊转位
Q55.900 男性生殖器官先天性畸形
Q55.901 男性生殖器官发育不全
Q56.000 两性畸形，不可归类在他处者
Q56.001 女性男性化
Q56.002 卵睾体
Q56.100 男性假两性畸形，不可归类在他处者
Q56.300 假两性畸形
Q56.400 性别不清
Q85.900x032 精囊错构瘤
Q85.900x047 会阴错构瘤
R86.000 男性生殖器官标本的酶水平异常
R86.100 男性生殖器官标本的激素水平异常
R86.200 男性生殖器官标本的其他药物、药剂和生~~物制剂水平异常
R86.300 男性生殖器官标本的主要为非药用性物质~~的水平异常
R86.400 男性生殖器官标本的异常的免疫学所见
R86.500 男性生殖器官标本的异常的微生物学所见
R86.600 男性生殖器官标本的异常的细胞学所见
R86.700 男性生殖器官标本的异常的组织学所见
R86.800 男性生殖器官标本的其他异常所见
R86.900x003 精液标本异常
R86.901 精子异常
R86.902 前列腺分泌物异常
R86.903 弱精子症
R93.802 前列腺钙化灶
S30.202 创伤性阴囊血肿
S30.203 创伤性附睾血肿
S30.205 阴囊挫伤
S30.206 阴茎挫伤
S30.208 睾丸挫伤
S31.200 阴茎开放性伤口
S31.300x001 阴囊开放性损伤
S31.300x002 开放性精囊损伤
S31.301 开放性睾丸损伤
S31.501 开放性外生殖器损伤
S37.801 输精管损伤
S37.802 精囊损伤
S37.804 前列腺损伤
S37.811 开放性输精管损伤
S37.910 开放性盆腔器官损伤
S38.000 外生殖器挤压伤
S38.001 阴茎挤压伤
S38.200x003 阴茎离断
S38.200x004 阴囊离断
S38.200x005 睾丸离断
S39.900x007 阴囊损伤
S39.900x009 附睾损伤
S39.900x010 睾丸损伤
S39.904 阴茎损伤
T19.800x002 阴茎内异物
T83.401 阴茎假体引起的并发症
T83.600 生殖道中的假体装置、植入物和移植物引~~起的感染和炎症性反应
T83.601 阴茎假体植入感染
Z31.000x004 输精管结扎术后复通
Z41.200 常规和宗教仪式的包皮环切术
